county,precinct,office,district,candidate,party,votes,
Orange,Middletown - Ward 1-1,Governor,,Ballots Cast,,174,
Orange,Middletown - Ward 1-2,Governor,,Ballots Cast,,72,
Orange,Middletown - Ward 1-3,Governor,,Ballots Cast,,146,
Orange,Middletown - Ward 1-4,Governor,,Ballots Cast,,35,
Orange,Middletown - Ward 1-5,Governor,,Ballots Cast,,111,
Orange,Middletown - Ward 1-6,Governor,,Ballots Cast,,127,
Orange,Middletown - Ward 2-1,Governor,,Ballots Cast,,133,
Orange,Middletown - Ward 2-2,Governor,,Ballots Cast,,114,
Orange,Middletown - Ward 2-3,Governor,,Ballots Cast,,147,
Orange,Middletown - Ward 2-4,Governor,,Ballots Cast,,184,
Orange,Middletown - Ward 2-5,Governor,,Ballots Cast,,111,
Orange,Middletown - Ward 2-6,Governor,,Ballots Cast,,119,
Orange,Middletown - Ward 2-7,Governor,,Ballots Cast,,105,
Orange,Middletown - Ward 3-1,Governor,,Ballots Cast,,181,
Orange,Middletown - Ward 3-2,Governor,,Ballots Cast,,126,
Orange,Middletown - Ward 3-3,Governor,,Ballots Cast,,82,
Orange,Middletown - Ward 3-4,Governor,,Ballots Cast,,204,
Orange,Middletown - Ward 3-5,Governor,,Ballots Cast,,134,
Orange,Middletown - Ward 4-1,Governor,,Ballots Cast,,211,
Orange,Middletown - Ward 4-2,Governor,,Ballots Cast,,187,
Orange,Middletown - Ward 4-3,Governor,,Ballots Cast,,93,
Orange,Middletown - Ward 4-4,Governor,,Ballots Cast,,217,
Orange,Middletown - Ward 4-5,Governor,,Ballots Cast,,220,
Orange,Middletown - Ward 4-6,Governor,,Ballots Cast,,224,
Orange,Middletown - Ward 4-7,Governor,,Ballots Cast,,142,
Orange,City of Newburgh 1-1,Governor,,Ballots Cast,,82,
Orange,City of Newburgh 1-2,Governor,,Ballots Cast,,219,
Orange,City of Newburgh 1-3,Governor,,Ballots Cast,,131,
Orange,City of Newburgh 1-4,Governor,,Ballots Cast,,245,
Orange,City of Newburgh 2-1,Governor,,Ballots Cast,,169,
Orange,City of Newburgh 2-2,Governor,,Ballots Cast,,256,
Orange,City of Newburgh 3-1,Governor,,Ballots Cast,,264,
Orange,City of Newburgh 3-2,Governor,,Ballots Cast,,257,
Orange,City of Newburgh 3-3,Governor,,Ballots Cast,,194,
Orange,City of Newburgh 3-4,Governor,,Ballots Cast,,178,
Orange,City of Newburgh 4-1,Governor,,Ballots Cast,,32,
Orange,City of Newburgh 4-2,Governor,,Ballots Cast,,180,
