county,precinct,office,district,party,candidate,votes,absentee
Lewis,Croghan 1 LD 2,Governor,,DEM,Andrew M. Cuomo,23,1
Lewis,Croghan 2 LD 2,Governor,,DEM,Andrew M. Cuomo,50,7
Lewis,Croghan 3 LD 2,Governor,,DEM,Andrew M. Cuomo,70,3
Lewis,Croghan 4 LD 1,Governor,,DEM,Andrew M. Cuomo,37,1
Lewis,Denmark 1 LD 2,Governor,,DEM,Andrew M. Cuomo,39,7
Lewis,Denmark 2 LD 3,Governor,,DEM,Andrew M. Cuomo,101,4
Lewis,Denmark 3 LD 3,Governor,,DEM,Andrew M. Cuomo,48,5
Lewis,Diana 1 LD 1,Governor,,DEM,Andrew M. Cuomo,87,8
Lewis,Diana 2 LD 1,Governor,,DEM,Andrew M. Cuomo,46,5
Lewis,Greig LD 9,Governor,,DEM,Andrew M. Cuomo,136,12
Lewis,Harrisburg LD 8,Governor,,DEM,Andrew M. Cuomo,41,4
Lewis,Lewis LD 10,Governor,,DEM,Andrew M. Cuomo,43,1
Lewis,Leyden 1 LD 10,Governor,,DEM,Andrew M. Cuomo,31,2
Lewis,Leyden 2 LD 10,Governor,,DEM,Andrew M. Cuomo,26,1
Lewis,Leyden 3 LD 10,Governor,,DEM,Andrew M. Cuomo,35,2
Lewis,Lowville 1 LD 6,Governor,,DEM,Andrew M. Cuomo,71,16
Lewis,Lowville 2 LD 5,Governor,,DEM,Andrew M. Cuomo,97,4
Lewis,Lowville 3 LD 3,Governor,,DEM,Andrew M. Cuomo,26,9
Lewis,Lowville 4 LD 5,Governor,,DEM,Andrew M. Cuomo,185,9
Lewis,Lowville 5 LD 7,Governor,,DEM,Andrew M. Cuomo,30,3
Lewis,Lyonsdale 1 LD 9,Governor,,DEM,Andrew M. Cuomo,39,2
Lewis,Lyonsdale 2 LD 9,Governor,,DEM,Andrew M. Cuomo,14,0
Lewis,Lyonsdale 3 LD 9,Governor,,DEM,Andrew M. Cuomo,2,0
Lewis,Martinsburg LD 7,Governor,,DEM,Andrew M. Cuomo,86,5
Lewis,Montague LD 8,Governor,,DEM,Andrew M. Cuomo,6,1
Lewis,New Bremen 1 LD 4,Governor,,DEM,Andrew M. Cuomo,111,3
Lewis,New Bremen 2 LD 4,Governor,,DEM,Andrew M. Cuomo,108,7
Lewis,Osceola LD 10,Governor,,DEM,Andrew M. Cuomo,18,2
Lewis,Pinckney LD 8,Governor,,DEM,Andrew M. Cuomo,26,4
Lewis,Turin LD 7,Governor,,DEM,Andrew M. Cuomo,63,4
Lewis,Watson LD 6,Governor,,DEM,Andrew M. Cuomo,144,14
Lewis,West Turin 1 LD 8,Governor,,DEM,Andrew M. Cuomo,40,1
