county,precinct,office,disctrict,party,candidate,votes
Tompkins,Ithaca City 1-1 LD 1,Governor,,DEM,Andrew M. Cuomo,191
Tompkins,Ithaca City 1-2 LD 1,Governor,,DEM,Andrew M. Cuomo,113
Tompkins,Ithaca City 1-3 LD 1,Governor,,DEM,Andrew M. Cuomo,74
Tompkins,Ithaca City 1-4 LD 3,Governor,,DEM,Andrew M. Cuomo,260
Tompkins,Ithaca City 2-1 LD 1,Governor,,DEM,Andrew M. Cuomo,204
Tompkins,Ithaca City 2-2 LD 1,Governor,,DEM,Andrew M. Cuomo,225
Tompkins,Ithaca City 2-3 LD 1,Governor,,DEM,Andrew M. Cuomo,201
Tompkins,Ithaca City 2-4 LD 4,Governor,,DEM,Andrew M. Cuomo,129
Tompkins,"Ithaca City 3-1 LD 2, 3-2 LD 3",Governor,,DEM,Andrew M. Cuomo,142
Tompkins,Ithaca City 3-3 LD 3,Governor,,DEM,Andrew M. Cuomo,195
Tompkins,Ithaca City 4-1 LD 4,Governor,,DEM,Andrew M. Cuomo,110
Tompkins,Ithaca City 5-1 LD 2,Governor,,DEM,Andrew M. Cuomo,241
Tompkins,Ithaca City 5-2 LD 2,Governor,,DEM,Andrew M. Cuomo,241
Tompkins,Ithaca City 5-3 LD 2,Governor,,DEM,Andrew M. Cuomo,89
Tompkins,Caroline 1 LD 7,Governor,,DEM,Andrew M. Cuomo,67
Tompkins,Caroline 2 LD 7,Governor,,DEM,Andrew M. Cuomo,151
Tompkins,Caroline 3 LD 7,Governor,,DEM,Andrew M. Cuomo,164
Tompkins,Danby 1 LD 7,Governor,,DEM,Andrew M. Cuomo,245
Tompkins,Danby 2 LD 7,Governor,,DEM,Andrew M. Cuomo,35
Tompkins,Danby 3 LD 7,Governor,,DEM,Andrew M. Cuomo,241
Tompkins,Dryden 1 LD 13,Governor,,DEM,Andrew M. Cuomo,117
Tompkins,Dryden 2 LD 14,Governor,,DEM,Andrew M. Cuomo,201
