county,precinct,office,district,candidate,party,Absentee,votes
Ulster,Kingston Ward 1 -1,Governor,,Andrew M. Cuomo,DEM,6,81
Ulster,Kingston Ward 1 -2,Governor,,Andrew M. Cuomo,DEM,7,122
Ulster,Kingston Ward 1 -3,Governor,,Andrew M. Cuomo,DEM,10,118
Ulster,Kingston Ward 2 -1,Governor,,Andrew M. Cuomo,DEM,9,115
Ulster,Kingston Ward 2 -2,Governor,,Andrew M. Cuomo,DEM,6,45
Ulster,Kingston Ward 2 -3,Governor,,Andrew M. Cuomo,DEM,19,119
Ulster,Kingston Ward 3 -1,Governor,,Andrew M. Cuomo,DEM,22,144
Ulster,Kingston Ward 3 -2,Governor,,Andrew M. Cuomo,DEM,6,67
Ulster,Kingston Ward 3 -3,Governor,,Andrew M. Cuomo,DEM,21,100
Ulster,Kingston Ward 4 -1,Governor,,Andrew M. Cuomo,DEM,4,109
Ulster,Kingston Ward 4 -2,Governor,,Andrew M. Cuomo,DEM,5,78
Ulster,Kingston Ward 5 -1,Governor,,Andrew M. Cuomo,DEM,1,84
Ulster,Kingston Ward 5 -2,Governor,,Andrew M. Cuomo,DEM,17,103
Ulster,Kingston Ward 5 -3,Governor,,Andrew M. Cuomo,DEM,2,53
Ulster,Kingston Ward 6 -1,Governor,,Andrew M. Cuomo,DEM,14,134
Ulster,Kingston Ward 6 -2,Governor,,Andrew M. Cuomo,DEM,6,69
Ulster,Kingston Ward 6 -3,Governor,,Andrew M. Cuomo,DEM,13,110
Ulster,Kingston Ward 7 -1,Governor,,Andrew M. Cuomo,DEM,4,81
Ulster,Kingston Ward 7 -2,Governor,,Andrew M. Cuomo,DEM,18,118
Ulster,Kingston Ward 7 -3,Governor,,Andrew M. Cuomo,DEM,7,88
Ulster,Kingston Ward 8 -1,Governor,,Andrew M. Cuomo,DEM,6,59
Ulster,Kingston Ward 8 -2,Governor,,Andrew M. Cuomo,DEM,9,39
Ulster,Kingston Ward 8 -3,Governor,,Andrew M. Cuomo,DEM,5,108
Ulster,Kingston Ward 9 -1,Governor,,Andrew M. Cuomo,DEM,9,84
Ulster,Kingston Ward 9 -2,Governor,,Andrew M. Cuomo,DEM,9,114
