county,precinct,office,district,party,candidate,votes,,,
Madison,BROOKFIELD 1,Registered Voters,,,,400,,,
Madison,BROOKFIELD 2,Registered Voters,,,,599,,,
Madison,BROOKFIELD 3,Registered Voters,,,,377,,,
Madison,CAZENOVIA 1,Registered Voters,,,,630,,,
Madison,CAZENOVIA 2,Registered Voters,,,,582,,,
Madison,CAZENOVIA 3,Registered Voters,,,,703,,,
Madison,CAZENOVIA 4,Registered Voters,,,,849,,,
Madison,CAZENOVIA 5,Registered Voters,,,,981,,,
Madison,CAZENOVIA 6,Registered Voters,,,,592,,,
Madison,DERUYTER 1,Registered Voters,,,,1011,,,
Madison,EATON 1,Registered Voters,,,,1091,,,
Madison,EATON 2,Registered Voters,,,,575,,,
Madison,EATON 3,Registered Voters,,,,409,,,
Madison,FENNER 1,Registered Voters,,,,1044,,,
Madison,GEORGETOWN 1,Registered Voters,,,,448,,,
Madison,HAMILTON 1,Registered Voters,,,,697,,,
Madison,HAMILTON 2,Registered Voters,,,,903,,,
Madison,HAMILTON 3,Registered Voters,,,,365,,,
Madison,HAMILTON 4,Registered Voters,,,,816,,,
Madison,LEBANON 1,Registered Voters,,,,306,,,
Madison,LEBANON 2,Registered Voters,,,,527,,,
Madison,LENOX 1,Registered Voters,,,,1037,,,
Madison,LENOX 2,Registered Voters,,,,887,,,
Madison,LENOX 3,Registered Voters,,,,985,,,
Madison,LENOX 4,Registered Voters,,,,743,,,
Madison,LENOX 5,Registered Voters,,,,1031,,,
Madison,LENOX 6,Registered Voters,,,,478,,,
Madison,LINCOLN 1,Registered Voters,,,,533,,,
Madison,LINCOLN 2,Registered Voters,,,,674,,,
Madison,MADISON 1,Registered Voters,,,,940,,,
Madison,MADISON 2,Registered Voters,,,,845,,,
Madison,NELSON 1,Registered Voters,,,,667,,,
Madison,NELSON 2,Registered Voters,,,,690,,,
Madison,SMITHFIELD 1,Registered Voters,,,,726,,,
Madison,STOCKBRIDGE 1,Registered Voters,,,,506,,,
Madison,STOCKBRIDGE 2,Registered Voters,,,,617,,,
Madison,SULLIVAN 1,Registered Voters,,,,1237,,,
Madison,SULLIVAN 2,Registered Voters,,,,1020,,,
Madison,SULLIVAN 3,Registered Voters,,,,736,,,
Madison,SULLIVAN 4,Registered Voters,,,,398,,,
Madison,SULLIVAN 5,Registered Voters,,,,1020,,,
Madison,SULLIVAN 6,Registered Voters,,,,960,,,
Madison,SULLIVAN 7,Registered Voters,,,,863,,,
Madison,SULLIVAN 8,Registered Voters,,,,554,,,
Madison,SULLIVAN 9,Registered Voters,,,,704,,,
Madison,SULLIVAN 10,Registered Voters,,,,734,,,
Madison,SULLIVAN 11,Registered Voters,,,,745,,,
Madison,ONEIDA WARD 1-1,Registered Voters,,,,512,,,
Madison,ONEIDA WARD 1-2,Registered Voters,,,,693,,,
Madison,ONEIDA WARD 2-1,Registered Voters,,,,805,,,
Madison,ONEIDA WARD 2-2,Registered Voters,,,,624,,,
Madison,ONEIDA WARD 3-1,Registered Voters,,,,1011,,,
Madison,ONEIDA WARD 4-1,Registered Voters,,,,690,,,
Madison,ONEIDA WARD 5-1,Registered Voters,,,,895,,,
Madison,ONEIDA WARD 6-1,Registered Voters,,,,822,,,
Madison,BROOKFIELD 1,Ballots Cast,,,,265,,,
Madison,BROOKFIELD 2,Ballots Cast,,,,432,,,
Madison,BROOKFIELD 3,Ballots Cast,,,,281,,,
Madison,CAZENOVIA 1,Ballots Cast,,,,510,,,
Madison,CAZENOVIA 2,Ballots Cast,,,,484,,,
Madison,CAZENOVIA 3,Ballots Cast,,,,570,,,
Madison,CAZENOVIA 4,Ballots Cast,,,,688,,,
Madison,CAZENOVIA 5,Ballots Cast,,,,813,,,
Madison,CAZENOVIA 6,Ballots Cast,,,,471,,,
Madison,DERUYTER 1,Ballots Cast,,,,711,,,
Madison,EATON 1,Ballots Cast,,,,738,,,
Madison,EATON 2,Ballots Cast,,,,349,,,
Madison,EATON 3,Ballots Cast,,,,281,,,
