candidate,office,district,party,county,precinct,votes,election_day,absentee,military,affidavit,federal,uocava
Cynthia E. Nixon,Governor,,DEM,Schuyler,Cayuta,12,12,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Cayuta,7,7,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Cayuta,6,6,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Cayuta,3,3,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Cayuta,2,2,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Cayuta,7,7,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Cayuta,1,1,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Cayuta,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Cayuta,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Cayuta,1,1,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Cayuta,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Cayuta,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Cayuta,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Cayuta,7,7,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Cayuta,11,11,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Cayuta,1,1,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Cayuta,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,Dix,50,51,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Dix,91,91,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Dix,42,42,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Dix,27,27,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Dix,7,7,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Dix,53,53,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Dix,12,12,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Dix,3,3,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Dix,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Dix,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Dix,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Dix,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Dix,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Dix,39,39,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Dix,96,96,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Dix,6,6,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Dix,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,Hector,200,200,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Hector,184,184,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Hector,10,10,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Hector,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Hector,1,1,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Hector,79,79,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Hector,67,67,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Hector,9,9,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Hector,219,219,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Hector,20,20,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Hector,1,1,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Hector,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Hector,3,3,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Hector,2,2,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Hector,1,1,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Hector,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Hector,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Hector,1,1,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Hector,89,89,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Hector,298,298,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Hector,8,8,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Hector,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Hector,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,Montour,28,28,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Montour,54,54,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Montour,1,1,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Montour,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Montour,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Montour,18,18,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Montour,26,26,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Montour,4,4,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Montour,28,28,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Montour,7,7,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Montour,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Montour,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Montour,2,2,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Montour,1,1,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Montour,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Montour,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Montour,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Montour,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Montour,29,29,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Montour,48,48,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Montour,6,6,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Montour,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Montour,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,Orange,29,29,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Orange,18,18,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Orange,16,16,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Orange,11,11,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Orange,13,13,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Orange,6,6,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Orange,1,1,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Orange,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Orange,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Orange,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Orange,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Orange,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Orange,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Orange,21,21,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Orange,21,21,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Orange,5,5,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Orange,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,Reading,21,21,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Reading,45,45,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Reading,13,13,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Reading,15,15,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Reading,3,3,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Reading,30,30,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Reading,5,5,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Reading,1,1,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Reading,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Reading,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Reading,1,1,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Reading,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Reading,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Reading,19,19,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Reading,46,46,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Reading,1,1,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Reading,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,Tyrone,16,16,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Tyrone,44,44,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Tyrone,27,27,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Tyrone,11,11,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Tyrone,6,6,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Tyrone,16,16,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Tyrone,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Tyrone,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Tyrone,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Tyrone,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Tyrone,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Tyrone,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Tyrone,28,28,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Tyrone,29,29,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Tyrone,3,3,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Tyrone,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Catharine,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Catharine,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Catharine,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Catharine,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Catharine,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Catharine,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Catharine,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Cayuta,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Dix,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Dix,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Dix,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Dix,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Dix,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Dix,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Dix,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Hector,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Hector,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Hector,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Hector,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Hector,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Hector,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Hector,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Montour,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Montour,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Montour,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Montour,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Montour,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Montour,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Montour,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Orange,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Orange,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Orange,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Orange,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Orange,0,0,0,0,0,0,0
