candidate,office,district,party,county,precinct,votes,election_day,absentee,military,affidavit,federal,uocava
Cynthia E. Nixon,Governor,,DEM,Schuyler,Catharine,34,34,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,Catharine,31,31,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,Catharine,14,14,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,Catharine,8,8,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,Catharine,5,5,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,Catharine,37,37,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,Catharine,1,1,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,Catharine,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,Catharine,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,Catharine,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,Catharine,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,Catharine,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,Catharine,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,Catharine,25,25,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,Catharine,39,39,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,Catharine,1,1,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,Catharine,0,0,0,0,0,0,0
