county,precinct,office,district,party,candidate,machine,absentee,absentee_hc,affidavit,votes
St. Lawrence,Brasher 1,Ballots Cast,,,,,,,,281
St. Lawrence,Brasher 2,Ballots Cast,,,,,,,,450
St. Lawrence,Canton 1,Ballots Cast,,,,,,,,621
St. Lawrence,Canton 2,Ballots Cast,,,,,,,,551
St. Lawrence,Canton 3,Ballots Cast,,,,,,,,478
St. Lawrence,Canton 4,Ballots Cast,,,,,,,,112
St. Lawrence,Canton 5,Ballots Cast,,,,,,,,282
St. Lawrence,Canton 6,Ballots Cast,,,,,,,,496
St. Lawrence,Canton 7,Ballots Cast,,,,,,,,188
St. Lawrence,Canton 8,Ballots Cast,,,,,,,,596
St. Lawrence,Clare 1,Ballots Cast,,,,,,,,48
St. Lawrence,Clifton 1,Ballots Cast,,,,,,,,120
St. Lawrence,Clifton 2,Ballots Cast,,,,,,,,151
St. Lawrence,Colton 1,Ballots Cast,,,,,,,,753
St. Lawrence,DeKalb 1,Ballots Cast,,,,,,,,390
St. Lawrence,DeKalb 2,Ballots Cast,,,,,,,,304
St. Lawrence,DePeyster 1,Ballots Cast,,,,,,,,210
St. Lawrence,Edwards 1,Ballots Cast,,,,,,,,352
St. Lawrence,Fine 1,Ballots Cast,,,,,,,,495
St. Lawrence,Fowler 1,Ballots Cast,,,,,,,,356
St. Lawrence,Fowler 2,Ballots Cast,,,,,,,,423
St. Lawrence,Gouverneur 1,Ballots Cast,,,,,,,,483
St. Lawrence,Gouverneur 2,Ballots Cast,,,,,,,,408
St. Lawrence,Gouverneur 3,Ballots Cast,,,,,,,,263
St. Lawrence,Gouverneur 4,Ballots Cast,,,,,,,,316
St. Lawrence,Hammond 1,Ballots Cast,,,,,,,,493
St. Lawrence,Hermon 1,Ballots Cast,,,,,,,,387
St. Lawrence,Hopkinton 1,Ballots Cast,,,,,,,,433
St. Lawrence,Lawrence 1,Ballots Cast,,,,,,,,493
St. Lawrence,Lisbon 1,Ballots Cast,,,,,,,,518
St. Lawrence,Lisbon 2,Ballots Cast,,,,,,,,404
St. Lawrence,Lisbon 3,Ballots Cast,,,,,,,,478
St. Lawrence,Louisville 1,Ballots Cast,,,,,,,,382
St. Lawrence,Louisville 2,Ballots Cast,,,,,,,,401
St. Lawrence,Louisville 3,Ballots Cast,,,,,,,,307
St. Lawrence,Louisville 4,Ballots Cast,,,,,,,,222
St. Lawrence,Macomb 1,Ballots Cast,,,,,,,,344
St. Lawrence,Madrid 1,Ballots Cast,,,,,,,,637
St. Lawrence,Massena 1,Ballots Cast,,,,,,,,724
St. Lawrence,Massena 2,Ballots Cast,,,,,,,,546
St. Lawrence,Massena 3,Ballots Cast,,,,,,,,463
St. Lawrence,Massena 4,Ballots Cast,,,,,,,,232
St. Lawrence,Massena 5,Ballots Cast,,,,,,,,472
St. Lawrence,Massena 6,Ballots Cast,,,,,,,,464
St. Lawrence,Massena 7,Ballots Cast,,,,,,,,410
St. Lawrence,Massena 8,Ballots Cast,,,,,,,,345
St. Lawrence,Morristown 1,Ballots Cast,,,,,,,,275
St. Lawrence,Morristown 2,Ballots Cast,,,,,,,,458
St. Lawrence,Norfolk 1,Ballots Cast,,,,,,,,419
St. Lawrence,Norfolk 2,Ballots Cast,,,,,,,,479
St. Lawrence,Norfolk 3,Ballots Cast,,,,,,,,458
St. Lawrence,Oswegatchie 1,Ballots Cast,,,,,,,,657
St. Lawrence,Oswegatchie 2,Ballots Cast,,,,,,,,559
St. Lawrence,Oswegatchie 3,Ballots Cast,,,,,,,,287
St. Lawrence,Parishville 1,Ballots Cast,,,,,,,,346
St. Lawrence,Parishville 2,Ballots Cast,,,,,,,,470
St. Lawrence,Piercefield 1,Ballots Cast,,,,,,,,122
St. Lawrence,Pierrepont 1,Ballots Cast,,,,,,,,617
St. Lawrence,Pierrepont 2,Ballots Cast,,,,,,,,504
St. Lawrence,Pitcairn 1,Ballots Cast,,,,,,,,262
St. Lawrence,Potsdam 1,Ballots Cast,,,,,,,,577
St. Lawrence,Potsdam 2,Ballots Cast,,,,,,,,465
St. Lawrence,Potsdam 3,Ballots Cast,,,,,,,,394
St. Lawrence,Potsdam 4,Ballots Cast,,,,,,,,540
St. Lawrence,Potsdam 5,Ballots Cast,,,,,,,,519
St. Lawrence,Potsdam 6,Ballots Cast,,,,,,,,446
St. Lawrence,Potsdam 7,Ballots Cast,,,,,,,,449
St. Lawrence,Potsdam 8,Ballots Cast,,,,,,,,597
St. Lawrence,Rossie 1,Ballots Cast,,,,,,,,233
St. Lawrence,Russell 1,Ballots Cast,,,,,,,,599
St. Lawrence,Stockholm 1,Ballots Cast,,,,,,,,532
St. Lawrence,Stockholm 2,Ballots Cast,,,,,,,,451
St. Lawrence,Stockholm 3,Ballots Cast,,,,,,,,256
St. Lawrence,Waddington 1,Ballots Cast,,,,,,,,447
St. Lawrence,Waddington 2,Ballots Cast,,,,,,,,530
St. Lawrence,Ogdensburg 1,Ballots Cast,,,,,,,,412
St. Lawrence,Ogdensburg 2,Ballots Cast,,,,,,,,413
St. Lawrence,Ogdensburg 3,Ballots Cast,,,,,,,,596
St. Lawrence,Ogdensburg 4,Ballots Cast,,,,,,,,503
St. Lawrence,Ogdensburg 5,Ballots Cast,,,,,,,,427
St. Lawrence,Ogdensburg 6,Ballots Cast,,,,,,,,522
St. Lawrence,Brasher 1,Registered Voters,,,,,,,,608
St. Lawrence,Brasher 2,Registered Voters,,,,,,,,794
St. Lawrence,Canton 1,Registered Voters,,,,,,,,898
St. Lawrence,Canton 2,Registered Voters,,,,,,,,907
St. Lawrence,Canton 3,Registered Voters,,,,,,,,695
St. Lawrence,Canton 4,Registered Voters,,,,,,,,180
St. Lawrence,Canton 5,Registered Voters,,,,,,,,447
St. Lawrence,Canton 6,Registered Voters,,,,,,,,808
St. Lawrence,Canton 7,Registered Voters,,,,,,,,311
St. Lawrence,Canton 8,Registered Voters,,,,,,,,975
St. Lawrence,Clare 1,Registered Voters,,,,,,,,75
St. Lawrence,Clifton 1,Registered Voters,,,,,,,,241
St. Lawrence,Clifton 2,Registered Voters,,,,,,,,205
St. Lawrence,Colton 1,Registered Voters,,,,,,,,1121
St. Lawrence,DeKalb 1,Registered Voters,,,,,,,,667
St. Lawrence,DeKalb 2,Registered Voters,,,,,,,,505
St. Lawrence,DePeyster 1,Registered Voters,,,,,,,,355
St. Lawrence,Edwards 1,Registered Voters,,,,,,,,625
St. Lawrence,Fine 1,Registered Voters,,,,,,,,875
St. Lawrence,Fowler 1,Registered Voters,,,,,,,,596
St. Lawrence,Fowler 2,Registered Voters,,,,,,,,761
St. Lawrence,Gouverneur 1,Registered Voters,,,,,,,,864
St. Lawrence,Gouverneur 2,Registered Voters,,,,,,,,913
St. Lawrence,Gouverneur 3,Registered Voters,,,,,,,,503
St. Lawrence,Gouverneur 4,Registered Voters,,,,,,,,614
St. Lawrence,Hammond 1,Registered Voters,,,,,,,,816
St. Lawrence,Hermon 1,Registered Voters,,,,,,,,653
St. Lawrence,Hopkinton 1,Registered Voters,,,,,,,,685
St. Lawrence,Lawrence 1,Registered Voters,,,,,,,,944
St. Lawrence,Lisbon 1,Registered Voters,,,,,,,,865
St. Lawrence,Lisbon 2,Registered Voters,,,,,,,,721
St. Lawrence,Lisbon 3,Registered Voters,,,,,,,,824
St. Lawrence,Louisville 1,Registered Voters,,,,,,,,647
St. Lawrence,Louisville 2,Registered Voters,,,,,,,,662
St. Lawrence,Louisville 3,Registered Voters,,,,,,,,470
St. Lawrence,Louisville 4,Registered Voters,,,,,,,,330
St. Lawrence,Macomb 1,Registered Voters,,,,,,,,536
St. Lawrence,Madrid 1,Registered Voters,,,,,,,,1014
St. Lawrence,Massena 1,Registered Voters,,,,,,,,1124
St. Lawrence,Massena 2,Registered Voters,,,,,,,,996
St. Lawrence,Massena 3,Registered Voters,,,,,,,,910
St. Lawrence,Massena 4,Registered Voters,,,,,,,,474
St. Lawrence,Massena 5,Registered Voters,,,,,,,,957
St. Lawrence,Massena 6,Registered Voters,,,,,,,,885
St. Lawrence,Massena 7,Registered Voters,,,,,,,,730
St. Lawrence,Massena 8,Registered Voters,,,,,,,,630
St. Lawrence,Morristown 1,Registered Voters,,,,,,,,480
St. Lawrence,Morristown 2,Registered Voters,,,,,,,,716
St. Lawrence,Norfolk 1,Registered Voters,,,,,,,,794
St. Lawrence,Norfolk 2,Registered Voters,,,,,,,,956
St. Lawrence,Norfolk 3,Registered Voters,,,,,,,,839
St. Lawrence,Oswegatchie 1,Registered Voters,,,,,,,,1138
St. Lawrence,Oswegatchie 2,Registered Voters,,,,,,,,939
St. Lawrence,Oswegatchie 3,Registered Voters,,,,,,,,445
St. Lawrence,Parishville 1,Registered Voters,,,,,,,,542
St. Lawrence,Parishville 2,Registered Voters,,,,,,,,835
St. Lawrence,Piercefield 1,Registered Voters,,,,,,,,196
St. Lawrence,Pierrepont 1,Registered Voters,,,,,,,,1020
St. Lawrence,Pierrepont 2,Registered Voters,,,,,,,,778
St. Lawrence,Pitcairn 1,Registered Voters,,,,,,,,503
St. Lawrence,Potsdam 1,Registered Voters,,,,,,,,892
St. Lawrence,Potsdam 2,Registered Voters,,,,,,,,770
St. Lawrence,Potsdam 3,Registered Voters,,,,,,,,668
St. Lawrence,Potsdam 4,Registered Voters,,,,,,,,940
St. Lawrence,Potsdam 5,Registered Voters,,,,,,,,816
St. Lawrence,Potsdam 6,Registered Voters,,,,,,,,920
St. Lawrence,Potsdam 7,Registered Voters,,,,,,,,713
St. Lawrence,Potsdam 8,Registered Voters,,,,,,,,957
St. Lawrence,Rossie 1,Registered Voters,,,,,,,,412
St. Lawrence,Russell 1,Registered Voters,,,,,,,,1148
St. Lawrence,Stockholm 1,Registered Voters,,,,,,,,924
St. Lawrence,Stockholm 2,Registered Voters,,,,,,,,786
St. Lawrence,Stockholm 3,Registered Voters,,,,,,,,467
St. Lawrence,Waddington 1,Registered Voters,,,,,,,,684
St. Lawrence,Waddington 2,Registered Voters,,,,,,,,893
St. Lawrence,Ogdensburg 1,Registered Voters,,,,,,,,809
St. Lawrence,Ogdensburg 2,Registered Voters,,,,,,,,934
St. Lawrence,Ogdensburg 3,Registered Voters,,,,,,,,1038
St. Lawrence,Ogdensburg 4,Registered Voters,,,,,,,,921
St. Lawrence,Ogdensburg 5,Registered Voters,,,,,,,,878
St. Lawrence,Ogdensburg 6,Registered Voters,,,,,,,,898
St. Lawrence,Brasher 1,Governor,,CON,Marc Molinaro,19,0,0,0,19
St. Lawrence,Brasher 1,Governor,,DEM,Andrew M. Cuomo,72,4,0,0,76
St. Lawrence,Brasher 1,Governor,,GRE,Howie Hawkins,4,0,0,0,4
St. Lawrence,Brasher 1,Governor,,IND,Andrew M. Cuomo,2,0,0,0,2
St. Lawrence,Brasher 1,Governor,,LBT,Larry Sharpe,18,0,0,0,18
St. Lawrence,Brasher 1,Governor,,REF,Marc Molinaro,4,0,0,0,4
St. Lawrence,Brasher 1,Governor,,REP,Marc Molinaro,143,2,0,0,145
St. Lawrence,Brasher 1,Governor,,SAM,Stephanie A. Miner,1,0,0,0,1
St. Lawrence,Brasher 1,Governor,,WEP,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Brasher 1,Governor,,WOR,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Brasher 2,Governor,,CON,Marc Molinaro,20,1,0,0,21
St. Lawrence,Brasher 2,Governor,,DEM,Andrew M. Cuomo,110,12,0,2,124
St. Lawrence,Brasher 2,Governor,,GRE,Howie Hawkins,11,0,0,0,11
St. Lawrence,Brasher 2,Governor,,IND,Andrew M. Cuomo,4,0,0,0,4
St. Lawrence,Brasher 2,Governor,,LBT,Larry Sharpe,42,0,0,0,42
St. Lawrence,Brasher 2,Governor,,REF,Marc Molinaro,3,0,0,0,3
St. Lawrence,Brasher 2,Governor,,REP,Marc Molinaro,201,10,0,1,212
St. Lawrence,Brasher 2,Governor,,SAM,Stephanie A. Miner,9,0,0,0,9
St. Lawrence,Brasher 2,Governor,,WEP,Andrew M. Cuomo,2,2,0,0,4
