county,precinct,office,district,party,candidate,election_day,absentee
Herkimer,City of Little Falls Ward 1 1 LD 12,Lieutenant Governor,,DEM,Blank,13,
Herkimer,City of Little Falls Ward 1 1 LD 12,Lieutenant Governor,,DEM,Jumaane Williams,20,1
Herkimer,City of Little Falls Ward 1 1 LD 12,Lieutenant Governor,,DEM,Kathy C. Hochul,21,6
Herkimer,City of Little Falls Ward 1 1 LD 12,Lieutenant Governor,,DEM,Void,0,
Herkimer,City of Little Falls Ward 1 1 LD 12,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 2 1 LD 12,Lieutenant Governor,,DEM,Blank,5,
Herkimer,City of Little Falls Ward 2 1 LD 12,Lieutenant Governor,,DEM,Jumaane Williams,15,1
Herkimer,City of Little Falls Ward 2 1 LD 12,Lieutenant Governor,,DEM,Kathy C. Hochul,39,8
Herkimer,City of Little Falls Ward 2 1 LD 12,Lieutenant Governor,,DEM,Void,2,
Herkimer,City of Little Falls Ward 2 1 LD 12,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 3 1 LD 12,Lieutenant Governor,,DEM,Blank,2,
Herkimer,City of Little Falls Ward 3 1 LD 12,Lieutenant Governor,,DEM,Jumaane Williams,3,1
Herkimer,City of Little Falls Ward 3 1 LD 12,Lieutenant Governor,,DEM,Kathy C. Hochul,7,4
Herkimer,City of Little Falls Ward 3 1 LD 12,Lieutenant Governor,,DEM,Void,1,
Herkimer,City of Little Falls Ward 3 1 LD 12,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 3 2 LD 10,Lieutenant Governor,,DEM,Blank,2,
Herkimer,City of Little Falls Ward 3 2 LD 10,Lieutenant Governor,,DEM,Jumaane Williams,9,0
Herkimer,City of Little Falls Ward 3 2 LD 10,Lieutenant Governor,,DEM,Kathy C. Hochul,13,0
Herkimer,City of Little Falls Ward 3 2 LD 10,Lieutenant Governor,,DEM,Void,0,
Herkimer,City of Little Falls Ward 3 2 LD 10,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 4 1 LD 12,Lieutenant Governor,,DEM,Blank,10,
