county,office,district,precinct,candidate,party,votes
Niagara,Governor,,Cambria 000  : 001,Andrew M. Cuomo ,DEM,119
Niagara,Governor,,Cambria 000  : 002,Andrew M. Cuomo ,DEM,146
Niagara,Governor,,Cambria 000  : 003,Andrew M. Cuomo ,DEM,149
Niagara,Governor,,Cambria 000  : 004,Andrew M. Cuomo ,DEM,180
Niagara,Governor,,City of Lockport 001 : 001,Andrew M. Cuomo ,DEM,140
Niagara,Governor,,City of Lockport 001 : 002,Andrew M. Cuomo ,DEM,119
Niagara,Governor,,City of Lockport 001 : 003,Andrew M. Cuomo ,DEM,166
Niagara,Governor,,City of Lockport 001 : 004,Andrew M. Cuomo ,DEM,52
Niagara,Governor,,City of Lockport 002 : 001,Andrew M. Cuomo ,DEM,117
Niagara,Governor,,City of Lockport 002 : 002,Andrew M. Cuomo ,DEM,147
Niagara,Governor,,City of Lockport 002 : 003,Andrew M. Cuomo ,DEM,154
Niagara,Governor,,City of Lockport 002 : 004,Andrew M. Cuomo ,DEM,211
Niagara,Governor,,City of Lockport 003 : 001,Andrew M. Cuomo ,DEM,160
Niagara,Governor,,City of Lockport 003 : 002,Andrew M. Cuomo ,DEM,123
Niagara,Governor,,City of Lockport 003 : 003,Andrew M. Cuomo ,DEM,125
Niagara,Governor,,City of Lockport 004 : 001,Andrew M. Cuomo ,DEM,111
Niagara,Governor,,City of Lockport 004 : 002,Andrew M. Cuomo ,DEM,119
Niagara,Governor,,City of Lockport 004 : 003,Andrew M. Cuomo ,DEM,177
Niagara,Governor,,City of Lockport 004 : 004,Andrew M. Cuomo ,DEM,96
Niagara,Governor,,City of Lockport 005 : 001,Andrew M. Cuomo ,DEM,122
Niagara,Governor,,City of Lockport 005 : 002,Andrew M. Cuomo ,DEM,132
Niagara,Governor,,City of Lockport 005 : 003,Andrew M. Cuomo ,DEM,249
Niagara,Governor,,City of Lockport 005 : 004,Andrew M. Cuomo ,DEM,119
Niagara,Governor,,Hartland 000 : 001,Andrew M. Cuomo ,DEM,94
Niagara,Governor,,Hartland 000 : 002,Andrew M. Cuomo ,DEM,109
Niagara,Governor,,Hartland 000 : 003,Andrew M. Cuomo ,DEM,91
Niagara,Governor,,Lewiston 000 : 001,Andrew M. Cuomo ,DEM,152
Niagara,Governor,,Lewiston 000 : 002,Andrew M. Cuomo ,DEM,200
Niagara,Governor,,Lewiston 000 : 003,Andrew M. Cuomo ,DEM,185
Niagara,Governor,,Lewiston 000 : 004,Andrew M. Cuomo ,DEM,199
Niagara,Governor,,Lewiston 000 : 005,Andrew M. Cuomo ,DEM,221
