candidate,office,county,district,party,precinct,votes,winner
"John M. De Vito, Jr.",State Senate,Suffolk,3,DEM,,1390,
Joseph L. Fritz,State Senate,Suffolk,3,DEM,,1012,
Ricardo Montano,State Senate,Suffolk,3,DEM,,898,
Laurence S. Hirsh,State Senate,Nassau,9,GRE,,23,
Todd Kaminsky,State Senate,Nassau,9,GRE,,16,
"James Sanders, Jr.",State Senate,Queens,10,DEM,,5495,
Adrienne E. Adams,State Senate,Queens,10,DEM,,3988,
Toby Ann Stavisky,State Senate,Queens,16,DEM,,5690,
S. J. Jung,State Senate,Queens,16,DEM,,3966,
Debbie Medina,State Senate,Kings,18,DEM,,3988,
Martin Malave Dilan,State Senate,Kings,18,DEM,,5844,
Mercedes Narcisse,State Senate,Kings,19,DEM,,3284,
Roxanne J. Persaud,State Senate,Kings,19,DEM,,10358,
Michael G. Cox,State Senate,Kings,25,DEM,,4719,
Velmanette Montgomery,State Senate,Kings,25,DEM,,10579,
Michael Zumbluskas,State Senate,New York,28,WEP,,2,
Robert Jackson,State Senate,New York,31,DEM,,7936,
Marisol Alcantara,State Senate,New York,31,DEM,,8469,
Micah Lasher,State Senate,New York,31,DEM,,8175,
Luis Tejada,State Senate,New York,31,DEM,,1316,
"Ruben Diaz, Sr.",State Senate,Bronx,32,DEM,,8557,
Elliot Quinones,State Senate,Bronx,32,DEM,,1069,
J. Gustavo Rivera,State Senate,Bronx,33,DEM,,6036,
Fernando Cabrera,State Senate,Bronx,33,DEM,,3549,
Edward A. Mulraine,State Senate,Bronx,36,DEM,,1186,
Edward A. Mulraine,State Senate,Westchester,36,DEM,,1317,
Edward A. Mulraine,State Senate,,36,DEM,,2503,
Jamaal T. Bailey,State Senate,Bronx,36,DEM,,6938,
Jamaal T. Bailey,State Senate,Westchester,36,DEM,,1691,
Jamaal T. Bailey,State Senate,,36,DEM,,8629,1
Alvin Ponder,State Senate,Bronx,36,DEM,,824,
Alvin Ponder,State Senate,Westchester,36,DEM,,108,
Alvin Ponder,State Senate,,36,DEM,,932,
Pamela A. Hamilton-Johnson,State Senate,Bronx,36,DEM,,1777,
Pamela A. Hamilton-Johnson,State Senate,Westchester,36,DEM,,493,
Pamela A. Hamilton-Johnson,State Senate,,36,DEM,,2270,
Que English,State Senate,Bronx,36,DEM,,882,
Que English,State Senate,Westchester,36,DEM,,293,
Que English,State Senate,,36,DEM,,1175,
Christopher W. Eachus,State Senate,Orange,39,WOR,,50,
Christopher W. Eachus,State Senate,Rockland,39,WOR,,7,
Christopher W. Eachus,State Senate,Ulster,39,WOR,,2,
Christopher W. Eachus,State Senate,,39,WOR,,59,1
Aron B. Weider,State Senate,Orange,39,WOR,,16,
Aron B. Weider,State Senate,Rockland,39,WOR,,0,
