county,precinct,office,district,party,candidate,total,machine_votes,absentee,absentee_hc,affidavit
St. Lawrence,Brasher 1,,,,Ballots Cast,374,353,17,,4
St. Lawrence,Brasher 2,,,,Ballots Cast,519,479,28,,12
St. Lawrence,Canton 1,,,,Ballots Cast,654,570,70,,14
St. Lawrence,Canton 2,,,,Ballots Cast,638,549,86,,3
St. Lawrence,Canton 3,,,,Ballots Cast,516,424,84,,8
St. Lawrence,Canton 4,,,,Ballots Cast,113,105,6,,2
St. Lawrence,Canton 5,,,,Ballots Cast,308,279,26,,3
St. Lawrence,Canton 6,,,,Ballots Cast,528,481,33,,14
St. Lawrence,Canton 7,,,,Ballots Cast,217,191,24,,2
St. Lawrence,Canton 8,,,,Ballots Cast,667,587,72,,8
St. Lawrence,Clare 1,,,,Ballots Cast,50,50,0,,0
St. Lawrence,Clifton 1,,,,Ballots Cast,142,130,6,,6
St. Lawrence,Clifton 2,,,,Ballots Cast,153,129,24,,0
St. Lawrence,Colton 1,,,,Ballots Cast,833,712,108,,13
St. Lawrence,DeKalb 1,,,,Ballots Cast,479,439,34,,6
St. Lawrence,DeKalb 2,,,,Ballots Cast,336,319,13,,4
St. Lawrence,DePeyster 1,,,,Ballots Cast,241,224,16,,1
St. Lawrence,Edwards 1,,,,Ballots Cast,404,388,15,,1
St. Lawrence,Fine 1,,,,Ballots Cast,574,535,36,,3
St. Lawrence,Fowler 1,,,,Ballots Cast,399,371,23,,5
St. Lawrence,Fowler 2,,,,Ballots Cast,513,455,52,,6
St. Lawrence,Gouverneur 1,,,,Ballots Cast,535,488,41,,6
St. Lawrence,Gouverneur 2,,,,Ballots Cast,526,490,27,,9
St. Lawrence,Gouverneur 3,,,,Ballots Cast,314,301,12,,1
St. Lawrence,Gouverneur 4,,,,Ballots Cast,425,398,22,,5
St. Lawrence,Hammond 1,,,,Ballots Cast,605,524,77,,4
St. Lawrence,Hermon 1,,,,Ballots Cast,446,404,40,,2
St. Lawrence,Hopkinton 1,,,,Ballots Cast,457,437,13,,7
St. Lawrence,Lawrence 1,,,,Ballots Cast,647,611,29,,7
St. Lawrence,Lisbon 1,,,,Ballots Cast,587,536,43,,8
St. Lawrence,Lisbon 2,,,,Ballots Cast,474,441,28,,5
St. Lawrence,Lisbon 3,,,,Ballots Cast,529,480,43,,6
St. Lawrence,Louisville 1,,,,Ballots Cast,450,399,43,,8
St. Lawrence,Louisville 2,,,,Ballots Cast,457,416,37,,4
St. Lawrence,Louisville 3,,,,Ballots Cast,362,312,46,,4
St. Lawrence,Louisville 4,,,,Ballots Cast,250,219,29,,2
St. Lawrence,Macomb 1,,,,Ballots Cast,386,348,36,,2
St. Lawrence,Madrid 1,,,,Ballots Cast,692,648,38,,6
St. Lawrence,Massena 1,,,,Ballots Cast,833,744,82,,7
St. Lawrence,Massena 2,,,,Ballots Cast,629,565,56,,8
St. Lawrence,Massena 3,,,,Ballots Cast,571,509,47,,15
St. Lawrence,Massena 4,,,,Ballots Cast,276,256,17,,3
St. Lawrence,Massena 5,,,,Ballots Cast,610,555,43,,12
St. Lawrence,Massena 6,,,,Ballots Cast,559,508,39,,12
St. Lawrence,Massena 7,,,,Ballots Cast,472,435,33,,4
St. Lawrence,Massena 8,,,,Ballots Cast,420,376,39,,5
St. Lawrence,Morristown 1,,,,Ballots Cast,314,267,45,,2
St. Lawrence,Morristown 2,,,,Ballots Cast,548,497,49,,2
St. Lawrence,Norfolk 1,,,,Ballots Cast,508,471,29,,8
St. Lawrence,Norfolk 2,,,,Ballots Cast,610,551,46,,13
St. Lawrence,Norfolk 3,,,,Ballots Cast,534,485,40,,9
St. Lawrence,Oswegatchie 1,,,,Ballots Cast,748,678,61,,9
St. Lawrence,Oswegatchie 2,,,,Ballots Cast,655,583,61,,11
St. Lawrence,Oswegatchie 3,,,,Ballots Cast,323,292,25,,6
St. Lawrence,Parishville 1,,,,Ballots Cast,378,343,27,,8
St. Lawrence,Parishville 2,,,,Ballots Cast,522,480,33,,9
