county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes
New York,029/74,U.S. House,7,Democratic,Yungman F. Lee,8,38,0,2,0,1
New York,029/74,U.S. House,7,Democratic,Nydia M. Velazquez,32,38,0,2,0,1
New York,036/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,6,85,0,0,0,0,1
New York,036/65,U.S. House,7,Democratic,Yungman F. Lee,41,85,0,0,0,0,1
New York,036/65,U.S. House,7,Democratic,Nydia M. Velazquez,37,85,0,0,0,0,1
New York,013/74,U.S. House,7,Democratic,Jeffrey M. Kurzon,2,39,0,0,0,0
New York,013/74,U.S. House,7,Democratic,Yungman F. Lee,11,39,0,0,0,0
New York,013/74,U.S. House,7,Democratic,Nydia M. Velazquez,26,39,0,0,0,0
New York,038/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,1,72,0,2,0,0,1
New York,038/65,U.S. House,7,Democratic,Yungman F. Lee,36,72,0,2,0,0,1
New York,038/65,U.S. House,7,Democratic,Nydia M. Velazquez,36,72,0,2,0,0,1
New York,047/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,18,103,0,2,1,0
New York,047/65,U.S. House,7,Democratic,Yungman F. Lee,24,103,0,2,1,0
New York,047/65,U.S. House,7,Democratic,Nydia M. Velazquez,64,103,0,2,1,0
New York,001/74,U.S. House,7,Democratic,Jeffrey M. Kurzon,2,36,0,1,0,0
New York,001/74,U.S. House,7,Democratic,Yungman F. Lee,10,36,0,1,0,0
New York,001/74,U.S. House,7,Democratic,Nydia M. Velazquez,25,36,0,1,0,0
New York,022/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,5,70,0,6,3,1
New York,022/65,U.S. House,7,Democratic,Yungman F. Lee,69,70,0,6,3,1
New York,022/65,U.S. House,7,Democratic,Nydia M. Velazquez,6,70,0,6,3,1
New York,059/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,3,45,0,0,0,0
New York,059/65,U.S. House,7,Democratic,Yungman F. Lee,35,45,0,0,0,0
New York,059/65,U.S. House,7,Democratic,Nydia M. Velazquez,7,45,0,0,0,0
New York,006/74,U.S. House,7,Democratic,Jeffrey M. Kurzon,4,43,0,0,0,0
New York,006/74,U.S. House,7,Democratic,Yungman F. Lee,10,43,0,0,0,0
New York,006/74,U.S. House,7,Democratic,Nydia M. Velazquez,29,43,0,0,0,0
New York,094/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,0,0,0,0,0,0
New York,094/65,U.S. House,7,Democratic,Yungman F. Lee,0,0,0,0,0,0
New York,094/65,U.S. House,7,Democratic,Nydia M. Velazquez,0,0,0,0,0,0
New York,074/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,5,69,0,2,0,0
New York,074/65,U.S. House,7,Democratic,Yungman F. Lee,24,69,0,2,0,0
New York,074/65,U.S. House,7,Democratic,Nydia M. Velazquez,42,69,0,2,0,0
New York,035/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,0,62,0,0,0,0
New York,035/65,U.S. House,7,Democratic,Yungman F. Lee,37,62,0,0,0,0
New York,035/65,U.S. House,7,Democratic,Nydia M. Velazquez,25,62,0,0,0,0
New York,051/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,18,77,0,4,0,0,1
New York,051/65,U.S. House,7,Democratic,Yungman F. Lee,20,77,0,4,0,0,1
New York,051/65,U.S. House,7,Democratic,Nydia M. Velazquez,42,77,0,4,0,0,1
New York,034/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,3,73,0,0,0,0
New York,034/65,U.S. House,7,Democratic,Yungman F. Lee,50,73,0,0,0,0
New York,034/65,U.S. House,7,Democratic,Nydia M. Velazquez,20,73,0,0,0,0
New York,058/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,4,36,0,0,0,0
New York,058/65,U.S. House,7,Democratic,Yungman F. Lee,26,36,0,0,0,0
New York,058/65,U.S. House,7,Democratic,Nydia M. Velazquez,6,36,0,0,0,0
New York,025/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,0,35,0,1,0,0
New York,025/65,U.S. House,7,Democratic,Yungman F. Lee,31,35,0,1,0,0
New York,025/65,U.S. House,7,Democratic,Nydia M. Velazquez,5,35,0,1,0,0
New York,064/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,2,44,0,3,0,0
New York,064/65,U.S. House,7,Democratic,Yungman F. Lee,36,44,0,3,0,0
New York,064/65,U.S. House,7,Democratic,Nydia M. Velazquez,9,44,0,3,0,0
New York,039/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,1,50,0,1,1,0
New York,039/65,U.S. House,7,Democratic,Yungman F. Lee,24,50,0,1,1,0
New York,039/65,U.S. House,7,Democratic,Nydia M. Velazquez,26,50,0,1,1,0
New York,043/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,1,63,0,4,0,0
New York,043/65,U.S. House,7,Democratic,Yungman F. Lee,26,63,0,4,0,0
New York,043/65,U.S. House,7,Democratic,Nydia M. Velazquez,40,63,0,4,0,0
New York,014/74,U.S. House,7,Democratic,Jeffrey M. Kurzon,6,40,0,1,0,1
New York,014/74,U.S. House,7,Democratic,Yungman F. Lee,3,40,0,1,0,1
New York,014/74,U.S. House,7,Democratic,Nydia M. Velazquez,32,40,0,1,0,1
New York,044/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,31,142,0,3,0,0
New York,044/65,U.S. House,7,Democratic,Yungman F. Lee,36,142,0,3,0,0
New York,044/65,U.S. House,7,Democratic,Nydia M. Velazquez,77,142,0,3,0,0
New York,065/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,3,25,0,0,1,0
New York,065/65,U.S. House,7,Democratic,Yungman F. Lee,15,25,0,0,1,0
New York,065/65,U.S. House,7,Democratic,Nydia M. Velazquez,8,25,0,0,1,0
New York,045/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,38,154,0,1,0,0,1
New York,045/65,U.S. House,7,Democratic,Yungman F. Lee,35,154,0,1,0,0,1
New York,045/65,U.S. House,7,Democratic,Nydia M. Velazquez,80,154,0,1,0,0,1
New York,027/74,U.S. House,7,Democratic,Jeffrey M. Kurzon,3,31,0,0,0,1
New York,027/74,U.S. House,7,Democratic,Yungman F. Lee,1,31,0,0,0,1
New York,027/74,U.S. House,7,Democratic,Nydia M. Velazquez,28,31,0,0,0,1
New York,061/65,U.S. House,7,Democratic,Jeffrey M. Kurzon,4,69,0,0,0,0,1
New York,061/65,U.S. House,7,Democratic,Yungman F. Lee,44,69,0,0,0,0,1
