county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
New York,082/72,President,,Libertarian,Gary Johnson / Bill Weld,0,0,,0,0,0,,0,0
New York,082/72,President,,Independence,Gary Johnson / Bill Weld,0,0,,0,0,0,,0,0
New York,082/72,President,,Working Families,Hillary Clinton / Tim Kaine,0,0,,0,0,0,,0,0
New York,082/72,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,0,,0,0,0,,0,0
New York,082/72,President,,Democratic,Hillary Clinton / Tim Kaine,0,0,,0,0,0,,0,0
New York,082/72,President,,Republican,Donald J. Trump / Michael R. Pence,0,0,,0,0,0,,0,0
New York,082/72,President,,Conservative,Donald J. Trump / Michael R. Pence,0,0,,0,0,0,,0,0
New York,082/72,President,,Green,Jill Stein / Ajamu Baraka,0,0,,0,0,0,,0,0
New York,082/73,President,,Libertarian,Gary Johnson / Bill Weld,10,805,,63,18,12,10,0,0
New York,082/73,President,,Independence,Gary Johnson / Bill Weld,13,805,,63,18,12,10,0,0
New York,082/73,President,,Working Families,Hillary Clinton / Tim Kaine,10,805,,63,18,12,10,0,0
New York,082/73,President,,Women's Equality,Hillary Clinton / Tim Kaine,7,805,,63,18,12,10,0,0
New York,082/73,President,,Democratic,Hillary Clinton / Tim Kaine,670,805,,63,18,12,10,0,0
New York,082/73,President,,Republican,Donald J. Trump / Michael R. Pence,155,805,,63,18,12,10,0,0
New York,082/73,President,,Conservative,Donald J. Trump / Michael R. Pence,6,805,,63,18,12,10,0,0
New York,082/73,President,,Green,Jill Stein / Ajamu Baraka,4,805,,63,18,12,10,0,0
New York,004/74,President,,Libertarian,Gary Johnson / Bill Weld,1,420,,3,1,25,2,0,0
New York,004/74,President,,Independence,Gary Johnson / Bill Weld,0,420,,3,1,25,2,0,0
New York,004/74,President,,Working Families,Hillary Clinton / Tim Kaine,8,420,,3,1,25,2,0,0
New York,004/74,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,420,,3,1,25,2,0,0
New York,004/74,President,,Democratic,Hillary Clinton / Tim Kaine,415,420,,3,1,25,2,0,0
New York,004/74,President,,Republican,Donald J. Trump / Michael R. Pence,18,420,,3,1,25,2,0,0
New York,004/74,President,,Conservative,Donald J. Trump / Michael R. Pence,1,420,,3,1,25,2,0,0
New York,004/74,President,,Green,Jill Stein / Ajamu Baraka,2,420,,3,1,25,2,0,0
New York,004/75,President,,Libertarian,Gary Johnson / Bill Weld,4,642,,47,13,26,7,0,0
New York,004/75,President,,Independence,Gary Johnson / Bill Weld,5,642,,47,13,26,7,0,0
New York,004/75,President,,Working Families,Hillary Clinton / Tim Kaine,25,642,,47,13,26,7,0,0
New York,004/75,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,642,,47,13,26,7,0,0
New York,004/75,President,,Democratic,Hillary Clinton / Tim Kaine,620,642,,47,13,26,7,0,0
New York,004/75,President,,Republican,Donald J. Trump / Michael R. Pence,43,642,,47,13,26,7,0,0
New York,004/75,President,,Conservative,Donald J. Trump / Michael R. Pence,8,642,,47,13,26,7,0,0
New York,004/75,President,,Green,Jill Stein / Ajamu Baraka,12,642,,47,13,26,7,0,0
New York,004/76,President,,Libertarian,Gary Johnson / Bill Weld,3,541,,35,8,8,12,0,0
New York,004/76,President,,Independence,Gary Johnson / Bill Weld,4,541,,35,8,8,12,0,0
New York,004/76,President,,Working Families,Hillary Clinton / Tim Kaine,3,541,,35,8,8,12,0,0
New York,004/76,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,541,,35,8,8,12,0,0
New York,004/76,President,,Democratic,Hillary Clinton / Tim Kaine,447,541,,35,8,8,12,0,0
New York,004/76,President,,Republican,Donald J. Trump / Michael R. Pence,111,541,,35,8,8,12,0,0
New York,004/76,President,,Conservative,Donald J. Trump / Michael R. Pence,1,541,,35,8,8,12,0,0
New York,004/76,President,,Green,Jill Stein / Ajamu Baraka,2,541,,35,8,8,12,0,0
New York,025/76,President,,Libertarian,Gary Johnson / Bill Weld,3,735,,50,15,19,7,0,0
New York,025/76,President,,Independence,Gary Johnson / Bill Weld,14,735,,50,15,19,7,0,0
New York,025/76,President,,Working Families,Hillary Clinton / Tim Kaine,5,735,,50,15,19,7,0,0
New York,025/76,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,735,,50,15,19,7,0,0
New York,025/76,President,,Democratic,Hillary Clinton / Tim Kaine,640,735,,50,15,19,7,0,0
New York,025/76,President,,Republican,Donald J. Trump / Michael R. Pence,123,735,,50,15,19,7,0,0
New York,025/76,President,,Conservative,Donald J. Trump / Michael R. Pence,12,735,,50,15,19,7,0,0
New York,025/76,President,,Green,Jill Stein / Ajamu Baraka,6,735,,50,15,19,7,0,0
New York,004/70,President,,Libertarian,Gary Johnson / Bill Weld,3,675,,23,4,23,5,0,0
New York,004/70,President,,Independence,Gary Johnson / Bill Weld,1,675,,23,4,23,5,0,0
New York,004/70,President,,Working Families,Hillary Clinton / Tim Kaine,22,675,,23,4,23,5,0,0
New York,004/70,President,,Women's Equality,Hillary Clinton / Tim Kaine,4,675,,23,4,23,5,0,0
New York,004/70,President,,Democratic,Hillary Clinton / Tim Kaine,661,675,,23,4,23,5,0,0
New York,004/70,President,,Republican,Donald J. Trump / Michael R. Pence,8,675,,23,4,23,5,0,0
New York,004/70,President,,Conservative,Donald J. Trump / Michael R. Pence,1,675,,23,4,23,5,0,0
New York,004/70,President,,Green,Jill Stein / Ajamu Baraka,17,675,,23,4,23,5,0,0
New York,004/71,President,,Libertarian,Gary Johnson / Bill Weld,0,386,,22,1,20,4,0,0
New York,004/71,President,,Independence,Gary Johnson / Bill Weld,1,386,,22,1,20,4,0,0
New York,004/71,President,,Working Families,Hillary Clinton / Tim Kaine,11,386,,22,1,20,4,0,0
New York,004/71,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,386,,22,1,20,4,0,0
New York,004/71,President,,Democratic,Hillary Clinton / Tim Kaine,377,386,,22,1,20,4,0,0
New York,004/71,President,,Republican,Donald J. Trump / Michael R. Pence,22,386,,22,1,20,4,0,0
New York,004/71,President,,Conservative,Donald J. Trump / Michael R. Pence,0,386,,22,1,20,4,0,0
New York,004/71,President,,Green,Jill Stein / Ajamu Baraka,4,386,,22,1,20,4,0,0
New York,004/72,President,,Libertarian,Gary Johnson / Bill Weld,2,595,,19,1,29,2,0,0
New York,004/72,President,,Independence,Gary Johnson / Bill Weld,1,595,,19,1,29,2,0,0
New York,004/72,President,,Working Families,Hillary Clinton / Tim Kaine,7,595,,19,1,29,2,0,0
New York,004/72,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,595,,19,1,29,2,0,0
New York,004/72,President,,Democratic,Hillary Clinton / Tim Kaine,590,595,,19,1,29,2,0,0
New York,004/72,President,,Republican,Donald J. Trump / Michael R. Pence,29,595,,19,1,29,2,0,0
New York,004/72,President,,Conservative,Donald J. Trump / Michael R. Pence,1,595,,19,1,29,2,0,0
New York,004/72,President,,Green,Jill Stein / Ajamu Baraka,8,595,,19,1,29,2,0,0
New York,004/73,President,,Libertarian,Gary Johnson / Bill Weld,5,390,,29,11,13,8,0,0
New York,004/73,President,,Independence,Gary Johnson / Bill Weld,5,390,,29,11,13,8,0,0
New York,004/73,President,,Working Families,Hillary Clinton / Tim Kaine,7,390,,29,11,13,8,0,0
New York,004/73,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,390,,29,11,13,8,0,0
New York,004/73,President,,Democratic,Hillary Clinton / Tim Kaine,336,390,,29,11,13,8,0,0
New York,004/73,President,,Republican,Donald J. Trump / Michael R. Pence,76,390,,29,11,13,8,0,0
New York,004/73,President,,Conservative,Donald J. Trump / Michael R. Pence,3,390,,29,11,13,8,0,0
New York,004/73,President,,Green,Jill Stein / Ajamu Baraka,0,390,,29,11,13,8,0,0
New York,083/71,President,,Libertarian,Gary Johnson / Bill Weld,3,848,,52,14,6,10,0,0
New York,083/71,President,,Independence,Gary Johnson / Bill Weld,7,848,,52,14,6,10,0,0
New York,083/71,President,,Working Families,Hillary Clinton / Tim Kaine,65,848,,52,14,6,10,0,0
New York,083/71,President,,Women's Equality,Hillary Clinton / Tim Kaine,5,848,,52,14,6,10,0,0
New York,083/71,President,,Democratic,Hillary Clinton / Tim Kaine,726,848,,52,14,6,10,0,0
New York,083/71,President,,Republican,Donald J. Trump / Michael R. Pence,71,848,,52,14,6,10,0,0
New York,083/71,President,,Conservative,Donald J. Trump / Michael R. Pence,7,848,,52,14,6,10,0,0
New York,083/71,President,,Green,Jill Stein / Ajamu Baraka,23,848,,52,14,6,10,0,0
New York,083/70,President,,Libertarian,Gary Johnson / Bill Weld,3,352,,16,3,15,4,0,0
New York,083/70,President,,Independence,Gary Johnson / Bill Weld,4,352,,16,3,15,4,0,0
New York,083/70,President,,Working Families,Hillary Clinton / Tim Kaine,12,352,,16,3,15,4,0,0
New York,083/70,President,,Women's Equality,Hillary Clinton / Tim Kaine,3,352,,16,3,15,4,0,0
New York,083/70,President,,Democratic,Hillary Clinton / Tim Kaine,322,352,,16,3,15,4,0,0
New York,083/70,President,,Republican,Donald J. Trump / Michael R. Pence,28,352,,16,3,15,4,0,0
New York,083/70,President,,Conservative,Donald J. Trump / Michael R. Pence,2,352,,16,3,15,4,0,0
New York,083/70,President,,Green,Jill Stein / Ajamu Baraka,7,352,,16,3,15,4,0,0
New York,083/73,President,,Libertarian,Gary Johnson / Bill Weld,13,620,,37,24,24,6,0,0
New York,083/73,President,,Independence,Gary Johnson / Bill Weld,8,620,,37,24,24,6,0,0
New York,083/73,President,,Working Families,Hillary Clinton / Tim Kaine,7,620,,37,24,24,6,0,0
New York,083/73,President,,Women's Equality,Hillary Clinton / Tim Kaine,5,620,,37,24,24,6,0,0
New York,083/73,President,,Democratic,Hillary Clinton / Tim Kaine,536,620,,37,24,24,6,0,0
New York,083/73,President,,Republican,Donald J. Trump / Michael R. Pence,107,620,,37,24,24,6,0,0
New York,083/73,President,,Conservative,Donald J. Trump / Michael R. Pence,9,620,,37,24,24,6,0,0
New York,083/73,President,,Green,Jill Stein / Ajamu Baraka,9,620,,37,24,24,6,0,0
New York,082/71,President,,Libertarian,Gary Johnson / Bill Weld,1,558,,29,16,11,12,0,0
New York,082/71,President,,Independence,Gary Johnson / Bill Weld,7,558,,29,16,11,12,0,0
New York,082/71,President,,Working Families,Hillary Clinton / Tim Kaine,24,558,,29,16,11,12,0,0
New York,082/71,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,558,,29,16,11,12,0,0
New York,082/71,President,,Democratic,Hillary Clinton / Tim Kaine,428,558,,29,16,11,12,0,0
New York,082/71,President,,Republican,Donald J. Trump / Michael R. Pence,112,558,,29,16,11,12,0,0
New York,082/71,President,,Conservative,Donald J. Trump / Michael R. Pence,12,558,,29,16,11,12,0,0
New York,082/71,President,,Green,Jill Stein / Ajamu Baraka,10,558,,29,16,11,12,0,0
New York,035/70,President,,Libertarian,Gary Johnson / Bill Weld,0,499,,27,1,22,,0,0
New York,035/70,President,,Independence,Gary Johnson / Bill Weld,2,499,,27,1,22,,0,0
New York,035/70,President,,Working Families,Hillary Clinton / Tim Kaine,13,499,,27,1,22,,0,0
New York,035/70,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,499,,27,1,22,,0,0
New York,035/70,President,,Democratic,Hillary Clinton / Tim Kaine,515,499,,27,1,22,,0,0
New York,035/70,President,,Republican,Donald J. Trump / Michael R. Pence,8,499,,27,1,22,,0,0
New York,035/70,President,,Conservative,Donald J. Trump / Michael R. Pence,0,499,,27,1,22,,0,0
New York,035/70,President,,Green,Jill Stein / Ajamu Baraka,10,499,,27,1,22,,0,0
New York,035/71,President,,Libertarian,Gary Johnson / Bill Weld,1,431,,12,0,35,5,0,0
New York,035/71,President,,Independence,Gary Johnson / Bill Weld,3,431,,12,0,35,5,0,0
New York,035/71,President,,Working Families,Hillary Clinton / Tim Kaine,12,431,,12,0,35,5,0,0
New York,035/71,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,431,,12,0,35,5,0,0
New York,035/71,President,,Democratic,Hillary Clinton / Tim Kaine,426,431,,12,0,35,5,0,0
New York,035/71,President,,Republican,Donald J. Trump / Michael R. Pence,12,431,,12,0,35,5,0,0
New York,035/71,President,,Conservative,Donald J. Trump / Michael R. Pence,1,431,,12,0,35,5,0,0
New York,035/71,President,,Green,Jill Stein / Ajamu Baraka,15,431,,12,0,35,5,0,0
New York,035/72,President,,Libertarian,Gary Johnson / Bill Weld,0,656,,3,3,16,4,0,0
New York,035/72,President,,Independence,Gary Johnson / Bill Weld,1,656,,3,3,16,4,0,0
New York,035/72,President,,Working Families,Hillary Clinton / Tim Kaine,7,656,,3,3,16,4,0,0
New York,035/72,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,656,,3,3,16,4,0,0
New York,035/72,President,,Democratic,Hillary Clinton / Tim Kaine,615,656,,3,3,16,4,0,0
New York,035/72,President,,Republican,Donald J. Trump / Michael R. Pence,38,656,,3,3,16,4,0,0
New York,035/72,President,,Conservative,Donald J. Trump / Michael R. Pence,1,656,,3,3,16,4,0,0
New York,035/72,President,,Green,Jill Stein / Ajamu Baraka,9,656,,3,3,16,4,0,0
New York,035/73,President,,Libertarian,Gary Johnson / Bill Weld,5,681,,64,8,7,6,0,0
New York,035/73,President,,Independence,Gary Johnson / Bill Weld,11,681,,64,8,7,6,0,0
New York,035/73,President,,Working Families,Hillary Clinton / Tim Kaine,8,681,,64,8,7,6,0,0
New York,035/73,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,681,,64,8,7,6,0,0
New York,035/73,President,,Democratic,Hillary Clinton / Tim Kaine,598,681,,64,8,7,6,0,0
New York,035/73,President,,Republican,Donald J. Trump / Michael R. Pence,120,681,,64,8,7,6,0,0
New York,035/73,President,,Conservative,Donald J. Trump / Michael R. Pence,5,681,,64,8,7,6,0,0
New York,035/73,President,,Green,Jill Stein / Ajamu Baraka,2,681,,64,8,7,6,0,0
New York,064/74,President,,Libertarian,Gary Johnson / Bill Weld,9,829,,58,25,11,14,0,0
New York,064/74,President,,Independence,Gary Johnson / Bill Weld,10,829,,58,25,11,14,0,0
New York,064/74,President,,Working Families,Hillary Clinton / Tim Kaine,17,829,,58,25,11,14,0,0
New York,064/74,President,,Women's Equality,Hillary Clinton / Tim Kaine,3,829,,58,25,11,14,0,0
New York,064/74,President,,Democratic,Hillary Clinton / Tim Kaine,795,829,,58,25,11,14,0,0
New York,064/74,President,,Republican,Donald J. Trump / Michael R. Pence,61,829,,58,25,11,14,0,0
New York,064/74,President,,Conservative,Donald J. Trump / Michael R. Pence,5,829,,58,25,11,14,0,0
