candidate,office,county,district,party,precinct,votes,winner
Donald J. Trump,President,Albany,,Republican,,6793,
Donald J. Trump,President,Allegany,,Republican,,2827,
Donald J. Trump,President,Broome,,Republican,,8923,
Donald J. Trump,President,Cattaraugus,,Republican,,3636,
Donald J. Trump,President,Cayuga,,Republican,,3024,
Donald J. Trump,President,Chautauqua,,Republican,,5027,
Donald J. Trump,President,Chemung,,Republican,,4208,
Donald J. Trump,President,Chenango,,Republican,,2659,
Donald J. Trump,President,Clinton,,Republican,,2487,
Donald J. Trump,President,Columbia,,Republican,,2662,
Donald J. Trump,President,Cortland,,Republican,,1710,
Donald J. Trump,President,Delaware,,Republican,,2831,
Donald J. Trump,President,Dutchess,,Republican,,12872,
Donald J. Trump,President,Erie,,Republican,,39589,
Donald J. Trump,President,Essex,,Republican,,1918,
Donald J. Trump,President,Franklin,,Republican,,1460,
Donald J. Trump,President,Fulton,,Republican,,3456,
Donald J. Trump,President,Genesee,,Republican,,3815,
Donald J. Trump,President,Greene,,Republican,,2689,
Donald J. Trump,President,Hamilton,,Republican,,565,
Donald J. Trump,President,Herkimer,,Republican,,4193,
Donald J. Trump,President,Jefferson,,Republican,,5190,
Donald J. Trump,President,Lewis,,Republican,,1643,
Donald J. Trump,President,Livingston,,Republican,,3957,
Donald J. Trump,President,Madison,,Republican,,3108,
Donald J. Trump,President,Monroe,,Republican,,28034,
Donald J. Trump,President,Montgomery,,Republican,,2039,
Donald J. Trump,President,Nassau,,Republican,,69692,
Donald J. Trump,President,Niagara,,Republican,,11450,
Donald J. Trump,President,Oneida,,Republican,,11332,
Donald J. Trump,President,Onondaga,,Republican,,15155,
Donald J. Trump,President,Ontario,,Republican,,5558,
Donald J. Trump,President,Orange,,Republican,,16659,
Donald J. Trump,President,Orleans,,Republican,,2643,
Donald J. Trump,President,Oswego,,Republican,,6423,
Donald J. Trump,President,Otsego,,Republican,,2719,
Donald J. Trump,President,Putnam,,Republican,,6027,
Donald J. Trump,President,Rensselaer,,Republican,,4758,
Donald J. Trump,President,Rockland,,Republican,,9219,
Donald J. Trump,President,St. Lawrence,,Republican,,3825,
Donald J. Trump,President,Saratoga,,Republican,,11673,
Donald J. Trump,President,Schenectady,,Republican,,4496,
Donald J. Trump,President,Schoharie,,Republican,,1497,
Donald J. Trump,President,Schuyler,,Republican,,979,
Donald J. Trump,President,Seneca,,Republican,,1585,
Donald J. Trump,President,Steuben,,Republican,,6252,
Donald J. Trump,President,Suffolk,,Republican,,72359,
Donald J. Trump,President,Sullivan,,Republican,,2742,
Donald J. Trump,President,Tioga,,Republican,,2926,
Donald J. Trump,President,Tompkins,,Republican,,1821,
Donald J. Trump,President,Ulster,,Republican,,6388,
Donald J. Trump,President,Warren,,Republican,,3761,
Donald J. Trump,President,Washington,,Republican,,2458,
Donald J. Trump,President,Wayne,,Republican,,4472,
Donald J. Trump,President,Westchester,,Republican,,25880,
Donald J. Trump,President,Wyoming,,Republican,,2752,
Donald J. Trump,President,Yates,,Republican,,1388,
Donald J. Trump,President,Bronx,,Republican,,4730,
Donald J. Trump,President,Kings,,Republican,,15920,
Donald J. Trump,President,New York,,Republican,,11196,
Donald J. Trump,President,Queens,,Republican,,20951,
Donald J. Trump,President,Richmond,,Republican,,21521,
Donald J. Trump,President,,,Republican,,554522,1
John R. Kasich,President,Albany,,Republican,,5026,
John R. Kasich,President,Allegany,,Republican,,1175,
John R. Kasich,President,Broome,,Republican,,5138,
John R. Kasich,President,Cattaraugus,,Republican,,1419,
John R. Kasich,President,Cayuga,,Republican,,1942,
John R. Kasich,President,Chautauqua,,Republican,,2294,
John R. Kasich,President,Chemung,,Republican,,2372,
John R. Kasich,President,Chenango,,Republican,,1394,
John R. Kasich,President,Clinton,,Republican,,1389,
John R. Kasich,President,Columbia,,Republican,,1271,
John R. Kasich,President,Cortland,,Republican,,1276,
John R. Kasich,President,Delaware,,Republican,,1142,
John R. Kasich,President,Dutchess,,Republican,,4401,
John R. Kasich,President,Erie,,Republican,,13136,
John R. Kasich,President,Essex,,Republican,,1274,
John R. Kasich,President,Franklin,,Republican,,763,
John R. Kasich,President,Fulton,,Republican,,1552,
John R. Kasich,President,Genesee,,Republican,,1282,
John R. Kasich,President,Greene,,Republican,,838,
John R. Kasich,President,Hamilton,,Republican,,326,
John R. Kasich,President,Herkimer,,Republican,,1877,
John R. Kasich,President,Jefferson,,Republican,,2860,
John R. Kasich,President,Lewis,,Republican,,898,
John R. Kasich,President,Livingston,,Republican,,1724,
John R. Kasich,President,Madison,,Republican,,2214,
John R. Kasich,President,Monroe,,Republican,,16870,
John R. Kasich,President,Montgomery,,Republican,,865,
John R. Kasich,President,Nassau,,Republican,,22722,
John R. Kasich,President,Niagara,,Republican,,3321,
John R. Kasich,President,Oneida,,Republican,,5398,
John R. Kasich,President,Onondaga,,Republican,,12055,
John R. Kasich,President,Ontario,,Republican,,3380,
John R. Kasich,President,Orange,,Republican,,4372,
John R. Kasich,President,Orleans,,Republican,,799,
John R. Kasich,President,Oswego,,Republican,,3285,
John R. Kasich,President,Otsego,,Republican,,1516,
John R. Kasich,President,Putnam,,Republican,,1587,
John R. Kasich,President,Rensselaer,,Republican,,2600,
John R. Kasich,President,Rockland,,Republican,,3158,
John R. Kasich,President,St. Lawrence,,Republican,,2036,
John R. Kasich,President,Saratoga,,Republican,,8272,
John R. Kasich,President,Schenectady,,Republican,,2946,
John R. Kasich,President,Schoharie,,Republican,,638,
John R. Kasich,President,Schuyler,,Republican,,461,
John R. Kasich,President,Seneca,,Republican,,854,
John R. Kasich,President,Steuben,,Republican,,2755,
John R. Kasich,President,Suffolk,,Republican,,18694,
John R. Kasich,President,Sullivan,,Republican,,687,
John R. Kasich,President,Tioga,,Republican,,1546,
John R. Kasich,President,Tompkins,,Republican,,1691,
John R. Kasich,President,Ulster,,Republican,,2197,
John R. Kasich,President,Warren,,Republican,,2772,
John R. Kasich,President,Washington,,Republican,,1839,
John R. Kasich,President,Wayne,,Republican,,2016,
John R. Kasich,President,Westchester,,Republican,,13599,
John R. Kasich,President,Wyoming,,Republican,,724,
John R. Kasich,President,Yates,,Republican,,884,
John R. Kasich,President,Bronx,,Republican,,1148,
John R. Kasich,President,Kings,,Republican,,4024,
John R. Kasich,President,New York,,Republican,,12181,
John R. Kasich,President,Queens,,Republican,,5601,
John R. Kasich,President,Richmond,,Republican,,2690,
John R. Kasich,President,,,Republican,,231166,
Ted Cruz,President,Albany,,Republican,,2390,
Ted Cruz,President,Allegany,,Republican,,1159,
Ted Cruz,President,Broome,,Republican,,3953,
Ted Cruz,President,Cattaraugus,,Republican,,1298,
Ted Cruz,President,Cayuga,,Republican,,1136,
Ted Cruz,President,Chautauqua,,Republican,,2016,
Ted Cruz,President,Chemung,,Republican,,1820,
Ted Cruz,President,Chenango,,Republican,,1133,
Ted Cruz,President,Clinton,,Republican,,739,
Ted Cruz,President,Columbia,,Republican,,744,
Ted Cruz,President,Cortland,,Republican,,900,
Ted Cruz,President,Delaware,,Republican,,846,
Ted Cruz,President,Dutchess,,Republican,,2840,
Ted Cruz,President,Erie,,Republican,,7964,
Ted Cruz,President,Essex,,Republican,,664,
Ted Cruz,President,Franklin,,Republican,,433,
Ted Cruz,President,Fulton,,Republican,,1036,
Ted Cruz,President,Genesee,,Republican,,1032,
Ted Cruz,President,Greene,,Republican,,705,
Ted Cruz,President,Hamilton,,Republican,,210,
Ted Cruz,President,Herkimer,,Republican,,1042,
Ted Cruz,President,Jefferson,,Republican,,1235,
Ted Cruz,President,Lewis,,Republican,,476,
Ted Cruz,President,Livingston,,Republican,,1329,
Ted Cruz,President,Madison,,Republican,,1358,
Ted Cruz,President,Monroe,,Republican,,9537,
Ted Cruz,President,Montgomery,,Republican,,793,
Ted Cruz,President,Nassau,,Republican,,9902,
