assembly_district,precinct,county,party,office,district,candidate,votes
77,1,Bronx,Democratic,President,,Emergency,0
77,1,Bronx,Democratic,President,,Absentee/Military,0
77,1,Bronx,Democratic,President,,Federal,0
77,1,Bronx,Democratic,President,,Affidavit,6
77,1,Bronx,Democratic,President,,Bernie Sanders,34
77,1,Bronx,Democratic,President,,Hillary Clinton,40
77,2,Bronx,Democratic,President,,Emergency,0
77,2,Bronx,Democratic,President,,Absentee/Military,3
77,2,Bronx,Democratic,President,,Federal,0
77,2,Bronx,Democratic,President,,Affidavit,6
77,2,Bronx,Democratic,President,,Bernie Sanders,17
77,2,Bronx,Democratic,President,,Hillary Clinton,52
77,3,Bronx,Democratic,President,,Emergency,0
77,3,Bronx,Democratic,President,,Absentee/Military,4
77,3,Bronx,Democratic,President,,Federal,0
77,3,Bronx,Democratic,President,,Affidavit,6
77,3,Bronx,Democratic,President,,Bernie Sanders,31
77,3,Bronx,Democratic,President,,Hillary Clinton,141
77,4,Bronx,Democratic,President,,Emergency,0
77,4,Bronx,Democratic,President,,Absentee/Military,0
77,4,Bronx,Democratic,President,,Federal,0
77,4,Bronx,Democratic,President,,Affidavit,12
77,4,Bronx,Democratic,President,,Bernie Sanders,53
77,4,Bronx,Democratic,President,,Hillary Clinton,119
77,5,Bronx,Democratic,President,,Emergency,0
77,5,Bronx,Democratic,President,,Absentee/Military,1
77,5,Bronx,Democratic,President,,Federal,0
77,5,Bronx,Democratic,President,,Affidavit,9
77,5,Bronx,Democratic,President,,Bernie Sanders,48
77,5,Bronx,Democratic,President,,Hillary Clinton,194
77,6,Bronx,Democratic,President,,Emergency,0
77,6,Bronx,Democratic,President,,Absentee/Military,1
77,6,Bronx,Democratic,President,,Federal,0
77,6,Bronx,Democratic,President,,Affidavit,4
77,6,Bronx,Democratic,President,,Bernie Sanders,81
77,6,Bronx,Democratic,President,,Hillary Clinton,170
77,7,Bronx,Democratic,President,,Emergency,0
77,7,Bronx,Democratic,President,,Absentee/Military,3
77,7,Bronx,Democratic,President,,Federal,1
77,7,Bronx,Democratic,President,,Affidavit,10
77,7,Bronx,Democratic,President,,Bernie Sanders,66
77,7,Bronx,Democratic,President,,Hillary Clinton,228
77,8,Bronx,Democratic,President,,Emergency,0
77,8,Bronx,Democratic,President,,Absentee/Military,2
77,8,Bronx,Democratic,President,,Federal,0
77,8,Bronx,Democratic,President,,Affidavit,24
77,8,Bronx,Democratic,President,,Bernie Sanders,73
77,8,Bronx,Democratic,President,,Hillary Clinton,196
77,9,Bronx,Democratic,President,,Emergency,0
77,9,Bronx,Democratic,President,,Absentee/Military,2
77,9,Bronx,Democratic,President,,Federal,1
77,9,Bronx,Democratic,President,,Affidavit,36
77,9,Bronx,Democratic,President,,Bernie Sanders,88
77,9,Bronx,Democratic,President,,Hillary Clinton,210
77,10,Bronx,Democratic,President,,Emergency,0
77,10,Bronx,Democratic,President,,Absentee/Military,2
77,10,Bronx,Democratic,President,,Federal,0
77,10,Bronx,Democratic,President,,Affidavit,12
77,10,Bronx,Democratic,President,,Bernie Sanders,54
77,10,Bronx,Democratic,President,,Hillary Clinton,168
77,11,Bronx,Democratic,President,,Emergency,0
77,11,Bronx,Democratic,President,,Absentee/Military,2
77,11,Bronx,Democratic,President,,Federal,0
77,11,Bronx,Democratic,President,,Affidavit,8
77,11,Bronx,Democratic,President,,Bernie Sanders,66
77,11,Bronx,Democratic,President,,Hillary Clinton,221
77,12,Bronx,Democratic,President,,Emergency,0
77,12,Bronx,Democratic,President,,Absentee/Military,7
77,12,Bronx,Democratic,President,,Federal,0
77,12,Bronx,Democratic,President,,Affidavit,13
77,12,Bronx,Democratic,President,,Bernie Sanders,52
77,12,Bronx,Democratic,President,,Hillary Clinton,177
77,13,Bronx,Democratic,President,,Emergency,0
77,13,Bronx,Democratic,President,,Absentee/Military,0
77,13,Bronx,Democratic,President,,Federal,0
77,13,Bronx,Democratic,President,,Affidavit,10
77,13,Bronx,Democratic,President,,Bernie Sanders,84
77,13,Bronx,Democratic,President,,Hillary Clinton,211
77,14,Bronx,Democratic,President,,Emergency,0
77,14,Bronx,Democratic,President,,Absentee/Military,1
77,14,Bronx,Democratic,President,,Federal,0
77,14,Bronx,Democratic,President,,Affidavit,8
77,14,Bronx,Democratic,President,,Bernie Sanders,68
77,14,Bronx,Democratic,President,,Hillary Clinton,134
77,15,Bronx,Democratic,President,,Emergency,0
77,15,Bronx,Democratic,President,,Absentee/Military,2
77,15,Bronx,Democratic,President,,Federal,2
77,15,Bronx,Democratic,President,,Affidavit,11
77,15,Bronx,Democratic,President,,Bernie Sanders,61
77,15,Bronx,Democratic,President,,Hillary Clinton,175
77,16,Bronx,Democratic,President,,Emergency,0
77,16,Bronx,Democratic,President,,Absentee/Military,1
77,16,Bronx,Democratic,President,,Federal,0
77,16,Bronx,Democratic,President,,Affidavit,6
77,16,Bronx,Democratic,President,,Bernie Sanders,58
77,16,Bronx,Democratic,President,,Hillary Clinton,133
77,17,Bronx,Democratic,President,,Emergency,0
77,17,Bronx,Democratic,President,,Absentee/Military,5
77,17,Bronx,Democratic,President,,Federal,0
77,17,Bronx,Democratic,President,,Affidavit,1
