county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
Bronx,052/86,President,,Libertarian,Gary Johnson / Bill Weld,1,482,,11,1,32,1,0,0
Bronx,052/86,President,,Independence,Gary Johnson / Bill Weld,2,482,,11,1,32,1,0,0
Bronx,052/86,President,,Working Families,Hillary Clinton / Tim Kaine,4,482,,11,1,32,1,0,0
Bronx,052/86,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,482,,11,1,32,1,0,0
Bronx,052/86,President,,Democratic,Hillary Clinton / Tim Kaine,481,482,,11,1,32,1,0,0
Bronx,052/86,President,,Republican,Donald J. Trump / Michael R. Pence,23,482,,11,1,32,1,0,0
Bronx,052/86,President,,Conservative,Donald J. Trump / Michael R. Pence,3,482,,11,1,32,1,0,0
Bronx,052/86,President,,Green,Jill Stein / Ajamu Baraka,6,482,,11,1,32,1,0,0
Bronx,066/85,President,,Libertarian,Gary Johnson / Bill Weld,0,531,,5,0,33,3,0,0
Bronx,066/85,President,,Independence,Gary Johnson / Bill Weld,0,531,,5,0,33,3,0,0
Bronx,066/85,President,,Working Families,Hillary Clinton / Tim Kaine,2,531,,5,0,33,3,0,0
Bronx,066/85,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,531,,5,0,33,3,0,0
Bronx,066/85,President,,Democratic,Hillary Clinton / Tim Kaine,517,531,,5,0,33,3,0,0
Bronx,066/85,President,,Republican,Donald J. Trump / Michael R. Pence,36,531,,5,0,33,3,0,0
Bronx,066/85,President,,Conservative,Donald J. Trump / Michael R. Pence,3,531,,5,0,33,3,0,0
Bronx,066/85,President,,Green,Jill Stein / Ajamu Baraka,2,531,,5,0,33,3,0,0
Bronx,052/84,President,,Libertarian,Gary Johnson / Bill Weld,0,570,,3,0,20,2,0,0
Bronx,052/84,President,,Independence,Gary Johnson / Bill Weld,2,570,,3,0,20,2,0,0
Bronx,052/84,President,,Working Families,Hillary Clinton / Tim Kaine,14,570,,3,0,20,2,0,0
Bronx,052/84,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,570,,3,0,20,2,0,0
Bronx,052/84,President,,Democratic,Hillary Clinton / Tim Kaine,542,570,,3,0,20,2,0,0
Bronx,052/84,President,,Republican,Donald J. Trump / Michael R. Pence,23,570,,3,0,20,2,0,0
Bronx,052/84,President,,Conservative,Donald J. Trump / Michael R. Pence,3,570,,3,0,20,2,0,0
Bronx,052/84,President,,Green,Jill Stein / Ajamu Baraka,4,570,,3,0,20,2,0,0
Bronx,052/85,President,,Libertarian,Gary Johnson / Bill Weld,1,454,,6,0,32,,0,0
Bronx,052/85,President,,Independence,Gary Johnson / Bill Weld,2,454,,6,0,32,,0,0
Bronx,052/85,President,,Working Families,Hillary Clinton / Tim Kaine,5,454,,6,0,32,,0,0
Bronx,052/85,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,454,,6,0,32,,0,0
Bronx,052/85,President,,Democratic,Hillary Clinton / Tim Kaine,460,454,,6,0,32,,0,0
Bronx,052/85,President,,Republican,Donald J. Trump / Michael R. Pence,20,454,,6,0,32,,0,0
Bronx,052/85,President,,Conservative,Donald J. Trump / Michael R. Pence,1,454,,6,0,32,,0,0
Bronx,052/85,President,,Green,Jill Stein / Ajamu Baraka,1,454,,6,0,32,,0,0
Bronx,052/82,President,,Libertarian,Gary Johnson / Bill Weld,4,549,,19,1,22,2,0,0
Bronx,052/82,President,,Independence,Gary Johnson / Bill Weld,7,549,,19,1,22,2,0,0
Bronx,052/82,President,,Working Families,Hillary Clinton / Tim Kaine,13,549,,19,1,22,2,0,0
Bronx,052/82,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,549,,19,1,22,2,0,0
Bronx,052/82,President,,Democratic,Hillary Clinton / Tim Kaine,351,549,,19,1,22,2,0,0
Bronx,052/82,President,,Republican,Donald J. Trump / Michael R. Pence,171,549,,19,1,22,2,0,0
Bronx,052/82,President,,Conservative,Donald J. Trump / Michael R. Pence,25,549,,19,1,22,2,0,0
Bronx,052/82,President,,Green,Jill Stein / Ajamu Baraka,17,549,,19,1,22,2,0,0
Bronx,052/83,President,,Libertarian,Gary Johnson / Bill Weld,0,498,,19,1,28,1,0,0
Bronx,052/83,President,,Independence,Gary Johnson / Bill Weld,2,498,,19,1,28,1,0,0
Bronx,052/83,President,,Working Families,Hillary Clinton / Tim Kaine,8,498,,19,1,28,1,0,0
Bronx,052/83,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,498,,19,1,28,1,0,0
Bronx,052/83,President,,Democratic,Hillary Clinton / Tim Kaine,510,498,,19,1,28,1,0,0
Bronx,052/83,President,,Republican,Donald J. Trump / Michael R. Pence,15,498,,19,1,28,1,0,0
Bronx,052/83,President,,Conservative,Donald J. Trump / Michael R. Pence,3,498,,19,1,28,1,0,0
Bronx,052/83,President,,Green,Jill Stein / Ajamu Baraka,5,498,,19,1,28,1,0,0
