county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes
Queens,001/24,U.S. House,3,Democratic,Steve Stern,1,27,0,3,0,0
Queens,001/24,U.S. House,3,Democratic,Thomas R. Suozzi,14,27,0,3,0,0
Queens,001/24,U.S. House,3,Democratic,Anna Kaplan,4,27,0,3,0,0
Queens,001/24,U.S. House,3,Democratic,Jonathan C. Clarke,1,27,0,3,0,0
Queens,001/24,U.S. House,3,Democratic,Jon Kaiman,8,27,0,3,0,0
Queens,047/26,U.S. House,3,Democratic,Steve Stern,12,90,0,6,0,1
Queens,047/26,U.S. House,3,Democratic,Thomas R. Suozzi,27,90,0,6,0,1
Queens,047/26,U.S. House,3,Democratic,Anna Kaplan,30,90,0,6,0,1
Queens,047/26,U.S. House,3,Democratic,Jonathan C. Clarke,1,90,0,6,0,1
Queens,047/26,U.S. House,3,Democratic,Jon Kaiman,27,90,0,6,0,1
Queens,027/26,U.S. House,3,Democratic,Steve Stern,2,54,0,6,0,0
Queens,027/26,U.S. House,3,Democratic,Thomas R. Suozzi,41,54,0,6,0,0
Queens,027/26,U.S. House,3,Democratic,Anna Kaplan,11,54,0,6,0,0
Queens,027/26,U.S. House,3,Democratic,Jonathan C. Clarke,1,54,0,6,0,0
Queens,027/26,U.S. House,3,Democratic,Jon Kaiman,5,54,0,6,0,0
Queens,019/26,U.S. House,3,Democratic,Steve Stern,9,54,0,0,0,0
Queens,019/26,U.S. House,3,Democratic,Thomas R. Suozzi,14,54,0,0,0,0
Queens,019/26,U.S. House,3,Democratic,Anna Kaplan,19,54,0,0,0,0
Queens,019/26,U.S. House,3,Democratic,Jonathan C. Clarke,4,54,0,0,0,0
Queens,019/26,U.S. House,3,Democratic,Jon Kaiman,7,54,0,0,0,0
Queens,045/26,U.S. House,3,Democratic,Steve Stern,7,77,0,6,0,0
Queens,045/26,U.S. House,3,Democratic,Thomas R. Suozzi,30,77,0,6,0,0
Queens,045/26,U.S. House,3,Democratic,Anna Kaplan,15,77,0,6,0,0
Queens,045/26,U.S. House,3,Democratic,Jonathan C. Clarke,3,77,0,6,0,0
Queens,045/26,U.S. House,3,Democratic,Jon Kaiman,28,77,0,6,0,0
Queens,002/40,U.S. House,3,Democratic,Steve Stern,3,16,0,4,1,0
Queens,002/40,U.S. House,3,Democratic,Thomas R. Suozzi,9,16,0,4,1,0
Queens,002/40,U.S. House,3,Democratic,Anna Kaplan,4,16,0,4,1,0
Queens,002/40,U.S. House,3,Democratic,Jonathan C. Clarke,1,16,0,4,1,0
Queens,002/40,U.S. House,3,Democratic,Jon Kaiman,4,16,0,4,1,0
Queens,075/26,U.S. House,3,Democratic,Steve Stern,6,58,0,9,0,0
Queens,075/26,U.S. House,3,Democratic,Thomas R. Suozzi,21,58,0,9,0,0
Queens,075/26,U.S. House,3,Democratic,Anna Kaplan,21,58,0,9,0,0
Queens,075/26,U.S. House,3,Democratic,Jonathan C. Clarke,4,58,0,9,0,0
Queens,075/26,U.S. House,3,Democratic,Jon Kaiman,15,58,0,9,0,0
Queens,078/26,U.S. House,3,Democratic,Steve Stern,0,0,0,0,0,0
Queens,078/26,U.S. House,3,Democratic,Thomas R. Suozzi,0,0,0,0,0,0
Queens,078/26,U.S. House,3,Democratic,Anna Kaplan,0,0,0,0,0,0
Queens,078/26,U.S. House,3,Democratic,Jonathan C. Clarke,0,0,0,0,0,0
Queens,078/26,U.S. House,3,Democratic,Jon Kaiman,0,0,0,0,0,0
Queens,017/26,U.S. House,3,Democratic,Steve Stern,3,43,0,6,1,0
Queens,017/26,U.S. House,3,Democratic,Thomas R. Suozzi,26,43,0,6,1,0
Queens,017/26,U.S. House,3,Democratic,Anna Kaplan,13,43,0,6,1,0
Queens,017/26,U.S. House,3,Democratic,Jonathan C. Clarke,4,43,0,6,1,0
Queens,017/26,U.S. House,3,Democratic,Jon Kaiman,4,43,0,6,1,0
Queens,033/26,U.S. House,3,Democratic,Steve Stern,3,65,0,4,1,0
Queens,033/26,U.S. House,3,Democratic,Thomas R. Suozzi,38,65,0,4,1,0
Queens,033/26,U.S. House,3,Democratic,Anna Kaplan,13,65,0,4,1,0
Queens,033/26,U.S. House,3,Democratic,Jonathan C. Clarke,7,65,0,4,1,0
Queens,033/26,U.S. House,3,Democratic,Jon Kaiman,9,65,0,4,1,0
Queens,007/26,U.S. House,3,Democratic,Steve Stern,0,18,0,4,0,0
Queens,007/26,U.S. House,3,Democratic,Thomas R. Suozzi,13,18,0,4,0,0
Queens,007/26,U.S. House,3,Democratic,Anna Kaplan,6,18,0,4,0,0
Queens,007/26,U.S. House,3,Democratic,Jonathan C. Clarke,0,18,0,4,0,0
Queens,007/26,U.S. House,3,Democratic,Jon Kaiman,3,18,0,4,0,0
Queens,007/24,U.S. House,3,Democratic,Steve Stern,5,40,0,1,4,0
Queens,007/24,U.S. House,3,Democratic,Thomas R. Suozzi,14,40,0,1,4,0
Queens,007/24,U.S. House,3,Democratic,Anna Kaplan,17,40,0,1,4,0
Queens,007/24,U.S. House,3,Democratic,Jonathan C. Clarke,2,40,0,1,4,0
Queens,007/24,U.S. House,3,Democratic,Jon Kaiman,7,40,0,1,4,0
Queens,002/24,U.S. House,3,Democratic,Steve Stern,1,65,0,8,0,0
Queens,002/24,U.S. House,3,Democratic,Thomas R. Suozzi,31,65,0,8,0,0
Queens,002/24,U.S. House,3,Democratic,Anna Kaplan,17,65,0,8,0,0
Queens,002/24,U.S. House,3,Democratic,Jonathan C. Clarke,3,65,0,8,0,0
Queens,002/24,U.S. House,3,Democratic,Jon Kaiman,21,65,0,8,0,0
Queens,022/26,U.S. House,3,Democratic,Steve Stern,10,49,0,3,1,0
