county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
Richmond,035/64,President,,Libertarian,Gary Johnson / Bill Weld,7,699,,42,2,12,7,0,0
Richmond,035/64,President,,Independence,Gary Johnson / Bill Weld,4,699,,42,2,12,7,0,0
Richmond,035/64,President,,Working Families,Hillary Clinton / Tim Kaine,6,699,,42,2,12,7,0,0
Richmond,035/64,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,699,,42,2,12,7,0,0
Richmond,035/64,President,,Democratic,Hillary Clinton / Tim Kaine,218,699,,42,2,12,7,0,0
Richmond,035/64,President,,Republican,Donald J. Trump / Michael R. Pence,449,699,,42,2,12,7,0,0
Richmond,035/64,President,,Conservative,Donald J. Trump / Michael R. Pence,53,699,,42,2,12,7,0,0
Richmond,035/64,President,,Green,Jill Stein / Ajamu Baraka,3,699,,42,2,12,7,0,0
Richmond,018/62,President,,Libertarian,Gary Johnson / Bill Weld,0,827,,26,0,10,3,0,0
Richmond,018/62,President,,Independence,Gary Johnson / Bill Weld,11,827,,26,0,10,3,0,0
Richmond,018/62,President,,Working Families,Hillary Clinton / Tim Kaine,6,827,,26,0,10,3,0,0
Richmond,018/62,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,827,,26,0,10,3,0,0
Richmond,018/62,President,,Democratic,Hillary Clinton / Tim Kaine,167,827,,26,0,10,3,0,0
Richmond,018/62,President,,Republican,Donald J. Trump / Michael R. Pence,632,827,,26,0,10,3,0,0
Richmond,018/62,President,,Conservative,Donald J. Trump / Michael R. Pence,32,827,,26,0,10,3,0,0
Richmond,018/62,President,,Green,Jill Stein / Ajamu Baraka,8,827,,26,0,10,3,0,0
Richmond,001/61,President,,Libertarian,Gary Johnson / Bill Weld,3,725,,40,12,31,11,0,0
Richmond,001/61,President,,Independence,Gary Johnson / Bill Weld,3,725,,40,12,31,11,0,0
Richmond,001/61,President,,Working Families,Hillary Clinton / Tim Kaine,37,725,,40,12,31,11,0,0
Richmond,001/61,President,,Women's Equality,Hillary Clinton / Tim Kaine,8,725,,40,12,31,11,0,0
Richmond,001/61,President,,Democratic,Hillary Clinton / Tim Kaine,601,725,,40,12,31,11,0,0
Richmond,001/61,President,,Republican,Donald J. Trump / Michael R. Pence,100,725,,40,12,31,11,0,0
Richmond,001/61,President,,Conservative,Donald J. Trump / Michael R. Pence,15,725,,40,12,31,11,0,0
Richmond,001/61,President,,Green,Jill Stein / Ajamu Baraka,27,725,,40,12,31,11,0,0
Richmond,001/62,President,,Libertarian,Gary Johnson / Bill Weld,5,827,,29,1,14,5,0,0
Richmond,001/62,President,,Independence,Gary Johnson / Bill Weld,16,827,,29,1,14,5,0,0
Richmond,001/62,President,,Working Families,Hillary Clinton / Tim Kaine,1,827,,29,1,14,5,0,0
Richmond,001/62,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,827,,29,1,14,5,0,0
Richmond,001/62,President,,Democratic,Hillary Clinton / Tim Kaine,135,827,,29,1,14,5,0,0
Richmond,001/62,President,,Republican,Donald J. Trump / Michael R. Pence,650,827,,29,1,14,5,0,0
Richmond,001/62,President,,Conservative,Donald J. Trump / Michael R. Pence,49,827,,29,1,14,5,0,0
Richmond,001/62,President,,Green,Jill Stein / Ajamu Baraka,6,827,,29,1,14,5,0,0
Richmond,018/61,President,,Libertarian,Gary Johnson / Bill Weld,4,706,,28,1,22,6,0,0
Richmond,018/61,President,,Independence,Gary Johnson / Bill Weld,9,706,,28,1,22,6,0,0
Richmond,018/61,President,,Working Families,Hillary Clinton / Tim Kaine,16,706,,28,1,22,6,0,0
Richmond,018/61,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,706,,28,1,22,6,0,0
Richmond,018/61,President,,Democratic,Hillary Clinton / Tim Kaine,520,706,,28,1,22,6,0,0
Richmond,018/61,President,,Republican,Donald J. Trump / Michael R. Pence,166,706,,28,1,22,6,0,0
Richmond,018/61,President,,Conservative,Donald J. Trump / Michael R. Pence,21,706,,28,1,22,6,0,0
Richmond,018/61,President,,Green,Jill Stein / Ajamu Baraka,13,706,,28,1,22,6,0,0
Richmond,029/62,President,,Libertarian,Gary Johnson / Bill Weld,1,640,,21,2,18,4,0,0
Richmond,029/62,President,,Independence,Gary Johnson / Bill Weld,9,640,,21,2,18,4,0,0
Richmond,029/62,President,,Working Families,Hillary Clinton / Tim Kaine,4,640,,21,2,18,4,0,0
Richmond,029/62,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,640,,21,2,18,4,0,0
Richmond,029/62,President,,Democratic,Hillary Clinton / Tim Kaine,142,640,,21,2,18,4,0,0
Richmond,029/62,President,,Republican,Donald J. Trump / Michael R. Pence,473,640,,21,2,18,4,0,0
Richmond,029/62,President,,Conservative,Donald J. Trump / Michael R. Pence,37,640,,21,2,18,4,0,0
Richmond,029/62,President,,Green,Jill Stein / Ajamu Baraka,5,640,,21,2,18,4,0,0
Richmond,029/63,President,,Libertarian,Gary Johnson / Bill Weld,2,738,,40,3,17,1,0,0
