county,precinct,office,district,party,candidates,votes
Jefferson,12/1,,,,Voters,1466
Jefferson,12/2,,,,Voters,1153
Jefferson,12/3,,,,Voters,962
Jefferson,13/1,,,,Voters,1273
Jefferson,13/2,,,,Voters,1168
Jefferson,13/3,,,,Voters,788
Jefferson,14/1,,,,Voters,1113
Jefferson,14/2,,,,Voters,656
Jefferson,15/1,,,,Voters,1256
Jefferson,15/2,,,,Voters,1286
Jefferson,15/3,,,,Voters,477
Jefferson,Adams 1,,,,Voters,949
Jefferson,Adams 2,,,,Voters,613
Jefferson,Adams 3,,,,Voters,1370
Jefferson,Alexandria 1,,,,Voters,658
Jefferson,Alexandria 2,,,,Voters,819
Jefferson,Alexandria 3,,,,Voters,1226
Jefferson,Antwerp 1.,,,,Voters,353
Jefferson,Antwerp 2,,,,Voters,655
Jefferson,Brownville 1,,,,Voters,779
Jefferson,Brownville 2,,,,Voters,621
Jefferson,Brownville 3.,,,,Voters,933
Jefferson,Brownville 4,,,,Voters,583
Jefferson,Brownville 5,,,,Voters,871
Jefferson,Cape Vincent 1,,,,Voters,587
Jefferson,Cape Vincent 2,,,,Voters,1316
Jefferson,Champion 1,,,,Voters,1407
Jefferson,Champion 2,,,,Voters,852
Jefferson,Clayton 1,,,,Voters,774
Jefferson,Clayton 2,,,,Voters,1109
Jefferson,Clayton 3,,,,Voters,1300
Jefferson,Ellisburg 1,,,,Voters,215
Jefferson,Elllisburg 2,,,,Voters,668
Jefferson,Ellisburg 3,,,,Voters,138
Jefferson,Ellisburg 4,,,,Voters,961
Jefferson,Henderson 1,,,,Voters,1102
Jefferson,Hounsfield 1,,,,Voters,887
Jefferson,Hounsfield 2,,,,Voters,1348
Jefferson,LeRay 1,,,,Voters,378
Jefferson,LeRay 2,,,,Voters,209
Jefferson,LeRay 3,,,,Voters,304
Jefferson,LeRay 4,,,,Voters,1643
Jefferson,LeRay 5,,,,Voters,419
Jefferson,LeRay 6,,,,Voters,289
Jefferson,LeRay 7,,,,Voters,299
Jefferson,LeRay 8,,,,Voters,1135
Jefferson,Lorraine 1,,,,Voters,608
Jefferson,Lyme 1,,,,Voters,597
Jefferson,Lyme 2,,,,Voters,718
Jefferson,Lyme 3.,,,,Voters,410
Jefferson,Orleans 1,,,,Voters,1095
Jefferson,Orleans 2,,,,Voters,662
Jefferson,Pamelia 1,,,,Voters,957
Jefferson,Pamelia 2,,,,Voters,979
Jefferson,Philadelphia 1,,,,Voters,484
