county,office,district,party,candidate,votes,,,,,,,,,
Albany,President,,DEM,Hillary Clinton,78504,,,,,,,,,
Allegany,President,,DEM,Hillary Clinton,4646,,,,,,,,,
Broome,President,,DEM,Hillary Clinton,37106,,,,,,,,,
Cattaraugus,President,,DEM,Hillary Clinton,9077,,,,,,,,,
Cayuga,President,,DEM,Hillary Clinton,12779,,,,,,,,,
Chautauqua,President,,DEM,Hillary Clinton,18112,,,,,,,,,
Chemung,President,,DEM,Hillary Clinton,13277,,,,,,,,,
Chenango,President,,DEM,Hillary Clinton,6417,,,,,,,,,
Clinton,President,,DEM,Hillary Clinton,14217,,,,,,,,,
Columbia,President,,DEM,Hillary Clinton,14146,,,,,,,,,
Cortland,President,,DEM,Hillary Clinton,8307,,,,,,,,,
Delaware,President,,DEM,Hillary Clinton,6194,,,,,,,,,
Dutchess,President,,DEM,Hillary Clinton,58910,,,,,,,,,
Erie,President,,DEM,Hillary Clinton,205773,,,,,,,,,
Essex,President,,DEM,Hillary Clinton,7341,,,,,,,,,
Franklin,President,,DEM,Hillary Clinton,6994,,,,,,,,,
Fulton,President,,DEM,Hillary Clinton,6215,,,,,,,,,
Genesee,President,,DEM,Hillary Clinton,7276,,,,,,,,,
Greene,President,,DEM,Hillary Clinton,6914,,,,,,,,,
Hamilton,President,,DEM,Hillary Clinton,906,,,,,,,,,
Herkimer,President,,DEM,Hillary Clinton,7708,,,,,,,,,
Jefferson,President,,DEM,Hillary Clinton,13150,,,,,,,,,
Lewis,President,,DEM,Hillary Clinton,3009,,,,,,,,,
Livingston,President,,DEM,Hillary Clinton,10140,,,,,,,,,
Madison,President,,DEM,Hillary Clinton,10988,,,,,,,,,
Monroe,President,,DEM,Hillary Clinton,179142,,,,,,,,,
Montgomery,President,,DEM,Hillary Clinton,6264,,,,,,,,,
Nassau,President,,DEM,Hillary Clinton,324212,,,,,,,,,
Niagara,President,,DEM,Hillary Clinton,33927,,,,,,,,,
Oneida,President,,DEM,Hillary Clinton,32217,,,,,,,,,
Onondaga,President,,DEM,Hillary Clinton,107049,,,,,,,,,
Ontario,President,,DEM,Hillary Clinton,21062,,,,,,,,,
Orange,President,,DEM,Hillary Clinton,65532,,,,,,,,,
Orleans,President,,DEM,Hillary Clinton,4239,,,,,,,,,
Oswego,President,,DEM,Hillary Clinton,16186,,,,,,,,,
Otsego,President,,DEM,Hillary Clinton,9809,,,,,,,,,
Putnam,President,,DEM,Hillary Clinton,18324,,,,,,,,,
Rensselaer,President,,DEM,Hillary Clinton,30506,,,,,,,,,
Rockland,President,,DEM,Hillary Clinton,67098,,,,,,,,,
Saratoga,President,,DEM,Hillary Clinton,48503,,,,,,,,,
Schenectady,President,,DEM,Hillary Clinton,32072,,,,,,,,,
Schoharie,President,,DEM,Hillary Clinton,3966,,,,,,,,,
Schuyler,President,,DEM,Hillary Clinton,2817,,,,,,,,,
Seneca,President,,DEM,Hillary Clinton,5350,,,,,,,,,
St. Lawrence,President,,DEM,Hillary Clinton,15749,,,,,,,,,
Steuben,President,,DEM,Hillary Clinton,11982,,,,,,,,,
Suffolk,President,,DEM,Hillary Clinton,292720,,,,,,,,,
Sullivan,President,,DEM,Hillary Clinton,11913,,,,,,,,,
Tioga,President,,DEM,Hillary Clinton,7123,,,,,,,,,
Tompkins,President,,DEM,Hillary Clinton,26093,,,,,,,,,
Ulster,President,,DEM,Hillary Clinton,40674,,,,,,,,,
Warren,President,,DEM,Hillary Clinton,12461,,,,,,,,,
Washington,President,,DEM,Hillary Clinton,8564,,,,,,,,,
Wayne,President,,DEM,Hillary Clinton,12728,,,,,,,,,
Westchester,President,,DEM,Hillary Clinton,265256,,,,,,,,,
Wyoming,President,,DEM,Hillary Clinton,3716,,,,,,,,,
Yates,President,,DEM,Hillary Clinton,3473,,,,,,,,,
Bronx,President,,DEM,Hillary Clinton,347893,,,,,,,,,
Kings,President,,DEM,Hillary Clinton,611439,,,,,,,,,
New York,President,,DEM,Hillary Clinton,557859,,,,,,,,,
Queens,President,,DEM,Hillary Clinton,502411,,,,,,,,,
