county,precinct,office,party,candidate,district,votes
Cayuga,Auburn 10-1 10,President,DEM,Hillary Clinton / Tim Kaine,,267
Cayuga,Auburn 10-2 10,President,DEM,Hillary Clinton / Tim Kaine,,205
Cayuga,Auburn 10-3 10,President,DEM,Hillary Clinton / Tim Kaine,,109
Cayuga,Auburn 11-1 11,President,DEM,Hillary Clinton / Tim Kaine,,338
Cayuga,Auburn 11-2 11,President,DEM,Hillary Clinton / Tim Kaine,,369
Cayuga,Auburn 11-3 11,President,DEM,Hillary Clinton / Tim Kaine,,366
Cayuga,Auburn 12-1 12,President,DEM,Hillary Clinton / Tim Kaine,,354
Cayuga,Auburn 12-2 12,President,DEM,Hillary Clinton / Tim Kaine,,319
Cayuga,Auburn 12-3 12,President,DEM,Hillary Clinton / Tim Kaine,,261
Cayuga,Auburn 13-1 13,President,DEM,Hillary Clinton / Tim Kaine,,57
Cayuga,Auburn 13-2 13,President,DEM,Hillary Clinton / Tim Kaine,,318
Cayuga,Auburn 13-3 13,President,DEM,Hillary Clinton / Tim Kaine,,250
Cayuga,Auburn 14-1 14,President,DEM,Hillary Clinton / Tim Kaine,,299
Cayuga,Auburn 14-2 14,President,DEM,Hillary Clinton / Tim Kaine,,396
Cayuga,Auburn 14-3 14,President,DEM,Hillary Clinton / Tim Kaine,,194
Cayuga,Auburn 15-1 15,President,DEM,Hillary Clinton / Tim Kaine,,154
Cayuga,Auburn 15-2 12,President,DEM,Hillary Clinton / Tim Kaine,,169
Cayuga,Auburn 15-3 15,President,DEM,Hillary Clinton / Tim Kaine,,277
Cayuga,Aurelius 1 05,President,DEM,Hillary Clinton / Tim Kaine,,254
Cayuga,Aurelius 2 05,President,DEM,Hillary Clinton / Tim Kaine,,195
Cayuga,Brutus 1 04,President,DEM,Hillary Clinton / Tim Kaine,,346
Cayuga,Brutus 2 04,President,DEM,Hillary Clinton / Tim Kaine,,259
Cayuga,Cato 1 02,President,DEM,Hillary Clinton / Tim Kaine,,319
Cayuga,Conquest 1 02,President,DEM,Hillary Clinton / Tim Kaine,,185
Cayuga,Fleming 1 05,President,DEM,Hillary Clinton / Tim Kaine,,553
Cayuga,Genoa 1 08,President,DEM,Hillary Clinton / Tim Kaine,,345
Cayuga,Ira 1 02,President,DEM,Hillary Clinton / Tim Kaine,,220
Cayuga,Ledyard 1 07,President,DEM,Hillary Clinton / Tim Kaine,,361
