county,precinct,office,district,party,candidate,polling_place,absentee_affidavit,votes
Herkimer,City of Little Falls Ward 1 1 LD 12,President,,DEM,Hillary Clinton,206,20,226
Herkimer,City of Little Falls Ward 2 1 LD 12,President,,DEM,Hillary Clinton,238,27,265
Herkimer,City of Little Falls Ward 3 1 LD 12,President,,DEM,Hillary Clinton,42,5,47
Herkimer,City of Little Falls Ward 3 2 LD 10,President,,DEM,Hillary Clinton,126,6,132
Herkimer,City of Little Falls Ward 4 1 LD 12,President,,DEM,Hillary Clinton,128,14,142
Herkimer,Town of Columbia 1 LD 7,President,,DEM,Hillary Clinton,76,9,85
Herkimer,Town of Columbia 2 LD 13,President,,DEM,Hillary Clinton,36,1,37
Herkimer,Town of Danube 1 LD 14,President,,DEM,Hillary Clinton,78,2,80
Herkimer,Town of Fairfield 1 LD 16,President,,DEM,Hillary Clinton,122,15,137
Herkimer,Town of Frankfort 1 LD 8,President,,DEM,Hillary Clinton,104,11,115
Herkimer,Town of Frankfort 2 LD 9,President,,DEM,Hillary Clinton,148,14,162
Herkimer,Town of Frankfort 3 LD 9,President,,DEM,Hillary Clinton,107,8,115
Herkimer,Town of Frankfort 4 LD 8,President,,DEM,Hillary Clinton,100,11,111
Herkimer,Town of Frankfort 5 LD 8,President,,DEM,Hillary Clinton,184,20,204
Herkimer,Town of Frankfort 6 LD 9,President,,DEM,Hillary Clinton,211,17,228
Herkimer,Town of German Flatts 1 LD 7,President,,DEM,Hillary Clinton,135,20,155
Herkimer,Town of German Flatts 2 LD 1,President,,DEM,Hillary Clinton,136,9,145
Herkimer,Town of German Flatts 3 LD 4,President,,DEM,Hillary Clinton,171,23,194
Herkimer,Town of German Flatts 4 LD 5,President,,DEM,Hillary Clinton,45,1,46
Herkimer,Town of German Flatts 5 LD 6,President,,DEM,Hillary Clinton,35,3,38
Herkimer,Town of German Flatts 6 LD 6,President,,DEM,Hillary Clinton,96,8,104
Herkimer,Town of German Flatts 7 LD 4,President,,DEM,Hillary Clinton,78,8,86
Herkimer,Town of German Flatts 8 LD 5,President,,DEM,Hillary Clinton,87,5,92
Herkimer,Town of German Flatts 9 LD 4,President,,DEM,Hillary Clinton,101,3,104
Herkimer,Town of German Flatts 10 LD 5,President,,DEM,Hillary Clinton,49,5,54
Herkimer,Town of German Flatts 11 LD 6,President,,DEM,Hillary Clinton,147,13,160
Herkimer,Town of German Flatts 12 LD 6,President,,DEM,Hillary Clinton,143,6,149
Herkimer,Town of German Flatts 13 LD 5,President,,DEM,Hillary Clinton,178,15,193
Herkimer,Town of German Flatts 14 LD 5,President,,DEM,Hillary Clinton,79,6,85
Herkimer,Town of Herkimer 1 LD 2,President,,DEM,Hillary Clinton,169,22,191
Herkimer,Town of Herkimer 2 LD 2,President,,DEM,Hillary Clinton,83,27,110
Herkimer,Town of Herkimer 3 LD 2,President,,DEM,Hillary Clinton,82,7,89
Herkimer,Town of Herkimer 4 LD 2,President,,DEM,Hillary Clinton,82,21,103
Herkimer,Town of Herkimer 5 LD 1,President,,DEM,Hillary Clinton,117,9,126
Herkimer,Town of Herkimer 6 LD 3,President,,DEM,Hillary Clinton,223,27,250
Herkimer,Town of Herkimer 7 LD 3,President,,DEM,Hillary Clinton,101,16,117
Herkimer,Town of Herkimer 8 LD 1,President,,DEM,Hillary Clinton,118,16,134
Herkimer,Town of Herkimer 9 LD 3,President,,DEM,Hillary Clinton,151,27,178
Herkimer,Town of Litchfield 1 LD 13,President,,DEM,Hillary Clinton,142,13,155
Herkimer,Town of Little Falls 1 LD 14,President,,DEM,Hillary Clinton,191,18,209
Herkimer,Town of Manheim 1 LD 10,President,,DEM,Hillary Clinton,43,2,45
Herkimer,Town of Manheim 2 LD 10,President,,DEM,Hillary Clinton,210,12,222
Herkimer,Town of Manheim 3 LD 10,President,,DEM,Hillary Clinton,97,11,108
Herkimer,Town of Newport 1 LD 17,President,,DEM,Hillary Clinton,230,10,240
Herkimer,Town of Norway 1 LD 16,President,,DEM,Hillary Clinton,59,6,65
Herkimer,Town of Ohio 1 LD 15,President,,DEM,Hillary Clinton,73,18,91
Herkimer,Town of Russia 1 LD 17,President,,DEM,Hillary Clinton,157,25,182
Herkimer,Town of Russia 2 LD 15,President,,DEM,Hillary Clinton,66,6,72
Herkimer,Town of Russia 3 LD 17,President,,DEM,Hillary Clinton,31,3,34
Herkimer,Town of Salisbury 1 LD 16,President,,DEM,Hillary Clinton,106,9,115
Herkimer,Town of Schuyler 1 LD 11,President,,DEM,Hillary Clinton,117,10,127
Herkimer,Town of Schuyler 2 LD 11,President,,DEM,Hillary Clinton,138,6,144
Herkimer,Town of Schuyler 3 LD 11,President,,DEM,Hillary Clinton,86,2,88
Herkimer,Town of Stark 1 LD 14,President,,DEM,Hillary Clinton,83,9,92
Herkimer,Town of Warren 1 LD 7,President,,DEM,Hillary Clinton,71,12,83
Herkimer,Town of Webb 1 LD 15,President,,DEM,Hillary Clinton,306,49,355
Herkimer,Town of Webb 2 LD 15,President,,DEM,Hillary Clinton,34,29,63
Herkimer,Town of Winfield 1 LD 13,President,,DEM,Hillary Clinton,89,9,98
Herkimer,Town of Winfield 2 LD 13,President,,DEM,Hillary Clinton,119,12,131
Herkimer,City of Little Falls Ward 1 1 LD 12,President,,WOR,Hillary Clinton,5,0,5
Herkimer,City of Little Falls Ward 2 1 LD 12,President,,WOR,Hillary Clinton,2,0,2
Herkimer,City of Little Falls Ward 3 1 LD 12,President,,WOR,Hillary Clinton,2,1,3
Herkimer,City of Little Falls Ward 3 2 LD 10,President,,WOR,Hillary Clinton,6,1,7
Herkimer,City of Little Falls Ward 4 1 LD 12,President,,WOR,Hillary Clinton,5,0,5
Herkimer,Town of Columbia 1 LD 7,President,,WOR,Hillary Clinton,7,1,8
Herkimer,Town of Columbia 2 LD 13,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of Danube 1 LD 14,President,,WOR,Hillary Clinton,6,0,6
Herkimer,Town of Fairfield 1 LD 16,President,,WOR,Hillary Clinton,10,1,11
Herkimer,Town of Frankfort 1 LD 8,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Frankfort 2 LD 9,President,,WOR,Hillary Clinton,5,0,5
Herkimer,Town of Frankfort 3 LD 9,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of Frankfort 4 LD 8,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of Frankfort 5 LD 8,President,,WOR,Hillary Clinton,5,1,6
Herkimer,Town of Frankfort 6 LD 9,President,,WOR,Hillary Clinton,4,1,5
Herkimer,Town of German Flatts 1 LD 7,President,,WOR,Hillary Clinton,4,1,5
Herkimer,Town of German Flatts 2 LD 1,President,,WOR,Hillary Clinton,3,1,4
Herkimer,Town of German Flatts 3 LD 4,President,,WOR,Hillary Clinton,7,0,7
Herkimer,Town of German Flatts 4 LD 5,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 5 LD 6,President,,WOR,Hillary Clinton,0,1,1
Herkimer,Town of German Flatts 6 LD 6,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 7 LD 4,President,,WOR,Hillary Clinton,1,1,2
Herkimer,Town of German Flatts 8 LD 5,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of German Flatts 9 LD 4,President,,WOR,Hillary Clinton,4,0,4
Herkimer,Town of German Flatts 10 LD 5,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 11 LD 6,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of German Flatts 12 LD 6,President,,WOR,Hillary Clinton,4,1,5
Herkimer,Town of German Flatts 13 LD 5,President,,WOR,Hillary Clinton,7,0,7
Herkimer,Town of German Flatts 14 LD 5,President,,WOR,Hillary Clinton,3,0,3
