county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
Queens,033/25,President,,Libertarian,Gary Johnson / Bill Weld,3,617,,26,2,4,6,0,0
Queens,033/25,President,,Independence,Gary Johnson / Bill Weld,13,617,,26,2,4,6,0,0
Queens,033/25,President,,Working Families,Hillary Clinton / Tim Kaine,11,617,,26,2,4,6,0,0
Queens,033/25,President,,Women's Equality,Hillary Clinton / Tim Kaine,3,617,,26,2,4,6,0,0
Queens,033/25,President,,Democratic,Hillary Clinton / Tim Kaine,380,617,,26,2,4,6,0,0
Queens,033/25,President,,Republican,Donald J. Trump / Michael R. Pence,197,617,,26,2,4,6,0,0
Queens,033/25,President,,Conservative,Donald J. Trump / Michael R. Pence,20,617,,26,2,4,6,0,0
Queens,033/25,President,,Green,Jill Stein / Ajamu Baraka,14,617,,26,2,4,6,0,0
Queens,033/24,President,,Libertarian,Gary Johnson / Bill Weld,4,628,,31,12,3,5,0,0
Queens,033/24,President,,Independence,Gary Johnson / Bill Weld,7,628,,31,12,3,5,0,0
Queens,033/24,President,,Working Families,Hillary Clinton / Tim Kaine,6,628,,31,12,3,5,0,0
Queens,033/24,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,628,,31,12,3,5,0,0
Queens,033/24,President,,Democratic,Hillary Clinton / Tim Kaine,292,628,,31,12,3,5,0,0
Queens,033/24,President,,Republican,Donald J. Trump / Michael R. Pence,321,628,,31,12,3,5,0,0
Queens,033/24,President,,Conservative,Donald J. Trump / Michael R. Pence,23,628,,31,12,3,5,0,0
Queens,033/24,President,,Green,Jill Stein / Ajamu Baraka,7,628,,31,12,3,5,0,0
Queens,033/27,President,,Libertarian,Gary Johnson / Bill Weld,0,70,,3,7,3,1,0,0
Queens,033/27,President,,Independence,Gary Johnson / Bill Weld,0,70,,3,7,3,1,0,0
Queens,033/27,President,,Working Families,Hillary Clinton / Tim Kaine,3,70,,3,7,3,1,0,0
Queens,033/27,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,70,,3,7,3,1,0,0
Queens,033/27,President,,Democratic,Hillary Clinton / Tim Kaine,65,70,,3,7,3,1,0,0
Queens,033/27,President,,Republican,Donald J. Trump / Michael R. Pence,12,70,,3,7,3,1,0,0
Queens,033/27,President,,Conservative,Donald J. Trump / Michael R. Pence,2,70,,3,7,3,1,0,0
Queens,033/27,President,,Green,Jill Stein / Ajamu Baraka,0,70,,3,7,3,1,0,0
Queens,033/26,President,,Libertarian,Gary Johnson / Bill Weld,4,742,,45,8,16,7,0,0
Queens,033/26,President,,Independence,Gary Johnson / Bill Weld,7,742,,45,8,16,7,0,0
Queens,033/26,President,,Working Families,Hillary Clinton / Tim Kaine,12,742,,45,8,16,7,0,0
Queens,033/26,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,742,,45,8,16,7,0,0
Queens,033/26,President,,Democratic,Hillary Clinton / Tim Kaine,448,742,,45,8,16,7,0,0
Queens,033/26,President,,Republican,Donald J. Trump / Michael R. Pence,267,742,,45,8,16,7,0,0
Queens,033/26,President,,Conservative,Donald J. Trump / Michael R. Pence,48,742,,45,8,16,7,0,0
Queens,033/26,President,,Green,Jill Stein / Ajamu Baraka,11,742,,45,8,16,7,0,0
Queens,033/23,President,,Libertarian,Gary Johnson / Bill Weld,1,518,,17,0,56,3,0,0
Queens,033/23,President,,Independence,Gary Johnson / Bill Weld,2,518,,17,0,56,3,0,0
Queens,033/23,President,,Working Families,Hillary Clinton / Tim Kaine,11,518,,17,0,56,3,0,0
Queens,033/23,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,518,,17,0,56,3,0,0
Queens,033/23,President,,Democratic,Hillary Clinton / Tim Kaine,546,518,,17,0,56,3,0,0
Queens,033/23,President,,Republican,Donald J. Trump / Michael R. Pence,21,518,,17,0,56,3,0,0
Queens,033/23,President,,Conservative,Donald J. Trump / Michael R. Pence,3,518,,17,0,56,3,0,0
Queens,033/23,President,,Green,Jill Stein / Ajamu Baraka,2,518,,17,0,56,3,0,0
Queens,017/36,President,,Libertarian,Gary Johnson / Bill Weld,9,670,,25,14,20,8,0,0
Queens,017/36,President,,Independence,Gary Johnson / Bill Weld,8,670,,25,14,20,8,0,0
Queens,017/36,President,,Working Families,Hillary Clinton / Tim Kaine,34,670,,25,14,20,8,0,0
Queens,017/36,President,,Women's Equality,Hillary Clinton / Tim Kaine,4,670,,25,14,20,8,0,0
Queens,017/36,President,,Democratic,Hillary Clinton / Tim Kaine,559,670,,25,14,20,8,0,0
Queens,017/36,President,,Republican,Donald J. Trump / Michael R. Pence,94,670,,25,14,20,8,0,0
Queens,017/36,President,,Conservative,Donald J. Trump / Michael R. Pence,2,670,,25,14,20,8,0,0
Queens,017/36,President,,Green,Jill Stein / Ajamu Baraka,10,670,,25,14,20,8,0,0
Queens,033/29,President,,Libertarian,Gary Johnson / Bill Weld,1,700,,25,1,39,7,0,0
Queens,033/29,President,,Independence,Gary Johnson / Bill Weld,3,700,,25,1,39,7,0,0
Queens,033/29,President,,Working Families,Hillary Clinton / Tim Kaine,7,700,,25,1,39,7,0,0
Queens,033/29,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,700,,25,1,39,7,0,0
Queens,033/29,President,,Democratic,Hillary Clinton / Tim Kaine,722,700,,25,1,39,7,0,0
Queens,033/29,President,,Republican,Donald J. Trump / Michael R. Pence,12,700,,25,1,39,7,0,0
Queens,033/29,President,,Conservative,Donald J. Trump / Michael R. Pence,2,700,,25,1,39,7,0,0
Queens,033/29,President,,Green,Jill Stein / Ajamu Baraka,6,700,,25,1,39,7,0,0
Queens,033/28,President,,Libertarian,Gary Johnson / Bill Weld,0,18,,0,0,0,,0,0
Queens,033/28,President,,Independence,Gary Johnson / Bill Weld,0,18,,0,0,0,,0,0
Queens,033/28,President,,Working Families,Hillary Clinton / Tim Kaine,0,18,,0,0,0,,0,0
Queens,033/28,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,18,,0,0,0,,0,0
Queens,033/28,President,,Democratic,Hillary Clinton / Tim Kaine,9,18,,0,0,0,,0,0
Queens,033/28,President,,Republican,Donald J. Trump / Michael R. Pence,9,18,,0,0,0,,0,0
Queens,033/28,President,,Conservative,Donald J. Trump / Michael R. Pence,0,18,,0,0,0,,0,0
Queens,033/28,President,,Green,Jill Stein / Ajamu Baraka,0,18,,0,0,0,,0,0
Queens,021/23,President,,Libertarian,Gary Johnson / Bill Weld,1,415,,22,0,10,4,0,0
Queens,021/23,President,,Independence,Gary Johnson / Bill Weld,5,415,,22,0,10,4,0,0
Queens,021/23,President,,Working Families,Hillary Clinton / Tim Kaine,11,415,,22,0,10,4,0,0
Queens,021/23,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,415,,22,0,10,4,0,0
Queens,021/23,President,,Democratic,Hillary Clinton / Tim Kaine,305,415,,22,0,10,4,0,0
Queens,021/23,President,,Republican,Donald J. Trump / Michael R. Pence,99,415,,22,0,10,4,0,0
Queens,021/23,President,,Conservative,Donald J. Trump / Michael R. Pence,10,415,,22,0,10,4,0,0
Queens,021/23,President,,Green,Jill Stein / Ajamu Baraka,8,415,,22,0,10,4,0,0
Queens,021/40,President,,Libertarian,Gary Johnson / Bill Weld,0,273,,8,1,16,2,0,0
Queens,021/40,President,,Independence,Gary Johnson / Bill Weld,2,273,,8,1,16,2,0,0
Queens,021/40,President,,Working Families,Hillary Clinton / Tim Kaine,4,273,,8,1,16,2,0,0
Queens,021/40,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,273,,8,1,16,2,0,0
Queens,021/40,President,,Democratic,Hillary Clinton / Tim Kaine,205,273,,8,1,16,2,0,0
Queens,021/40,President,,Republican,Donald J. Trump / Michael R. Pence,69,273,,8,1,16,2,0,0
Queens,021/40,President,,Conservative,Donald J. Trump / Michael R. Pence,6,273,,8,1,16,2,0,0
Queens,021/40,President,,Green,Jill Stein / Ajamu Baraka,5,273,,8,1,16,2,0,0
Queens,021/26,President,,Libertarian,Gary Johnson / Bill Weld,3,562,,21,2,16,4,0,0
Queens,021/26,President,,Independence,Gary Johnson / Bill Weld,14,562,,21,2,16,4,0,0
Queens,021/26,President,,Working Families,Hillary Clinton / Tim Kaine,7,562,,21,2,16,4,0,0
Queens,021/26,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,562,,21,2,16,4,0,0
Queens,021/26,President,,Democratic,Hillary Clinton / Tim Kaine,365,562,,21,2,16,4,0,0
Queens,021/26,President,,Republican,Donald J. Trump / Michael R. Pence,186,562,,21,2,16,4,0,0
Queens,021/26,President,,Conservative,Donald J. Trump / Michael R. Pence,15,562,,21,2,16,4,0,0
Queens,021/26,President,,Green,Jill Stein / Ajamu Baraka,3,562,,21,2,16,4,0,0
Queens,021/27,President,,Libertarian,Gary Johnson / Bill Weld,0,610,,37,5,7,8,0,0
Queens,021/27,President,,Independence,Gary Johnson / Bill Weld,11,610,,37,5,7,8,0,0
Queens,021/27,President,,Working Families,Hillary Clinton / Tim Kaine,26,610,,37,5,7,8,0,0
Queens,021/27,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,610,,37,5,7,8,0,0
Queens,021/27,President,,Democratic,Hillary Clinton / Tim Kaine,481,610,,37,5,7,8,0,0
Queens,021/27,President,,Republican,Donald J. Trump / Michael R. Pence,106,610,,37,5,7,8,0,0
Queens,021/27,President,,Conservative,Donald J. Trump / Michael R. Pence,8,610,,37,5,7,8,0,0
Queens,021/27,President,,Green,Jill Stein / Ajamu Baraka,10,610,,37,5,7,8,0,0
Queens,021/24,President,,Libertarian,Gary Johnson / Bill Weld,1,716,,34,5,13,2,0,0
Queens,021/24,President,,Independence,Gary Johnson / Bill Weld,10,716,,34,5,13,2,0,0
Queens,021/24,President,,Working Families,Hillary Clinton / Tim Kaine,10,716,,34,5,13,2,0,0
Queens,021/24,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,716,,34,5,13,2,0,0
Queens,021/24,President,,Democratic,Hillary Clinton / Tim Kaine,476,716,,34,5,13,2,0,0
Queens,021/24,President,,Republican,Donald J. Trump / Michael R. Pence,227,716,,34,5,13,2,0,0
Queens,021/24,President,,Conservative,Donald J. Trump / Michael R. Pence,23,716,,34,5,13,2,0,0
Queens,021/24,President,,Green,Jill Stein / Ajamu Baraka,11,716,,34,5,13,2,0,0
Queens,021/25,President,,Libertarian,Gary Johnson / Bill Weld,1,660,,33,2,12,2,0,0
Queens,021/25,President,,Independence,Gary Johnson / Bill Weld,9,660,,33,2,12,2,0,0
Queens,021/25,President,,Working Families,Hillary Clinton / Tim Kaine,19,660,,33,2,12,2,0,0
Queens,021/25,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,660,,33,2,12,2,0,0
Queens,021/25,President,,Democratic,Hillary Clinton / Tim Kaine,443,660,,33,2,12,2,0,0
