assembly_district,precinct,county,party,office,district,candidate,votes
41,1,Kings,Democratic,President,,Emergency,0
41,1,Kings,Democratic,President,,Absentee/Military,2
41,1,Kings,Democratic,President,,Federal,1
41,1,Kings,Democratic,President,,Affidavit,1
41,1,Kings,Democratic,President,,Bernie Sanders,61
41,1,Kings,Democratic,President,,Hillary Clinton,79
41,2,Kings,Democratic,President,,Emergency,0
41,2,Kings,Democratic,President,,Absentee/Military,5
41,2,Kings,Democratic,President,,Federal,0
41,2,Kings,Democratic,President,,Affidavit,2
41,2,Kings,Democratic,President,,Bernie Sanders,65
41,2,Kings,Democratic,President,,Hillary Clinton,92
41,3,Kings,Democratic,President,,Emergency,0
41,3,Kings,Democratic,President,,Absentee/Military,2
41,3,Kings,Democratic,President,,Federal,2
41,3,Kings,Democratic,President,,Affidavit,1
41,3,Kings,Democratic,President,,Bernie Sanders,33
41,3,Kings,Democratic,President,,Hillary Clinton,17
41,4,Kings,Democratic,President,,Emergency,0
41,4,Kings,Democratic,President,,Absentee/Military,5
41,4,Kings,Democratic,President,,Federal,0
41,4,Kings,Democratic,President,,Affidavit,1
41,4,Kings,Democratic,President,,Bernie Sanders,45
41,4,Kings,Democratic,President,,Hillary Clinton,37
41,5,Kings,Democratic,President,,Emergency,0
41,5,Kings,Democratic,President,,Absentee/Military,4
41,5,Kings,Democratic,President,,Federal,0
41,5,Kings,Democratic,President,,Affidavit,5
41,5,Kings,Democratic,President,,Bernie Sanders,41
41,5,Kings,Democratic,President,,Hillary Clinton,62
41,6,Kings,Democratic,President,,Emergency,0
41,6,Kings,Democratic,President,,Absentee/Military,3
41,6,Kings,Democratic,President,,Federal,0
41,6,Kings,Democratic,President,,Affidavit,1
41,6,Kings,Democratic,President,,Bernie Sanders,53
41,6,Kings,Democratic,President,,Hillary Clinton,58
41,7,Kings,Democratic,President,,Emergency,0
41,7,Kings,Democratic,President,,Absentee/Military,3
41,7,Kings,Democratic,President,,Federal,1
41,7,Kings,Democratic,President,,Affidavit,4
41,7,Kings,Democratic,President,,Bernie Sanders,65
41,7,Kings,Democratic,President,,Hillary Clinton,70
41,8,Kings,Democratic,President,,Emergency,0
41,8,Kings,Democratic,President,,Absentee/Military,5
41,8,Kings,Democratic,President,,Federal,1
41,8,Kings,Democratic,President,,Affidavit,0
41,8,Kings,Democratic,President,,Bernie Sanders,40
41,8,Kings,Democratic,President,,Hillary Clinton,69
41,9,Kings,Democratic,President,,Emergency,0
41,9,Kings,Democratic,President,,Absentee/Military,3
41,9,Kings,Democratic,President,,Federal,0
41,9,Kings,Democratic,President,,Affidavit,0
41,9,Kings,Democratic,President,,Bernie Sanders,24
41,9,Kings,Democratic,President,,Hillary Clinton,60
41,10,Kings,Democratic,President,,Emergency,0
41,10,Kings,Democratic,President,,Absentee/Military,3
41,10,Kings,Democratic,President,,Federal,0
41,10,Kings,Democratic,President,,Affidavit,1
41,10,Kings,Democratic,President,,Bernie Sanders,39
41,10,Kings,Democratic,President,,Hillary Clinton,42
41,11,Kings,Democratic,President,,Emergency,0
41,11,Kings,Democratic,President,,Absentee/Military,0
41,11,Kings,Democratic,President,,Federal,0
41,11,Kings,Democratic,President,,Affidavit,1
41,11,Kings,Democratic,President,,Bernie Sanders,19
41,11,Kings,Democratic,President,,Hillary Clinton,25
41,12,Kings,Democratic,President,,Emergency,0
41,12,Kings,Democratic,President,,Absentee/Military,2
41,12,Kings,Democratic,President,,Federal,0
41,12,Kings,Democratic,President,,Affidavit,0
41,12,Kings,Democratic,President,,Bernie Sanders,23
41,12,Kings,Democratic,President,,Hillary Clinton,30
41,13,Kings,Democratic,President,,Emergency,0
41,13,Kings,Democratic,President,,Absentee/Military,0
41,13,Kings,Democratic,President,,Federal,0
41,13,Kings,Democratic,President,,Affidavit,0
41,14,Kings,Democratic,President,,Emergency,0
41,14,Kings,Democratic,President,,Absentee/Military,1
41,14,Kings,Democratic,President,,Federal,0
41,14,Kings,Democratic,President,,Affidavit,0
41,14,Kings,Democratic,President,,Bernie Sanders,12
41,14,Kings,Democratic,President,,Hillary Clinton,10
41,15,Kings,Democratic,President,,Emergency,0
41,15,Kings,Democratic,President,,Absentee/Military,0
41,15,Kings,Democratic,President,,Federal,0
41,15,Kings,Democratic,President,,Affidavit,2
41,15,Kings,Democratic,President,,Bernie Sanders,19
41,15,Kings,Democratic,President,,Hillary Clinton,17
41,16,Kings,Democratic,President,,Emergency,0
41,16,Kings,Democratic,President,,Absentee/Military,5
41,16,Kings,Democratic,President,,Federal,1
41,16,Kings,Democratic,President,,Affidavit,1
41,16,Kings,Democratic,President,,Bernie Sanders,88
41,16,Kings,Democratic,President,,Hillary Clinton,87
41,17,Kings,Democratic,President,,Emergency,0
41,17,Kings,Democratic,President,,Absentee/Military,0
41,17,Kings,Democratic,President,,Federal,0
41,17,Kings,Democratic,President,,Affidavit,1
41,17,Kings,Democratic,President,,Bernie Sanders,69
41,17,Kings,Democratic,President,,Hillary Clinton,53
41,18,Kings,Democratic,President,,Emergency,0
41,18,Kings,Democratic,President,,Absentee/Military,4
41,18,Kings,Democratic,President,,Federal,0
41,18,Kings,Democratic,President,,Affidavit,1
41,18,Kings,Democratic,President,,Bernie Sanders,68
41,18,Kings,Democratic,President,,Hillary Clinton,30
41,19,Kings,Democratic,President,,Emergency,0
41,19,Kings,Democratic,President,,Absentee/Military,0
41,19,Kings,Democratic,President,,Federal,0
41,19,Kings,Democratic,President,,Affidavit,1
41,19,Kings,Democratic,President,,Bernie Sanders,10
41,19,Kings,Democratic,President,,Hillary Clinton,4
41,20,Kings,Democratic,President,,Emergency,0
41,20,Kings,Democratic,President,,Absentee/Military,4
41,20,Kings,Democratic,President,,Federal,0
41,20,Kings,Democratic,President,,Affidavit,0
41,20,Kings,Democratic,President,,Bernie Sanders,31
41,20,Kings,Democratic,President,,Hillary Clinton,65
41,21,Kings,Democratic,President,,Emergency,0
41,21,Kings,Democratic,President,,Absentee/Military,4
41,21,Kings,Democratic,President,,Federal,0
41,21,Kings,Democratic,President,,Affidavit,5
41,21,Kings,Democratic,President,,Bernie Sanders,66
41,21,Kings,Democratic,President,,Hillary Clinton,96
41,22,Kings,Democratic,President,,Emergency,0
41,22,Kings,Democratic,President,,Absentee/Military,1
41,22,Kings,Democratic,President,,Federal,0
41,22,Kings,Democratic,President,,Affidavit,2
41,22,Kings,Democratic,President,,Bernie Sanders,22
41,22,Kings,Democratic,President,,Hillary Clinton,44
41,23,Kings,Democratic,President,,Emergency,0
41,23,Kings,Democratic,President,,Absentee/Military,0
41,23,Kings,Democratic,President,,Federal,0
41,23,Kings,Democratic,President,,Affidavit,0
