county,precinct,office,district,candidate,party,votes,,
Clinton,Altona 001,President,,Hillary Clinton,DEM,161,,
Clinton,Altona 002,President,,Hillary Clinton,DEM,179,,
Clinton,Ausable 001,President,,Hillary Clinton,DEM,183,,
Clinton,Ausable 002,President,,Hillary Clinton,DEM,225,,
Clinton,Beekmantown 001,President,,Hillary Clinton,DEM,225,,
Clinton,Beekmantown 002,President,,Hillary Clinton,DEM,248,,
Clinton,Beekmantown 003,President,,Hillary Clinton,DEM,375,,
Clinton,Beekmantown 004,President,,Hillary Clinton,DEM,278,,
Clinton,Black Brook 001,President,,Hillary Clinton,DEM,156,,
Clinton,Black Brook 002,President,,Hillary Clinton,DEM,71,,
Clinton,Champlain 001,President,,Hillary Clinton,DEM,344,,
Clinton,Champlain 002,President,,Hillary Clinton,DEM,358,,
Clinton,Champlain 003,President,,Hillary Clinton,DEM,334,,
Clinton,Chazy 001,President,,Hillary Clinton,DEM,421,,
Clinton,Chazy 002,President,,Hillary Clinton,DEM,402,,
Clinton,City of PlattsburgH W1D1,President,,Hillary Clinton,DEM,152,,
Clinton,City of Plattsburgh W1P2,President,,Hillary Clinton,DEM,542,,
Clinton,City of Plattsburgh W1P3,President,,Hillary Clinton,DEM,32,,
Clinton,City of Plattsburgh W2D1,President,,Hillary Clinton,DEM,252,,
Clinton,City of Plattsburgh W2D2,President,,Hillary Clinton,DEM,167,,
Clinton,City of Plattsburgh W3D1,President,,Hillary Clinton,DEM,353,,
Clinton,City of Plattsburgh W3D2,President,,Hillary Clinton,DEM,401,,
Clinton,City of Plattsburgh W4D1,President,,Hillary Clinton,DEM,463,,
Clinton,City of Plattsburgh W4D2,President,,Hillary Clinton,DEM,410,,
Clinton,City of Plattsburgh W5D1,President,,Hillary Clinton,DEM,249,,
Clinton,City of Plattsburgh W5D2,President,,Hillary Clinton,DEM,461,,
Clinton,City of Plattsburgh W6D1,President,,Hillary Clinton,DEM,308,,
Clinton,City of Plattsburgh W6D2,President,,Hillary Clinton,DEM,226,,
Clinton,Clinton 001,President,,Hillary Clinton,DEM,104,,
Clinton,Dannemora 001,President,,Hillary Clinton,DEM,61,,
Clinton,Dannemora 002,President,,Hillary Clinton,DEM,127,,
Clinton,Dannemora 003,President,,Hillary Clinton,DEM,115,,
Clinton,Ellenburg 001,President,,Hillary Clinton,DEM,117,,
Clinton,Ellenburg 002,President,,Hillary Clinton,DEM,116,,
Clinton,Ellenburg 003,President,,Hillary Clinton,DEM,51,,
Clinton,Mooers 001,President,,Hillary Clinton,DEM,318,,
Clinton,Mooers 002,President,,Hillary Clinton,DEM,175,,
Clinton,Peru 001,President,,Hillary Clinton,DEM,265,,
Clinton,Peru 002,President,,Hillary Clinton,DEM,353,,
Clinton,Peru 003,President,,Hillary Clinton,DEM,163,,
Clinton,Peru 004,President,,Hillary Clinton,DEM,448,,
