county,precinct,office,district,party,candidate,votes,early_voting
Rensselaer,"Troy 9-11, 16-22, 24-30",Member of Assembly,108,DEM,"John T. McDonald, III",735,
Rensselaer,Rensselaer 1 - 6,Member of Assembly,108,DEM,"John T. McDonald, III",348,
Rensselaer,North Greenbush 1,Member of Assembly,108,DEM,"John T. McDonald, III",38,
Rensselaer,North Greenbush 2,Member of Assembly,108,DEM,"John T. McDonald, III",101,
Rensselaer,North Greenbush 3,Member of Assembly,108,DEM,"John T. McDonald, III",64,
Rensselaer,North Greenbush 4,Member of Assembly,108,DEM,"John T. McDonald, III",102,
Rensselaer,North Greenbush 5,Member of Assembly,108,DEM,"John T. McDonald, III",76,
Rensselaer,North Greenbush 6,Member of Assembly,108,DEM,"John T. McDonald, III",99,
Rensselaer,North Greenbush 7,Member of Assembly,108,DEM,"John T. McDonald, III",59,
Rensselaer,North Greenbush 8,Member of Assembly,108,DEM,"John T. McDonald, III",118,
Rensselaer,,Member of Assembly,108,DEM,"John T. McDonald, III",77,77
Rensselaer,"Troy 9-11, 16-22, 24-30",Member of Assembly,108,DEM,Sam Fein,782,
Rensselaer,Rensselaer 1 - 6,Member of Assembly,108,DEM,Sam Fein,207,
Rensselaer,North Greenbush 1,Member of Assembly,108,DEM,Sam Fein,10,
Rensselaer,North Greenbush 2,Member of Assembly,108,DEM,Sam Fein,63,
Rensselaer,North Greenbush 3,Member of Assembly,108,DEM,Sam Fein,11,
Rensselaer,North Greenbush 4,Member of Assembly,108,DEM,Sam Fein,47,
Rensselaer,North Greenbush 5,Member of Assembly,108,DEM,Sam Fein,31,
Rensselaer,North Greenbush 6,Member of Assembly,108,DEM,Sam Fein,41,
Rensselaer,North Greenbush 7,Member of Assembly,108,DEM,Sam Fein,22,
Rensselaer,North Greenbush 8,Member of Assembly,108,DEM,Sam Fein,43,
Rensselaer,,Member of Assembly,108,DEM,Sam Fein,56,56
Rensselaer,"Troy 9-11, 16-22, 24-30",Member of Assembly,108,DEM,Blank,83,
Rensselaer,Rensselaer 1 - 6,Member of Assembly,108,DEM,Blank,3,
Rensselaer,North Greenbush 1,Member of Assembly,108,DEM,Blank,7,
Rensselaer,North Greenbush 2,Member of Assembly,108,DEM,Blank,9,
Rensselaer,North Greenbush 3,Member of Assembly,108,DEM,Blank,12,
Rensselaer,North Greenbush 4,Member of Assembly,108,DEM,Blank,0,
Rensselaer,North Greenbush 5,Member of Assembly,108,DEM,Blank,5,
Rensselaer,North Greenbush 6,Member of Assembly,108,DEM,Blank,14,
Rensselaer,North Greenbush 7,Member of Assembly,108,DEM,Blank,10,
Rensselaer,North Greenbush 8,Member of Assembly,108,DEM,Blank,31,
Rensselaer,"Troy 9-11, 16-22, 24-30",Member of Assembly,108,DEM,Void,4,
Rensselaer,Rensselaer 1 - 6,Member of Assembly,108,DEM,Void,33,
Rensselaer,North Greenbush 1,Member of Assembly,108,DEM,Void,0,
Rensselaer,North Greenbush 2,Member of Assembly,108,DEM,Void,0,
Rensselaer,North Greenbush 3,Member of Assembly,108,DEM,Void,5,
Rensselaer,North Greenbush 4,Member of Assembly,108,DEM,Void,2,
Rensselaer,North Greenbush 5,Member of Assembly,108,DEM,Void,3,
Rensselaer,North Greenbush 6,Member of Assembly,108,DEM,Void,8,
Rensselaer,North Greenbush 7,Member of Assembly,108,DEM,Void,4,
Rensselaer,North Greenbush 8,Member of Assembly,108,DEM,Void,3,
Rensselaer,"Berlin 1, 2",Representative in Congress,19,REP,Ola Hawatmeh,17,
Rensselaer,Brunswick 1 - 10,Representative in Congress,19,REP,Ola Hawatmeh,57,
Rensselaer,"Grafton 1, 2",Representative in Congress,19,REP,Ola Hawatmeh,15,
Rensselaer,Hoosick 1 - 7,Representative in Congress,19,REP,Ola Hawatmeh,49,
Rensselaer,Nassau 1 - 4,Representative in Congress,19,REP,Ola Hawatmeh,45,
Rensselaer,Petersburgh 1,Representative in Congress,19,REP,Ola Hawatmeh,11,
Rensselaer,Pittstown 1 - 6,Representative in Congress,19,REP,Ola Hawatmeh,44,
Rensselaer,Poestenkill 1 - 4,Representative in Congress,19,REP,Ola Hawatmeh,40,
Rensselaer,Sand Lake 1 - 6,Representative in Congress,19,REP,Ola Hawatmeh,74,
Rensselaer,Schaghticoke 1 - 7,Representative in Congress,19,REP,Ola Hawatmeh,60,
Rensselaer,"Schodack 2,4,7,8,9",Representative in Congress,19,REP,Ola Hawatmeh,57,
Rensselaer,"Stephentown 1, 2",Representative in Congress,19,REP,Ola Hawatmeh,20,
Rensselaer,,Representative in Congress,19,REP,Ola Hawatmeh,18,18
Rensselaer,"Berlin 1, 2",Representative in Congress,19,REP,Kyle Van De Water,17,
Rensselaer,Brunswick 1 - 10,Representative in Congress,19,REP,Kyle Van De Water,98,
Rensselaer,"Grafton 1, 2",Representative in Congress,19,REP,Kyle Van De Water,26,
Rensselaer,Hoosick 1 - 7,Representative in Congress,19,REP,Kyle Van De Water,29,
Rensselaer,Nassau 1 - 4,Representative in Congress,19,REP,Kyle Van De Water,56,
Rensselaer,Petersburgh 1,Representative in Congress,19,REP,Kyle Van De Water,20,
Rensselaer,Pittstown 1 - 6,Representative in Congress,19,REP,Kyle Van De Water,71,
Rensselaer,Poestenkill 1 - 4,Representative in Congress,19,REP,Kyle Van De Water,32,
Rensselaer,Sand Lake 1 - 6,Representative in Congress,19,REP,Kyle Van De Water,70,
Rensselaer,Schaghticoke 1 - 7,Representative in Congress,19,REP,Kyle Van De Water,61,
Rensselaer,"Schodack 2,4,7,8,9",Representative in Congress,19,REP,Kyle Van De Water,54,
Rensselaer,"Stephentown 1, 2",Representative in Congress,19,REP,Kyle Van De Water,33,
Rensselaer,,Representative in Congress,19,REP,Kyle Van De Water,16,16
Rensselaer,"Berlin 1, 2",Representative in Congress,19,REP,Blank,0,
Rensselaer,Brunswick 1 - 10,Representative in Congress,19,REP,Blank,5,
Rensselaer,"Grafton 1, 2",Representative in Congress,19,REP,Blank,4,
Rensselaer,Hoosick 1 - 7,Representative in Congress,19,REP,Blank,0,
Rensselaer,Nassau 1 - 4,Representative in Congress,19,REP,Blank,0,
Rensselaer,Petersburgh 1,Representative in Congress,19,REP,Blank,0,
Rensselaer,Pittstown 1 - 6,Representative in Congress,19,REP,Blank,0,
Rensselaer,Poestenkill 1 - 4,Representative in Congress,19,REP,Blank,0,
Rensselaer,Sand Lake 1 - 6,Representative in Congress,19,REP,Blank,2,
Rensselaer,Schaghticoke 1 - 7,Representative in Congress,19,REP,Blank,3,
Rensselaer,"Schodack 2,4,7,8,9",Representative in Congress,19,REP,Blank,1,
Rensselaer,"Stephentown 1, 2",Representative in Congress,19,REP,Blank,2,
Rensselaer,"Berlin 1, 2",Representative in Congress,19,REP,Void,,
Rensselaer,Brunswick 1 - 10,Representative in Congress,19,REP,Void,,
Rensselaer,"Grafton 1, 2",Representative in Congress,19,REP,Void,,
Rensselaer,Hoosick 1 - 7,Representative in Congress,19,REP,Void,1,
Rensselaer,Nassau 1 - 4,Representative in Congress,19,REP,Void,,
Rensselaer,Petersburgh 1,Representative in Congress,19,REP,Void,,
Rensselaer,Pittstown 1 - 6,Representative in Congress,19,REP,Void,1,
Rensselaer,Poestenkill 1 - 4,Representative in Congress,19,REP,Void,1,
Rensselaer,Sand Lake 1 - 6,Representative in Congress,19,REP,Void,1,
Rensselaer,Schaghticoke 1 - 7,Representative in Congress,19,REP,Void,4,
