county,precinct,office,district,candidate,party,votes,election_day,absentee,early_voting
Yates,Barrington 1,President,,Joseph R. Biden,DEM,227,93,62,72
Yates,Benton 1,President,,Joseph R. Biden,DEM,141,54,31,56
Yates,Benton 2,President,,Joseph R. Biden,DEM,230,68,64,98
Yates,Italy 1,President,,Joseph R. Biden,DEM,181,89,38,54
Yates,Jerusalem 1,President,,Joseph R. Biden,DEM,271,68,71,132
Yates,Jerusalem 2,President,,Joseph R. Biden,DEM,196,66,52,78
Yates,Jerusalem 3,President,,Joseph R. Biden,DEM,177,65,61,51
Yates,Jerusalem 4,President,,Joseph R. Biden,DEM,227,53,47,127
Yates,Middlesex 1,President,,Joseph R. Biden,DEM,251,117,85,49
Yates,Milo 2,President,,Joseph R. Biden,DEM,323,61,99,163
Yates,Milo 3,President,,Joseph R. Biden,DEM,242,63,73,106
Yates,Milo 4,President,,Joseph R. Biden,DEM,108,51,22,35
Yates,Milo 5,President,,Joseph R. Biden,DEM,298,52,95,151
Yates,Milo 6,President,,Joseph R. Biden,DEM,263,50,92,121
Yates,Potter 1,President,,Joseph R. Biden,DEM,191,95,36,60
Yates,Starkey 1,President,,Joseph R. Biden,DEM,207,97,46,64
Yates,Starkey 2,President,,Joseph R. Biden,DEM,246,81,86,79
Yates,Torrey 1,President,,Joseph R. Biden,DEM,230,100,47,83
Yates,Cumulative,President,,Joseph R. Biden,DEM,5,0,5,0
Yates,Barrington 1,President,,Donald J. Trump,REP,331,254,33,44
Yates,Benton 1,President,,Donald J. Trump,REP,277,205,29,43
Yates,Benton 2,President,,Donald J. Trump,REP,335,247,31,57
Yates,Italy 1,President,,Donald J. Trump,REP,293,258,20,15
Yates,Jerusalem 1,President,,Donald J. Trump,REP,280,171,31,78
Yates,Jerusalem 2,President,,Donald J. Trump,REP,252,181,28,43
Yates,Jerusalem 3,President,,Donald J. Trump,REP,284,197,34,53
Yates,Jerusalem 4,President,,Donald J. Trump,REP,255,140,38,77
Yates,Middlesex 1,President,,Donald J. Trump,REP,420,349,39,32
Yates,Milo 2,President,,Donald J. Trump,REP,320,160,50,110
Yates,Milo 3,President,,Donald J. Trump,REP,273,145,35,93
Yates,Milo 4,President,,Donald J. Trump,REP,216,178,18,20
Yates,Milo 5,President,,Donald J. Trump,REP,290,139,35,116
Yates,Milo 6,President,,Donald J. Trump,REP,339,149,55,135
Yates,Potter 1,President,,Donald J. Trump,REP,414,339,20,55
Yates,Starkey 1,President,,Donald J. Trump,REP,352,268,35,49
Yates,Starkey 2,President,,Donald J. Trump,REP,372,281,27,64
Yates,Torrey 1,President,,Donald J. Trump,REP,306,229,22,55
Yates,Cumulative,President,,Donald J. Trump,REP,2,0,2,0
Yates,Barrington 1,President,,Donald J. Trump,CON,36,26,5,5
Yates,Benton 1,President,,Donald J. Trump,CON,32,26,2,4
Yates,Benton 2,President,,Donald J. Trump,CON,28,16,1,11
Yates,Italy 1,President,,Donald J. Trump,CON,32,30,1,1
Yates,Jerusalem 1,President,,Donald J. Trump,CON,29,18,4,7
Yates,Jerusalem 2,President,,Donald J. Trump,CON,21,16,4,1
Yates,Jerusalem 3,President,,Donald J. Trump,CON,32,21,3,8
Yates,Jerusalem 4,President,,Donald J. Trump,CON,24,16,3,5
Yates,Middlesex 1,President,,Donald J. Trump,CON,63,60,2,1
Yates,Milo 2,President,,Donald J. Trump,CON,36,11,6,19
Yates,Milo 3,President,,Donald J. Trump,CON,28,21,2,5
Yates,Milo 4,President,,Donald J. Trump,CON,26,23,1,2
Yates,Milo 5,President,,Donald J. Trump,CON,26,13,3,10
Yates,Milo 6,President,,Donald J. Trump,CON,44,25,6,13
Yates,Potter 1,President,,Donald J. Trump,CON,49,35,9,5
Yates,Starkey 1,President,,Donald J. Trump,CON,28,21,4,3
Yates,Starkey 2,President,,Donald J. Trump,CON,33,25,4,4
Yates,Torrey 1,President,,Donald J. Trump,CON,30,21,6,3
Yates,Cumulative,President,,Donald J. Trump,CON,0,0,0,0
Yates,Barrington 1,President,,Joseph R. Biden,WOR,8,2,3,3
Yates,Benton 1,President,,Joseph R. Biden,WOR,5,3,1,1
Yates,Benton 2,President,,Joseph R. Biden,WOR,15,4,4,7
Yates,Italy 1,President,,Joseph R. Biden,WOR,16,9,3,4
Yates,Jerusalem 1,President,,Joseph R. Biden,WOR,9,2,3,4
Yates,Jerusalem 2,President,,Joseph R. Biden,WOR,19,6,6,7
Yates,Jerusalem 3,President,,Joseph R. Biden,WOR,9,4,0,5
Yates,Jerusalem 4,President,,Joseph R. Biden,WOR,8,3,1,4
Yates,Middlesex 1,President,,Joseph R. Biden,WOR,19,9,5,5
Yates,Milo 2,President,,Joseph R. Biden,WOR,17,7,4,6
Yates,Milo 3,President,,Joseph R. Biden,WOR,14,3,3,8
Yates,Milo 4,President,,Joseph R. Biden,WOR,7,4,0,3
Yates,Milo 5,President,,Joseph R. Biden,WOR,10,0,4,6
Yates,Milo 6,President,,Joseph R. Biden,WOR,6,4,0,2
Yates,Potter 1,President,,Joseph R. Biden,WOR,7,3,3,1
Yates,Starkey 1,President,,Joseph R. Biden,WOR,14,3,4,7
Yates,Starkey 2,President,,Joseph R. Biden,WOR,13,6,1,6
Yates,Torrey 1,President,,Joseph R. Biden,WOR,9,4,2,3
Yates,Cumulative,President,,Joseph R. Biden,WOR,0,0,0,0
Yates,Barrington 1,President,,Howie Hawkins,GRN,0,0,0,0
Yates,Benton 1,President,,Howie Hawkins,GRN,3,3,0,0
Yates,Benton 2,President,,Howie Hawkins,GRN,2,1,0,1
Yates,Italy 1,President,,Howie Hawkins,GRN,2,2,0,0
Yates,Jerusalem 1,President,,Howie Hawkins,GRN,5,0,5,0
Yates,Jerusalem 2,President,,Howie Hawkins,GRN,1,1,0,0
Yates,Jerusalem 3,President,,Howie Hawkins,GRN,3,3,0,0
Yates,Jerusalem 4,President,,Howie Hawkins,GRN,3,3,0,0
Yates,Middlesex 1,President,,Howie Hawkins,GRN,4,2,1,1
Yates,Milo 2,President,,Howie Hawkins,GRN,3,1,0,2
Yates,Milo 3,President,,Howie Hawkins,GRN,5,3,1,1
