county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
New York,1~65,U.S. House,10,Republican,Cathy A. Bernstein,144,393,,263,7,15,10,0,0
New York,1~65,President,,Republican,Donald J. Trump / Michael R. Pence,101,393,,263,7,15,10,0,0
New York,1~65,President,,Green,Howie Hawkins / Angela Nicole Walker,2,393,,263,7,15,10,0,0
New York,1~65,State Assembly,65,Working Families,Yuh-Line Niou,52,393,,263,7,15,10,0,0
New York,1~65,President,,Independence,Brock Pierce / Karla Ballard,1,393,,263,7,15,10,0,0
New York,1~65,U.S. House,10,Democratic,Jerrold L. Nadler,452,393,,263,7,15,10,0,0
New York,1~65,State Senate,26,Democratic,Brian Kavanagh,475,393,,263,7,15,10,0,0
New York,1~65,State Assembly,65,Democratic,Yuh-Line Niou,492,393,,263,7,15,10,0,0
New York,1~65,State Senate,26,Republican,Lester Chang,148,393,,263,7,15,10,0,0
New York,1~65,President,,Conservative,Donald J. Trump / Michael R. Pence,9,393,,263,7,15,10,0,0
New York,1~65,President,,Working Families,Joseph R. Biden / Kamala D. Harris,36,393,,263,7,15,10,0,0
New York,1~65,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,8,393,,263,7,15,10,0,0
New York,1~65,U.S. House,10,Libertarian,Michael Madrid,12,393,,263,7,15,10,0,0
New York,1~65,U.S. House,10,Working Families,Jerrold L. Nadler,38,393,,263,7,15,10,0,0
New York,1~65,U.S. House,10,Conservative,Cathy A. Bernstein,13,393,,263,7,15,10,0,0
New York,1~65,State Senate,26,Conservative,Lester Chang,20,393,,263,7,15,10,0,0
New York,1~65,President,,Democratic,Joseph R. Biden / Kamala D. Harris,516,393,,263,7,15,10,0,0
New York,2~65,U.S. House,10,Republican,Cathy A. Bernstein,157,431,,281,17,24,14,0,0
New York,2~65,President,,Republican,Donald J. Trump / Michael R. Pence,109,431,,281,17,24,14,0,0
New York,2~65,President,,Green,Howie Hawkins / Angela Nicole Walker,2,431,,281,17,24,14,0,0
New York,2~65,State Assembly,65,Working Families,Yuh-Line Niou,62,431,,281,17,24,14,0,0
New York,2~65,President,,Independence,Brock Pierce / Karla Ballard,0,431,,281,17,24,14,0,0
New York,2~65,U.S. House,10,Democratic,Jerrold L. Nadler,518,431,,281,17,24,14,0,0
New York,2~65,State Senate,26,Democratic,Brian Kavanagh,526,431,,281,17,24,14,0,0
New York,2~65,State Assembly,65,Democratic,Yuh-Line Niou,546,431,,281,17,24,14,0,0
New York,2~65,State Senate,26,Republican,Lester Chang,172,431,,281,17,24,14,0,0
New York,2~65,President,,Conservative,Donald J. Trump / Michael R. Pence,7,431,,281,17,24,14,0,0
New York,2~65,President,,Working Families,Joseph R. Biden / Kamala D. Harris,43,431,,281,17,24,14,0,0
New York,2~65,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,10,431,,281,17,24,14,0,0
New York,2~65,U.S. House,10,Libertarian,Michael Madrid,7,431,,281,17,24,14,0,0
New York,2~65,U.S. House,10,Working Families,Jerrold L. Nadler,42,431,,281,17,24,14,0,0
New York,2~65,U.S. House,10,Conservative,Cathy A. Bernstein,8,431,,281,17,24,14,0,0
New York,2~65,State Senate,26,Conservative,Lester Chang,12,431,,281,17,24,14,0,0
New York,2~65,President,,Democratic,Joseph R. Biden / Kamala D. Harris,571,431,,281,17,24,14,0,0
New York,3~65,U.S. House,10,Republican,Cathy A. Bernstein,137,392,,338,19,6,10,0,0
New York,3~65,President,,Republican,Donald J. Trump / Michael R. Pence,85,392,,338,19,6,10,0,0
New York,3~65,President,,Green,Howie Hawkins / Angela Nicole Walker,1,392,,338,19,6,10,0,0
New York,3~65,State Assembly,65,Working Families,Yuh-Line Niou,57,392,,338,19,6,10,0,0
New York,3~65,President,,Independence,Brock Pierce / Karla Ballard,1,392,,338,19,6,10,0,0
New York,3~65,U.S. House,10,Democratic,Jerrold L. Nadler,539,392,,338,19,6,10,0,0
New York,3~65,State Senate,26,Democratic,Brian Kavanagh,551,392,,338,19,6,10,0,0
New York,3~65,State Assembly,65,Democratic,Yuh-Line Niou,577,392,,338,19,6,10,0,0
New York,3~65,State Senate,26,Republican,Lester Chang,149,392,,338,19,6,10,0,0
New York,3~65,President,,Conservative,Donald J. Trump / Michael R. Pence,6,392,,338,19,6,10,0,0
New York,3~65,President,,Working Families,Joseph R. Biden / Kamala D. Harris,41,392,,338,19,6,10,0,0
New York,3~65,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,4,392,,338,19,6,10,0,0
New York,3~65,U.S. House,10,Libertarian,Michael Madrid,9,392,,338,19,6,10,0,0
New York,3~65,U.S. House,10,Working Families,Jerrold L. Nadler,43,392,,338,19,6,10,0,0
New York,3~65,U.S. House,10,Conservative,Cathy A. Bernstein,9,392,,338,19,6,10,0,0
New York,3~65,State Senate,26,Conservative,Lester Chang,12,392,,338,19,6,10,0,0
New York,3~65,President,,Democratic,Joseph R. Biden / Kamala D. Harris,610,392,,338,19,6,10,0,0
New York,4~65,U.S. House,10,Republican,Cathy A. Bernstein,124,363,,293,26,13,6,0,0
New York,4~65,President,,Republican,Donald J. Trump / Michael R. Pence,86,363,,293,26,13,6,0,0
New York,4~65,President,,Green,Howie Hawkins / Angela Nicole Walker,1,363,,293,26,13,6,0,0
