county,precinct,office,district,party,candidate,early_voting,election_day,absentee,votes
Cortland,Cortland Ward 1 ED 1,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 1 ED 3,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 2 ED 3,President,,DEM,Pete Buttigieg,0,3,0,3
Cortland,Cortland Ward 3 ED 2,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 2 ED 1,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 3 ED 3,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 5 ED 1,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 6 ED 2,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 3 ED 1,President,,DEM,Pete Buttigieg,0,0,2,2
Cortland,Cortland Ward 3 ED 4,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 4 ED 1,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 5 ED 3,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 3 ED 5,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 4 ED 2,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 4 ED 3,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 5 ED 4,President,,DEM,Pete Buttigieg,1,0,0,1
Cortland,Cortland Ward 5 ED 2,President,,DEM,Pete Buttigieg,0,0,1,1
Cortland,Cortland Ward 7 ED 3,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 8 ED 1,President,,DEM,Pete Buttigieg,0,2,0,2
Cortland,Cortland Ward 7 ED 1,President,,DEM,Pete Buttigieg,0,1,0,1
Cortland,Cortland Ward 8 ED 2,President,,DEM,Pete Buttigieg,0,1,0,1
Cortland,Cortland Ward 1 ED 2,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 2 ED 2,President,,DEM,Pete Buttigieg,0,0,2,2
Cortland,Cortland Ward 6 ED 1,President,,DEM,Pete Buttigieg,0,1,1,2
Cortland,Cortland Ward 7 ED 2,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Preble,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Scott,President,,DEM,Pete Buttigieg,0,1,0,1
Cortland,Homer-1,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Homer-2,President,,DEM,Pete Buttigieg,0,1,0,1
Cortland,Homer-3,President,,DEM,Pete Buttigieg,0,4,2,6
Cortland,Homer-4,President,,DEM,Pete Buttigieg,0,0,2,2
Cortland,Homer-5,President,,DEM,Pete Buttigieg,0,2,1,3
Cortland,Cortlandville-1,President,,DEM,Pete Buttigieg,0,3,1,4
Cortland,Cortlandville-2,President,,DEM,Pete Buttigieg,0,0,2,2
Cortland,Cortlandville-3,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortlandville-4,President,,DEM,Pete Buttigieg,0,2,2,4
Cortland,Cortlandville-5,President,,DEM,Pete Buttigieg,0,0,2,2
Cortland,Cortlandville-6,President,,DEM,Pete Buttigieg,0,1,3,4
Cortland,Harford,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Virgil-1,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Virgil-2,President,,DEM,Pete Buttigieg,0,0,3,3
Cortland,Lapeer,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Marathon-1,President,,DEM,Pete Buttigieg,0,1,0,1
Cortland,Marathon-2,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cuyler,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Solon,President,,DEM,Pete Buttigieg,0,1,1,2
Cortland,Truxton,President,,DEM,Pete Buttigieg,0,1,0,1
Cortland,Cincinnatus,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Freetown,President,,DEM,Pete Buttigieg,0,2,0,2
Cortland,Taylor,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Willet,President,,DEM,Pete Buttigieg,0,0,0,0
Cortland,Cortland Ward 1 ED 1,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cortland Ward 1 ED 3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 2 ED 3,President,,DEM,Amy Klobuchar,0,1,0,1
Cortland,Cortland Ward 3 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 2 ED 1,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cortland Ward 3 ED 3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 5 ED 1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 6 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 3 ED 1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 3 ED 4,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 4 ED 1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 5 ED 3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 3 ED 5,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 4 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 4 ED 3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 5 ED 4,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cortland Ward 5 ED 2,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cortland Ward 7 ED 3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 8 ED 1,President,,DEM,Amy Klobuchar,0,1,1,2
Cortland,Cortland Ward 7 ED 1,President,,DEM,Amy Klobuchar,0,1,0,1
Cortland,Cortland Ward 8 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 1 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 2 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 6 ED 1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 7 ED 2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Preble,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Scott,President,,DEM,Amy Klobuchar,0,0,2,2
Cortland,Homer-1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Homer-2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Homer-3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Homer-4,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Homer-5,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cortlandville-1,President,,DEM,Amy Klobuchar,0,1,0,1
Cortland,Cortlandville-2,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cortlandville-3,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortlandville-4,President,,DEM,Amy Klobuchar,0,1,1,2
Cortland,Cortlandville-5,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortlandville-6,President,,DEM,Amy Klobuchar,0,1,2,3
Cortland,Harford,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Virgil-1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Virgil-2,President,,DEM,Amy Klobuchar,0,1,0,1
Cortland,Lapeer,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Marathon-1,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Marathon-2,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cuyler,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Solon,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Truxton,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Cincinnatus,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Freetown,President,,DEM,Amy Klobuchar,0,0,1,1
Cortland,Taylor,President,,DEM,Amy Klobuchar,0,0,2,2
Cortland,Willet,President,,DEM,Amy Klobuchar,0,0,0,0
Cortland,Cortland Ward 1 ED 1,President,,DEM,Joseph R. Biden,5,18,96,119
Cortland,Cortland Ward 1 ED 3,President,,DEM,Joseph R. Biden,0,3,43,46
Cortland,Cortland Ward 2 ED 3,President,,DEM,Joseph R. Biden,0,20,13,33
Cortland,Cortland Ward 3 ED 2,President,,DEM,Joseph R. Biden,1,10,18,29
Cortland,Cortland Ward 2 ED 1,President,,DEM,Joseph R. Biden,2,15,44,61
Cortland,Cortland Ward 3 ED 3,President,,DEM,Joseph R. Biden,0,0,16,16
Cortland,Cortland Ward 5 ED 1,President,,DEM,Joseph R. Biden,0,1,0,1
Cortland,Cortland Ward 6 ED 2,President,,DEM,Joseph R. Biden,0,2,10,12
Cortland,Cortland Ward 3 ED 1,President,,DEM,Joseph R. Biden,0,16,27,43
Cortland,Cortland Ward 3 ED 4,President,,DEM,Joseph R. Biden,1,1,3,5
Cortland,Cortland Ward 4 ED 1,President,,DEM,Joseph R. Biden,1,9,42,52
Cortland,Cortland Ward 5 ED 3,President,,DEM,Joseph R. Biden,0,1,1,2
Cortland,Cortland Ward 3 ED 5,President,,DEM,Joseph R. Biden,0,6,9,15
Cortland,Cortland Ward 4 ED 2,President,,DEM,Joseph R. Biden,0,2,2,4
Cortland,Cortland Ward 4 ED 3,President,,DEM,Joseph R. Biden,0,0,0,0
Cortland,Cortland Ward 5 ED 4,President,,DEM,Joseph R. Biden,2,13,32,47
Cortland,Cortland Ward 5 ED 2,President,,DEM,Joseph R. Biden,0,17,17,34
Cortland,Cortland Ward 7 ED 3,President,,DEM,Joseph R. Biden,0,0,0,0
Cortland,Cortland Ward 8 ED 1,President,,DEM,Joseph R. Biden,2,10,46,58
Cortland,Cortland Ward 7 ED 1,President,,DEM,Joseph R. Biden,9,24,62,95
Cortland,Cortland Ward 8 ED 2,President,,DEM,Joseph R. Biden,0,3,5,8
Cortland,Cortland Ward 1 ED 2,President,,DEM,Joseph R. Biden,0,0,0,0
Cortland,Cortland Ward 2 ED 2,President,,DEM,Joseph R. Biden,0,3,17,20
Cortland,Cortland Ward 6 ED 1,President,,DEM,Joseph R. Biden,1,34,73,108
Cortland,Cortland Ward 7 ED 2,President,,DEM,Joseph R. Biden,0,4,6,10
Cortland,Preble,President,,DEM,Joseph R. Biden,0,16,52,68
Cortland,Scott,President,,DEM,Joseph R. Biden,1,4,27,32
Cortland,Homer-1,President,,DEM,Joseph R. Biden,0,3,12,15
Cortland,Homer-2,President,,DEM,Joseph R. Biden,0,9,55,64
Cortland,Homer-3,President,,DEM,Joseph R. Biden,1,24,54,79
