county,precinct,office,district,party,candidate,election_day,absentee,votes
Herkimer,"Town of Manheim 1,2",President,,DEM,Pete Buttigieg,1,0,1
Herkimer,Town of Ohio,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,"Town of Russia 1,2",President,,DEM,Pete Buttigieg,1,1,2
Herkimer,Town of Salisbury,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Webb,President,,DEM,Pete Buttigieg,3,0,3
Herkimer,Military/UOCAVA/Federal 21st CD,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,City of Little Falls,President,,DEM,Pete Buttigieg,8,2,10
Herkimer,Town of Columbia,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Danube,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Fairfield,President,,DEM,Pete Buttigieg,0,1,1
Herkimer,Town of Frankfort,President,,DEM,Pete Buttigieg,1,5,6
Herkimer,Town of German Flatts,President,,DEM,Pete Buttigieg,4,0,4
Herkimer,Town of Herkimer,President,,DEM,Pete Buttigieg,2,6,8
Herkimer,Town of Litchfield,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Little Falls,President,,DEM,Pete Buttigieg,1,0,1
Herkimer,Town of Manheim 3,President,,DEM,Pete Buttigieg,1,0,1
Herkimer,Town of Newport,President,,DEM,Pete Buttigieg,0,2,2
Herkimer,Town of Norway,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Russia 3,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Schuyler,President,,DEM,Pete Buttigieg,1,1,2
Herkimer,Town of Stark,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Warren,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,Town of Winfield,President,,DEM,Pete Buttigieg,2,3,5
Herkimer,Military/UOCAVA/Federal 22nd CD,President,,DEM,Pete Buttigieg,0,0,0
Herkimer,"Town of Manheim 1,2",President,,DEM,Amy Klobuchar,1,0,1
Herkimer,Town of Ohio,President,,DEM,Amy Klobuchar,0,0,0
Herkimer,"Town of Russia 1,2",President,,DEM,Amy Klobuchar,0,0,0
Herkimer,Town of Salisbury,President,,DEM,Amy Klobuchar,0,0,0
Herkimer,Town of Webb,President,,DEM,Amy Klobuchar,3,2,5
Herkimer,Military/UOCAVA/Federal 21st CD,President,,DEM,Amy Klobuchar,0,0,0
Herkimer,City of Little Falls,President,,DEM,Amy Klobuchar,4,5,9
Herkimer,Town of Columbia,President,,DEM,Amy Klobuchar,0,1,1
Herkimer,Town of Danube,President,,DEM,Amy Klobuchar,0,0,0
Herkimer,Town of Fairfield,President,,DEM,Amy Klobuchar,1,0,1
