county,assembly_district,precinct,party,office,district,candidate,votes
Queens,23,1,Democratic,President,,Public Counter,75
Queens,23,1,Democratic,President,,Manually Counted Emergency,0
Queens,23,1,Democratic,President,,Absentee / Military,29
Queens,23,1,Democratic,President,,Federal,0
Queens,23,1,Democratic,President,,Affidavit,0
Queens,23,1,Democratic,President,,Pete Buttigieg,1
Queens,23,1,Democratic,President,,Amy Klobuchar,2
Queens,23,1,Democratic,President,,Joseph R. Biden,52
Queens,23,1,Democratic,President,,Tulsi Gabbard,6
Queens,23,1,Democratic,President,,Bernie Sanders,12
Queens,23,1,Democratic,President,,Michael R. Bloomberg,13
Queens,23,1,Democratic,President,,Tom Steyer,0
Queens,23,1,Democratic,President,,Michael Bennet,1
Queens,23,1,Democratic,President,,Elizabeth Warren,2
Queens,23,1,Democratic,President,,Andrew Yang,7
Queens,23,1,Democratic,President,,Deval Patrick,0
Queens,23,2,Democratic,President,,Public Counter,69
Queens,23,2,Democratic,President,,Manually Counted Emergency,0
Queens,23,2,Democratic,President,,Absentee / Military,28
Queens,23,2,Democratic,President,,Federal,0
Queens,23,2,Democratic,President,,Affidavit,0
Queens,23,2,Democratic,President,,Pete Buttigieg,1
Queens,23,2,Democratic,President,,Amy Klobuchar,3
Queens,23,2,Democratic,President,,Joseph R. Biden,42
Queens,23,2,Democratic,President,,Tulsi Gabbard,5
Queens,23,2,Democratic,President,,Bernie Sanders,17
Queens,23,2,Democratic,President,,Michael R. Bloomberg,16
Queens,23,2,Democratic,President,,Tom Steyer,1
Queens,23,2,Democratic,President,,Michael Bennet,0
Queens,23,2,Democratic,President,,Elizabeth Warren,5
Queens,23,2,Democratic,President,,Andrew Yang,2
Queens,23,2,Democratic,President,,Deval Patrick,0
Queens,23,3,Democratic,President,,Public Counter,83
Queens,23,3,Democratic,President,,Manually Counted Emergency,0
Queens,23,3,Democratic,President,,Absentee / Military,26
Queens,23,3,Democratic,President,,Federal,0
Queens,23,3,Democratic,President,,Affidavit,2
Queens,23,3,Democratic,President,,Pete Buttigieg,3
Queens,23,3,Democratic,President,,Amy Klobuchar,5
Queens,23,3,Democratic,President,,Joseph R. Biden,48
Queens,23,3,Democratic,President,,Tulsi Gabbard,5
Queens,23,3,Democratic,President,,Bernie Sanders,18
Queens,23,3,Democratic,President,,Michael R. Bloomberg,18
Queens,23,3,Democratic,President,,Tom Steyer,1
Queens,23,3,Democratic,President,,Michael Bennet,0
Queens,23,3,Democratic,President,,Elizabeth Warren,2
Queens,23,3,Democratic,President,,Andrew Yang,2
Queens,23,3,Democratic,President,,Deval Patrick,2
Queens,23,4,Democratic,President,,Public Counter,0
Queens,23,4,Democratic,President,,Manually Counted Emergency,0
Queens,23,4,Democratic,President,,Absentee / Military,0
Queens,23,4,Democratic,President,,Federal,0
