county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
Bronx,1~77,President,,Republican,Donald J. Trump / Michael R. Pence,23,178,,46,0,3,1,0,0
Bronx,1~77,State Senate,29,Democratic,Jose M. Serrano,199,178,,46,0,3,1,0,0
Bronx,1~77,President,,Green,Howie Hawkins / Angela Nicole Walker,0,178,,46,0,3,1,0,0
Bronx,1~77,State Assembly,77,Democratic,Latoya Joyner,194,178,,46,0,3,1,0,0
Bronx,1~77,State Senate,29,Republican,Jose A. Colon,18,178,,46,0,3,1,0,0
Bronx,1~77,President,,Independence,Brock Pierce / Karla Ballard,0,178,,46,0,3,1,0,0
Bronx,1~77,State Assembly,77,Conservative,Benjamin Eggleston,4,178,,46,0,3,1,0,0
Bronx,1~77,President,,Working Families,Joseph R. Biden / Kamala D. Harris,3,178,,46,0,3,1,0,0
Bronx,1~77,President,,Democratic,Joseph R. Biden / Kamala D. Harris,196,178,,46,0,3,1,0,0
Bronx,1~77,State Assembly,77,Republican,Tanya Carmichael,18,178,,46,0,3,1,0,0
Bronx,1~77,U.S. House,15,Conservative,Patrick Delices,4,178,,46,0,3,1,0,0
Bronx,1~77,President,,Conservative,Donald J. Trump / Michael R. Pence,4,178,,46,0,3,1,0,0
Bronx,1~77,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,0,178,,46,0,3,1,0,0
Bronx,1~77,U.S. House,15,Republican,Patrick Delices,17,178,,46,0,3,1,0,0
Bronx,1~77,U.S. House,15,Democratic,Ritchie Torres,196,178,,46,0,3,1,0,0
Bronx,2~77,President,,Republican,Donald J. Trump / Michael R. Pence,18,187,,36,0,1,,0,0
Bronx,2~77,State Senate,29,Democratic,Jose M. Serrano,203,187,,36,0,1,,0,0
Bronx,2~77,President,,Green,Howie Hawkins / Angela Nicole Walker,0,187,,36,0,1,,0,0
Bronx,2~77,State Assembly,77,Democratic,Latoya Joyner,201,187,,36,0,1,,0,0
Bronx,2~77,State Senate,29,Republican,Jose A. Colon,14,187,,36,0,1,,0,0
Bronx,2~77,President,,Independence,Brock Pierce / Karla Ballard,0,187,,36,0,1,,0,0
Bronx,2~77,State Assembly,77,Conservative,Benjamin Eggleston,1,187,,36,0,1,,0,0
Bronx,2~77,President,,Working Families,Joseph R. Biden / Kamala D. Harris,6,187,,36,0,1,,0,0
Bronx,2~77,President,,Democratic,Joseph R. Biden / Kamala D. Harris,196,187,,36,0,1,,0,0
Bronx,2~77,State Assembly,77,Republican,Tanya Carmichael,16,187,,36,0,1,,0,0
Bronx,2~77,U.S. House,15,Conservative,Patrick Delices,0,187,,36,0,1,,0,0
Bronx,2~77,President,,Conservative,Donald J. Trump / Michael R. Pence,2,187,,36,0,1,,0,0
Bronx,2~77,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,1,187,,36,0,1,,0,0
Bronx,2~77,U.S. House,15,Republican,Patrick Delices,15,187,,36,0,1,,0,0
Bronx,2~77,U.S. House,15,Democratic,Ritchie Torres,200,187,,36,0,1,,0,0
Bronx,3~77,President,,Republican,Donald J. Trump / Michael R. Pence,77,532,,58,0,13,1,0,0
Bronx,3~77,State Senate,29,Democratic,Jose M. Serrano,508,532,,58,0,13,1,0,0
Bronx,3~77,President,,Green,Howie Hawkins / Angela Nicole Walker,2,532,,58,0,13,1,0,0
Bronx,3~77,State Assembly,77,Democratic,Latoya Joyner,499,532,,58,0,13,1,0,0
Bronx,3~77,State Senate,29,Republican,Jose A. Colon,64,532,,58,0,13,1,0,0
Bronx,3~77,President,,Independence,Brock Pierce / Karla Ballard,0,532,,58,0,13,1,0,0
Bronx,3~77,State Assembly,77,Conservative,Benjamin Eggleston,6,532,,58,0,13,1,0,0
Bronx,3~77,President,,Working Families,Joseph R. Biden / Kamala D. Harris,27,532,,58,0,13,1,0,0
Bronx,3~77,President,,Democratic,Joseph R. Biden / Kamala D. Harris,488,532,,58,0,13,1,0,0
Bronx,3~77,State Assembly,77,Republican,Tanya Carmichael,57,532,,58,0,13,1,0,0
Bronx,3~77,U.S. House,15,Conservative,Patrick Delices,3,532,,58,0,13,1,0,0
Bronx,3~77,President,,Conservative,Donald J. Trump / Michael R. Pence,7,532,,58,0,13,1,0,0
Bronx,3~77,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,1,532,,58,0,13,1,0,0
Bronx,3~77,U.S. House,15,Republican,Patrick Delices,63,532,,58,0,13,1,0,0
Bronx,3~77,U.S. House,15,Democratic,Ritchie Torres,496,532,,58,0,13,1,0,0
Bronx,4~77,President,,Republican,Donald J. Trump / Michael R. Pence,82,425,,61,5,9,1,0,0
Bronx,4~77,State Senate,29,Democratic,Jose M. Serrano,407,425,,61,5,9,1,0,0
Bronx,4~77,President,,Green,Howie Hawkins / Angela Nicole Walker,2,425,,61,5,9,1,0,0
Bronx,4~77,State Assembly,77,Democratic,Latoya Joyner,400,425,,61,5,9,1,0,0
Bronx,4~77,State Senate,29,Republican,Jose A. Colon,62,425,,61,5,9,1,0,0
Bronx,4~77,President,,Independence,Brock Pierce / Karla Ballard,0,425,,61,5,9,1,0,0
Bronx,4~77,State Assembly,77,Conservative,Benjamin Eggleston,8,425,,61,5,9,1,0,0
Bronx,4~77,President,,Working Families,Joseph R. Biden / Kamala D. Harris,19,425,,61,5,9,1,0,0
