county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
Kings,1~41,President,,Democratic,Joseph R. Biden / Kamala D. Harris,151,433,,77,3,5,7,0,0
Kings,1~41,U.S. House,9,Democratic,Yvette D. Clarke,170,433,,77,3,5,7,0,0
Kings,1~41,U.S. House,9,Libertarian,Gary Popkin,5,433,,77,3,5,7,0,0
Kings,1~41,State Assembly,41,Democratic,Helene E. Weinstein,223,433,,77,3,5,7,0,0
Kings,1~41,President,,Working Families,Joseph R. Biden / Kamala D. Harris,15,433,,77,3,5,7,0,0
Kings,1~41,State Assembly,41,Conservative,Ramona Johnson,18,433,,77,3,5,7,0,0
Kings,1~41,State Senate,17,Conservative,Simcha Felder,34,433,,77,3,5,7,0,0
Kings,1~41,State Senate,17,Republican,Simcha Felder,275,433,,77,3,5,7,0,0
Kings,1~41,U.S. House,9,Conservative,Constantine Jean-Pierre,27,433,,77,3,5,7,0,0
Kings,1~41,President,,Conservative,Donald J. Trump / Michael R. Pence,25,433,,77,3,5,7,0,0
Kings,1~41,U.S. House,9,SAM,Joel B. Anabilah-Azumah,2,433,,77,3,5,7,0,0
Kings,1~41,State Assembly,41,Republican,Ramona Johnson,210,433,,77,3,5,7,0,0
Kings,1~41,U.S. House,9,Republican,Constantine Jean-Pierre,251,433,,77,3,5,7,0,0
Kings,1~41,State Senate,17,Democratic,Simcha Felder,166,433,,77,3,5,7,0,0
Kings,1~41,President,,Republican,Donald J. Trump / Michael R. Pence,321,433,,77,3,5,7,0,0
Kings,1~41,President,,Green,Howie Hawkins / Angela Nicole Walker,0,433,,77,3,5,7,0,0
Kings,1~41,President,,Independence,Brock Pierce / Karla Ballard,0,433,,77,3,5,7,0,0
Kings,1~41,U.S. House,9,Working Families,Yvette D. Clarke,18,433,,77,3,5,7,0,0
Kings,1~41,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,1,433,,77,3,5,7,0,0
Kings,1~41,State Assembly,41,Working Families,Helene E. Weinstein,31,433,,77,3,5,7,0,0
Kings,2~41,President,,Democratic,Joseph R. Biden / Kamala D. Harris,112,480,,102,10,9,11,0,0
Kings,2~41,U.S. House,9,Democratic,Yvette D. Clarke,131,480,,102,10,9,11,0,0
Kings,2~41,U.S. House,9,Libertarian,Gary Popkin,6,480,,102,10,9,11,0,0
Kings,2~41,State Assembly,41,Democratic,Helene E. Weinstein,230,480,,102,10,9,11,0,0
Kings,2~41,President,,Working Families,Joseph R. Biden / Kamala D. Harris,19,480,,102,10,9,11,0,0
Kings,2~41,State Assembly,41,Conservative,Ramona Johnson,10,480,,102,10,9,11,0,0
Kings,2~41,State Senate,17,Conservative,Simcha Felder,11,480,,102,10,9,11,0,0
Kings,2~41,State Senate,17,Republican,Simcha Felder,395,480,,102,10,9,11,0,0
Kings,2~41,U.S. House,9,Conservative,Constantine Jean-Pierre,14,480,,102,10,9,11,0,0
Kings,2~41,President,,Conservative,Donald J. Trump / Michael R. Pence,17,480,,102,10,9,11,0,0
Kings,2~41,U.S. House,9,SAM,Joel B. Anabilah-Azumah,1,480,,102,10,9,11,0,0
Kings,2~41,State Assembly,41,Republican,Ramona Johnson,289,480,,102,10,9,11,0,0
Kings,2~41,U.S. House,9,Republican,Constantine Jean-Pierre,374,480,,102,10,9,11,0,0
Kings,2~41,State Senate,17,Democratic,Simcha Felder,151,480,,102,10,9,11,0,0
Kings,2~41,President,,Republican,Donald J. Trump / Michael R. Pence,446,480,,102,10,9,11,0,0
Kings,2~41,President,,Green,Howie Hawkins / Angela Nicole Walker,2,480,,102,10,9,11,0,0
Kings,2~41,President,,Independence,Brock Pierce / Karla Ballard,0,480,,102,10,9,11,0,0
Kings,2~41,U.S. House,9,Working Families,Yvette D. Clarke,20,480,,102,10,9,11,0,0
Kings,2~41,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,2,480,,102,10,9,11,0,0
Kings,2~41,State Assembly,41,Working Families,Helene E. Weinstein,34,480,,102,10,9,11,0,0
Kings,3~41,President,,Democratic,Joseph R. Biden / Kamala D. Harris,210,508,,115,1,5,3,0,0
Kings,3~41,U.S. House,9,Democratic,Yvette D. Clarke,212,508,,115,1,5,3,0,0
Kings,3~41,U.S. House,9,Libertarian,Gary Popkin,11,508,,115,1,5,3,0,0
Kings,3~41,State Assembly,41,Democratic,Helene E. Weinstein,259,508,,115,1,5,3,0,0
Kings,3~41,President,,Working Families,Joseph R. Biden / Kamala D. Harris,12,508,,115,1,5,3,0,0
Kings,3~41,State Assembly,41,Conservative,Ramona Johnson,20,508,,115,1,5,3,0,0
Kings,3~41,State Senate,17,Conservative,Simcha Felder,22,508,,115,1,5,3,0,0
Kings,3~41,State Senate,17,Republican,Simcha Felder,308,508,,115,1,5,3,0,0
Kings,3~41,U.S. House,9,Conservative,Constantine Jean-Pierre,19,508,,115,1,5,3,0,0
Kings,3~41,President,,Conservative,Donald J. Trump / Michael R. Pence,14,508,,115,1,5,3,0,0
Kings,3~41,U.S. House,9,SAM,Joel B. Anabilah-Azumah,0,508,,115,1,5,3,0,0
Kings,3~41,State Assembly,41,Republican,Ramona Johnson,257,508,,115,1,5,3,0,0
Kings,3~41,U.S. House,9,Republican,Constantine Jean-Pierre,292,508,,115,1,5,3,0,0
Kings,3~41,State Senate,17,Democratic,Simcha Felder,225,508,,115,1,5,3,0,0
Kings,3~41,President,,Republican,Donald J. Trump / Michael R. Pence,381,508,,115,1,5,3,0,0
Kings,3~41,President,,Green,Howie Hawkins / Angela Nicole Walker,4,508,,115,1,5,3,0,0
Kings,3~41,President,,Independence,Brock Pierce / Karla Ballard,1,508,,115,1,5,3,0,0
Kings,3~41,U.S. House,9,Working Families,Yvette D. Clarke,18,508,,115,1,5,3,0,0
Kings,3~41,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,2,508,,115,1,5,3,0,0
Kings,3~41,State Assembly,41,Working Families,Helene E. Weinstein,27,508,,115,1,5,3,0,0
Kings,4~41,President,,Democratic,Joseph R. Biden / Kamala D. Harris,178,451,,100,2,3,2,0,0
Kings,4~41,U.S. House,9,Democratic,Yvette D. Clarke,190,451,,100,2,3,2,0,0
Kings,4~41,U.S. House,9,Libertarian,Gary Popkin,11,451,,100,2,3,2,0,0
Kings,4~41,State Assembly,41,Democratic,Helene E. Weinstein,207,451,,100,2,3,2,0,0
Kings,4~41,President,,Working Families,Joseph R. Biden / Kamala D. Harris,19,451,,100,2,3,2,0,0
Kings,4~41,State Assembly,41,Conservative,Ramona Johnson,16,451,,100,2,3,2,0,0
Kings,4~41,State Senate,17,Conservative,Simcha Felder,20,451,,100,2,3,2,0,0
Kings,4~41,State Senate,17,Republican,Simcha Felder,280,451,,100,2,3,2,0,0
Kings,4~41,U.S. House,9,Conservative,Constantine Jean-Pierre,12,451,,100,2,3,2,0,0
Kings,4~41,President,,Conservative,Donald J. Trump / Michael R. Pence,16,451,,100,2,3,2,0,0
Kings,4~41,U.S. House,9,SAM,Joel B. Anabilah-Azumah,0,451,,100,2,3,2,0,0
Kings,4~41,State Assembly,41,Republican,Ramona Johnson,254,451,,100,2,3,2,0,0
Kings,4~41,U.S. House,9,Republican,Constantine Jean-Pierre,269,451,,100,2,3,2,0,0
Kings,4~41,State Senate,17,Democratic,Simcha Felder,186,451,,100,2,3,2,0,0
Kings,4~41,President,,Republican,Donald J. Trump / Michael R. Pence,333,451,,100,2,3,2,0,0
Kings,4~41,President,,Green,Howie Hawkins / Angela Nicole Walker,3,451,,100,2,3,2,0,0
Kings,4~41,President,,Independence,Brock Pierce / Karla Ballard,0,451,,100,2,3,2,0,0
Kings,4~41,U.S. House,9,Working Families,Yvette D. Clarke,26,451,,100,2,3,2,0,0
Kings,4~41,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,3,451,,100,2,3,2,0,0
