county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee
Otsego,Burlington 1,President,,Joseph R. Biden,DEM,148,17,93,38
Otsego,Butternuts 1,President,,Joseph R. Biden,DEM,114,9,70,35
Otsego,Butternuts 2,President,,Joseph R. Biden,DEM,246,31,148,67
Otsego,Cherry Valley 1,President,,Joseph R. Biden,DEM,313,72,153,88
Otsego,Decatur 1,President,,Joseph R. Biden,DEM,47,0,43,4
Otsego,Edmeston 1,President,,Joseph R. Biden,DEM,269,41,161,67
Otsego,Exeter 1,President,,Joseph R. Biden,DEM,135,22,76,37
Otsego,Hartwick 1,President,,Joseph R. Biden,DEM,317,127,123,67
Otsego,Hartwick 2,President,,Joseph R. Biden,DEM,158,67,39,52
Otsego,Laurens 1,President,,Joseph R. Biden,DEM,219,49,100,70
Otsego,Laurens 2,President,,Joseph R. Biden,DEM,233,56,103,74
Otsego,Maryland 1,President,,Joseph R. Biden,DEM,127,35,48,44
Otsego,Maryland 2,President,,Joseph R. Biden,DEM,155,17,90,48
Otsego,Middlefield 1,President,,Joseph R. Biden,DEM,337,196,42,99
Otsego,Middlefield 2,President,,Joseph R. Biden,DEM,307,190,46,71
Otsego,Milford 1,President,,Joseph R. Biden,DEM,242,83,90,69
Otsego,Milford 2,President,,Joseph R. Biden,DEM,415,147,146,122
Otsego,Morris 1,President,,Joseph R. Biden,DEM,329,41,177,111
Otsego,New Lisbon 1,President,,Joseph R. Biden,DEM,219,32,129,58
Otsego,Oneonta 1,President,,Joseph R. Biden,DEM,420,101,179,140
Otsego,Oneonta 2,President,,Joseph R. Biden,DEM,417,149,116,152
Otsego,Oneonta 3,President,,Joseph R. Biden,DEM,314,91,118,105
Otsego,Oneonta 4,President,,Joseph R. Biden,DEM,240,56,113,71
Otsego,Otego 1,President,,Joseph R. Biden,DEM,236,20,119,97
Otsego,Otego 2,President,,Joseph R. Biden,DEM,305,62,160,83
Otsego,Otsego 1,President,,Joseph R. Biden,DEM,702,374,147,181
Otsego,Otsego 2,President,,Joseph R. Biden,DEM,252,140,50,62
Otsego,Otsego 3,President,,Joseph R. Biden,DEM,414,189,132,93
Otsego,Pittsfield 1,President,,Joseph R. Biden,DEM,170,14,115,41
Otsego,Plainfield 1,President,,Joseph R. Biden,DEM,107,10,82,15
Otsego,Richfield 1,President,,Joseph R. Biden,DEM,192,36,109,47
Otsego,Richfield 2,President,,Joseph R. Biden,DEM,150,30,80,40
Otsego,Roseboom 1,President,,Joseph R. Biden,DEM,162,32,82,48
Otsego,Springfield 1,President,,Joseph R. Biden,DEM,257,62,134,61
Otsego,Unadilla 1,President,,Joseph R. Biden,DEM,192,33,109,50
Otsego,Unadilla 2,President,,Joseph R. Biden,DEM,274,40,138,96
Otsego,Unadilla 3,President,,Joseph R. Biden,DEM,251,36,134,81
Otsego,Westford 1,President,,Joseph R. Biden,DEM,133,31,74,28
Otsego,Worcester 1,President,,Joseph R. Biden,DEM,120,31,56,33
Otsego,Worcester 2,President,,Joseph R. Biden,DEM,74,15,28,31
Otsego,Worcester 3,President,,Joseph R. Biden,DEM,133,13,72,48
Otsego,Oneonta City Ward 1,President,,Joseph R. Biden,DEM,518,167,195,156
Otsego,Oneonta City Ward 2,President,,Joseph R. Biden,DEM,358,89,132,137
Otsego,Oneonta City Ward 3,President,,Joseph R. Biden,DEM,212,61,73,78
Otsego,Oneonta City Ward 4,President,,Joseph R. Biden,DEM,255,68,87,100
Otsego,Oneonta City Ward 5,President,,Joseph R. Biden,DEM,296,84,126,86
Otsego,Oneonta City Ward 6,President,,Joseph R. Biden,DEM,350,90,138,122
Otsego,Oneonta City Ward 7,President,,Joseph R. Biden,DEM,196,45,82,69
Otsego,Oneonta City Ward 8,President,,Joseph R. Biden,DEM,277,61,117,99
Otsego,Burlington 1,President,,Donald J. Trump,REP,409,25,344,40
Otsego,Butternuts 1,President,,Donald J. Trump,REP,211,7,182,22
Otsego,Butternuts 2,President,,Donald J. Trump,REP,291,16,247,28
Otsego,Cherry Valley 1,President,,Donald J. Trump,REP,306,24,247,35
Otsego,Decatur 1,President,,Donald J. Trump,REP,141,4,122,15
Otsego,Edmeston 1,President,,Donald J. Trump,REP,527,31,436,60
Otsego,Exeter 1,President,,Donald J. Trump,REP,259,17,224,18
Otsego,Hartwick 1,President,,Donald J. Trump,REP,330,26,265,39
Otsego,Hartwick 2,President,,Donald J. Trump,REP,189,62,112,15
Otsego,Laurens 1,President,,Donald J. Trump,REP,248,25,204,19
Otsego,Laurens 2,President,,Donald J. Trump,REP,333,30,266,37
Otsego,Maryland 1,President,,Donald J. Trump,REP,233,18,168,47
Otsego,Maryland 2,President,,Donald J. Trump,REP,378,32,311,35
Otsego,Middlefield 1,President,,Donald J. Trump,REP,126,44,65,17
Otsego,Middlefield 2,President,,Donald J. Trump,REP,337,93,218,26
Otsego,Milford 1,President,,Donald J. Trump,REP,293,62,192,39
Otsego,Milford 2,President,,Donald J. Trump,REP,418,89,289,40
Otsego,Morris 1,President,,Donald J. Trump,REP,448,13,398,37
Otsego,New Lisbon 1,President,,Donald J. Trump,REP,344,22,277,45
Otsego,Oneonta 1,President,,Donald J. Trump,REP,321,48,221,52
Otsego,Oneonta 2,President,,Donald J. Trump,REP,295,69,177,49
Otsego,Oneonta 3,President,,Donald J. Trump,REP,221,29,162,30
Otsego,Oneonta 4,President,,Donald J. Trump,REP,214,27,160,27
Otsego,Otego 1,President,,Donald J. Trump,REP,409,26,327,56
Otsego,Otego 2,President,,Donald J. Trump,REP,421,17,333,71
Otsego,Otsego 1,President,,Donald J. Trump,REP,212,74,103,35
Otsego,Otsego 2,President,,Donald J. Trump,REP,151,37,87,27
Otsego,Otsego 3,President,,Donald J. Trump,REP,332,50,234,48
Otsego,Pittsfield 1,President,,Donald J. Trump,REP,370,10,327,33
Otsego,Plainfield 1,President,,Donald J. Trump,REP,326,5,294,27
Otsego,Richfield 1,President,,Donald J. Trump,REP,288,18,241,29
Otsego,Richfield 2,President,,Donald J. Trump,REP,405,21,334,50
Otsego,Roseboom 1,President,,Donald J. Trump,REP,222,11,200,11
Otsego,Springfield 1,President,,Donald J. Trump,REP,341,13,285,43
Otsego,Unadilla 1,President,,Donald J. Trump,REP,347,27,290,30
Otsego,Unadilla 2,President,,Donald J. Trump,REP,491,14,404,73
Otsego,Unadilla 3,President,,Donald J. Trump,REP,222,9,190,23
Otsego,Westford 1,President,,Donald J. Trump,REP,298,29,249,20
Otsego,Worcester 1,President,,Donald J. Trump,REP,260,13,222,25
Otsego,Worcester 2,President,,Donald J. Trump,REP,189,8,168,13
Otsego,Worcester 3,President,,Donald J. Trump,REP,242,10,201,31
Otsego,Oneonta City Ward 1,President,,Donald J. Trump,REP,225,34,163,28
Otsego,Oneonta City Ward 2,President,,Donald J. Trump,REP,94,20,60,14
Otsego,Oneonta City Ward 3,President,,Donald J. Trump,REP,48,2,31,15
Otsego,Oneonta City Ward 4,President,,Donald J. Trump,REP,82,8,55,19
Otsego,Oneonta City Ward 5,President,,Donald J. Trump,REP,178,26,119,33
Otsego,Oneonta City Ward 6,President,,Donald J. Trump,REP,245,30,178,37
Otsego,Oneonta City Ward 7,President,,Donald J. Trump,REP,79,11,50,18
Otsego,Oneonta City Ward 8,President,,Donald J. Trump,REP,99,7,71,21
Otsego,Burlington 1,President,,Donald J. Trump,CON,22,2,17,3
Otsego,Butternuts 1,President,,Donald J. Trump,CON,11,0,11,0
Otsego,Butternuts 2,President,,Donald J. Trump,CON,17,0,17,0
Otsego,Cherry Valley 1,President,,Donald J. Trump,CON,24,1,21,2
Otsego,Decatur 1,President,,Donald J. Trump,CON,12,2,9,1
Otsego,Edmeston 1,President,,Donald J. Trump,CON,34,3,28,3
Otsego,Exeter 1,President,,Donald J. Trump,CON,24,0,22,2
Otsego,Hartwick 1,President,,Donald J. Trump,CON,54,3,47,4
Otsego,Hartwick 2,President,,Donald J. Trump,CON,8,2,5,1
Otsego,Laurens 1,President,,Donald J. Trump,CON,26,0,21,5
Otsego,Laurens 2,President,,Donald J. Trump,CON,24,2,18,4
Otsego,Maryland 1,President,,Donald J. Trump,CON,10,1,7,2
Otsego,Maryland 2,President,,Donald J. Trump,CON,22,1,20,1
Otsego,Middlefield 1,President,,Donald J. Trump,CON,12,5,6,1
Otsego,Middlefield 2,President,,Donald J. Trump,CON,19,8,11,0
Otsego,Milford 1,President,,Donald J. Trump,CON,13,0,9,4
Otsego,Milford 2,President,,Donald J. Trump,CON,36,7,27,2
Otsego,Morris 1,President,,Donald J. Trump,CON,31,1,25,5
Otsego,New Lisbon 1,President,,Donald J. Trump,CON,29,1,27,1
Otsego,Oneonta 1,President,,Donald J. Trump,CON,25,6,18,1
Otsego,Oneonta 2,President,,Donald J. Trump,CON,19,4,12,3
Otsego,Oneonta 3,President,,Donald J. Trump,CON,10,2,7,1
Otsego,Oneonta 4,President,,Donald J. Trump,CON,10,1,9,0
Otsego,Otego 1,President,,Donald J. Trump,CON,33,3,30,0
Otsego,Otego 2,President,,Donald J. Trump,CON,31,2,23,6
Otsego,Otsego 1,President,,Donald J. Trump,CON,22,8,11,3
Otsego,Otsego 2,President,,Donald J. Trump,CON,9,1,4,4
Otsego,Otsego 3,President,,Donald J. Trump,CON,35,8,25,2
Otsego,Pittsfield 1,President,,Donald J. Trump,CON,13,1,10,2
Otsego,Plainfield 1,President,,Donald J. Trump,CON,19,2,15,2
Otsego,Richfield 1,President,,Donald J. Trump,CON,16,4,9,3
Otsego,Richfield 2,President,,Donald J. Trump,CON,21,2,18,1
Otsego,Roseboom 1,President,,Donald J. Trump,CON,12,0,11,1
Otsego,Springfield 1,President,,Donald J. Trump,CON,29,1,25,3
Otsego,Unadilla 1,President,,Donald J. Trump,CON,24,1,20,3
Otsego,Unadilla 2,President,,Donald J. Trump,CON,18,1,16,1
Otsego,Unadilla 3,President,,Donald J. Trump,CON,12,0,11,1
Otsego,Westford 1,President,,Donald J. Trump,CON,21,1,18,2
Otsego,Worcester 1,President,,Donald J. Trump,CON,23,0,18,5
Otsego,Worcester 2,President,,Donald J. Trump,CON,20,2,17,1
Otsego,Worcester 3,President,,Donald J. Trump,CON,18,2,15,1
Otsego,Oneonta City Ward 1,President,,Donald J. Trump,CON,17,1,13,3
Otsego,Oneonta City Ward 2,President,,Donald J. Trump,CON,5,0,5,0
Otsego,Oneonta City Ward 3,President,,Donald J. Trump,CON,4,0,2,2
Otsego,Oneonta City Ward 4,President,,Donald J. Trump,CON,1,0,1,0
Otsego,Oneonta City Ward 5,President,,Donald J. Trump,CON,12,2,8,2
Otsego,Oneonta City Ward 6,President,,Donald J. Trump,CON,15,1,10,4
Otsego,Oneonta City Ward 7,President,,Donald J. Trump,CON,4,1,3,0
Otsego,Oneonta City Ward 8,President,,Donald J. Trump,CON,8,1,5,2
Otsego,Burlington 1,President,,Joseph R. Biden,WOR,8,1,4,3
Otsego,Butternuts 1,President,,Joseph R. Biden,WOR,6,0,6,0
Otsego,Butternuts 2,President,,Joseph R. Biden,WOR,20,1,11,8
Otsego,Cherry Valley 1,President,,Joseph R. Biden,WOR,25,8,14,3
Otsego,Decatur 1,President,,Joseph R. Biden,WOR,7,2,1,4
Otsego,Edmeston 1,President,,Joseph R. Biden,WOR,11,2,9,0
Otsego,Exeter 1,President,,Joseph R. Biden,WOR,6,1,5,0
Otsego,Hartwick 1,President,,Joseph R. Biden,WOR,14,4,6,4
Otsego,Hartwick 2,President,,Joseph R. Biden,WOR,5,3,1,1
Otsego,Laurens 1,President,,Joseph R. Biden,WOR,10,3,6,1
Otsego,Laurens 2,President,,Joseph R. Biden,WOR,13,3,8,2
Otsego,Maryland 1,President,,Joseph R. Biden,WOR,6,2,0,4
Otsego,Maryland 2,President,,Joseph R. Biden,WOR,8,2,4,2
Otsego,Middlefield 1,President,,Joseph R. Biden,WOR,20,13,2,5
Otsego,Middlefield 2,President,,Joseph R. Biden,WOR,18,11,5,2
Otsego,Milford 1,President,,Joseph R. Biden,WOR,11,10,1,0
Otsego,Milford 2,President,,Joseph R. Biden,WOR,22,6,7,9
Otsego,Morris 1,President,,Joseph R. Biden,WOR,14,1,7,6
Otsego,New Lisbon 1,President,,Joseph R. Biden,WOR,11,3,7,1
