county,precinct,office,district,party,candidate,votes,,
Otsego,Burlington  1,President,,Dem,Pete Buttigieg,2,,
Otsego,Butternuts 1,President,,Dem,Pete Buttigieg,2,,
Otsego,Butternuts 2,President,,Dem,Pete Buttigieg,0,,
Otsego,Cherry Valley 1,President,,Dem,Pete Buttigieg,2,,
Otsego,Decatur 1,President,,Dem,Pete Buttigieg,0,,
Otsego,Edmeston 1,President,,Dem,Pete Buttigieg,2,,
Otsego,Exeter 1,President,,Dem,Pete Buttigieg,0,,
Otsego,Hartwick 1,President,,Dem,Pete Buttigieg,4,,
Otsego,Hartwick 2,President,,Dem,Pete Buttigieg,2,,
Otsego,Laurens 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Laurens 2,President,,Dem,Pete Buttigieg,0,,
Otsego,Maryland 1,President,,Dem,Pete Buttigieg,2,,
Otsego,Maryland 2,President,,Dem,Pete Buttigieg,0,,
Otsego,Middlefield 1,President,,Dem,Pete Buttigieg,3,,
Otsego,Middlefield 2,President,,Dem,Pete Buttigieg,3,,
Otsego,Milford 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Milford 2,President,,Dem,Pete Buttigieg,5,,
Otsego,Morris 1,President,,Dem,Pete Buttigieg,4,,
Otsego,New Lisbon 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Oneonta 1,President,,Dem,Pete Buttigieg,6,,
Otsego,Oneonta 2,President,,Dem,Pete Buttigieg,3,,
Otsego,Oneonta 3,President,,Dem,Pete Buttigieg,4,,
Otsego,Oneonta 4,President,,Dem,Pete Buttigieg,1,,
Otsego,Otego 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Otego 2,President,,Dem,Pete Buttigieg,3,,
Otsego,Otsego 1,President,,Dem,Pete Buttigieg,7,,
Otsego,Otsego 2,President,,Dem,Pete Buttigieg,2,,
Otsego,Otsego 3,President,,Dem,Pete Buttigieg,3,,
Otsego,Pittsfield 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Plainfield 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Richfield 1,President,,Dem,Pete Buttigieg,0,,
Otsego,Richfield 2,President,,Dem,Pete Buttigieg,0,,
Otsego,Roseboom 1,President,,Dem,Pete Buttigieg,0,,
Otsego,Springfield 1,President,,Dem,Pete Buttigieg,2,,
Otsego,Unadilla 1,President,,Dem,Pete Buttigieg,2,,
Otsego,Unadilla 2,President,,Dem,Pete Buttigieg,0,,
Otsego,Unadilla 3,President,,Dem,Pete Buttigieg,2,,
Otsego,Westford 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Worcester 1,President,,Dem,Pete Buttigieg,1,,
Otsego,Worcester 2,President,,Dem,Pete Buttigieg,2,,
Otsego,Worcester 3,President,,Dem,Pete Buttigieg,1,,
Otsego,Oneonta City Ward 1,President,,Dem,Pete Buttigieg,4,,
Otsego,Oneonta City Ward 2,President,,Dem,Pete Buttigieg,2,,
Otsego,Oneonta City Ward 3,President,,Dem,Pete Buttigieg,0,,
Otsego,Oneonta City Ward 4,President,,Dem,Pete Buttigieg,1,,
Otsego,Oneonta City Ward 5,President,,Dem,Pete Buttigieg,1,,
Otsego,Oneonta City Ward 6,President,,Dem,Pete Buttigieg,1,,
Otsego,Oneonta City Ward 7,President,,Dem,Pete Buttigieg,1,,
Otsego,Oneonta City Ward 8,President,,Dem,Pete Buttigieg,1,,
Otsego,Burlington  1,President,,Dem,Amy Klobuchar,0,,
Otsego,Butternuts 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Butternuts 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Cherry Valley 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Decatur 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Edmeston 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Exeter 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Hartwick 1,President,,Dem,Amy Klobuchar,2,,
Otsego,Hartwick 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Laurens 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Laurens 2,President,,Dem,Amy Klobuchar,1,,
Otsego,Maryland 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Maryland 2,President,,Dem,Amy Klobuchar,1,,
Otsego,Middlefield 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Middlefield 2,President,,Dem,Amy Klobuchar,1,,
Otsego,Milford 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Milford 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Morris 1,President,,Dem,Amy Klobuchar,1,,
Otsego,New Lisbon 1,President,,Dem,Amy Klobuchar,3,,
Otsego,Oneonta 1,President,,Dem,Amy Klobuchar,2,,
Otsego,Oneonta 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Oneonta 3,President,,Dem,Amy Klobuchar,0,,
Otsego,Oneonta 4,President,,Dem,Amy Klobuchar,1,,
Otsego,Otego 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Otego 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Otsego 1,President,,Dem,Amy Klobuchar,1,,
Otsego,Otsego 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Otsego 3,President,,Dem,Amy Klobuchar,4,,
Otsego,Pittsfield 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Plainfield 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Richfield 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Richfield 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Roseboom 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Springfield 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Unadilla 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Unadilla 2,President,,Dem,Amy Klobuchar,0,,
Otsego,Unadilla 3,President,,Dem,Amy Klobuchar,0,,
Otsego,Westford 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Worcester 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Worcester 2,President,,Dem,Amy Klobuchar,1,,
Otsego,Worcester 3,President,,Dem,Amy Klobuchar,1,,
Otsego,Oneonta City Ward 1,President,,Dem,Amy Klobuchar,0,,
Otsego,Oneonta City Ward 2,President,,Dem,Amy Klobuchar,4,,
Otsego,Oneonta City Ward 3,President,,Dem,Amy Klobuchar,0,,
Otsego,Oneonta City Ward 4,President,,Dem,Amy Klobuchar,1,,
Otsego,Oneonta City Ward 5,President,,Dem,Amy Klobuchar,0,,
Otsego,Oneonta City Ward 6,President,,Dem,Amy Klobuchar,1,,
Otsego,Oneonta City Ward 7,President,,Dem,Amy Klobuchar,2,,
Otsego,Oneonta City Ward 8,President,,Dem,Amy Klobuchar,0,,
Otsego,Burlington  1,President,,Dem,Joseph R. Biden,23,,
Otsego,Butternuts 1,President,,Dem,Joseph R. Biden,18,,
Otsego,Butternuts 2,President,,Dem,Joseph R. Biden,47,,
Otsego,Cherry Valley 1,President,,Dem,Joseph R. Biden,56,,
Otsego,Decatur 1,President,,Dem,Joseph R. Biden,9,,
Otsego,Edmeston 1,President,,Dem,Joseph R. Biden,48,,
Otsego,Exeter 1,President,,Dem,Joseph R. Biden,25,,
Otsego,Hartwick 1,President,,Dem,Joseph R. Biden,62,,
Otsego,Hartwick 2,President,,Dem,Joseph R. Biden,26,,
Otsego,Laurens 1,President,,Dem,Joseph R. Biden,39,,
Otsego,Laurens 2,President,,Dem,Joseph R. Biden,52,,
Otsego,Maryland 1,President,,Dem,Joseph R. Biden,21,,
Otsego,Maryland 2,President,,Dem,Joseph R. Biden,29,,
Otsego,Middlefield 1,President,,Dem,Joseph R. Biden,91,,
Otsego,Middlefield 2,President,,Dem,Joseph R. Biden,64,,
Otsego,Milford 1,President,,Dem,Joseph R. Biden,63,,
Otsego,Milford 2,President,,Dem,Joseph R. Biden,63,,
Otsego,Morris 1,President,,Dem,Joseph R. Biden,73,,
Otsego,New Lisbon 1,President,,Dem,Joseph R. Biden,39,,
Otsego,Oneonta 1,President,,Dem,Joseph R. Biden,120,,
Otsego,Oneonta 2,President,,Dem,Joseph R. Biden,106,,
Otsego,Oneonta 3,President,,Dem,Joseph R. Biden,81,,
Otsego,Oneonta 4,President,,Dem,Joseph R. Biden,52,,
Otsego,Otego 1,President,,Dem,Joseph R. Biden,34,,
Otsego,Otego 2,President,,Dem,Joseph R. Biden,61,,
Otsego,Otsego 1,President,,Dem,Joseph R. Biden,180,,
Otsego,Otsego 2,President,,Dem,Joseph R. Biden,59,,
Otsego,Otsego 3,President,,Dem,Joseph R. Biden,78,,
Otsego,Pittsfield 1,President,,Dem,Joseph R. Biden,33,,
Otsego,Plainfield 1,President,,Dem,Joseph R. Biden,23,,
Otsego,Richfield 1,President,,Dem,Joseph R. Biden,22,,
Otsego,Richfield 2,President,,Dem,Joseph R. Biden,24,,
Otsego,Roseboom 1,President,,Dem,Joseph R. Biden,25,,
Otsego,Springfield 1,President,,Dem,Joseph R. Biden,39,,
Otsego,Unadilla 1,President,,Dem,Joseph R. Biden,48,,
Otsego,Unadilla 2,President,,Dem,Joseph R. Biden,52,,
Otsego,Unadilla 3,President,,Dem,Joseph R. Biden,51,,
Otsego,Westford 1,President,,Dem,Joseph R. Biden,27,,
Otsego,Worcester 1,President,,Dem,Joseph R. Biden,30,,
Otsego,Worcester 2,President,,Dem,Joseph R. Biden,12,,
Otsego,Worcester 3,President,,Dem,Joseph R. Biden,24,,
Otsego,Oneonta City Ward 1,President,,Dem,Joseph R. Biden,120,,
Otsego,Oneonta City Ward 2,President,,Dem,Joseph R. Biden,109,,
Otsego,Oneonta City Ward 3,President,,Dem,Joseph R. Biden,58,,
Otsego,Oneonta City Ward 4,President,,Dem,Joseph R. Biden,52,,
Otsego,Oneonta City Ward 5,President,,Dem,Joseph R. Biden,54,,
Otsego,Oneonta City Ward 6,President,,Dem,Joseph R. Biden,69,,
Otsego,Oneonta City Ward 7,President,,Dem,Joseph R. Biden,43,,
Otsego,Oneonta City Ward 8,President,,Dem,Joseph R. Biden,56,,
Otsego,Burlington  1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Butternuts 1,President,,Dem,Tulsi Gabbard,1,,
Otsego,Butternuts 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Cherry Valley 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Decatur 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Edmeston 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Exeter 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Hartwick 1,President,,Dem,Tulsi Gabbard,1,,
Otsego,Hartwick 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Laurens 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Laurens 2,President,,Dem,Tulsi Gabbard,1,,
Otsego,Maryland 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Maryland 2,President,,Dem,Tulsi Gabbard,1,,
Otsego,Middlefield 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Middlefield 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Milford 1,President,,Dem,Tulsi Gabbard,1,,
Otsego,Milford 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Morris 1,President,,Dem,Tulsi Gabbard,1,,
Otsego,New Lisbon 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta 3,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta 4,President,,Dem,Tulsi Gabbard,1,,
Otsego,Otego 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Otego 2,President,,Dem,Tulsi Gabbard,2,,
Otsego,Otsego 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Otsego 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Otsego 3,President,,Dem,Tulsi Gabbard,2,,
Otsego,Pittsfield 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Plainfield 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Richfield 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Richfield 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Roseboom 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Springfield 1,President,,Dem,Tulsi Gabbard,2,,
Otsego,Unadilla 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Unadilla 2,President,,Dem,Tulsi Gabbard,2,,
Otsego,Unadilla 3,President,,Dem,Tulsi Gabbard,1,,
Otsego,Westford 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Worcester 1,President,,Dem,Tulsi Gabbard,0,,
Otsego,Worcester 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Worcester 3,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta City Ward 1,President,,Dem,Tulsi Gabbard,1,,
Otsego,Oneonta City Ward 2,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta City Ward 3,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta City Ward 4,President,,Dem,Tulsi Gabbard,0,,
Otsego,Oneonta City Ward 5,President,,Dem,Tulsi Gabbard,1,,
