county,precinct,office,district,party,candidate,election_day,absentee,hand_count,votes
Tompkins,"City of Ithaca 1-1, 1-2",State Assembly,125,DEM,Jordan A. Lesser,24,29,0,53
Tompkins,"City of Ithaca 1-3, 2-2",State Assembly,125,DEM,Jordan A. Lesser,19,28,0,47
Tompkins,City of Ithaca 1-4,State Assembly,125,DEM,Jordan A. Lesser,29,50,0,79
Tompkins,"City of Ithaca 2-1, 2-3",State Assembly,125,DEM,Jordan A. Lesser,29,31,0,60
Tompkins,"City of Ithaca 2-4, 4-1",State Assembly,125,DEM,Jordan A. Lesser,21,20,0,41
Tompkins,"City of Ithaca 3-1, 3-2, 3-3",State Assembly,125,DEM,Jordan A. Lesser,29,67,0,96
Tompkins,"City of Ithaca 5-1, 5-2",State Assembly,125,DEM,Jordan A. Lesser,40,55,0,95
Tompkins,City of Ithaca 5-3,State Assembly,125,DEM,Jordan A. Lesser,12,19,0,31
Tompkins,Caroline 1,State Assembly,125,DEM,Jordan A. Lesser,3,5,0,8
Tompkins,"Caroline 2, 3",State Assembly,125,DEM,Jordan A. Lesser,24,63,0,87
Tompkins,"Danby 1, 2, 3",State Assembly,125,DEM,Jordan A. Lesser,34,70,0,104
Tompkins,"Dryden 1, 5",State Assembly,125,DEM,Jordan A. Lesser,18,25,0,43
Tompkins,Dryden 2,State Assembly,125,DEM,Jordan A. Lesser,9,14,0,23
Tompkins,"Dryden 3, 6, 7, 10",State Assembly,125,DEM,Jordan A. Lesser,15,32,0,47
Tompkins,"Dryden 4, 9",State Assembly,125,DEM,Jordan A. Lesser,33,50,0,83
Tompkins,Dryden 8,State Assembly,125,DEM,Jordan A. Lesser,11,32,0,43
Tompkins,"Enfield 1, 2, 3",State Assembly,125,DEM,Jordan A. Lesser,21,38,0,59
Tompkins,Groton 1,State Assembly,125,DEM,Jordan A. Lesser,0,6,0,6
Tompkins,"Groton 2, 3",State Assembly,125,DEM,Jordan A. Lesser,8,12,0,20
Tompkins,Groton 4,State Assembly,125,DEM,Jordan A. Lesser,3,9,0,12
Tompkins,Ithaca 1,State Assembly,125,DEM,Jordan A. Lesser,13,12,0,25
Tompkins,Ithaca 2,State Assembly,125,DEM,Jordan A. Lesser,11,10,0,21
Tompkins,Ithaca 3. 12,State Assembly,125,DEM,Jordan A. Lesser,24,39,0,63
Tompkins,"Ithaca 4, 11",State Assembly,125,DEM,Jordan A. Lesser,34,101,0,135
Tompkins,"Ithaca 5, 6",State Assembly,125,DEM,Jordan A. Lesser,30,58,0,88
Tompkins,"Ithaca 7, 8, 9",State Assembly,125,DEM,Jordan A. Lesser,52,130,0,182
Tompkins,Ithaca 10,State Assembly,125,DEM,Jordan A. Lesser,18,20,0,38
Tompkins,"Lansing 1, 3",State Assembly,125,DEM,Jordan A. Lesser,27,44,0,71
Tompkins,"Lansing 2, 8",State Assembly,125,DEM,Jordan A. Lesser,3,8,0,11
Tompkins,Lansing 4,State Assembly,125,DEM,Jordan A. Lesser,8,7,0,15
Tompkins,"Lansing 5, 7",State Assembly,125,DEM,Jordan A. Lesser,33,76,0,109
Tompkins,Lansing 6,State Assembly,125,DEM,Jordan A. Lesser,18,28,0,46
Tompkins,"Newfield 1, 2, 3",State Assembly,125,DEM,Jordan A. Lesser,18,29,0,47
Tompkins,"Ulysses 1, 3",State Assembly,125,DEM,Jordan A. Lesser,31,56,0,87
Tompkins,Ulysses 2,State Assembly,125,DEM,Jordan A. Lesser,5,18,0,23
Tompkins,Ulysses 4,State Assembly,125,DEM,Jordan A. Lesser,20,38,0,58
Tompkins,"City of Ithaca 1-1, 1-2",State Assembly,125,DEM,Anna Kelles,70,96,0,166
Tompkins,"City of Ithaca 1-3, 2-2",State Assembly,125,DEM,Anna Kelles,57,115,0,172
Tompkins,City of Ithaca 1-4,State Assembly,125,DEM,Anna Kelles,60,112,0,172
Tompkins,"City of Ithaca 2-1, 2-3",State Assembly,125,DEM,Anna Kelles,101,172,0,273
Tompkins,"City of Ithaca 2-4, 4-1",State Assembly,125,DEM,Anna Kelles,52,93,0,145
Tompkins,"City of Ithaca 3-1, 3-2, 3-3",State Assembly,125,DEM,Anna Kelles,63,116,0,179
Tompkins,"City of Ithaca 5-1, 5-2",State Assembly,125,DEM,Anna Kelles,142,291,0,433
Tompkins,City of Ithaca 5-3,State Assembly,125,DEM,Anna Kelles,14,20,0,34
Tompkins,Caroline 1,State Assembly,125,DEM,Anna Kelles,6,30,0,36
Tompkins,"Caroline 2, 3",State Assembly,125,DEM,Anna Kelles,37,116,0,153
Tompkins,"Danby 1, 2, 3",State Assembly,125,DEM,Anna Kelles,108,168,0,276
Tompkins,"Dryden 1, 5",State Assembly,125,DEM,Anna Kelles,40,76,0,116
Tompkins,Dryden 2,State Assembly,125,DEM,Anna Kelles,23,30,0,53
Tompkins,"Dryden 3, 6, 7, 10",State Assembly,125,DEM,Anna Kelles,43,81,0,124
Tompkins,"Dryden 4, 9",State Assembly,125,DEM,Anna Kelles,47,127,0,174
Tompkins,Dryden 8,State Assembly,125,DEM,Anna Kelles,31,102,0,133
Tompkins,"Enfield 1, 2, 3",State Assembly,125,DEM,Anna Kelles,68,115,0,183
Tompkins,Groton 1,State Assembly,125,DEM,Anna Kelles,8,17,0,25
Tompkins,"Groton 2, 3",State Assembly,125,DEM,Anna Kelles,19,36,0,55
Tompkins,Groton 4,State Assembly,125,DEM,Anna Kelles,3,12,0,15
Tompkins,Ithaca 1,State Assembly,125,DEM,Anna Kelles,37,81,0,118
Tompkins,Ithaca 2,State Assembly,125,DEM,Anna Kelles,20,39,0,59
