county,precinct,office,district,candidate,party,early_voting,election_day,absentee,votes
Cortland,Cortland Ward 1 ED 1,Governor,,Kathy C. Hochul,DEM,86,197,32,315
Cortland,Cortland Ward 1 ED 3,Governor,,Kathy C. Hochul,DEM,19,20,32,71
Cortland,Cortland Ward 2 ED 3,Governor,,Kathy C. Hochul,DEM,45,111,4,160
Cortland,Cortland Ward 3 ED 2,Governor,,Kathy C. Hochul,DEM,18,29,2,49
Cortland,Cortland Ward 2 ED 1,Governor,,Kathy C. Hochul,DEM,45,89,22,156
Cortland,Cortland Ward 3 ED 3,Governor,,Kathy C. Hochul,DEM,0,7,2,9
Cortland,Cortland Ward 5 ED 1,Governor,,Kathy C. Hochul,DEM,1,1,0,2
Cortland,Cortland Ward 6 ED 2,Governor,,Kathy C. Hochul,DEM,5,18,7,30
Cortland,Cortland Ward 3 ED 1,Governor,,Kathy C. Hochul,DEM,40,68,13,121
Cortland,Cortland Ward 3 ED 4,Governor,,Kathy C. Hochul,DEM,13,30,3,46
Cortland,Cortland Ward 4 ED 1,Governor,,Kathy C. Hochul,DEM,39,75,20,134
Cortland,Cortland Ward 5 ED 3,Governor,,Kathy C. Hochul,DEM,3,4,2,9
Cortland,Cortland Ward 3 ED 5,Governor,,Kathy C. Hochul,DEM,13,29,7,49
Cortland,Cortland Ward 4 ED 2,Governor,,Kathy C. Hochul,DEM,1,16,4,21
Cortland,Cortland Ward 4 ED 3,Governor,,Kathy C. Hochul,DEM,0,3,1,4
Cortland,Cortland Ward 5 ED 4,Governor,,Kathy C. Hochul,DEM,17,98,21,136
Cortland,Cortland Ward 5 ED 2,Governor,,Kathy C. Hochul,DEM,29,69,6,104
Cortland,Cortland Ward 7 ED 3,Governor,,Kathy C. Hochul,DEM,0,1,0,1
Cortland,Cortland Ward 8 ED 1,Governor,,Kathy C. Hochul,DEM,55,106,33,194
Cortland,Cortland Ward 7 ED 1,Governor,,Kathy C. Hochul,DEM,81,126,35,242
Cortland,Cortland Ward 8 ED 2,Governor,,Kathy C. Hochul,DEM,14,15,7,36
Cortland,Cortland Ward 1 ED 2,Governor,,Kathy C. Hochul,DEM,1,5,0,6
Cortland,Cortland Ward 2 ED 2,Governor,,Kathy C. Hochul,DEM,25,23,6,54
Cortland,Cortland Ward 6 ED 1,Governor,,Kathy C. Hochul,DEM,86,168,28,282
Cortland,Cortland Ward 7 ED 2,Governor,,Kathy C. Hochul,DEM,4,10,2,16
Cortland,Preble,Governor,,Kathy C. Hochul,DEM,28,171,25,224
Cortland,Scott,Governor,,Kathy C. Hochul,DEM,15,99,10,124
Cortland,Homer-1,Governor,,Kathy C. Hochul,DEM,12,46,7,65
Cortland,Homer-2,Governor,,Kathy C. Hochul,DEM,67,147,21,235
Cortland,Homer-3,Governor,,Kathy C. Hochul,DEM,69,160,34,263
Cortland,Homer-4,Governor,,Kathy C. Hochul,DEM,57,124,23,204
Cortland,Homer-5,Governor,,Kathy C. Hochul,DEM,73,242,33,348
Cortland,Cortlandville-1,Governor,,Kathy C. Hochul,DEM,80,206,22,308
Cortland,Cortlandville-2,Governor,,Kathy C. Hochul,DEM,116,143,29,288
Cortland,Cortlandville-3,Governor,,Kathy C. Hochul,DEM,49,77,18,144
Cortland,Cortlandville-4,Governor,,Kathy C. Hochul,DEM,31,110,17,158
Cortland,Cortlandville-5,Governor,,Kathy C. Hochul,DEM,36,53,7,96
Cortland,Cortlandville-6,Governor,,Kathy C. Hochul,DEM,89,169,41,299
Cortland,Harford,Governor,,Kathy C. Hochul,DEM,6,58,10,74
Cortland,Virgil-1,Governor,,Kathy C. Hochul,DEM,33,111,11,155
Cortland,Virgil-2,Governor,,Kathy C. Hochul,DEM,61,162,42,265
Cortland,Lapeer,Governor,,Kathy C. Hochul,DEM,7,52,6,65
Cortland,Marathon-1,Governor,,Kathy C. Hochul,DEM,11,84,7,102
Cortland,Marathon-2,Governor,,Kathy C. Hochul,DEM,12,76,9,97
Cortland,Cuyler,Governor,,Kathy C. Hochul,DEM,1,51,5,57
Cortland,Solon,Governor,,Kathy C. Hochul,DEM,19,62,17,98
Cortland,Truxton,Governor,,Kathy C. Hochul,DEM,10,114,6,130
Cortland,Cincinnatus,Governor,,Kathy C. Hochul,DEM,6,61,5,72
Cortland,Freetown,Governor,,Kathy C. Hochul,DEM,14,54,7,75
Cortland,Taylor,Governor,,Kathy C. Hochul,DEM,0,37,3,40
Cortland,Willet,Governor,,Kathy C. Hochul,DEM,6,53,7,66
Cortland,Cortland Ward 1 ED 1,Governor,,Lee Zeldin,REP,22,158,12,192
Cortland,Cortland Ward 1 ED 3,Governor,,Lee Zeldin,REP,1,18,10,29
Cortland,Cortland Ward 2 ED 3,Governor,,Lee Zeldin,REP,14,155,4,173
Cortland,Cortland Ward 3 ED 2,Governor,,Lee Zeldin,REP,17,35,5,57
Cortland,Cortland Ward 2 ED 1,Governor,,Lee Zeldin,REP,9,58,22,89
Cortland,Cortland Ward 3 ED 3,Governor,,Lee Zeldin,REP,0,5,1,6
Cortland,Cortland Ward 5 ED 1,Governor,,Lee Zeldin,REP,0,2,0,2
Cortland,Cortland Ward 6 ED 2,Governor,,Lee Zeldin,REP,0,10,0,10
Cortland,Cortland Ward 3 ED 1,Governor,,Lee Zeldin,REP,3,47,3,53
Cortland,Cortland Ward 3 ED 4,Governor,,Lee Zeldin,REP,1,11,2,14
Cortland,Cortland Ward 4 ED 1,Governor,,Lee Zeldin,REP,9,42,5,56
Cortland,Cortland Ward 5 ED 3,Governor,,Lee Zeldin,REP,0,7,0,7
Cortland,Cortland Ward 3 ED 5,Governor,,Lee Zeldin,REP,5,8,7,20
Cortland,Cortland Ward 4 ED 2,Governor,,Lee Zeldin,REP,2,41,7,50
Cortland,Cortland Ward 4 ED 3,Governor,,Lee Zeldin,REP,1,3,0,4
Cortland,Cortland Ward 5 ED 4,Governor,,Lee Zeldin,REP,9,72,10,91
Cortland,Cortland Ward 5 ED 2,Governor,,Lee Zeldin,REP,10,108,8,126
Cortland,Cortland Ward 7 ED 3,Governor,,Lee Zeldin,REP,3,1,0,4
Cortland,Cortland Ward 8 ED 1,Governor,,Lee Zeldin,REP,36,100,18,154
Cortland,Cortland Ward 7 ED 1,Governor,,Lee Zeldin,REP,34,133,15,182
Cortland,Cortland Ward 8 ED 2,Governor,,Lee Zeldin,REP,4,27,1,32
Cortland,Cortland Ward 1 ED 2,Governor,,Lee Zeldin,REP,0,5,0,5
Cortland,Cortland Ward 2 ED 2,Governor,,Lee Zeldin,REP,6,29,3,38
Cortland,Cortland Ward 6 ED 1,Governor,,Lee Zeldin,REP,51,164,13,228
Cortland,Cortland Ward 7 ED 2,Governor,,Lee Zeldin,REP,2,19,2,23
Cortland,Preble,Governor,,Lee Zeldin,REP,8,326,25,359
Cortland,Scott,Governor,,Lee Zeldin,REP,17,224,12,253
Cortland,Homer-1,Governor,,Lee Zeldin,REP,12,91,3,106
Cortland,Homer-2,Governor,,Lee Zeldin,REP,50,350,24,424
Cortland,Homer-3,Governor,,Lee Zeldin,REP,26,202,20,248
Cortland,Homer-4,Governor,,Lee Zeldin,REP,15,222,4,241
Cortland,Homer-5,Governor,,Lee Zeldin,REP,28,226,12,266
Cortland,Cortlandville-1,Governor,,Lee Zeldin,REP,44,244,21,309
Cortland,Cortlandville-2,Governor,,Lee Zeldin,REP,42,267,14,323
Cortland,Cortlandville-3,Governor,,Lee Zeldin,REP,26,175,25,226
Cortland,Cortlandville-4,Governor,,Lee Zeldin,REP,52,308,21,381
Cortland,Cortlandville-5,Governor,,Lee Zeldin,REP,7,96,10,113
Cortland,Cortlandville-6,Governor,,Lee Zeldin,REP,38,188,13,239
Cortland,Harford,Governor,,Lee Zeldin,REP,9,202,6,217
Cortland,Virgil-1,Governor,,Lee Zeldin,REP,6,202,5,213
Cortland,Virgil-2,Governor,,Lee Zeldin,REP,23,353,17,393
Cortland,Lapeer,Governor,,Lee Zeldin,REP,5,209,5,219
Cortland,Marathon-1,Governor,,Lee Zeldin,REP,11,283,9,303
Cortland,Marathon-2,Governor,,Lee Zeldin,REP,8,213,2,223
Cortland,Cuyler,Governor,,Lee Zeldin,REP,4,200,13,217
Cortland,Solon,Governor,,Lee Zeldin,REP,8,251,12,271
Cortland,Truxton,Governor,,Lee Zeldin,REP,9,278,10,297
Cortland,Cincinnatus,Governor,,Lee Zeldin,REP,12,256,11,279
Cortland,Freetown,Governor,,Lee Zeldin,REP,3,173,4,180
Cortland,Taylor,Governor,,Lee Zeldin,REP,4,150,6,160
Cortland,Willet,Governor,,Lee Zeldin,REP,9,230,5,244
Cortland,Cortland Ward 1 ED 1,Governor,,Lee Zeldin,CON,1,10,2,13
Cortland,Cortland Ward 1 ED 3,Governor,,Lee Zeldin,CON,0,2,2,4
Cortland,Cortland Ward 2 ED 3,Governor,,Lee Zeldin,CON,5,17,1,23
Cortland,Cortland Ward 3 ED 2,Governor,,Lee Zeldin,CON,0,4,0,4
Cortland,Cortland Ward 2 ED 1,Governor,,Lee Zeldin,CON,0,13,0,13
Cortland,Cortland Ward 3 ED 3,Governor,,Lee Zeldin,CON,1,0,1,2
Cortland,Cortland Ward 5 ED 1,Governor,,Lee Zeldin,CON,0,0,0,0
Cortland,Cortland Ward 6 ED 2,Governor,,Lee Zeldin,CON,0,2,0,2
Cortland,Cortland Ward 3 ED 1,Governor,,Lee Zeldin,CON,0,7,2,9
Cortland,Cortland Ward 3 ED 4,Governor,,Lee Zeldin,CON,1,2,0,3
