county,precinct,office,district,candidate,party,election_day,early_voting,absentee,votes
Chenango,CITY OF NORWICH WARD 1 ,Governor,,Kathy C. Hochul,DEM,102,29,29,160
Chenango,CITY OF NORWICH WARD 2 ,Governor,,Kathy C. Hochul,DEM,61,25,25,111
Chenango,CITY OF NORWICH WARD 3 ,Governor,,Kathy C. Hochul,DEM,124,22,22,168
Chenango,CITY OF NORWICH WARD 4 ,Governor,,Kathy C. Hochul,DEM,39,11,11,61
Chenango,CITY OF NORWICH WARD 5 ,Governor,,Kathy C. Hochul,DEM,75,17,17,109
Chenango,CITY OF NORWICH WARD 6 ,Governor,,Kathy C. Hochul,DEM,69,26,26,121
Chenango,AFTON 1 ,Governor,,Kathy C. Hochul,DEM,208,27,27,262
Chenango,BAINBRIDGE 1 ,Governor,,Kathy C. Hochul,DEM,236,28,28,292
Chenango,COLUMBUS 1 ,Governor,,Kathy C. Hochul,DEM,47,8,8,63
Chenango,COVENTRY 1 ,Governor,,Kathy C. Hochul,DEM,75,16,16,107
Chenango,GERMAN 1 ,Governor,,Kathy C. Hochul,DEM,23,5,5,33
Chenango,GREENE 1 ,Governor,,Kathy C. Hochul,DEM,231,61,61,353
Chenango,GREENE 2 ,Governor,,Kathy C. Hochul,DEM,204,54,54,312
Chenango,GUILFORD 1 ,Governor,,Kathy C. Hochul,DEM,187,38,38,263
Chenango,LINCKLAEN 1 ,Governor,,Kathy C. Hochul,DEM,29,7,7,43
Chenango,MCDONOUGH 1 ,Governor,,Kathy C. Hochul,DEM,66,10,10,86
Chenango,NEW BERLIN 1 ,Governor,,Kathy C. Hochul,DEM,162,35,35,232
Chenango,NORTH NORWICH 1 ,Governor,,Kathy C. Hochul,DEM,105,18,18,141
Chenango,NORWICH TOWN 1 ,Governor,,Kathy C. Hochul,DEM,103,16,16,135
Chenango,NORWICH TOWN 2 ,Governor,,Kathy C. Hochul,DEM,99,27,27,153
Chenango,OTSELIC 1 ,Governor,,Kathy C. Hochul,DEM,68,10,10,88
Chenango,OXFORD 1 ,Governor,,Kathy C. Hochul,DEM,148,39,39,226
Chenango,OXFORD 2 ,Governor,,Kathy C. Hochul,DEM,108,18,18,144
Chenango,PHARSALIA 1 ,Governor,,Kathy C. Hochul,DEM,47,3,3,53
Chenango,PITCHER 1 ,Governor,,Kathy C. Hochul,DEM,39,2,2,43
Chenango,PLYMOUTH 1 ,Governor,,Kathy C. Hochul,DEM,87,13,13,113
Chenango,PRESTON 1 ,Governor,,Kathy C. Hochul,DEM,88,12,12,112
Chenango,SHERBURNE 1 ,Governor,,Kathy C. Hochul,DEM,146,24,24,194
Chenango,SHERBURNE 2 ,Governor,,Kathy C. Hochul,DEM,137,30,30,197
Chenango,SMITHVILLE 1 ,Governor,,Kathy C. Hochul,DEM,64,18,18,100
Chenango,SMYRNA 1 ,Governor,,Kathy C. Hochul,DEM,75,9,9,93
Chenango,CITY OF NORWICH WARD 1 ,Governor,,Lee Zeldin,REP,143,8,8,159
Chenango,CITY OF NORWICH WARD 2 ,Governor,,Lee Zeldin,REP,116,8,8,132
Chenango,CITY OF NORWICH WARD 3 ,Governor,,Lee Zeldin,REP,166,27,27,220
Chenango,CITY OF NORWICH WARD 4 ,Governor,,Lee Zeldin,REP,118,4,4,126
Chenango,CITY OF NORWICH WARD 5 ,Governor,,Lee Zeldin,REP,101,9,9,119
Chenango,CITY OF NORWICH WARD 6 ,Governor,,Lee Zeldin,REP,100,23,23,146
Chenango,AFTON 1 ,Governor,,Lee Zeldin,REP,645,30,30,705
Chenango,BAINBRIDGE 1 ,Governor,,Lee Zeldin,REP,674,37,37,748
Chenango,COLUMBUS 1 ,Governor,,Lee Zeldin,REP,234,9,9,252
Chenango,COVENTRY 1 ,Governor,,Lee Zeldin,REP,408,27,27,462
Chenango,GERMAN 1 ,Governor,,Lee Zeldin,REP,84,3,3,90
Chenango,GREENE 1 ,Governor,,Lee Zeldin,REP,626,34,34,694
Chenango,GREENE 2 ,Governor,,Lee Zeldin,REP,663,39,39,741
Chenango,GUILFORD 1 ,Governor,,Lee Zeldin,REP,634,36,36,706
Chenango,LINCKLAEN 1 ,Governor,,Lee Zeldin,REP,85,9,9,103
Chenango,MCDONOUGH 1 ,Governor,,Lee Zeldin,REP,204,18,18,240
Chenango,NEW BERLIN 1 ,Governor,,Lee Zeldin,REP,468,39,39,546
Chenango,NORTH NORWICH 1 ,Governor,,Lee Zeldin,REP,308,24,24,356
Chenango,NORWICH TOWN 1 ,Governor,,Lee Zeldin,REP,368,26,26,420
Chenango,NORWICH TOWN 2 ,Governor,,Lee Zeldin,REP,303,28,28,359
Chenango,OTSELIC 1 ,Governor,,Lee Zeldin,REP,177,8,8,193
Chenango,OXFORD 1 ,Governor,,Lee Zeldin,REP,445,34,34,513
Chenango,OXFORD 2 ,Governor,,Lee Zeldin,REP,284,24,24,332
