county,precinct,office,district,candidate,party,votes,election_day,absentee,early_voting,affidavit
Yates,Barrington 1,Governor,,Kathy C. Hochul,DEM,160,86,19,54,1
Yates,Benton 1,Governor,,Kathy C. Hochul,DEM,97,65,6,26,0
Yates,Benton 2,Governor,,Kathy C. Hochul,DEM,135,79,22,34,0
Yates,Italy 1,Governor,,Kathy C. Hochul,DEM,141,103,17,19,2
Yates,Jerusalem 1,Governor,,Kathy C. Hochul,DEM,215,107,32,76,0
Yates,Jerusalem 2,Governor,,Kathy C. Hochul,DEM,164,92,19,50,3
Yates,Jerusalem 3,Governor,,Kathy C. Hochul,DEM,119,72,10,34,3
Yates,Jerusalem 4,Governor,,Kathy C. Hochul,DEM,170,89,10,68,3
Yates,Middlesex 1,Governor,,Kathy C. Hochul,DEM,151,124,14,12,1
Yates,Milo 2,Governor,,Kathy C. Hochul,DEM,196,94,24,77,1
Yates,Milo 3,Governor,,Kathy C. Hochul,DEM,136,57,22,55,2
Yates,Milo 4,Governor,,Kathy C. Hochul,DEM,86,63,8,15,0
Yates,Milo 5,Governor,,Kathy C. Hochul,DEM,168,76,19,72,1
Yates,Milo 6,Governor,,Kathy C. Hochul,DEM,197,81,35,79,2
Yates,Potter 1,Governor,,Kathy C. Hochul,DEM,106,79,12,14,1
Yates,Starkey 1,Governor,,Kathy C. Hochul,DEM,134,96,12,26,0
Yates,Starkey 2,Governor,,Kathy C. Hochul,DEM,165,110,26,28,1
Yates,Torrey 1,Governor,,Kathy C. Hochul,DEM,175,118,13,43,1
Yates,Barrington 1,Governor,,Lee Zeldin,REP,310,263,15,27,5
Yates,Benton 1,Governor,,Lee Zeldin,REP,234,205,8,20,1
Yates,Benton 2,Governor,,Lee Zeldin,REP,286,248,13,23,2
Yates,Italy 1,Governor,,Lee Zeldin,REP,275,252,12,9,2
Yates,Jerusalem 1,Governor,,Lee Zeldin,REP,255,210,9,33,3
Yates,Jerusalem 2,Governor,,Lee Zeldin,REP,224,189,16,19,0
Yates,Jerusalem 3,Governor,,Lee Zeldin,REP,232,198,12,21,1
Yates,Jerusalem 4,Governor,,Lee Zeldin,REP,219,155,19,44,1
Yates,Middlesex 1,Governor,,Lee Zeldin,REP,348,326,9,12,1
Yates,Milo 2,Governor,,Lee Zeldin,REP,267,205,17,40,5
Yates,Milo 3,Governor,,Lee Zeldin,REP,189,139,14,34,2
Yates,Milo 4,Governor,,Lee Zeldin,REP,184,163,4,14,3
Yates,Milo 5,Governor,,Lee Zeldin,REP,243,188,9,44,2
Yates,Milo 6,Governor,,Lee Zeldin,REP,293,184,25,82,2
Yates,Potter 1,Governor,,Lee Zeldin,REP,352,328,8,10,6
Yates,Starkey 1,Governor,,Lee Zeldin,REP,291,252,18,17,4
Yates,Starkey 2,Governor,,Lee Zeldin,REP,288,260,5,21,2
Yates,Torrey 1,Governor,,Lee Zeldin,REP,239,208,18,11,2
Yates,Barrington 1,Governor,,Lee Zeldin,CON,35,27,4,3,1
Yates,Benton 1,Governor,,Lee Zeldin,CON,30,26,1,1,2
Yates,Benton 2,Governor,,Lee Zeldin,CON,41,27,3,11,0
Yates,Italy 1,Governor,,Lee Zeldin,CON,50,48,2,0,0
Yates,Jerusalem 1,Governor,,Lee Zeldin,CON,31,20,3,8,0
Yates,Jerusalem 2,Governor,,Lee Zeldin,CON,32,26,4,2,0
Yates,Jerusalem 3,Governor,,Lee Zeldin,CON,45,35,3,6,1
Yates,Jerusalem 4,Governor,,Lee Zeldin,CON,23,21,0,2,0
Yates,Middlesex 1,Governor,,Lee Zeldin,CON,67,66,0,1,0
Yates,Milo 2,Governor,,Lee Zeldin,CON,31,26,0,5,0
Yates,Milo 3,Governor,,Lee Zeldin,CON,27,21,1,5,0
Yates,Milo 4,Governor,,Lee Zeldin,CON,21,18,2,1,0
Yates,Milo 5,Governor,,Lee Zeldin,CON,28,25,1,2,0
Yates,Milo 6,Governor,,Lee Zeldin,CON,43,28,7,8,0
Yates,Potter 1,Governor,,Lee Zeldin,CON,49,44,1,1,3
Yates,Starkey 1,Governor,,Lee Zeldin,CON,29,25,1,3,0
Yates,Starkey 2,Governor,,Lee Zeldin,CON,22,20,1,0,1
Yates,Torrey 1,Governor,,Lee Zeldin,CON,29,24,3,2,0
Yates,Barrington 1,Governor,,Kathy C. Hochul,WOR,8,6,0,2,0
Yates,Benton 1,Governor,,Kathy C. Hochul,WOR,8,7,0,1,0
Yates,Benton 2,Governor,,Kathy C. Hochul,WOR,6,4,2,0,0
Yates,Italy 1,Governor,,Kathy C. Hochul,WOR,10,7,1,1,1
Yates,Jerusalem 1,Governor,,Kathy C. Hochul,WOR,8,5,0,3,0
Yates,Jerusalem 2,Governor,,Kathy C. Hochul,WOR,7,3,1,3,0
Yates,Jerusalem 3,Governor,,Kathy C. Hochul,WOR,16,11,1,4,0
Yates,Jerusalem 4,Governor,,Kathy C. Hochul,WOR,6,6,0,0,0
Yates,Middlesex 1,Governor,,Kathy C. Hochul,WOR,23,17,3,2,1
Yates,Milo 2,Governor,,Kathy C. Hochul,WOR,14,8,1,5,0
Yates,Milo 3,Governor,,Kathy C. Hochul,WOR,11,5,3,3,0
Yates,Milo 4,Governor,,Kathy C. Hochul,WOR,5,3,0,2,0
Yates,Milo 5,Governor,,Kathy C. Hochul,WOR,17,12,1,4,0
Yates,Milo 6,Governor,,Kathy C. Hochul,WOR,13,9,1,3,0
Yates,Potter 1,Governor,,Kathy C. Hochul,WOR,6,2,3,1,0
Yates,Starkey 1,Governor,,Kathy C. Hochul,WOR,9,6,2,1,0
Yates,Starkey 2,Governor,,Kathy C. Hochul,WOR,7,6,1,0,0
Yates,Torrey 1,Governor,,Kathy C. Hochul,WOR,12,8,1,3,0
Yates,Barrington 1,Governor,,Write-ins,,1,1,0,0,0
Yates,Benton 1,Governor,,Write-ins,,0,0,0,0,0
Yates,Benton 2,Governor,,Write-ins,,0,0,0,0,0
Yates,Italy 1,Governor,,Write-ins,,1,1,0,0,0
Yates,Jerusalem 1,Governor,,Write-ins,,0,0,0,0,0
Yates,Jerusalem 2,Governor,,Write-ins,,0,0,0,0,0
Yates,Jerusalem 3,Governor,,Write-ins,,0,0,0,0,0
Yates,Jerusalem 4,Governor,,Write-ins,,0,0,0,0,0
Yates,Middlesex 1,Governor,,Write-ins,,2,2,0,0,0
Yates,Milo 2,Governor,,Write-ins,,0,0,0,0,0
Yates,Milo 3,Governor,,Write-ins,,0,0,0,0,0
Yates,Milo 4,Governor,,Write-ins,,1,1,0,0,0
Yates,Milo 5,Governor,,Write-ins,,0,0,0,0,0
Yates,Milo 6,Governor,,Write-ins,,0,0,0,0,0
Yates,Potter 1,Governor,,Write-ins,,0,0,0,0,0
Yates,Starkey 1,Governor,,Write-ins,,0,0,0,0,0
Yates,Starkey 2,Governor,,Write-ins,,0,0,0,0,0
Yates,Torrey 1,Governor,,Write-ins,,0,0,0,0,0
Yates,Barrington 1,Governor,,Under Votes,,5,5,0,0,0
Yates,Benton 1,Governor,,Under Votes,,4,3,0,1,0
Yates,Benton 2,Governor,,Under Votes,,6,6,0,0,0
Yates,Italy 1,Governor,,Under Votes,,0,0,0,0,0
Yates,Jerusalem 1,Governor,,Under Votes,,4,4,0,0,0
Yates,Jerusalem 2,Governor,,Under Votes,,1,1,0,0,0
Yates,Jerusalem 3,Governor,,Under Votes,,3,3,0,0,0
Yates,Jerusalem 4,Governor,,Under Votes,,2,1,0,1,0
Yates,Middlesex 1,Governor,,Under Votes,,2,2,0,0,0
Yates,Milo 2,Governor,,Under Votes,,5,2,2,1,0
Yates,Milo 3,Governor,,Under Votes,,2,0,0,2,0
Yates,Milo 4,Governor,,Under Votes,,3,2,0,1,0
Yates,Milo 5,Governor,,Under Votes,,3,1,1,1,0
Yates,Milo 6,Governor,,Under Votes,,3,2,1,0,0
Yates,Potter 1,Governor,,Under Votes,,2,2,0,0,0
Yates,Starkey 1,Governor,,Under Votes,,3,2,0,1,0
Yates,Starkey 2,Governor,,Under Votes,,0,0,0,0,0
Yates,Torrey 1,Governor,,Under Votes,,4,3,0,0,1
Yates,Barrington 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Benton 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Benton 2,Governor,,Over Votes,,0,0,0,0,0
Yates,Italy 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Jerusalem 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Jerusalem 2,Governor,,Over Votes,,0,0,0,0,0
Yates,Jerusalem 3,Governor,,Over Votes,,0,0,0,0,0
Yates,Jerusalem 4,Governor,,Over Votes,,0,0,0,0,0
Yates,Middlesex 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Milo 2,Governor,,Over Votes,,1,0,1,0,0
Yates,Milo 3,Governor,,Over Votes,,0,0,0,0,0
Yates,Milo 4,Governor,,Over Votes,,1,1,0,0,0
Yates,Milo 5,Governor,,Over Votes,,0,0,0,0,0
Yates,Milo 6,Governor,,Over Votes,,0,0,0,0,0
Yates,Potter 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Starkey 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Starkey 2,Governor,,Over Votes,,0,0,0,0,0
Yates,Torrey 1,Governor,,Over Votes,,0,0,0,0,0
Yates,Barrington 1,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Benton 1,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Benton 2,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Italy 1,Governor,,Unqualified Write-ins,,1,0,1,0,0
Yates,Jerusalem 1,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Jerusalem 2,Governor,,Unqualified Write-ins,,3,2,0,1,0
Yates,Jerusalem 3,Governor,,Unqualified Write-ins,,1,1,0,0,0
Yates,Jerusalem 4,Governor,,Unqualified Write-ins,,1,1,0,0,0
Yates,Middlesex 1,Governor,,Unqualified Write-ins,,1,0,0,1,0
Yates,Milo 2,Governor,,Unqualified Write-ins,,2,1,0,1,0
Yates,Milo 3,Governor,,Unqualified Write-ins,,3,3,0,0,0
Yates,Milo 4,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Milo 5,Governor,,Unqualified Write-ins,,3,3,0,0,0
Yates,Milo 6,Governor,,Unqualified Write-ins,,2,1,0,0,1
Yates,Potter 1,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Starkey 1,Governor,,Unqualified Write-ins,,1,1,0,0,0
Yates,Starkey 2,Governor,,Unqualified Write-ins,,5,5,0,0,0
Yates,Torrey 1,Governor,,Unqualified Write-ins,,0,0,0,0,0
Yates,Barrington 1,Comptroller,,Thomas P. DiNapoli,DEM,172,100,18,54,0
Yates,Benton 1,Comptroller,,Thomas P. DiNapoli,DEM,122,84,6,30,2
Yates,Benton 2,Comptroller,,Thomas P. DiNapoli,DEM,160,101,24,35,0
Yates,Italy 1,Comptroller,,Thomas P. DiNapoli,DEM,145,106,17,20,2
Yates,Jerusalem 1,Comptroller,,Thomas P. DiNapoli,DEM,224,118,30,76,0
Yates,Jerusalem 2,Comptroller,,Thomas P. DiNapoli,DEM,178,105,18,52,3
Yates,Jerusalem 3,Comptroller,,Thomas P. DiNapoli,DEM,134,84,11,36,3
Yates,Jerusalem 4,Comptroller,,Thomas P. DiNapoli,DEM,185,107,11,65,2
Yates,Middlesex 1,Comptroller,,Thomas P. DiNapoli,DEM,174,147,14,12,1
Yates,Milo 2,Comptroller,,Thomas P. DiNapoli,DEM,205,108,23,73,1
Yates,Milo 3,Comptroller,,Thomas P. DiNapoli,DEM,152,67,22,61,2
Yates,Milo 4,Comptroller,,Thomas P. DiNapoli,DEM,93,70,7,15,1
Yates,Milo 5,Comptroller,,Thomas P. DiNapoli,DEM,183,89,19,74,1
Yates,Milo 6,Comptroller,,Thomas P. DiNapoli,DEM,206,84,35,85,2
Yates,Potter 1,Comptroller,,Thomas P. DiNapoli,DEM,130,104,10,15,1
Yates,Starkey 1,Comptroller,,Thomas P. DiNapoli,DEM,147,109,12,26,0
Yates,Starkey 2,Comptroller,,Thomas P. DiNapoli,DEM,177,119,25,31,2
Yates,Torrey 1,Comptroller,,Thomas P. DiNapoli,DEM,190,131,16,42,1
Yates,Barrington 1,Comptroller,,Paul Rodriguez,REP,283,235,16,26,6
Yates,Benton 1,Comptroller,,Paul Rodriguez,REP,205,180,7,17,1
Yates,Benton 2,Comptroller,,Paul Rodriguez,REP,253,220,12,19,2
Yates,Italy 1,Comptroller,,Paul Rodriguez,REP,256,234,12,8,2
Yates,Jerusalem 1,Comptroller,,Paul Rodriguez,REP,237,195,8,32,2
Yates,Jerusalem 2,Comptroller,,Paul Rodriguez,REP,195,166,14,15,0
Yates,Jerusalem 3,Comptroller,,Paul Rodriguez,REP,206,177,10,18,1
Yates,Jerusalem 4,Comptroller,,Paul Rodriguez,REP,201,135,18,46,2
Yates,Middlesex 1,Comptroller,,Paul Rodriguez,REP,314,294,8,11,1
Yates,Milo 2,Comptroller,,Paul Rodriguez,REP,243,181,18,40,4
Yates,Milo 3,Comptroller,,Paul Rodriguez,REP,157,122,12,21,2
Yates,Milo 4,Comptroller,,Paul Rodriguez,REP,167,145,5,15,2
Yates,Milo 5,Comptroller,,Paul Rodriguez,REP,213,165,8,38,2
Yates,Milo 6,Comptroller,,Paul Rodriguez,REP,265,165,23,74,3
Yates,Potter 1,Comptroller,,Paul Rodriguez,REP,314,290,10,8,6
Yates,Starkey 1,Comptroller,,Paul Rodriguez,REP,263,229,17,13,4
Yates,Starkey 2,Comptroller,,Paul Rodriguez,REP,259,234,6,17,2
Yates,Torrey 1,Comptroller,,Paul Rodriguez,REP,213,185,15,11,2
Yates,Barrington 1,Comptroller,,Paul Rodriguez,CON,29,24,1,3,1
Yates,Benton 1,Comptroller,,Paul Rodriguez,CON,26,25,1,0,0
Yates,Benton 2,Comptroller,,Paul Rodriguez,CON,32,23,0,9,0
Yates,Italy 1,Comptroller,,Paul Rodriguez,CON,43,41,2,0,0
Yates,Jerusalem 1,Comptroller,,Paul Rodriguez,CON,35,20,5,9,1
