county,precinct,office,district,party,candidate,early_voting,election_day,absentee,votes
Otsego,Ward 1 1,Governor,,DEM,Kathy C. Hochul,133,172,22,327
Otsego,Ward 2 1,Governor,,DEM,Kathy C. Hochul,104,154,25,283
Otsego,Ward 3 1,Governor,,DEM,Kathy C. Hochul,72,63,24,159
Otsego,Ward 4 1,Governor,,DEM,Kathy C. Hochul,59,84,23,166
Otsego,Ward 5 1,Governor,,DEM,Kathy C. Hochul,65,93,21,179
Otsego,Ward 6 1,Governor,,DEM,Kathy C. Hochul,84,106,40,230
Otsego,Ward 7 1,Governor,,DEM,Kathy C. Hochul,60,89,6,155
Otsego,Ward 8 1,Governor,,DEM,Kathy C. Hochul,50,89,18,157
Otsego,Burlington 1,Governor,,DEM,Kathy C. Hochul,5,75,13,93
Otsego,Butternuts 1,Governor,,DEM,Kathy C. Hochul,7,55,19,81
Otsego,Butternuts  2,Governor,,DEM,Kathy C. Hochul,23,103,39,165
Otsego,Cherry Valley 1,Governor,,DEM,Kathy C. Hochul,22,178,32,232
Otsego,Decatur 1,Governor,,DEM,Kathy C. Hochul,2,23,6,31
Otsego,Edmeston 1,Governor,,DEM,Kathy C. Hochul,14,122,15,151
Otsego,Exeter 1,Governor,,DEM,Kathy C. Hochul,9,72,7,88
Otsego,Hartwick 1,Governor,,DEM,Kathy C. Hochul,36,154,18,208
Otsego,Hartwick 2,Governor,,DEM,Kathy C. Hochul,26,69,8,103
Otsego,Laurens  1,Governor,,DEM,Kathy C. Hochul,26,87,23,136
Otsego,Laurens  2,Governor,,DEM,Kathy C. Hochul,39,98,18,155
Otsego,Maryland 1,Governor,,DEM,Kathy C. Hochul,12,50,10,72
Otsego,Maryland  2,Governor,,DEM,Kathy C. Hochul,15,63,10,88
Otsego,Middlefield 1,Governor,,DEM,Kathy C. Hochul,98,119,31,248
Otsego,Middlefield 2,Governor,,DEM,Kathy C. Hochul,76,117,17,210
Otsego,Milford 1,Governor,,DEM,Kathy C. Hochul,38,94,15,147
Otsego,Milford 2,Governor,,DEM,Kathy C. Hochul,62,164,27,253
Otsego,Morris 1,Governor,,DEM,Kathy C. Hochul,26,152,28,206
Otsego,New Lisbon 1,Governor,,DEM,Kathy C. Hochul,18,109,15,142
Otsego,Oneonta 1,Governor,,DEM,Kathy C. Hochul,65,177,44,286
Otsego,Oneonta 2,Governor,,DEM,Kathy C. Hochul,95,166,33,294
Otsego,Oneonta  3,Governor,,DEM,Kathy C. Hochul,80,122,19,221
Otsego,Oneonta  4,Governor,,DEM,Kathy C. Hochul,42,84,18,144
Otsego,Otego 1,Governor,,DEM,Kathy C. Hochul,11,99,10,120
Otsego,Otego 2,Governor,,DEM,Kathy C. Hochul,28,143,21,192
Otsego,Otsego 1,Governor,,DEM,Kathy C. Hochul,115,242,40,397
Otsego,Otsego 2,Governor,,DEM,Kathy C. Hochul,87,183,36,306
Otsego,Otsego  3,Governor,,DEM,Kathy C. Hochul,76,184,22,282
Otsego,Pittsfield 1,Governor,,DEM,Kathy C. Hochul,2,82,9,93
Otsego,Pittsfield 2,Governor,,DEM,Kathy C. Hochul,1,3,4,8
Otsego,Plainfield 1,Governor,,DEM,Kathy C. Hochul,3,52,8,63
Otsego,Richfield 1,Governor,,DEM,Kathy C. Hochul,16,73,12,101
Otsego,Richfield 2,Governor,,DEM,Kathy C. Hochul,6,71,8,85
Otsego,Roseboom 1,Governor,,DEM,Kathy C. Hochul,14,79,10,103
Otsego,Springfield 1,Governor,,DEM,Kathy C. Hochul,20,122,21,163
Otsego,Unadilla 1,Governor,,DEM,Kathy C. Hochul,14,82,17,113
Otsego,Unadilla  2,Governor,,DEM,Kathy C. Hochul,14,139,27,180
Otsego,Unadilla 3,Governor,,DEM,Kathy C. Hochul,30,136,19,185
