county,precinct,office,district,party,candidate,election_day,early_voting,absentee,hand_tally,votes
Tompkins,Ithaca City 1 -1,Governor,,DEM,Kathy C. Hochul,288,132,43,4,467
Tompkins,Ithaca City 1-2,Governor,,DEM,Kathy C. Hochul,79,55,25,3,162
Tompkins,Ithaca City 1-3,Governor,,DEM,Kathy C. Hochul,268,128,48,4,448
Tompkins,Ithaca City 2-1,Governor,,DEM,Kathy C. Hochul,187,97,34,1,319
Tompkins,Ithaca City 2-2,Governor,,DEM,Kathy C. Hochul,177,89,41,15,322
Tompkins,Ithaca City 2-3,Governor,,DEM,Kathy C. Hochul,185,71,44,6,306
Tompkins,Ithaca City 2-4,Governor,,DEM,Kathy C. Hochul,113,115,23,3,254
Tompkins,Ithaca City 3-1,Governor,,DEM,Kathy C. Hochul,23,7,6,2,38
Tompkins,Ithaca City 3-2,Governor,,DEM,Kathy C. Hochul,341,140,60,5,546
Tompkins,Ithaca City 3-3,Governor,,DEM,Kathy C. Hochul,26,2,7,3,38
Tompkins,Ithaca City 4-1,Governor,,DEM,Kathy C. Hochul,90,70,106,8,274
Tompkins,Ithaca City 5-1,Governor,,DEM,Kathy C. Hochul,187,185,45,4,421
Tompkins,Ithaca City 5-2,Governor,,DEM,Kathy C. Hochul,188,202,46,5,441
Tompkins,Ithaca City 5-3,Governor,,DEM,Kathy C. Hochul,88,26,28,4,146
Tompkins,Caroline 1,Governor,,DEM,Kathy C. Hochul,130,14,10,1,155
Tompkins,Caroline 2,Governor,,DEM,Kathy C. Hochul,266,73,27,2,368
Tompkins,Caroline 3,Governor,,DEM,Kathy C. Hochul,291,32,21,4,348
Tompkins,Danby 1,Governor,,DEM,Kathy C. Hochul,330,89,37,3,459
Tompkins,Danby 2,Governor,,DEM,Kathy C. Hochul,74,6,2,0,82
Tompkins,Danby 3,Governor,,DEM,Kathy C. Hochul,314,114,42,2,472
Tompkins,Dryden 1,Governor,,DEM,Kathy C. Hochul,213,70,18,1,302
Tompkins,Dryden 2,Governor,,DEM,Kathy C. Hochul,284,74,26,5,389
Tompkins,Dryden 3,Governor,,DEM,Kathy C. Hochul,56,22,8,0,86
Tompkins,Dryden 4,Governor,,DEM,Kathy C. Hochul,464,249,67,12,792
Tompkins,Dryden 5,Governor,,DEM,Kathy C. Hochul,214,64,25,3,306
Tompkins,Dryden 6,Governor,,DEM,Kathy C. Hochul,241,50,30,1,322
Tompkins,Dryden 7,Governor,,DEM,Kathy C. Hochul,204,31,20,2,257
Tompkins,Dryden 8,Governor,,DEM,Kathy C. Hochul,307,125,39,1,472
Tompkins,Dryden 9,Governor,,DEM,Kathy C. Hochul,227,59,24,3,313
Tompkins,Enfield 1,Governor,,DEM,Kathy C. Hochul,136,15,16,6,173
Tompkins,Enfield 2,Governor,,DEM,Kathy C. Hochul,162,38,23,4,227
Tompkins,Enfield 3,Governor,,DEM,Kathy C. Hochul,166,31,15,4,216
Tompkins,Groton 1,Governor,,DEM,Kathy C. Hochul,171,34,13,0,218
Tompkins,Groton 2,Governor,,DEM,Kathy C. Hochul,269,22,25,1,317
Tompkins,Groton 3,Governor,,DEM,Kathy C. Hochul,165,25,10,3,203
Tompkins,Ithaca Town 1,Governor,,DEM,Kathy C. Hochul,232,66,15,8,321
Tompkins,Ithaca Town 2,Governor,,DEM,Kathy C. Hochul,167,56,14,4,241
Tompkins,Ithaca Town 3,Governor,,DEM,Kathy C. Hochul,214,75,83,8,380
Tompkins,Ithaca Town 4,Governor,,DEM,Kathy C. Hochul,312,128,50,3,493
Tompkins,Ithaca Town 5,Governor,,DEM,Kathy C. Hochul,233,121,27,9,390
Tompkins,Ithaca Town 6,Governor,,DEM,Kathy C. Hochul,243,173,41,6,463
Tompkins,Ithaca Town 7,Governor,,DEM,Kathy C. Hochul,147,166,89,18,420
Tompkins,Ithaca Town 8,Governor,,DEM,Kathy C. Hochul,270,113,38,4,425
Tompkins,Ithaca Town 9,Governor,,DEM,Kathy C. Hochul,265,147,51,4,467
Tompkins,Ithaca Town 10,Governor,,DEM,Kathy C. Hochul,252,103,33,5,393
Tompkins,Ithaca Town 11,Governor,,DEM,Kathy C. Hochul,238,160,41,4,443
Tompkins,Ithaca Town 12,Governor,,DEM,Kathy C. Hochul,137,37,13,0,187
Tompkins,Lansing 1,Governor,,DEM,Kathy C. Hochul,289,114,29,3,435
Tompkins,Lansing 2,Governor,,DEM,Kathy C. Hochul,171,35,6,1,213
Tompkins,Lansing 3,Governor,,DEM,Kathy C. Hochul,277,167,26,2,472
Tompkins,Lansing 4,Governor,,DEM,Kathy C. Hochul,199,40,9,1,249
Tompkins,Lansing 5,Governor,,DEM,Kathy C. Hochul,349,167,54,5,575
Tompkins,Lansing 6,Governor,,DEM,Kathy C. Hochul,205,109,33,1,348
Tompkins,Lansing 7,Governor,,DEM,Kathy C. Hochul,282,190,50,2,524
Tompkins,Lansing 8,Governor,,DEM,Kathy C. Hochul,64,21,6,1,92
Tompkins,Newfield 1,Governor,,DEM,Kathy C. Hochul,221,29,20,2,272
Tompkins,Newfield 2,Governor,,DEM,Kathy C. Hochul,196,32,21,1,250
Tompkins,Newfield 3,Governor,,DEM,Kathy C. Hochul,233,40,22,4,299
Tompkins,Ulysses 1,Governor,,DEM,Kathy C. Hochul,361,44,46,6,457
Tompkins,Ulysses 2,Governor,,DEM,Kathy C. Hochul,264,44,16,2,326
Tompkins,Ulysses 3,Governor,,DEM,Kathy C. Hochul,370,33,23,0,426
Tompkins,Ulysses 4,Governor,,DEM,Kathy C. Hochul,356,69,34,6,465
Tompkins,Ithaca City 1 -1,Governor,,REP,Lee Zeldin,61,7,6,0,74
Tompkins,Ithaca City 1-2,Governor,,REP,Lee Zeldin,26,7,12,0,45
Tompkins,Ithaca City 1-3,Governor,,REP,Lee Zeldin,34,9,5,0,48
Tompkins,Ithaca City 2-1,Governor,,REP,Lee Zeldin,22,8,2,0,32
Tompkins,Ithaca City 2-2,Governor,,REP,Lee Zeldin,18,10,11,8,47
Tompkins,Ithaca City 2-3,Governor,,REP,Lee Zeldin,35,11,5,2,53
Tompkins,Ithaca City 2-4,Governor,,REP,Lee Zeldin,12,4,1,0,17
Tompkins,Ithaca City 3-1,Governor,,REP,Lee Zeldin,1,2,2,0,5
Tompkins,Ithaca City 3-2,Governor,,REP,Lee Zeldin,35,9,4,0,48
Tompkins,Ithaca City 3-3,Governor,,REP,Lee Zeldin,3,0,0,1,4
Tompkins,Ithaca City 4-1,Governor,,REP,Lee Zeldin,11,5,23,2,41
Tompkins,Ithaca City 5-1,Governor,,REP,Lee Zeldin,19,7,5,1,32
Tompkins,Ithaca City 5-2,Governor,,REP,Lee Zeldin,19,6,1,1,27
Tompkins,Ithaca City 5-3,Governor,,REP,Lee Zeldin,4,1,0,1,6
Tompkins,Caroline 1,Governor,,REP,Lee Zeldin,136,5,7,0,148
Tompkins,Caroline 2,Governor,,REP,Lee Zeldin,187,6,4,0,197
Tompkins,Caroline 3,Governor,,REP,Lee Zeldin,142,9,7,1,159
Tompkins,Danby 1,Governor,,REP,Lee Zeldin,151,5,2,0,158
Tompkins,Danby 2,Governor,,REP,Lee Zeldin,63,0,5,1,69
Tompkins,Danby 3,Governor,,REP,Lee Zeldin,170,12,12,1,195
Tompkins,Dryden 1,Governor,,REP,Lee Zeldin,233,19,6,1,259
Tompkins,Dryden 2,Governor,,REP,Lee Zeldin,218,18,9,1,246
Tompkins,Dryden 3,Governor,,REP,Lee Zeldin,90,2,5,3,100
Tompkins,Dryden 4,Governor,,REP,Lee Zeldin,137,12,9,0,158
Tompkins,Dryden 5,Governor,,REP,Lee Zeldin,176,12,9,2,199
Tompkins,Dryden 6,Governor,,REP,Lee Zeldin,191,8,12,1,212
Tompkins,Dryden 7,Governor,,REP,Lee Zeldin,234,24,17,2,277
Tompkins,Dryden 8,Governor,,REP,Lee Zeldin,79,12,9,2,102
Tompkins,Dryden 9,Governor,,REP,Lee Zeldin,229,14,15,1,259
Tompkins,Enfield 1,Governor,,REP,Lee Zeldin,170,13,4,5,192
Tompkins,Enfield 2,Governor,,REP,Lee Zeldin,147,4,7,2,160
Tompkins,Enfield 3,Governor,,REP,Lee Zeldin,149,8,9,2,168
Tompkins,Groton 1,Governor,,REP,Lee Zeldin,442,21,10,0,473
Tompkins,Groton 2,Governor,,REP,Lee Zeldin,301,12,16,2,331
Tompkins,Groton 3,Governor,,REP,Lee Zeldin,342,7,6,1,356
Tompkins,Ithaca Town 1,Governor,,REP,Lee Zeldin,80,14,10,3,107
Tompkins,Ithaca Town 2,Governor,,REP,Lee Zeldin,57,3,6,1,67
Tompkins,Ithaca Town 3,Governor,,REP,Lee Zeldin,54,11,19,1,85
Tompkins,Ithaca Town 4,Governor,,REP,Lee Zeldin,59,17,10,2,88
Tompkins,Ithaca Town 5,Governor,,REP,Lee Zeldin,71,11,3,0,85
Tompkins,Ithaca Town 6,Governor,,REP,Lee Zeldin,32,9,3,1,45
Tompkins,Ithaca Town 7,Governor,,REP,Lee Zeldin,38,20,5,1,64
Tompkins,Ithaca Town 8,Governor,,REP,Lee Zeldin,32,4,5,4,45
Tompkins,Ithaca Town 9,Governor,,REP,Lee Zeldin,61,11,5,1,78
Tompkins,Ithaca Town 10,Governor,,REP,Lee Zeldin,74,9,8,1,92
Tompkins,Ithaca Town 11,Governor,,REP,Lee Zeldin,66,13,6,1,86
Tompkins,Ithaca Town 12,Governor,,REP,Lee Zeldin,36,11,2,1,50
Tompkins,Lansing 1,Governor,,REP,Lee Zeldin,204,23,6,2,235
Tompkins,Lansing 2,Governor,,REP,Lee Zeldin,185,12,4,0,201
Tompkins,Lansing 3,Governor,,REP,Lee Zeldin,215,53,14,1,283
Tompkins,Lansing 4,Governor,,REP,Lee Zeldin,255,8,8,1,272
Tompkins,Lansing 5,Governor,,REP,Lee Zeldin,125,43,15,1,184
Tompkins,Lansing 6,Governor,,REP,Lee Zeldin,46,13,3,0,62
Tompkins,Lansing 7,Governor,,REP,Lee Zeldin,92,24,10,2,128
Tompkins,Lansing 8,Governor,,REP,Lee Zeldin,86,8,3,0,97
Tompkins,Newfield 1,Governor,,REP,Lee Zeldin,238,3,17,1,259
Tompkins,Newfield 2,Governor,,REP,Lee Zeldin,295,10,16,1,322
Tompkins,Newfield 3,Governor,,REP,Lee Zeldin,203,8,17,1,229
Tompkins,Ulysses 1,Governor,,REP,Lee Zeldin,118,8,9,1,136
Tompkins,Ulysses 2,Governor,,REP,Lee Zeldin,168,8,6,2,184
Tompkins,Ulysses 3,Governor,,REP,Lee Zeldin,93,4,5,1,103
Tompkins,Ulysses 4,Governor,,REP,Lee Zeldin,132,8,15,0,155
Tompkins,Ithaca City 1 -1,Governor,,CON,Lee Zeldin,11,0,0,0,11
Tompkins,Ithaca City 1-2,Governor,,CON,Lee Zeldin,2,1,0,0,3
Tompkins,Ithaca City 1-3,Governor,,CON,Lee Zeldin,5,1,1,0,7
Tompkins,Ithaca City 2-1,Governor,,CON,Lee Zeldin,10,0,0,0,10
Tompkins,Ithaca City 2-2,Governor,,CON,Lee Zeldin,5,0,0,0,5
Tompkins,Ithaca City 2-3,Governor,,CON,Lee Zeldin,7,2,2,0,11
Tompkins,Ithaca City 2-4,Governor,,CON,Lee Zeldin,0,0,0,1,1
Tompkins,Ithaca City 3-1,Governor,,CON,Lee Zeldin,0,0,0,0,0
Tompkins,Ithaca City 3-2,Governor,,CON,Lee Zeldin,4,1,0,0,5
Tompkins,Ithaca City 3-3,Governor,,CON,Lee Zeldin,0,0,0,0,0
