county,assembly_district,precinct,party,office,district,candidate,votes
Kings,41,1,Democratic,President,,Public Counter,80
Kings,41,1,Democratic,President,,Manually Counted Emergency,0
Kings,41,1,Democratic,President,,Absentee / Military,48
Kings,41,1,Democratic,President,,Federal,0
Kings,41,1,Democratic,President,,Affidavit,0
Kings,41,1,Democratic,President,,Pete Buttigieg,3
Kings,41,1,Democratic,President,,Amy Klobuchar,2
Kings,41,1,Democratic,President,,Joseph R. Biden,34
Kings,41,1,Democratic,President,,Tulsi Gabbard,3
Kings,41,1,Democratic,President,,Bernie Sanders,15
Kings,41,1,Democratic,President,,Michael R. Bloomberg,28
Kings,41,1,Democratic,President,,Tom Steyer,0
Kings,41,1,Democratic,President,,Michael Bennet,1
Kings,41,1,Democratic,President,,Elizabeth Warren,1
Kings,41,1,Democratic,President,,Andrew Yang,11
Kings,41,1,Democratic,President,,Deval Patrick,2
Kings,41,2,Democratic,President,,Public Counter,83
Kings,41,2,Democratic,President,,Manually Counted Emergency,0
Kings,41,2,Democratic,President,,Absentee / Military,91
Kings,41,2,Democratic,President,,Federal,1
Kings,41,2,Democratic,President,,Affidavit,0
Kings,41,2,Democratic,President,,Pete Buttigieg,1
Kings,41,2,Democratic,President,,Amy Klobuchar,3
Kings,41,2,Democratic,President,,Joseph R. Biden,51
Kings,41,2,Democratic,President,,Tulsi Gabbard,1
Kings,41,2,Democratic,President,,Bernie Sanders,14
Kings,41,2,Democratic,President,,Michael R. Bloomberg,44
Kings,41,2,Democratic,President,,Tom Steyer,7
Kings,41,2,Democratic,President,,Michael Bennet,4
Kings,41,2,Democratic,President,,Elizabeth Warren,3
Kings,41,2,Democratic,President,,Andrew Yang,10
Kings,41,2,Democratic,President,,Deval Patrick,0
Kings,41,3,Democratic,President,,Public Counter,101
Kings,41,3,Democratic,President,,Manually Counted Emergency,0
Kings,41,3,Democratic,President,,Absentee / Military,64
Kings,41,3,Democratic,President,,Federal,0
Kings,41,3,Democratic,President,,Affidavit,0
Kings,41,3,Democratic,President,,Pete Buttigieg,2
Kings,41,3,Democratic,President,,Amy Klobuchar,6
Kings,41,3,Democratic,President,,Joseph R. Biden,72
Kings,41,3,Democratic,President,,Tulsi Gabbard,6
Kings,41,3,Democratic,President,,Bernie Sanders,27
Kings,41,3,Democratic,President,,Michael R. Bloomberg,17
Kings,41,3,Democratic,President,,Tom Steyer,2
Kings,41,3,Democratic,President,,Michael Bennet,2
Kings,41,3,Democratic,President,,Elizabeth Warren,5
Kings,41,3,Democratic,President,,Andrew Yang,6
Kings,41,3,Democratic,President,,Deval Patrick,1
Kings,41,4,Democratic,President,,Public Counter,55
Kings,41,4,Democratic,President,,Manually Counted Emergency,0
Kings,41,4,Democratic,President,,Absentee / Military,58
Kings,41,4,Democratic,President,,Federal,0
Kings,41,4,Democratic,President,,Affidavit,0
Kings,41,4,Democratic,President,,Pete Buttigieg,1
Kings,41,4,Democratic,President,,Amy Klobuchar,1
Kings,41,4,Democratic,President,,Joseph R. Biden,51
Kings,41,4,Democratic,President,,Tulsi Gabbard,2
Kings,41,4,Democratic,President,,Bernie Sanders,14
Kings,41,4,Democratic,President,,Michael R. Bloomberg,15
Kings,41,4,Democratic,President,,Tom Steyer,1
Kings,41,4,Democratic,President,,Michael Bennet,0
Kings,41,4,Democratic,President,,Elizabeth Warren,7
Kings,41,4,Democratic,President,,Andrew Yang,9
Kings,41,4,Democratic,President,,Deval Patrick,0
Kings,41,5,Democratic,President,,Public Counter,77
Kings,41,5,Democratic,President,,Manually Counted Emergency,0
Kings,41,5,Democratic,President,,Absentee / Military,52
Kings,41,5,Democratic,President,,Federal,0
Kings,41,5,Democratic,President,,Affidavit,0
Kings,41,5,Democratic,President,,Pete Buttigieg,5
Kings,41,5,Democratic,President,,Amy Klobuchar,6
Kings,41,5,Democratic,President,,Joseph R. Biden,36
Kings,41,5,Democratic,President,,Tulsi Gabbard,4
Kings,41,5,Democratic,President,,Bernie Sanders,8
Kings,41,5,Democratic,President,,Michael R. Bloomberg,35
Kings,41,5,Democratic,President,,Tom Steyer,0
Kings,41,5,Democratic,President,,Michael Bennet,1
Kings,41,5,Democratic,President,,Elizabeth Warren,5
Kings,41,5,Democratic,President,,Andrew Yang,9
Kings,41,5,Democratic,President,,Deval Patrick,0
Kings,41,6,Democratic,President,,Public Counter,74
Kings,41,6,Democratic,President,,Manually Counted Emergency,0
Kings,41,6,Democratic,President,,Absentee / Military,50
Kings,41,6,Democratic,President,,Federal,0
Kings,41,6,Democratic,President,,Affidavit,0
Kings,41,6,Democratic,President,,Pete Buttigieg,2
Kings,41,6,Democratic,President,,Amy Klobuchar,5
Kings,41,6,Democratic,President,,Joseph R. Biden,43
Kings,41,6,Democratic,President,,Tulsi Gabbard,3
Kings,41,6,Democratic,President,,Bernie Sanders,20
Kings,41,6,Democratic,President,,Michael R. Bloomberg,15
Kings,41,6,Democratic,President,,Tom Steyer,0
Kings,41,6,Democratic,President,,Michael Bennet,0
Kings,41,6,Democratic,President,,Elizabeth Warren,5
Kings,41,6,Democratic,President,,Andrew Yang,5
Kings,41,6,Democratic,President,,Deval Patrick,0
Kings,41,7,Democratic,President,,Public Counter,66
Kings,41,7,Democratic,President,,Manually Counted Emergency,0
Kings,41,7,Democratic,President,,Absentee / Military,59
Kings,41,7,Democratic,President,,Federal,0
Kings,41,7,Democratic,President,,Affidavit,0
Kings,41,7,Democratic,President,,Pete Buttigieg,4
Kings,41,7,Democratic,President,,Amy Klobuchar,2
Kings,41,7,Democratic,President,,Joseph R. Biden,60
Kings,41,7,Democratic,President,,Tulsi Gabbard,3
Kings,41,7,Democratic,President,,Bernie Sanders,22
Kings,41,7,Democratic,President,,Michael R. Bloomberg,22
Kings,41,7,Democratic,President,,Tom Steyer,0
Kings,41,7,Democratic,President,,Michael Bennet,0
Kings,41,7,Democratic,President,,Elizabeth Warren,3
Kings,41,7,Democratic,President,,Andrew Yang,4
Kings,41,7,Democratic,President,,Deval Patrick,0
Kings,41,8,Democratic,President,,Public Counter,54
Kings,41,8,Democratic,President,,Manually Counted Emergency,0
Kings,41,8,Democratic,President,,Absentee / Military,45
Kings,41,8,Democratic,President,,Federal,1
Kings,41,8,Democratic,President,,Affidavit,0
Kings,41,8,Democratic,President,,Pete Buttigieg,0
Kings,41,8,Democratic,President,,Amy Klobuchar,4
Kings,41,8,Democratic,President,,Joseph R. Biden,50
Kings,41,8,Democratic,President,,Tulsi Gabbard,6
Kings,41,8,Democratic,President,,Bernie Sanders,10
Kings,41,8,Democratic,President,,Michael R. Bloomberg,13
Kings,41,8,Democratic,President,,Tom Steyer,1
Kings,41,8,Democratic,President,,Michael Bennet,0
Kings,41,8,Democratic,President,,Elizabeth Warren,4
Kings,41,8,Democratic,President,,Andrew Yang,5
Kings,41,8,Democratic,President,,Deval Patrick,0
Kings,41,9,Democratic,President,,Public Counter,51
Kings,41,9,Democratic,President,,Manually Counted Emergency,0
Kings,41,9,Democratic,President,,Absentee / Military,48
Kings,41,9,Democratic,President,,Federal,0
Kings,41,9,Democratic,President,,Affidavit,0
Kings,41,9,Democratic,President,,Pete Buttigieg,3
