county,precinct,office,candidate,party,affidavit,absentee,early_voting,election_day,votes
Clinton,City of Plattsburgh Ward 1 1 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,City of Plattsburgh Ward 1 2 ,President,Pete Buttigieg,DEM,0,5,0,2,7
Clinton,City of Plattsburgh Ward 1 3 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,City of Plattsburgh Ward 2 1 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,City of Plattsburgh Ward 2 2 ,President,Pete Buttigieg,DEM,0,1,0,1,2
Clinton,City of Plattsburgh Ward 3 1 ,President,Pete Buttigieg,DEM,0,1,0,2,3
Clinton,City of Plattsburgh Ward 3 2 ,President,Pete Buttigieg,DEM,0,3,0,2,5
Clinton,City of Plattsburgh Ward 4 1 ,President,Pete Buttigieg,DEM,0,1,0,2,3
Clinton,City of Plattsburgh Ward 4 2 ,President,Pete Buttigieg,DEM,0,1,0,3,4
Clinton,City of Plattsburgh Ward 5 1 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,City of Plattsburgh Ward 5 2 ,President,Pete Buttigieg,DEM,0,1,0,1,2
Clinton,City of Plattsburgh Ward 6 1 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 6 2 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,Town of Altona 1 ,President,Pete Buttigieg,DEM,0,2,0,1,3
Clinton,Town of AuSable 1 ,President,Pete Buttigieg,DEM,0,4,0,1,5
Clinton,Town of AuSable 2 ,President,Pete Buttigieg,DEM,0,2,0,0,2
Clinton,Town of Beekmantown 1 ,President,Pete Buttigieg,DEM,0,0,0,2,2
Clinton,Town of Beekmantown 2 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Beekmantown 3 ,President,Pete Buttigieg,DEM,0,1,0,1,2
Clinton,Town of Beekmantown 4 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,Town of Black Brook 1 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,Town of Black Brook 2 ,President,Pete Buttigieg,DEM,0,2,0,0,2
Clinton,Town of Champlain 1 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,Town of Champlain 2 ,President,Pete Buttigieg,DEM,0,2,0,1,3
Clinton,Town of Champlain 3 ,President,Pete Buttigieg,DEM,0,0,0,3,3
Clinton,Town of Chazy 1 ,President,Pete Buttigieg,DEM,0,1,0,3,4
Clinton,Town of Chazy 2 ,President,Pete Buttigieg,DEM,0,2,0,0,2
Clinton,Town of Clinton 1 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,Town of Dannemora 1 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Dannemora 2 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,Town of Dannemora 3 ,President,Pete Buttigieg,DEM,0,0,0,2,2
Clinton,Town of Ellenburg 1 ,President,Pete Buttigieg,DEM,0,3,0,2,5
Clinton,Town of Mooers 1 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,Town of Mooers 2 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Peru 1 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Peru 2 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Peru 3 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Peru 4 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,Town of Plattsburgh 1 ,President,Pete Buttigieg,DEM,0,3,0,0,3
Clinton,Town of Plattsburgh 2 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Plattsburgh 3 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Plattsburgh 4 ,President,Pete Buttigieg,DEM,0,3,0,1,4
Clinton,Town of Plattsburgh 5 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,Town of Plattsburgh 6 ,President,Pete Buttigieg,DEM,0,0,0,1,1
Clinton,Town of Plattsburgh 7 ,President,Pete Buttigieg,DEM,0,2,0,2,4
Clinton,Town of Saranac 1 ,President,Pete Buttigieg,DEM,0,1,0,1,2
Clinton,Town of Saranac 2 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Saranac 3 ,President,Pete Buttigieg,DEM,0,0,0,0,0
Clinton,Town of Schuyler Falls 1 ,President,Pete Buttigieg,DEM,0,1,0,0,1
Clinton,Town of Schuyler Falls 2 ,President,Pete Buttigieg,DEM,0,2,0,2,4
Clinton,Town of Schuyler Falls 3 ,President,Pete Buttigieg,DEM,0,2,0,0,2
Clinton,City of Plattsburgh Ward 1 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 1 2 ,President,Amy Klobuchar,DEM,0,3,0,1,4
Clinton,City of Plattsburgh Ward 1 3 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 2 1 ,President,Amy Klobuchar,DEM,0,0,0,1,1
Clinton,City of Plattsburgh Ward 2 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 3 1 ,President,Amy Klobuchar,DEM,0,1,0,0,1
Clinton,City of Plattsburgh Ward 3 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 4 1 ,President,Amy Klobuchar,DEM,0,0,0,1,1
Clinton,City of Plattsburgh Ward 4 2 ,President,Amy Klobuchar,DEM,0,2,0,0,2
Clinton,City of Plattsburgh Ward 5 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 5 2 ,President,Amy Klobuchar,DEM,0,1,0,0,1
Clinton,City of Plattsburgh Ward 6 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,City of Plattsburgh Ward 6 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Altona 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of AuSable 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of AuSable 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Beekmantown 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Beekmantown 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Beekmantown 3 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Beekmantown 4 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Black Brook 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Black Brook 2 ,President,Amy Klobuchar,DEM,0,1,0,0,1
Clinton,Town of Champlain 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Champlain 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Champlain 3 ,President,Amy Klobuchar,DEM,0,1,0,0,1
Clinton,Town of Chazy 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Chazy 2 ,President,Amy Klobuchar,DEM,0,1,0,0,1
Clinton,Town of Clinton 1 ,President,Amy Klobuchar,DEM,0,2,0,0,2
Clinton,Town of Dannemora 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Dannemora 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Dannemora 3 ,President,Amy Klobuchar,DEM,0,0,0,1,1
Clinton,Town of Ellenburg 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Mooers 1 ,President,Amy Klobuchar,DEM,0,1,0,0,1
Clinton,Town of Mooers 2 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Peru 1 ,President,Amy Klobuchar,DEM,0,0,0,0,0
Clinton,Town of Peru 2 ,President,Amy Klobuchar,DEM,0,1,0,2,3
