county,precinct,office,district,party,candidate,votes,absentee,affidavit,election_day
Jefferson,Brownville 1,Ballots Cast,,,,36,26,0,10
Jefferson,Brownville 2,Ballots Cast,,,,45,37,1,7
Jefferson,Brownville 3,Ballots Cast,,,,41,32,0,9
Jefferson,Brownville 4,Ballots Cast,,,,42,35,0,7
Jefferson,Brownville 5,Ballots Cast,,,,75,59,0,16
Jefferson,Cape Vincent 1,Ballots Cast,,,,51,37,0,14
Jefferson,Cape Vincent 2,Ballots Cast,,,,72,55,0,17
Jefferson,Champion 1,Ballots Cast,,,,66,53,0,13
Jefferson,Champion 2,Ballots Cast,,,,51,41,0,10
Jefferson,Clayton 1,Ballots Cast,,,,26,20,0,6
Jefferson,Clayton 2,Ballots Cast,,,,109,80,0,29
Jefferson,Clayton 3,Ballots Cast,,,,99,78,0,21
Jefferson,Ellisburg 1,Ballots Cast,,,,10,8,1,1
Jefferson,Elllisburg 2,Ballots Cast,,,,32,24,0,8
Jefferson,Ellisburg 3,Ballots Cast,,,,6,5,0,1
Jefferson,Ellisburg 4,Ballots Cast,,,,57,53,1,3
Jefferson,Henderson 1,Ballots Cast,,,,70,57,0,13
Jefferson,Hounsfield 1,Ballots Cast,,,,106,71,0,35
Jefferson,Hounsfield 2,Ballots Cast,,,,82,71,2,9
Jefferson,LeRay 1,Ballots Cast,,,,17,12,0,5
Jefferson,LeRay 2,Ballots Cast,,,,6,2,0,4
Jefferson,LeRay 3,Ballots Cast,,,,15,7,0,8
Jefferson,LeRay 4,Ballots Cast,,,,90,71,0,19
Jefferson,LeRay 5,Ballots Cast,,,,36,24,0,12
Jefferson,LeRay 6,Ballots Cast,,,,7,3,0,4
Jefferson,LeRay 7,Ballots Cast,,,,7,1,0,6
Jefferson,LeRay 8,Ballots Cast,,,,51,35,0,16
Jefferson,Lorraine 1,Ballots Cast,,,,23,19,0,4
Jefferson,Lyme 1,Ballots Cast,,,,37,32,0,5
Jefferson,Lyme 2,Ballots Cast,,,,48,34,0,14
Jefferson,Lyme 3,Ballots Cast,,,,30,26,0,4
Jefferson,Orleans 1,Ballots Cast,,,,50,33,0,17
Jefferson,Orleans 2,Ballots Cast,,,,40,27,0,13
Jefferson,Pamelia 1,Ballots Cast,,,,36,23,0,13
Jefferson,Pamelia 2,Ballots Cast,,,,64,48,0,16
Jefferson,Philadelphia 1,Ballots Cast,,,,38,28,1,9
Jefferson,Philadelphia 2,Ballots Cast,,,,21,13,0,8
Jefferson,Rodman 1,Ballots Cast,,,,43,32,0,11
Jefferson,Rutland 1,Ballots Cast,,,,28,19,0,9
Jefferson,Rutland 2,Ballots Cast,,,,21,9,0,12
Jefferson,Rutland 3,Ballots Cast,,,,16,13,0,3
Jefferson,Theresa 1,Ballots Cast,,,,75,60,0,15
Jefferson,Watertown 1,Ballots Cast,,,,104,86,0,18
Jefferson,Watertown 2,Ballots Cast,,,,79,65,0,14
Jefferson,Wilna 1,Ballots Cast,,,,75,62,0,13
Jefferson,Wilna 2,Ballots Cast,,,,7,6,0,1
Jefferson,Wilna 3,Ballots Cast,,,,6,1,0,5
Jefferson,Wilna 4,Ballots Cast,,,,18,16,0,2
Jefferson,Wilna 5,Ballots Cast,,,,39,25,0,14
Jefferson,Worth 1,Ballots Cast,,,,10,6,0,4
Jefferson,12~1,President,,DEM,Pete Buttigieg,2,,,
Jefferson,12~2,President,,DEM,Pete Buttigieg,0,,,
Jefferson,12~3,President,,DEM,Pete Buttigieg,0,,,
Jefferson,13~1,President,,DEM,Pete Buttigieg,2,,,
Jefferson,13~2,President,,DEM,Pete Buttigieg,4,,,
Jefferson,13~3,President,,DEM,Pete Buttigieg,3,,,
Jefferson,14~1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,14~2,President,,DEM,Pete Buttigieg,0,,,
Jefferson,15~1,President,,DEM,Pete Buttigieg,2,,,
Jefferson,15~2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,15~3,President,,DEM,Pete Buttigieg,3,,,
Jefferson,Adams 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Adams 2,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Adams 3,President,,DEM,Pete Buttigieg,4,,,
Jefferson,Alexandria 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Alexandria 2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Alexandria 3,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Antwerp 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Antwerp 2,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Brownville 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Brownville 2,President,,DEM,Pete Buttigieg,4,,,
Jefferson,Brownville 3,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Brownville 4,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Brownville 5,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Cape Vincent 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Cape Vincent 2,President,,DEM,Pete Buttigieg,3,,,
Jefferson,Champion 1,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Champion 2,President,,DEM,Pete Buttigieg,3,,,
Jefferson,Clayton 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Clayton 2,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Clayton 3,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Ellisburg 1,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Elllisburg 2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Ellisburg 3,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Ellisburg 4,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Henderson 1,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Hounsfield 1,President,,DEM,Pete Buttigieg,4,,,
Jefferson,Hounsfield 2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,LeRay 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,LeRay 2,President,,DEM,Pete Buttigieg,0,,,
Jefferson,LeRay 3,President,,DEM,Pete Buttigieg,2,,,
Jefferson,LeRay 4,President,,DEM,Pete Buttigieg,1,,,
Jefferson,LeRay 5,President,,DEM,Pete Buttigieg,0,,,
Jefferson,LeRay 6,President,,DEM,Pete Buttigieg,0,,,
Jefferson,LeRay 7,President,,DEM,Pete Buttigieg,0,,,
Jefferson,LeRay 8,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Lorraine 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Lyme 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Lyme 2,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Lyme 3,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Orleans 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Orleans 2,President,,DEM,Pete Buttigieg,2,,,
Jefferson,Pamelia 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Pamelia 2,President,,DEM,Pete Buttigieg,4,,,
Jefferson,Philadelphia 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Philadelphia 2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Rodman 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Rutland 1,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Rutland 2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Rutland 3,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Theresa 1,President,,DEM,Pete Buttigieg,3,,,
Jefferson,Watertown 1,President,,DEM,Pete Buttigieg,7,,,
Jefferson,Watertown 2,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Wilna 1,President,,DEM,Pete Buttigieg,3,,,
Jefferson,Wilna 2,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Wilna 3,President,,DEM,Pete Buttigieg,1,,,
Jefferson,Wilna 4,President,,DEM,Pete Buttigieg,0,,,
