county,precinct,office,district,candidate,party,early_voting,election_day,absentee,votes
Cortland,Cortland Ward 1 ED 1,President,,Joseph R. Biden,DEM,155,116,174,445
Cortland,Cortland Ward 1 ED 3,President,,Joseph R. Biden,DEM,76,104,114,294
Cortland,Cortland Ward 2 ED 3,President,,Joseph R. Biden,DEM,20,13,22,55
Cortland,Cortland Ward 3 ED 2,President,,Joseph R. Biden,DEM,28,23,25,76
Cortland,Cortland Ward 2 ED 1,President,,Joseph R. Biden,DEM,89,77,115,281
Cortland,Cortland Ward 3 ED 3,President,,Joseph R. Biden,DEM,25,23,37,85
Cortland,Cortland Ward 5 ED 1,President,,Joseph R. Biden,DEM,0,2,4,6
Cortland,Cortland Ward 6 ED 2,President,,Joseph R. Biden,DEM,10,15,24,49
Cortland,Cortland Ward 3 ED 1,President,,Joseph R. Biden,DEM,47,26,56,129
Cortland,Cortland Ward 3 ED 4,President,,Joseph R. Biden,DEM,6,9,12,27
Cortland,Cortland Ward 4 ED 1,President,,Joseph R. Biden,DEM,62,83,95,240
Cortland,Cortland Ward 5 ED 3,President,,Joseph R. Biden,DEM,3,4,6,13
Cortland,Cortland Ward 3 ED 5,President,,Joseph R. Biden,DEM,31,32,42,105
Cortland,Cortland Ward 4 ED 2,President,,Joseph R. Biden,DEM,9,25,21,55
Cortland,Cortland Ward 4 ED 3,President,,Joseph R. Biden,DEM,1,3,2,6
Cortland,Cortland Ward 5 ED 4,President,,Joseph R. Biden,DEM,59,67,70,196
Cortland,Cortland Ward 5 ED 2,President,,Joseph R. Biden,DEM,62,85,63,210
Cortland,Cortland Ward 7 ED 3,President,,Joseph R. Biden,DEM,1,0,1,2
Cortland,Cortland Ward 8 ED 1,President,,Joseph R. Biden,DEM,110,85,131,326
Cortland,Cortland Ward 7 ED 1,President,,Joseph R. Biden,DEM,132,114,139,385
Cortland,Cortland Ward 8 ED 2,President,,Joseph R. Biden,DEM,21,24,22,67
Cortland,Cortland Ward 1 ED 2,President,,Joseph R. Biden,DEM,4,4,1,9
Cortland,Cortland Ward 2 ED 2,President,,Joseph R. Biden,DEM,39,27,30,96
Cortland,Cortland Ward 6 ED 1,President,,Joseph R. Biden,DEM,157,150,142,449
Cortland,Cortland Ward 7 ED 2,President,,Joseph R. Biden,DEM,12,11,19,42
Cortland,Preble,President,,Joseph R. Biden,DEM,44,197,74,315
Cortland,Scott,President,,Joseph R. Biden,DEM,19,120,56,195
Cortland,Homer-1,President,,Joseph R. Biden,DEM,35,35,41,111
Cortland,Homer-2,President,,Joseph R. Biden,DEM,136,110,113,359
Cortland,Homer-3,President,,Joseph R. Biden,DEM,123,122,118,363
Cortland,Homer-4,President,,Joseph R. Biden,DEM,103,95,116,314
Cortland,Homer-5,President,,Joseph R. Biden,DEM,178,164,170,512
Cortland,Cortlandville-1,President,,Joseph R. Biden,DEM,185,110,164,459
Cortland,Cortlandville-2,President,,Joseph R. Biden,DEM,163,84,148,395
Cortland,Cortlandville-3,President,,Joseph R. Biden,DEM,68,77,88,233
Cortland,Cortlandville-4,President,,Joseph R. Biden,DEM,73,115,83,271
Cortland,Cortlandville-5,President,,Joseph R. Biden,DEM,56,29,56,141
Cortland,Cortlandville-6,President,,Joseph R. Biden,DEM,174,120,165,459
Cortland,Harford,President,,Joseph R. Biden,DEM,14,81,33,128
Cortland,Virgil-1,President,,Joseph R. Biden,DEM,63,69,61,193
Cortland,Virgil-2,President,,Joseph R. Biden,DEM,89,128,150,367
Cortland,Lapeer,President,,Joseph R. Biden,DEM,9,68,29,106
Cortland,Marathon-1,President,,Joseph R. Biden,DEM,21,100,60,181
Cortland,Marathon-2,President,,Joseph R. Biden,DEM,28,91,47,166
Cortland,Cuyler,President,,Joseph R. Biden,DEM,9,65,34,108
Cortland,Solon,President,,Joseph R. Biden,DEM,15,97,44,156
Cortland,Truxton,President,,Joseph R. Biden,DEM,34,122,53,209
Cortland,Cincinnatus,President,,Joseph R. Biden,DEM,10,76,40,126
Cortland,Freetown,President,,Joseph R. Biden,DEM,9,71,23,103
Cortland,Taylor,President,,Joseph R. Biden,DEM,3,46,12,61
Cortland,Willet,President,,Joseph R. Biden,DEM,8,84,21,113
Cortland,Cortland Ward 1 ED 1,President,,Donald J. Trump,REP,51,124,35,210
Cortland,Cortland Ward 1 ED 3,President,,Donald J. Trump,REP,37,149,31,217
Cortland,Cortland Ward 2 ED 3,President,,Donald J. Trump,REP,9,15,5,29
Cortland,Cortland Ward 3 ED 2,President,,Donald J. Trump,REP,17,45,1,63
Cortland,Cortland Ward 2 ED 1,President,,Donald J. Trump,REP,26,64,25,115
Cortland,Cortland Ward 3 ED 3,President,,Donald J. Trump,REP,4,14,9,27
Cortland,Cortland Ward 5 ED 1,President,,Donald J. Trump,REP,0,6,4,10
Cortland,Cortland Ward 6 ED 2,President,,Donald J. Trump,REP,4,7,3,14
Cortland,Cortland Ward 3 ED 1,President,,Donald J. Trump,REP,10,37,8,55
Cortland,Cortland Ward 3 ED 4,President,,Donald J. Trump,REP,2,12,7,21
Cortland,Cortland Ward 4 ED 1,President,,Donald J. Trump,REP,23,46,15,84
Cortland,Cortland Ward 5 ED 3,President,,Donald J. Trump,REP,0,6,0,6
Cortland,Cortland Ward 3 ED 5,President,,Donald J. Trump,REP,10,14,19,43
Cortland,Cortland Ward 4 ED 2,President,,Donald J. Trump,REP,5,41,7,53
Cortland,Cortland Ward 4 ED 3,President,,Donald J. Trump,REP,0,3,2,5
Cortland,Cortland Ward 5 ED 4,President,,Donald J. Trump,REP,22,75,18,115
Cortland,Cortland Ward 5 ED 2,President,,Donald J. Trump,REP,35,97,18,150
Cortland,Cortland Ward 7 ED 3,President,,Donald J. Trump,REP,3,3,1,7
Cortland,Cortland Ward 8 ED 1,President,,Donald J. Trump,REP,56,116,54,226
Cortland,Cortland Ward 7 ED 1,President,,Donald J. Trump,REP,80,147,36,263
Cortland,Cortland Ward 8 ED 2,President,,Donald J. Trump,REP,9,30,4,43
Cortland,Cortland Ward 1 ED 2,President,,Donald J. Trump,REP,2,4,1,7
Cortland,Cortland Ward 2 ED 2,President,,Donald J. Trump,REP,14,27,11,52
Cortland,Cortland Ward 6 ED 1,President,,Donald J. Trump,REP,86,170,41,297
Cortland,Cortland Ward 7 ED 2,President,,Donald J. Trump,REP,7,8,7,22
Cortland,Preble,President,,Donald J. Trump,REP,12,345,36,393
Cortland,Scott,President,,Donald J. Trump,REP,24,274,25,323
Cortland,Homer-1,President,,Donald J. Trump,REP,15,92,17,124
Cortland,Homer-2,President,,Donald J. Trump,REP,96,331,58,485
Cortland,Homer-3,President,,Donald J. Trump,REP,66,175,41,282
Cortland,Homer-4,President,,Donald J. Trump,REP,48,212,46,306
Cortland,Homer-5,President,,Donald J. Trump,REP,81,238,31,350
Cortland,Cortlandville-1,President,,Donald J. Trump,REP,92,205,44,341
Cortland,Cortlandville-2,President,,Donald J. Trump,REP,81,227,43,351
Cortland,Cortlandville-3,President,,Donald J. Trump,REP,48,171,44,263
Cortland,Cortlandville-4,President,,Donald J. Trump,REP,79,336,44,459
Cortland,Cortlandville-5,President,,Donald J. Trump,REP,37,90,29,156
Cortland,Cortlandville-6,President,,Donald J. Trump,REP,89,169,57,315
Cortland,Harford,President,,Donald J. Trump,REP,11,238,24,273
Cortland,Virgil-1,President,,Donald J. Trump,REP,29,217,27,273
Cortland,Virgil-2,President,,Donald J. Trump,REP,64,320,38,422
Cortland,Lapeer,President,,Donald J. Trump,REP,6,211,21,238
Cortland,Marathon-1,President,,Donald J. Trump,REP,15,275,35,325
Cortland,Marathon-2,President,,Donald J. Trump,REP,6,225,23,254
Cortland,Cuyler,President,,Donald J. Trump,REP,14,250,34,298
Cortland,Solon,President,,Donald J. Trump,REP,23,270,34,327
Cortland,Truxton,President,,Donald J. Trump,REP,12,289,19,320
Cortland,Cincinnatus,President,,Donald J. Trump,REP,19,275,34,328
Cortland,Freetown,President,,Donald J. Trump,REP,4,180,14,198
Cortland,Taylor,President,,Donald J. Trump,REP,9,161,13,183
Cortland,Willet,President,,Donald J. Trump,REP,3,262,15,280
Cortland,Cortland Ward 1 ED 1,President,,Donald J. Trump,CON,2,14,2,18
Cortland,Cortland Ward 1 ED 3,President,,Donald J. Trump,CON,2,12,0,14
Cortland,Cortland Ward 2 ED 3,President,,Donald J. Trump,CON,0,2,0,2
Cortland,Cortland Ward 3 ED 2,President,,Donald J. Trump,CON,1,2,1,4
Cortland,Cortland Ward 2 ED 1,President,,Donald J. Trump,CON,5,4,2,11
Cortland,Cortland Ward 3 ED 3,President,,Donald J. Trump,CON,1,0,0,1
Cortland,Cortland Ward 5 ED 1,President,,Donald J. Trump,CON,0,1,0,1
Cortland,Cortland Ward 6 ED 2,President,,Donald J. Trump,CON,0,3,2,5
Cortland,Cortland Ward 3 ED 1,President,,Donald J. Trump,CON,0,4,1,5
Cortland,Cortland Ward 3 ED 4,President,,Donald J. Trump,CON,1,1,0,2
Cortland,Cortland Ward 4 ED 1,President,,Donald J. Trump,CON,2,5,0,7
Cortland,Cortland Ward 5 ED 3,President,,Donald J. Trump,CON,0,3,0,3
