county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
Queens,1~23,Borough President,13,Save Our City,Joann Ariola,13,797,,121,0,3,25,0,0
Queens,1~23,State Senate,15,Save Our City,Thomas P. Sullivan,24,797,,121,0,3,25,0,0
Queens,1~23,President,,Working Families,Joseph R. Biden / Kamala D. Harris,27,797,,121,0,3,25,0,0
Queens,1~23,Borough President,13,Red Dragon,Dao Yin,5,797,,121,0,3,25,0,0
Queens,1~23,State Senate,15,Democratic,Joseph P. Addabbo Jr.,154,797,,121,0,3,25,0,0
Queens,1~23,President,,Democratic,Joseph R. Biden / Kamala D. Harris,216,797,,121,0,3,25,0,0
Queens,1~23,U.S. House,5,Democratic,Gregory W. Meeks,315,797,,121,0,3,25,0,0
Queens,1~23,State Assembly,23,Save Our City,Peter D. Hatzipetros,13,797,,121,0,3,25,0,0
Queens,1~23,Borough President,13,Republican,Joann Ariola,542,797,,121,0,3,25,0,0
Queens,1~23,President,,Conservative,Donald J. Trump / Michael R. Pence,141,797,,121,0,3,25,0,0
Queens,1~23,President,,Libertarian,Jo Jorgensen / Jeremy Cohen,10,797,,121,0,3,25,0,0
Queens,1~23,President,,Republican,Donald J. Trump / Michael R. Pence,510,797,,121,0,3,25,0,0
Queens,1~23,Borough President,13,Democratic,Donovan J. Richards Jr.,186,797,,121,0,3,25,0,0
Queens,1~23,State Assembly,23,Democratic,Stacey G. Pheffer Amato,319,797,,121,0,3,25,0,0
Queens,1~23,State Assembly,23,Republican,Peter D. Hatzipetros,424,797,,121,0,3,25,0,0
Queens,1~23,State Assembly,23,Conservative,Peter D. Hatzipetros,123,797,,121,0,3,25,0,0
Queens,1~23,State Senate,15,Conservative,Thomas P. Sullivan,143,797,,121,0,3,25,0,0
Queens,1~23,President,,Independence,Brock Pierce / Karla Ballard,0,797,,121,0,3,25,0,0
