county,precinct,office,district,candidate,party,absentee,affidavit,election_day,votes
Jefferson,LeRay 4,Registered Voters,,,,,,,1668
Jefferson,LeRay 5,Registered Voters,,,,,,,439
Jefferson,LeRay 6,Registered Voters,,,,,,,344
Jefferson,LeRay 7,Registered Voters,,,,,,,375
Jefferson,LeRay 8,Registered Voters,,,,,,,1542
Jefferson,Lorraine 1,Registered Voters,,,,,,,634
Jefferson,Lyme 1,Registered Voters,,,,,,,621
Jefferson,Lyme 2,Registered Voters,,,,,,,758
Jefferson,Lyme 3,Registered Voters,,,,,,,441
Jefferson,Orleans 1,Registered Voters,,,,,,,1171
Jefferson,Orleans 2,Registered Voters,,,,,,,693
Jefferson,Pamelia 1,Registered Voters,,,,,,,985
Jefferson,Pamelia 2,Registered Voters,,,,,,,1057
Jefferson,Philadelphia 1,Registered Voters,,,,,,,562
Jefferson,Philadelphia 2,Registered Voters,,,,,,,481
Jefferson,Rodman 1,Registered Voters,,,,,,,834
Jefferson,Rutland 1,Registered Voters,,,,,,,773
Jefferson,Rutland 2,Registered Voters,,,,,,,740
Jefferson,Rutland 3,Registered Voters,,,,,,,249
Jefferson,Theresa 1,Registered Voters,,,,,,,1660
Jefferson,Watertown 1,Registered Voters,,,,,,,1708
Jefferson,Watertown 2,Registered Voters,,,,,,,1540
Jefferson,Wilna 1,Registered Voters,,,,,,,1486
Jefferson,Wilna 2,Registered Voters,,,,,,,57
Jefferson,Wilna 3,Registered Voters,,,,,,,122
Jefferson,Wilna 4,Registered Voters,,,,,,,336
Jefferson,Wilna 5,Registered Voters,,,,,,,874
Jefferson,Worth 1,Registered Voters,,,,,,,167
Jefferson,12~1,Ballots Cast,,,,297,19,831,1147
Jefferson,12~2,Ballots Cast,,,,176,15,751,942
Jefferson,12~3,Ballots Cast,,,,182,8,577,767
Jefferson,13~1,Ballots Cast,,,,170,10,706,886
Jefferson,13~2,Ballots Cast,,,,188,6,683,877
Jefferson,13~3,Ballots Cast,,,,109,15,488,612
Jefferson,14~1,Ballots Cast,,,,154,14,646,814
Jefferson,14~2,Ballots Cast,,,,108,10,309,427
Jefferson,15~1,Ballots Cast,,,,183,15,686,884
Jefferson,15~2,Ballots Cast,,,,180,19,804,1003
Jefferson,15~3,Ballots Cast,,,,57,10,237,304
Jefferson,Adams 1,Ballots Cast,,,,121,8,651,780
Jefferson,Adams 2,Ballots Cast,,,,67,4,457,528
Jefferson,Adams 3 ,Ballots Cast,,,,158,6,983,1147
Jefferson,Alexandria 1,Ballots Cast,,,,94,10,444,548
Jefferson,Alexandria 2,Ballots Cast,,,,162,1,486,649
Jefferson,Alexandria 3,Ballots Cast,,,,125,10,820,955
Jefferson,Antwerp 1,Ballots Cast,,,,35,1,219,255
Jefferson,Antwerp 2,Ballots Cast,,,,61,6,459,526
Jefferson,Brownville 1,Ballots Cast,,,,81,3,536,620
Jefferson,Brownville 2,Ballots Cast,,,,64,1,403,468
Jefferson,Brownville 3,Ballots Cast,,,,81,7,634,722
Jefferson,Brownville 4,Ballots Cast,,,,84,3,385,472
Jefferson,Brownville 5,Ballots Cast,,,,121,8,643,772
Jefferson,Cape Vincent 1,Ballots Cast,,,,89,13,383,485
Jefferson,Cape Vincent 2,Ballots Cast,,,,274,15,687,976
Jefferson,Champion 1,Ballots Cast,,,,217,12,966,1195
Jefferson,Champion 2,Ballots Cast,,,,107,4,524,635
Jefferson,Clayton 1,Ballots Cast,,,,82,9,551,642
Jefferson,Clayton 2,Ballots Cast,,,,190,4,735,929
Jefferson,Clayton 3,Ballots Cast,,,,215,10,850,1075
Jefferson,Ellisburg 1,Ballots Cast,,,,18,2,162,182
Jefferson,Ellisburg 2,Ballots Cast,,,,92,5,502,599
Jefferson,Ellisburg 3,Ballots Cast,,,,6,0,105,111
Jefferson,Ellisburg 4,Ballots Cast,,,,134,8,621,763
