county,precinct,office,district,candidate,party,votes,early_voting,absentee,hand_count
Herkimer,City of Little Falls Ward 1 1,President,,Joseph R. Biden,DEM,267,,,
Herkimer,City of Little Falls Ward 2 1,President,,Joseph R. Biden,DEM,344,,,
Herkimer,City of Little Falls Ward 3 1,President,,Joseph R. Biden,DEM,74,,,
Herkimer,City of Little Falls Ward 3 2,President,,Joseph R. Biden,DEM,151,,,
Herkimer,City of Little Falls Ward 4 1,President,,Joseph R. Biden,DEM,168,,,
Herkimer,Town of Columbia 1,President,,Joseph R. Biden,DEM,130,,,
Herkimer,Town of Columbia 2,President,,Joseph R. Biden,DEM,35,,,
Herkimer,Town of Danube 1,President,,Joseph R. Biden,DEM,101,,,
Herkimer,Town of Fairfield 1,President,,Joseph R. Biden,DEM,173,,,
Herkimer,Town of Frankfort 1,President,,Joseph R. Biden,DEM,144,,,
Herkimer,Town of Frankfort 2 LD 9,President,,Joseph R. Biden,DEM,179,,,
Herkimer,Town of Frankfort 3 LD 9,President,,Joseph R. Biden,DEM,146,,,
Herkimer,Town of Frankfort 4 LD 8,President,,Joseph R. Biden,DEM,152,,,
Herkimer,Town of Frankfort 5 LD 8,President,,Joseph R. Biden,DEM,259,,,
Herkimer,Town of Frankfort 6 LD 9,President,,Joseph R. Biden,DEM,268,,,
Herkimer,Town of German Flatts 1 LD 7,President,,Joseph R. Biden,DEM,184,,,
Herkimer,Town of German Flatts 2 LD 1,President,,Joseph R. Biden,DEM,167,,,
Herkimer,Town of German Flatts 3 LD 4,President,,Joseph R. Biden,DEM,217,,,
Herkimer,Town of German Flatts 4 LD 5,President,,Joseph R. Biden,DEM,70,,,
Herkimer,Town of German Flatts 5 LD 6,President,,Joseph R. Biden,DEM,42,,,
Herkimer,Town of German Flatts 6 LD 6,President,,Joseph R. Biden,DEM,126,,,
Herkimer,Town of German Flatts 7 LD 4,President,,Joseph R. Biden,DEM,95,,,
Herkimer,Town of German Flatts 8 LD 5,President,,Joseph R. Biden,DEM,116,,,
Herkimer,Town of German Flatts 9 LD 4,President,,Joseph R. Biden,DEM,126,,,
Herkimer,Town of German Flatts 10 LD 5,President,,Joseph R. Biden,DEM,82,,,
Herkimer,Town of German Flatts 11 LD 6,President,,Joseph R. Biden,DEM,214,,,
Herkimer,Town of German Flatts 12 LD 6,President,,Joseph R. Biden,DEM,176,,,
Herkimer,Town of German Flatts 13 LD 5,President,,Joseph R. Biden,DEM,221,,,
Herkimer,Town of German Flatts 14 LD 5,President,,Joseph R. Biden,DEM,109,,,
Herkimer,Town of Herkimer 1 LD 2,President,,Joseph R. Biden,DEM,209,,,
Herkimer,Town of Herkimer 2 LD 2,President,,Joseph R. Biden,DEM,133,,,
Herkimer,Town of Herkimer 3 LD 2,President,,Joseph R. Biden,DEM,101,,,
Herkimer,Town of Herkimer 4 LD 2,President,,Joseph R. Biden,DEM,96,,,
Herkimer,Town of Herkimer 5 LD 1,President,,Joseph R. Biden,DEM,159,,,
Herkimer,Town of Herkimer 6 LD 3,President,,Joseph R. Biden,DEM,310,,,
Herkimer,Town of Herkimer 7 LD 3,President,,Joseph R. Biden,DEM,156,,,
Herkimer,Town of Herkimer 8 LD 1,President,,Joseph R. Biden,DEM,157,,,
Herkimer,Town of Herkimer 9 LD 3,President,,Joseph R. Biden,DEM,196,,,
Herkimer,Town of Litchfield 1 LD 13,President,,Joseph R. Biden,DEM,193,,,
Herkimer,Town of Little Falls 1 LD 14,President,,Joseph R. Biden,DEM,238,,,
Herkimer,Town of Manheim 1 LD 10,President,,Joseph R. Biden,DEM,56,,,
Herkimer,Town of Manheim 2 LD 10,President,,Joseph R. Biden,DEM,258,,,
Herkimer,Town of Manheim 3 LD 10,President,,Joseph R. Biden,DEM,140,,,
Herkimer,Town of Newport 1 LD 17,President,,Joseph R. Biden,DEM,302,,,
Herkimer,Town of Norway 1 LD 16,President,,Joseph R. Biden,DEM,89,,,
Herkimer,Town of Ohio 1 LD 15,President,,Joseph R. Biden,DEM,122,,,
Herkimer,Town of Russia 1 LD 17,President,,Joseph R. Biden,DEM,196,,,
Herkimer,Town of Russia 2 LD 15,President,,Joseph R. Biden,DEM,82,,,
Herkimer,Town of Russia 3 LD 17,President,,Joseph R. Biden,DEM,52,,,
Herkimer,Town of Salisbury 1 LD 16,President,,Joseph R. Biden,DEM,142,,,
Herkimer,Town of Schuyler 1 LD 11,President,,Joseph R. Biden,DEM,167,,,
Herkimer,Town of Schuyler 2 LD 11,President,,Joseph R. Biden,DEM,184,,,
Herkimer,Town of Schuyler 3 LD 11,President,,Joseph R. Biden,DEM,122,,,
Herkimer,Town of Stark 1 LD 14,President,,Joseph R. Biden,DEM,120,,,
Herkimer,Town of Warren 1 LD 7,President,,Joseph R. Biden,DEM,108,,,
Herkimer,Town of Webb 1 LD 15,President,,Joseph R. Biden,DEM,465,,,
Herkimer,Town of Webb 2 LD 15,President,,Joseph R. Biden,DEM,70,,,
Herkimer,Town of Winfield 1 LD 13,President,,Joseph R. Biden,DEM,148,,,
