county,precinct,office,,candidate,party,absentee,early_voting,election_day,votes
Clinton,Town of Chazy D2 LD 3,President,,Joseph R. Biden and Kamala D. Harris,DEM,138,130,188,456
Clinton,Town of Clinton D1 LD 2,President,,Joseph R. Biden and Kamala D. Harris,DEM,34,4,73,111
Clinton,Town of Dannemora D1 LD 6,President,,Joseph R. Biden and Kamala D. Harris,DEM,21,9,49,79
Clinton,Town of Dannemora D2 LD 2,President,,Joseph R. Biden and Kamala D. Harris,DEM,53,36,54,143
Clinton,Town of Dannemora D3 LD 2,President,,Joseph R. Biden and Kamala D. Harris,DEM,33,22,81,136
Clinton,Town of Ellenburg D1 LD 2,President,,Joseph R. Biden and Kamala D. Harris,DEM,95,21,198,314
Clinton,Town of Mooers D1 LD 1,President,,Joseph R. Biden and Kamala D. Harris,DEM,122,31,234,387
Clinton,Town of Mooers D2 LD 2,President,,Joseph R. Biden and Kamala D. Harris,DEM,42,27,122,191
Clinton,Town of Peru D1 LD 7,President,,Joseph R. Biden and Kamala D. Harris,DEM,110,83,142,335
Clinton,Town of Peru D2 LD 7,President,,Joseph R. Biden and Kamala D. Harris,DEM,119,111,199,429
Clinton,Town of Peru D3 LD 7,President,,Joseph R. Biden and Kamala D. Harris,DEM,69,57,86,212
Clinton,Town of Peru D4 LD 5,President,,Joseph R. Biden and Kamala D. Harris,DEM,154,135,252,541
Clinton,Town of Plattsburgh D1 LD 4,President,,Joseph R. Biden and Kamala D. Harris,DEM,84,125,86,295
Clinton,Town of Plattsburgh D2 LD 4,President,,Joseph R. Biden and Kamala D. Harris,DEM,121,157,171,449
Clinton,Town of Plattsburgh D3 LD 8,President,,Joseph R. Biden and Kamala D. Harris,DEM,141,213,88,442
Clinton,Town of Plattsburgh D4 LD 6,President,,Joseph R. Biden and Kamala D. Harris,DEM,120,168,131,419
Clinton,Town of Plattsburgh D5 LD 8,President,,Joseph R. Biden and Kamala D. Harris,DEM,68,117,94,279
Clinton,Town of Plattsburgh D6 LD 4,President,,Joseph R. Biden and Kamala D. Harris,DEM,223,206,280,709
Clinton,Town of Plattsburgh D7 LD 4,President,,Joseph R. Biden and Kamala D. Harris,DEM,85,119,100,304
Clinton,Town of Saranac D1 LD 6,President,,Joseph R. Biden and Kamala D. Harris,DEM,98,69,208,375
Clinton,Town of Saranac D2 LD 6,President,,Joseph R. Biden and Kamala D. Harris,DEM,69,51,117,237
Clinton,Town of Saranac D3 LD 6,President,,Joseph R. Biden and Kamala D. Harris,DEM,43,40,106,189
Clinton,Town of Schuyler Falls D1 LD 5,President,,Joseph R. Biden and Kamala D. Harris,DEM,65,53,98,216
Clinton,Town of Schuyler Falls D2 LD 5,President,,Joseph R. Biden and Kamala D. Harris,DEM,90,137,182,409
Clinton,Town of Schuyler Falls D3 LD 5,President,,Joseph R. Biden and Kamala D. Harris,DEM,112,96,135,343
Clinton,City of Plattsburgh W1 D1 LD 8,President,,Donald J. Trump and Michael R. Pence,REP,25,57,38,120
Clinton,City of Plattsburgh W1 D2 LD 8,President,,Donald J. Trump and Michael R. Pence,REP,91,153,109,353
Clinton,City of Plattsburgh W1 D3 LD 9,President,,Donald J. Trump and Michael R. Pence,REP,7,13,11,31
Clinton,City of Plattsburgh W2 D1 LD 8,President,,Donald J. Trump and Michael R. Pence,REP,29,72,85,186
Clinton,City of Plattsburgh W2 D2 LD 9,President,,Donald J. Trump and Michael R. Pence,REP,14,25,31,70
Clinton,City of Plattsburgh W3 D1 LD 9,President,,Donald J. Trump and Michael R. Pence,REP,30,67,100,197
Clinton,City of Plattsburgh W3 D2 LD 9,President,,Donald J. Trump and Michael R. Pence,REP,38,51,117,206
Clinton,City of Plattsburgh W4 D1 LD 10,President,,Donald J. Trump and Michael R. Pence,REP,46,59,139,244
Clinton,City of Plattsburgh W4 D2 LD 10,President,,Donald J. Trump and Michael R. Pence,REP,33,60,130,223
Clinton,City of Plattsburgh W5 D1 LD 10,President,,Donald J. Trump and Michael R. Pence,REP,18,47,56,121
Clinton,City of Plattsburgh W5 D2 LD 10,President,,Donald J. Trump and Michael R. Pence,REP,43,102,75,220
Clinton,City of Plattsburgh W6 D1 LD 9,President,,Donald J. Trump and Michael R. Pence,REP,29,49,65,143
Clinton,City of Plattsburgh W6 D2 LD 10,President,,Donald J. Trump and Michael R. Pence,REP,16,42,28,86
Clinton,Town of Altona D1 LD 2,President,,Donald J. Trump and Michael R. Pence,REP,56,34,467,557
Clinton,Town of AuSable D1 LD 7,President,,Donald J. Trump and Michael R. Pence,REP,32,30,296,358
Clinton,Town of AuSable D2 LD 7,President,,Donald J. Trump and Michael R. Pence,REP,31,24,244,299
Clinton,Town of Beekmantown D1 LD 3,President,,Donald J. Trump and Michael R. Pence,REP,39,32,173,244
Clinton,Town of Beekmantown D2 LD 3,President,,Donald J. Trump and Michael R. Pence,REP,28,36,232,296
Clinton,Town of Beekmantown D3 LD 4,President,,Donald J. Trump and Michael R. Pence,REP,38,72,203,313
Clinton,Town of Beekmantown D4 LD 3,President,,Donald J. Trump and Michael R. Pence,REP,35,79,279,393
Clinton,Town of Black Brook D1 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,29,9,273,311
Clinton,Town of Black Brook D2 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,13,10,79,102
Clinton,Town of Champlain D1 LD 1,President,,Donald J. Trump and Michael R. Pence,REP,67,49,270,386
Clinton,Town of Champlain D2 LD 1,President,,Donald J. Trump and Michael R. Pence,REP,57,69,255,381
Clinton,Town of Champlain D3 LD 1,President,,Donald J. Trump and Michael R. Pence,REP,55,30,340,425
Clinton,Town of Chazy D1 LD 3,President,,Donald J. Trump and Michael R. Pence,REP,40,37,348,425
Clinton,Town of Chazy D2 LD 3,President,,Donald J. Trump and Michael R. Pence,REP,53,85,301,439
Clinton,Town of Clinton D1 LD 2,President,,Donald J. Trump and Michael R. Pence,REP,15,5,158,178
Clinton,Town of Dannemora D1 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,13,9,75,97
Clinton,Town of Dannemora D2 LD 2,President,,Donald J. Trump and Michael R. Pence,REP,45,31,113,189
Clinton,Town of Dannemora D3 LD 2,President,,Donald J. Trump and Michael R. Pence,REP,33,8,142,183
Clinton,Town of Ellenburg D1 LD 2,President,,Donald J. Trump and Michael R. Pence,REP,65,19,430,514
Clinton,Town of Mooers D1 LD 1,President,,Donald J. Trump and Michael R. Pence,REP,71,26,485,582
Clinton,Town of Mooers D2 LD 2,President,,Donald J. Trump and Michael R. Pence,REP,26,21,278,325
Clinton,Town of Peru D1 LD 7,President,,Donald J. Trump and Michael R. Pence,REP,36,49,221,306
Clinton,Town of Peru D2 LD 7,President,,Donald J. Trump and Michael R. Pence,REP,39,54,307,400
Clinton,Town of Peru D3 LD 7,President,,Donald J. Trump and Michael R. Pence,REP,40,56,271,367
Clinton,Town of Peru D4 LD 5,President,,Donald J. Trump and Michael R. Pence,REP,49,71,344,464
Clinton,Town of Plattsburgh D1 LD 4,President,,Donald J. Trump and Michael R. Pence,REP,31,54,103,188
Clinton,Town of Plattsburgh D2 LD 4,President,,Donald J. Trump and Michael R. Pence,REP,63,75,263,401
Clinton,Town of Plattsburgh D3 LD 8,President,,Donald J. Trump and Michael R. Pence,REP,57,76,153,286
Clinton,Town of Plattsburgh D4 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,46,97,223,366
Clinton,Town of Plattsburgh D5 LD 8,President,,Donald J. Trump and Michael R. Pence,REP,16,65,141,222
Clinton,Town of Plattsburgh D6 LD 4,President,,Donald J. Trump and Michael R. Pence,REP,53,74,344,471
Clinton,Town of Plattsburgh D7 LD 4,President,,Donald J. Trump and Michael R. Pence,REP,42,81,241,364
Clinton,Town of Saranac D1 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,54,41,393,488
Clinton,Town of Saranac D2 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,28,23,287,338
Clinton,Town of Saranac D3 LD 6,President,,Donald J. Trump and Michael R. Pence,REP,22,22,204,248
Clinton,Town of Schuyler Falls D1 LD 5,President,,Donald J. Trump and Michael R. Pence,REP,33,62,254,349
Clinton,Town of Schuyler Falls D2 LD 5,President,,Donald J. Trump and Michael R. Pence,REP,51,73,331,455
Clinton,Town of Schuyler Falls D3 LD 5,President,,Donald J. Trump and Michael R. Pence,REP,63,90,250,403
Clinton,City of Plattsburgh W1 D1 LD 8,President,,Donald J. Trump and Michael R. Pence,CON,3,4,4,11
Clinton,City of Plattsburgh W1 D2 LD 8,President,,Donald J. Trump and Michael R. Pence,CON,2,17,6,25
Clinton,City of Plattsburgh W1 D3 LD 9,President,,Donald J. Trump and Michael R. Pence,CON,0,3,0,3
Clinton,City of Plattsburgh W2 D1 LD 8,President,,Donald J. Trump and Michael R. Pence,CON,2,3,7,12
