county,precinct,office,district,party,candidate,election_day,absentee,votes
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Pete Buttigieg,7,3,10
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Amy Klobuchar,0,1,1
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Joseph R. Biden,182,224,406
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Tulsi Gabbard,2,0,2
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Bernie Sanders,101,81,182
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Michael R. Bloomberg,2,6,8
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Tom Steyer,0,1,1
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Michael Bennet,0,0,0
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Elizabeth Warren,16,18,34
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Andrew Yang,3,3,6
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Deval Patick,0,4,4
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Blanks,2,0,2
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Voids,0,3,3
Ulster,"City of Kingston Ward 1,2,6-1 -1,2,3",President,,DEM,Write-ins,0,0,0
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Pete Buttigieg,5,2,7
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Amy Klobuchar,0,1,1
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Joseph R. Biden,160,239,399
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Tulsi Gabbard,1,0,1
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Bernie Sanders,106,95,201
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Michael R. Bloomberg,0,1,1
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Tom Steyer,0,0,0
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Michael Bennet,0,0,0
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Elizabeth Warren,25,20,45
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Andrew Yang,2,6,8
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Deval Patick,1,0,1
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Blanks,0,2,2
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Voids,0,2,2
Ulster,"City of Kingston Ward 3,4,6-2,6-3 -1,2,3",President,,DEM,Write-ins,0,0,0
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Pete Buttigieg,0,6,6
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Amy Klobuchar,0,2,2
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Joseph R. Biden,142,276,418
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Tulsi Gabbard,4,4,8
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Bernie Sanders,94,114,208
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Michael R. Bloomberg,1,5,6
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Tom Steyer,0,0,0
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Michael Bennet,0,0,0
Ulster,"City of Kingston Wards 5,7,9 -1,2,3",President,,DEM,Elizabeth Warren,9,32,41
