county,precinct,office,district,party,candidate,election_day,absentee
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Amy Klobuchar,3,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Andrew Yang,3,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Bernie Sanders,34,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Deval Patrick,1,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Elizabeth Warren,7,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Joseph R. Biden,187,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Michael Bennet,0,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Michael R. Bloomberg,3,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Over Votes,1,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Pete Buttigieg,6,4
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Tom Steyer,0,
