county,office,district,party,candidate,votes
Albany,Attorney General,,REP,Jeanine Pirro,27925
Albany,Attorney General,,DEM,Andrew M. Cuomo,63472
Albany,Attorney General,,IND,Jeanine Pirro,4019
Albany,Attorney General,,CON,Jeanine Pirro,3351
Albany,Attorney General,,WOR,Andrew M. Cuomo,3303
Albany,Attorney General,,GRE,Rachel Treichler,2719
Albany,Attorney General,,LIB,Christopher B. Garvey,961
Albany,Attorney General,,SOCWOR,Martin Koppel,203
Albany,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",5556
Allegany,Attorney General,,REP,Jeanine Pirro,6682
Allegany,Attorney General,,DEM,Andrew M. Cuomo,4520
Allegany,Attorney General,,IND,Jeanine Pirro,435
Allegany,Attorney General,,CON,Jeanine Pirro,704
Allegany,Attorney General,,WOR,Andrew M. Cuomo,256
Allegany,Attorney General,,GRE,Rachel Treichler,207
Allegany,Attorney General,,LIB,Christopher B. Garvey,98
Allegany,Attorney General,,SOCWOR,Martin Koppel,41
Allegany,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1369
Bronx,Attorney General,,REP,Jeanine Pirro,18610
Bronx,Attorney General,,DEM,Andrew M. Cuomo,121743
Bronx,Attorney General,,IND,Jeanine Pirro,3757
Bronx,Attorney General,,CON,Jeanine Pirro,2593
Bronx,Attorney General,,WOR,Andrew M. Cuomo,6928
Bronx,Attorney General,,GRE,Rachel Treichler,1041
Bronx,Attorney General,,LIB,Christopher B. Garvey,526
Bronx,Attorney General,,SOCWOR,Martin Koppel,546
Bronx,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",30639
Broome,Attorney General,,REP,Jeanine Pirro,24472
Broome,Attorney General,,DEM,Andrew M. Cuomo,30097
Broome,Attorney General,,IND,Jeanine Pirro,1865
Broome,Attorney General,,CON,Jeanine Pirro,1765
Broome,Attorney General,,WOR,Andrew M. Cuomo,1691
Broome,Attorney General,,GRE,Rachel Treichler,836
Broome,Attorney General,,LIB,Christopher B. Garvey,410
Broome,Attorney General,,SOCWOR,Martin Koppel,140
Broome,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",3712
Cattaraugus,Attorney General,,REP,Jeanine Pirro,10061
Cattaraugus,Attorney General,,DEM,Andrew M. Cuomo,8258
Cattaraugus,Attorney General,,IND,Jeanine Pirro,847
Cattaraugus,Attorney General,,CON,Jeanine Pirro,1363
Cattaraugus,Attorney General,,WOR,Andrew M. Cuomo,457
Cattaraugus,Attorney General,,GRE,Rachel Treichler,280
Cattaraugus,Attorney General,,LIB,Christopher B. Garvey,171
Cattaraugus,Attorney General,,SOCWOR,Martin Koppel,57
Cattaraugus,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1789
Cayuga,Attorney General,,REP,Jeanine Pirro,10195
Cayuga,Attorney General,,DEM,Andrew M. Cuomo,12099
Cayuga,Attorney General,,IND,Jeanine Pirro,1044
Cayuga,Attorney General,,CON,Jeanine Pirro,1278
Cayuga,Attorney General,,WOR,Andrew M. Cuomo,751
Cayuga,Attorney General,,GRE,Rachel Treichler,380
Cayuga,Attorney General,,LIB,Christopher B. Garvey,191
Cayuga,Attorney General,,SOCWOR,Martin Koppel,61
Cayuga,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",2709
Chautauqua,Attorney General,,REP,Jeanine Pirro,15412
Chautauqua,Attorney General,,DEM,Andrew M. Cuomo,15303
Chautauqua,Attorney General,,IND,Jeanine Pirro,1678
Chautauqua,Attorney General,,CON,Jeanine Pirro,2203
Chautauqua,Attorney General,,WOR,Andrew M. Cuomo,686
Chautauqua,Attorney General,,GRE,Rachel Treichler,381
Chautauqua,Attorney General,,LIB,Christopher B. Garvey,225
Chautauqua,Attorney General,,SOCWOR,Martin Koppel,107
Chautauqua,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",2450
Chemung,Attorney General,,REP,Jeanine Pirro,12032
Chemung,Attorney General,,DEM,Andrew M. Cuomo,11517
Chemung,Attorney General,,IND,Jeanine Pirro,792
Chemung,Attorney General,,CON,Jeanine Pirro,573
Chemung,Attorney General,,WOR,Andrew M. Cuomo,446
Chemung,Attorney General,,GRE,Rachel Treichler,263
Chemung,Attorney General,,LIB,Christopher B. Garvey,139
Chemung,Attorney General,,SOCWOR,Martin Koppel,53
Chemung,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1899
Chenango,Attorney General,,REP,Jeanine Pirro,6587
Chenango,Attorney General,,DEM,Andrew M. Cuomo,6168
Chenango,Attorney General,,IND,Jeanine Pirro,518
Chenango,Attorney General,,CON,Jeanine Pirro,439
Chenango,Attorney General,,WOR,Andrew M. Cuomo,377
Chenango,Attorney General,,GRE,Rachel Treichler,312
Chenango,Attorney General,,LIB,Christopher B. Garvey,127
Chenango,Attorney General,,SOCWOR,Martin Koppel,42
Chenango,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1029
Clinton,Attorney General,,REP,Jeanine Pirro,9458
Clinton,Attorney General,,DEM,Andrew M. Cuomo,9508
Clinton,Attorney General,,IND,Jeanine Pirro,1124
Clinton,Attorney General,,CON,Jeanine Pirro,646
Clinton,Attorney General,,WOR,Andrew M. Cuomo,487
Clinton,Attorney General,,GRE,Rachel Treichler,317
Clinton,Attorney General,,LIB,Christopher B. Garvey,224
Clinton,Attorney General,,SOCWOR,Martin Koppel,114
Clinton,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",2958
Columbia,Attorney General,,REP,Jeanine Pirro,8174
Columbia,Attorney General,,DEM,Andrew M. Cuomo,11149
Columbia,Attorney General,,IND,Jeanine Pirro,1005
Columbia,Attorney General,,CON,Jeanine Pirro,1230
Columbia,Attorney General,,WOR,Andrew M. Cuomo,814
Columbia,Attorney General,,GRE,Rachel Treichler,545
Columbia,Attorney General,,LIB,Christopher B. Garvey,191
Columbia,Attorney General,,SOCWOR,Martin Koppel,52
Columbia,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1855
Cortland,Attorney General,,REP,Jeanine Pirro,5724
Cortland,Attorney General,,DEM,Andrew M. Cuomo,6655
Cortland,Attorney General,,IND,Jeanine Pirro,492
Cortland,Attorney General,,CON,Jeanine Pirro,588
Cortland,Attorney General,,WOR,Andrew M. Cuomo,484
Cortland,Attorney General,,GRE,Rachel Treichler,279
Cortland,Attorney General,,LIB,Christopher B. Garvey,112
Cortland,Attorney General,,SOCWOR,Martin Koppel,27
Cortland,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",915
Delaware,Attorney General,,REP,Jeanine Pirro,6472
Delaware,Attorney General,,DEM,Andrew M. Cuomo,5795
Delaware,Attorney General,,IND,Jeanine Pirro,522
Delaware,Attorney General,,CON,Jeanine Pirro,479
Delaware,Attorney General,,WOR,Andrew M. Cuomo,267
Delaware,Attorney General,,GRE,Rachel Treichler,281
Delaware,Attorney General,,LIB,Christopher B. Garvey,111
Delaware,Attorney General,,SOCWOR,Martin Koppel,31
Delaware,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1342
Dutchess,Attorney General,,REP,Jeanine Pirro,33330
Dutchess,Attorney General,,DEM,Andrew M. Cuomo,36430
Dutchess,Attorney General,,IND,Jeanine Pirro,2956
Dutchess,Attorney General,,CON,Jeanine Pirro,3951
Dutchess,Attorney General,,WOR,Andrew M. Cuomo,1623
Dutchess,Attorney General,,GRE,Rachel Treichler,1394
Dutchess,Attorney General,,LIB,Christopher B. Garvey,640
Dutchess,Attorney General,,SOCWOR,Martin Koppel,139
Dutchess,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",5076
Erie,Attorney General,,REP,Jeanine Pirro,87224
Erie,Attorney General,,DEM,Andrew M. Cuomo,134911
Erie,Attorney General,,IND,Jeanine Pirro,12855
Erie,Attorney General,,CON,Jeanine Pirro,17910
Erie,Attorney General,,WOR,Andrew M. Cuomo,11314
Erie,Attorney General,,GRE,Rachel Treichler,4380
Erie,Attorney General,,LIB,Christopher B. Garvey,2189
Erie,Attorney General,,SOCWOR,Martin Koppel,742
Erie,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",21262
Essex,Attorney General,,REP,Jeanine Pirro,5865
Essex,Attorney General,,DEM,Andrew M. Cuomo,4617
Essex,Attorney General,,IND,Jeanine Pirro,579
Essex,Attorney General,,CON,Jeanine Pirro,320
Essex,Attorney General,,WOR,Andrew M. Cuomo,222
Essex,Attorney General,,GRE,Rachel Treichler,219
Essex,Attorney General,,LIB,Christopher B. Garvey,142
Essex,Attorney General,,SOCWOR,Martin Koppel,37
Essex,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1905
Franklin,Attorney General,,REP,Jeanine Pirro,4874
Franklin,Attorney General,,DEM,Andrew M. Cuomo,5258
Franklin,Attorney General,,IND,Jeanine Pirro,546
Franklin,Attorney General,,CON,Jeanine Pirro,255
Franklin,Attorney General,,WOR,Andrew M. Cuomo,198
Franklin,Attorney General,,GRE,Rachel Treichler,163
Franklin,Attorney General,,LIB,Christopher B. Garvey,100
Franklin,Attorney General,,SOCWOR,Martin Koppel,52
Franklin,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1328
Fulton,Attorney General,,REP,Jeanine Pirro,6028
Fulton,Attorney General,,DEM,Andrew M. Cuomo,6248
Fulton,Attorney General,,IND,Jeanine Pirro,535
Fulton,Attorney General,,CON,Jeanine Pirro,552
Fulton,Attorney General,,WOR,Andrew M. Cuomo,400
Fulton,Attorney General,,GRE,Rachel Treichler,220
Fulton,Attorney General,,LIB,Christopher B. Garvey,125
Fulton,Attorney General,,SOCWOR,Martin Koppel,32
Fulton,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1395
Genesee,Attorney General,,REP,Jeanine Pirro,8757
Genesee,Attorney General,,DEM,Andrew M. Cuomo,6397
Genesee,Attorney General,,IND,Jeanine Pirro,644
Genesee,Attorney General,,CON,Jeanine Pirro,1334
Genesee,Attorney General,,WOR,Andrew M. Cuomo,375
Genesee,Attorney General,,GRE,Rachel Treichler,195
Genesee,Attorney General,,LIB,Christopher B. Garvey,103
Genesee,Attorney General,,SOCWOR,Martin Koppel,46
Genesee,Attorney General,,"Blank, Void, Scattering","Blank, Void, Scattering",1419
Greene,Attorney General,,REP,Jeanine Pirro,7102
Greene,Attorney General,,DEM,Andrew M. Cuomo,6550
Greene,Attorney General,,IND,Jeanine Pirro,647
Greene,Attorney General,,CON,Jeanine Pirro,922
Greene,Attorney General,,WOR,Andrew M. Cuomo,393
