county,precinct,office,district,party,candidate,election_day,early_voting,absentee
Ontario,City of Canandaigua Ward 1 1,Governor,,DEM,Kathy C. Hochul,177,60,38
Ontario,City of Canandaigua Ward 1 2,Governor,,DEM,Kathy C. Hochul,221,85,30
Ontario,City of Canandaigua Ward 2 1,Governor,,DEM,Kathy C. Hochul,89,55,11
Ontario,City of Canandaigua Ward 2 2,Governor,,DEM,Kathy C. Hochul,114,43,25
Ontario,City of Canandaigua Ward 3 1,Governor,,DEM,Kathy C. Hochul,181,38,38
Ontario,City of Canandaigua Ward 3 2,Governor,,DEM,Kathy C. Hochul,180,58,32
Ontario,City of Canandaigua Ward 4 1,Governor,,DEM,Kathy C. Hochul,171,45,41
Ontario,City of Canandaigua Ward 4 2,Governor,,DEM,Kathy C. Hochul,270,58,25
Ontario,City of Geneva Ward 1 1,Governor,,DEM,Kathy C. Hochul,115,44,15
Ontario,City of Geneva Ward 1 2,Governor,,DEM,Kathy C. Hochul,88,31,18
Ontario,City of Geneva Ward 2 1,Governor,,DEM,Kathy C. Hochul,137,53,16
Ontario,City of Geneva Ward 2 2,Governor,,DEM,Kathy C. Hochul,125,54,27
Ontario,City of Geneva Ward 3 1,Governor,,DEM,Kathy C. Hochul,133,49,11
Ontario,City of Geneva Ward 3 2,Governor,,DEM,Kathy C. Hochul,178,138,36
Ontario,City of Geneva Ward 4 1,Governor,,DEM,Kathy C. Hochul,86,43,17
Ontario,City of Geneva Ward 4 2,Governor,,DEM,Kathy C. Hochul,116,64,14
Ontario,City of Geneva Ward 5 1,Governor,,DEM,Kathy C. Hochul,60,25,15
Ontario,City of Geneva Ward 5 2,Governor,,DEM,Kathy C. Hochul,76,24,13
Ontario,City of Geneva Ward 6 1,Governor,,DEM,Kathy C. Hochul,73,9,2
Ontario,City of Geneva Ward 6 2,Governor,,DEM,Kathy C. Hochul,58,11,12
Ontario,Town of Bristol 1,Governor,,DEM,Kathy C. Hochul,100,12,10
Ontario,Town of Bristol 2,Governor,,DEM,Kathy C. Hochul,176,28,9
Ontario,Town of Canadice 1,Governor,,DEM,Kathy C. Hochul,139,12,17
Ontario,Town of Canadice 2,Governor,,DEM,Kathy C. Hochul,85,8,15
Ontario,Town of Canandaigua 1,Governor,,DEM,Kathy C. Hochul,117,58,29
Ontario,Town of Canandaigua 2,Governor,,DEM,Kathy C. Hochul,197,60,41
Ontario,Town of Canandaigua 3,Governor,,DEM,Kathy C. Hochul,382,105,50
Ontario,Town of Canandaigua 4,Governor,,DEM,Kathy C. Hochul,250,77,86
Ontario,Town of Canandaigua 5,Governor,,DEM,Kathy C. Hochul,329,103,44
Ontario,Town of Canandaigua 6,Governor,,DEM,Kathy C. Hochul,155,40,13
Ontario,Town of Canandaigua 7,Governor,,DEM,Kathy C. Hochul,206,37,9
Ontario,Town of East Bloomfield 1,Governor,,DEM,Kathy C. Hochul,148,32,5
Ontario,Town of East Bloomfield 2,Governor,,DEM,Kathy C. Hochul,137,28,29
Ontario,Town of East Bloomfield 3,Governor,,DEM,Kathy C. Hochul,158,36,14
Ontario,Town of Farmington 1,Governor,,DEM,Kathy C. Hochul,148,22,10
Ontario,Town of Farmington 2,Governor,,DEM,Kathy C. Hochul,192,41,12
Ontario,Town of Farmington 3,Governor,,DEM,Kathy C. Hochul,139,41,16
Ontario,Town of Farmington 4,Governor,,DEM,Kathy C. Hochul,175,23,10
Ontario,Town of Farmington 5,Governor,,DEM,Kathy C. Hochul,121,25,11
Ontario,Town of Farmington 6,Governor,,DEM,Kathy C. Hochul,302,81,24
Ontario,Town of Farmington 7,Governor,,DEM,Kathy C. Hochul,182,73,17
Ontario,Town of Farmington 8,Governor,,DEM,Kathy C. Hochul,135,42,32
Ontario,Town of Farmington 9,Governor,,DEM,Kathy C. Hochul,126,21,8
Ontario,Town of Farmington 10,Governor,,DEM,Kathy C. Hochul,39,8,5
Ontario,Town of Geneva 1,Governor,,DEM,Kathy C. Hochul,131,50,37
Ontario,Town of Geneva 2,Governor,,DEM,Kathy C. Hochul,175,49,28
Ontario,Town of Geneva 3,Governor,,DEM,Kathy C. Hochul,195,61,30
Ontario,Town of Gorham 1,Governor,,DEM,Kathy C. Hochul,106,7,8
Ontario,Town of Gorham 2,Governor,,DEM,Kathy C. Hochul,101,7,18
Ontario,Town of Gorham 3,Governor,,DEM,Kathy C. Hochul,171,24,16
Ontario,Town of Gorham 4,Governor,,DEM,Kathy C. Hochul,145,39,23
Ontario,Town of Hopewell 1,Governor,,DEM,Kathy C. Hochul,148,23,18
Ontario,Town of Hopewell 2,Governor,,DEM,Kathy C. Hochul,49,9,8
Ontario,Town of Hopewell 3,Governor,,DEM,Kathy C. Hochul,96,21,28
Ontario,Town of Manchester 1,Governor,,DEM,Kathy C. Hochul,151,16,16
Ontario,Town of Manchester 2,Governor,,DEM,Kathy C. Hochul,65,9,18
Ontario,Town of Manchester 3,Governor,,DEM,Kathy C. Hochul,117,6,11
Ontario,Town of Manchester 4,Governor,,DEM,Kathy C. Hochul,123,10,12
Ontario,Town of Manchester 5,Governor,,DEM,Kathy C. Hochul,81,7,10
Ontario,Town of Manchester 6,Governor,,DEM,Kathy C. Hochul,105,6,9
Ontario,Town of Manchester 7,Governor,,DEM,Kathy C. Hochul,101,7,8
Ontario,Town of Manchester 8,Governor,,DEM,Kathy C. Hochul,116,14,11
Ontario,Town of Naples 1,Governor,,DEM,Kathy C. Hochul,260,5,33
Ontario,Town of Naples 2,Governor,,DEM,Kathy C. Hochul,61,9,13
Ontario,Town of Phelps 1,Governor,,DEM,Kathy C. Hochul,152,16,11
Ontario,Town of Phelps 2,Governor,,DEM,Kathy C. Hochul,93,8,11
Ontario,Town of Phelps 3,Governor,,DEM,Kathy C. Hochul,97,10,15
Ontario,Town of Phelps 4,Governor,,DEM,Kathy C. Hochul,166,11,8
