county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee
Delaware,AN 1,Governor,,Kathy C. Hochul,DEM,210,120,49,41
Delaware,AN 2,Governor,,Kathy C. Hochul,DEM,91,56,19,16
Delaware,BV 1,Governor,,Kathy C. Hochul,DEM,210,120,49,41
Delaware,CO 1,Governor,,Kathy C. Hochul,DEM,79,54,10,15
Delaware,CO 2,Governor,,Kathy C. Hochul,DEM,62,42,5,15
Delaware,CO 3,Governor,,Kathy C. Hochul,DEM,38,19,11,8
Delaware,CO 4,Governor,,Kathy C. Hochul,DEM,28,16,2,10
Delaware,DA 1,Governor,,Kathy C. Hochul,DEM,84,76,4,4
Delaware,DA 2,Governor,,Kathy C. Hochul,DEM,201,152,22,27
Delaware,DL 1,Governor,,Kathy C. Hochul,DEM,188,97,70,21
Delaware,DL 2,Governor,,Kathy C. Hochul,DEM,138,59,61,18
Delaware,DL 3,Governor,,Kathy C. Hochul,DEM,148,72,53,23
Delaware,DL 4,Governor,,Kathy C. Hochul,DEM,163,65,75,23
Delaware,DP 1,Governor,,Kathy C. Hochul,DEM,63,49,0,14
Delaware,DP 2,Governor,,Kathy C. Hochul,DEM,40,32,1,7
Delaware,FR 1,Governor,,Kathy C. Hochul,DEM,96,70,14,12
Delaware,FR 2,Governor,,Kathy C. Hochul,DEM,106,60,23,23
Delaware,FR 3,Governor,,Kathy C. Hochul,DEM,149,118,13,18
Delaware,HM 1,Governor,,Kathy C. Hochul,DEM,187,122,50,15
Delaware,HN 1,Governor,,Kathy C. Hochul,DEM,55,36,5,14
Delaware,HN 2,Governor,,Kathy C. Hochul,DEM,52,34,7,11
Delaware,HN 3,Governor,,Kathy C. Hochul,DEM,87,64,7,16
Delaware,HN 4,Governor,,Kathy C. Hochul,DEM,20,18,0,2
Delaware,HN 5,Governor,,Kathy C. Hochul,DEM,11,10,0,1
Delaware,HN 6,Governor,,Kathy C. Hochul,DEM,27,22,1,4
Delaware,HR 1,Governor,,Kathy C. Hochul,DEM,198,135,26,37
Delaware,KR 1,Governor,,Kathy C. Hochul,DEM,107,67,28,12
Delaware,KR 2,Governor,,Kathy C. Hochul,DEM,109,60,36,13
Delaware,MA 1,Governor,,Kathy C. Hochul,DEM,93,68,6,19
Delaware,ME 1,Governor,,Kathy C. Hochul,DEM,101,48,34,19
Delaware,ME 2,Governor,,Kathy C. Hochul,DEM,142,105,29,8
Delaware,MI 1,Governor,,Kathy C. Hochul,DEM,175,125,17,33
Delaware,MI 2,Governor,,Kathy C. Hochul,DEM,226,150,50,26
Delaware,MI 3,Governor,,Kathy C. Hochul,DEM,106,66,19,21
Delaware,MI 4,Governor,,Kathy C. Hochul,DEM,85,54,18,13
Delaware,MI 5,Governor,,Kathy C. Hochul,DEM,83,67,3,13
Delaware,RX 1,Governor,,Kathy C. Hochul,DEM,63,47,4,12
Delaware,RX 2,Governor,,Kathy C. Hochul,DEM,97,59,16,22
Delaware,RX 3,Governor,,Kathy C. Hochul,DEM,168,123,22,23
Delaware,RX 4,Governor,,Kathy C. Hochul,DEM,113,82,8,23
Delaware,SD 1,Governor,,Kathy C. Hochul,DEM,80,57,10,13
