Orleans,precinct,office,district,party,candidate,votes
Orleans,Town of Albion 1 LD 3,Governor,,DEM,Kathy C. Hochul,45
Orleans,Town of Albion 2 LD 3,Governor,,DEM,Kathy C. Hochul,116
Orleans,Town of Albion 3 LD 3,Governor,,DEM,Kathy C. Hochul,69
Orleans,Town of Albion 4 LD 3,Governor,,DEM,Kathy C. Hochul,82
Orleans,Town of Albion 5 LD 3,Governor,,DEM,Kathy C. Hochul,66
Orleans,Town of Albion 6 LD 3,Governor,,DEM,Kathy C. Hochul,95
Orleans,Town of Barre 1 LD 1,Governor,,DEM,Kathy C. Hochul,58
Orleans,Town of Barre 2 LD 1,Governor,,DEM,Kathy C. Hochul,47
Orleans,Town of Carlton 1 LD 4,Governor,,DEM,Kathy C. Hochul,91
Orleans,Town of Carlton 2 LD 4,Governor,,DEM,Kathy C. Hochul,80
Orleans,Town of Carlton 3 LD 4,Governor,,DEM,Kathy C. Hochul,92
Orleans,Town of Clarendon 1 LD 1,Governor,,DEM,Kathy C. Hochul,119
Orleans,Town of Clarendon 2 LD 1,Governor,,DEM,Kathy C. Hochul,83
Orleans,Town of Clarendon 3 LD 1,Governor,,DEM,Kathy C. Hochul,59
Orleans,Town of Gaines 1 LD 3,Governor,,DEM,Kathy C. Hochul,79
Orleans,Town of Gaines 2 LD 3,Governor,,DEM,Kathy C. Hochul,62
Orleans,Town of Gaines 3 LD 3,Governor,,DEM,Kathy C. Hochul,33
Orleans,Town of Gaines 4 LD 3,Governor,,DEM,Kathy C. Hochul,107
Orleans,Town of Kendall 1 LD 4,Governor,,DEM,Kathy C. Hochul,100
Orleans,Town of Kendall 2 LD 4,Governor,,DEM,Kathy C. Hochul,69
Orleans,Town of Kendall 3 LD 4,Governor,,DEM,Kathy C. Hochul,55
Orleans,Town of Murray 1 LD 4,Governor,,DEM,Kathy C. Hochul,36
Orleans,Town of Murray 2 LD 4,Governor,,DEM,Kathy C. Hochul,64
Orleans,Town of Murray 3 LD 4,Governor,,DEM,Kathy C. Hochul,71
Orleans,Town of Murray 4 LD 4,Governor,,DEM,Kathy C. Hochul,94
Orleans,Town of Murray 5 LD 4,Governor,,DEM,Kathy C. Hochul,26
Orleans,Town of Murray 6 LD 4,Governor,,DEM,Kathy C. Hochul,66
Orleans,Town of Ridgeway 1 LD 2,Governor,,DEM,Kathy C. Hochul,53
Orleans,Town of Ridgeway 2 LD 2,Governor,,DEM,Kathy C. Hochul,101
Orleans,Town of Ridgeway 3 LD 2,Governor,,DEM,Kathy C. Hochul,59
Orleans,Town of Ridgeway 4 LD 2,Governor,,DEM,Kathy C. Hochul,81
Orleans,Town of Ridgeway 5 LD 2,Governor,,DEM,Kathy C. Hochul,120
Orleans,Town of Ridgeway 6 LD 2,Governor,,DEM,Kathy C. Hochul,71
Orleans,Town of Ridgeway 7 LD 2,Governor,,DEM,Kathy C. Hochul,56
Orleans,Town of Shelby 1 LD 1,Governor,,DEM,Kathy C. Hochul,73
Orleans,Town of Shelby 2 LD 1,Governor,,DEM,Kathy C. Hochul,103
Orleans,Town of Shelby 3 LD 2,Governor,,DEM,Kathy C. Hochul,119
Orleans,Town of Shelby 4 LD 1,Governor,,DEM,Kathy C. Hochul,112
Orleans,Town of Yates 1 LD 2,Governor,,DEM,Kathy C. Hochul,101
Orleans,Town of Yates 2 LD 2,Governor,,DEM,Kathy C. Hochul,73
Orleans,Town of Albion 1 LD 3,Governor,,REP,Lee Zeldin,167
Orleans,Town of Albion 2 LD 3,Governor,,REP,Lee Zeldin,185
Orleans,Town of Albion 3 LD 3,Governor,,REP,Lee Zeldin,160
Orleans,Town of Albion 4 LD 3,Governor,,REP,Lee Zeldin,94
Orleans,Town of Albion 5 LD 3,Governor,,REP,Lee Zeldin,187
Orleans,Town of Albion 6 LD 3,Governor,,REP,Lee Zeldin,304
Orleans,Town of Barre 1 LD 1,Governor,,REP,Lee Zeldin,271
Orleans,Town of Barre 2 LD 1,Governor,,REP,Lee Zeldin,277
Orleans,Town of Carlton 1 LD 4,Governor,,REP,Lee Zeldin,282
Orleans,Town of Carlton 2 LD 4,Governor,,REP,Lee Zeldin,235
Orleans,Town of Carlton 3 LD 4,Governor,,REP,Lee Zeldin,248
Orleans,Town of Clarendon 1 LD 1,Governor,,REP,Lee Zeldin,406
Orleans,Town of Clarendon 2 LD 1,Governor,,REP,Lee Zeldin,256
Orleans,Town of Clarendon 3 LD 1,Governor,,REP,Lee Zeldin,352
Orleans,Town of Gaines 1 LD 3,Governor,,REP,Lee Zeldin,160
Orleans,Town of Gaines 2 LD 3,Governor,,REP,Lee Zeldin,172
Orleans,Town of Gaines 3 LD 3,Governor,,REP,Lee Zeldin,159
Orleans,Town of Gaines 4 LD 3,Governor,,REP,Lee Zeldin,175
Orleans,Town of Kendall 1 LD 4,Governor,,REP,Lee Zeldin,306
Orleans,Town of Kendall 2 LD 4,Governor,,REP,Lee Zeldin,232
Orleans,Town of Kendall 3 LD 4,Governor,,REP,Lee Zeldin,242
Orleans,Town of Murray 1 LD 4,Governor,,REP,Lee Zeldin,181
Orleans,Town of Murray 2 LD 4,Governor,,REP,Lee Zeldin,162
Orleans,Town of Murray 3 LD 4,Governor,,REP,Lee Zeldin,196
Orleans,Town of Murray 4 LD 4,Governor,,REP,Lee Zeldin,272
Orleans,Town of Murray 5 LD 4,Governor,,REP,Lee Zeldin,151
Orleans,Town of Murray 6 LD 4,Governor,,REP,Lee Zeldin,178
Orleans,Town of Ridgeway 1 LD 2,Governor,,REP,Lee Zeldin,213
Orleans,Town of Ridgeway 2 LD 2,Governor,,REP,Lee Zeldin,197
Orleans,Town of Ridgeway 3 LD 2,Governor,,REP,Lee Zeldin,192
Orleans,Town of Ridgeway 4 LD 2,Governor,,REP,Lee Zeldin,123
Orleans,Town of Ridgeway 5 LD 2,Governor,,REP,Lee Zeldin,149
Orleans,Town of Ridgeway 6 LD 2,Governor,,REP,Lee Zeldin,281
Orleans,Town of Ridgeway 7 LD 2,Governor,,REP,Lee Zeldin,217
Orleans,Town of Shelby 1 LD 1,Governor,,REP,Lee Zeldin,249
Orleans,Town of Shelby 2 LD 1,Governor,,REP,Lee Zeldin,218
Orleans,Town of Shelby 3 LD 2,Governor,,REP,Lee Zeldin,154
Orleans,Town of Shelby 4 LD 1,Governor,,REP,Lee Zeldin,314
Orleans,Town of Yates 1 LD 2,Governor,,REP,Lee Zeldin,367
Orleans,Town of Yates 2 LD 2,Governor,,REP,Lee Zeldin,304
Orleans,Town of Albion 1 LD 3,Governor,,CON,Lee Zeldin,22
Orleans,Town of Albion 2 LD 3,Governor,,CON,Lee Zeldin,32
Orleans,Town of Albion 3 LD 3,Governor,,CON,Lee Zeldin,23
Orleans,Town of Albion 4 LD 3,Governor,,CON,Lee Zeldin,14
Orleans,Town of Albion 5 LD 3,Governor,,CON,Lee Zeldin,30
Orleans,Town of Albion 6 LD 3,Governor,,CON,Lee Zeldin,28
Orleans,Town of Barre 1 LD 1,Governor,,CON,Lee Zeldin,51
Orleans,Town of Barre 2 LD 1,Governor,,CON,Lee Zeldin,44
Orleans,Town of Carlton 1 LD 4,Governor,,CON,Lee Zeldin,66
Orleans,Town of Carlton 2 LD 4,Governor,,CON,Lee Zeldin,46
Orleans,Town of Carlton 3 LD 4,Governor,,CON,Lee Zeldin,36
Orleans,Town of Clarendon 1 LD 1,Governor,,CON,Lee Zeldin,92
Orleans,Town of Clarendon 2 LD 1,Governor,,CON,Lee Zeldin,46
Orleans,Town of Clarendon 3 LD 1,Governor,,CON,Lee Zeldin,44
Orleans,Town of Gaines 1 LD 3,Governor,,CON,Lee Zeldin,18
Orleans,Town of Gaines 2 LD 3,Governor,,CON,Lee Zeldin,44
Orleans,Town of Gaines 3 LD 3,Governor,,CON,Lee Zeldin,16
Orleans,Town of Gaines 4 LD 3,Governor,,CON,Lee Zeldin,19
Orleans,Town of Kendall 1 LD 4,Governor,,CON,Lee Zeldin,37
Orleans,Town of Kendall 2 LD 4,Governor,,CON,Lee Zeldin,49
Orleans,Town of Kendall 3 LD 4,Governor,,CON,Lee Zeldin,34
Orleans,Town of Murray 1 LD 4,Governor,,CON,Lee Zeldin,26
Orleans,Town of Murray 2 LD 4,Governor,,CON,Lee Zeldin,12
Orleans,Town of Murray 3 LD 4,Governor,,CON,Lee Zeldin,16
Orleans,Town of Murray 4 LD 4,Governor,,CON,Lee Zeldin,32
Orleans,Town of Murray 5 LD 4,Governor,,CON,Lee Zeldin,24
Orleans,Town of Murray 6 LD 4,Governor,,CON,Lee Zeldin,33
Orleans,Town of Ridgeway 1 LD 2,Governor,,CON,Lee Zeldin,34
Orleans,Town of Ridgeway 2 LD 2,Governor,,CON,Lee Zeldin,33
Orleans,Town of Ridgeway 3 LD 2,Governor,,CON,Lee Zeldin,26
Orleans,Town of Ridgeway 4 LD 2,Governor,,CON,Lee Zeldin,25
Orleans,Town of Ridgeway 5 LD 2,Governor,,CON,Lee Zeldin,14
Orleans,Town of Ridgeway 6 LD 2,Governor,,CON,Lee Zeldin,40
Orleans,Town of Ridgeway 7 LD 2,Governor,,CON,Lee Zeldin,24
Orleans,Town of Shelby 1 LD 1,Governor,,CON,Lee Zeldin,47
Orleans,Town of Shelby 2 LD 1,Governor,,CON,Lee Zeldin,32
Orleans,Town of Shelby 3 LD 2,Governor,,CON,Lee Zeldin,19
Orleans,Town of Shelby 4 LD 1,Governor,,CON,Lee Zeldin,48
Orleans,Town of Yates 1 LD 2,Governor,,CON,Lee Zeldin,71
Orleans,Town of Yates 2 LD 2,Governor,,CON,Lee Zeldin,41
Orleans,Town of Albion 1 LD 3,Governor,,WOR,Kathy C. Hochul,6
Orleans,Town of Albion 2 LD 3,Governor,,WOR,Kathy C. Hochul,10
Orleans,Town of Albion 3 LD 3,Governor,,WOR,Kathy C. Hochul,6
Orleans,Town of Albion 4 LD 3,Governor,,WOR,Kathy C. Hochul,5
Orleans,Town of Albion 5 LD 3,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Albion 6 LD 3,Governor,,WOR,Kathy C. Hochul,11
Orleans,Town of Barre 1 LD 1,Governor,,WOR,Kathy C. Hochul,6
Orleans,Town of Barre 2 LD 1,Governor,,WOR,Kathy C. Hochul,6
Orleans,Town of Carlton 1 LD 4,Governor,,WOR,Kathy C. Hochul,13
Orleans,Town of Carlton 2 LD 4,Governor,,WOR,Kathy C. Hochul,7
Orleans,Town of Carlton 3 LD 4,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Clarendon 1 LD 1,Governor,,WOR,Kathy C. Hochul,11
Orleans,Town of Clarendon 2 LD 1,Governor,,WOR,Kathy C. Hochul,5
Orleans,Town of Clarendon 3 LD 1,Governor,,WOR,Kathy C. Hochul,8
Orleans,Town of Gaines 1 LD 3,Governor,,WOR,Kathy C. Hochul,6
Orleans,Town of Gaines 2 LD 3,Governor,,WOR,Kathy C. Hochul,5
Orleans,Town of Gaines 3 LD 3,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Gaines 4 LD 3,Governor,,WOR,Kathy C. Hochul,4
Orleans,Town of Kendall 1 LD 4,Governor,,WOR,Kathy C. Hochul,5
Orleans,Town of Kendall 2 LD 4,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Kendall 3 LD 4,Governor,,WOR,Kathy C. Hochul,1
Orleans,Town of Murray 1 LD 4,Governor,,WOR,Kathy C. Hochul,4
Orleans,Town of Murray 2 LD 4,Governor,,WOR,Kathy C. Hochul,4
Orleans,Town of Murray 3 LD 4,Governor,,WOR,Kathy C. Hochul,5
Orleans,Town of Murray 4 LD 4,Governor,,WOR,Kathy C. Hochul,4
Orleans,Town of Murray 5 LD 4,Governor,,WOR,Kathy C. Hochul,0
Orleans,Town of Murray 6 LD 4,Governor,,WOR,Kathy C. Hochul,0
Orleans,Town of Ridgeway 1 LD 2,Governor,,WOR,Kathy C. Hochul,4
Orleans,Town of Ridgeway 2 LD 2,Governor,,WOR,Kathy C. Hochul,7
Orleans,Town of Ridgeway 3 LD 2,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Ridgeway 4 LD 2,Governor,,WOR,Kathy C. Hochul,1
Orleans,Town of Ridgeway 5 LD 2,Governor,,WOR,Kathy C. Hochul,6
Orleans,Town of Ridgeway 6 LD 2,Governor,,WOR,Kathy C. Hochul,7
Orleans,Town of Ridgeway 7 LD 2,Governor,,WOR,Kathy C. Hochul,1
Orleans,Town of Shelby 1 LD 1,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Shelby 2 LD 1,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Shelby 3 LD 2,Governor,,WOR,Kathy C. Hochul,8
Orleans,Town of Shelby 4 LD 1,Governor,,WOR,Kathy C. Hochul,8
Orleans,Town of Yates 1 LD 2,Governor,,WOR,Kathy C. Hochul,8
Orleans,Town of Yates 2 LD 2,Governor,,WOR,Kathy C. Hochul,3
Orleans,Town of Albion 1 LD 3,Governor,,,Write-Ins,2
Orleans,Town of Albion 2 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Albion 3 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Albion 4 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Albion 5 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Albion 6 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Barre 1 LD 1,Governor,,,Write-Ins,0
Orleans,Town of Barre 2 LD 1,Governor,,,Write-Ins,0
Orleans,Town of Carlton 1 LD 4,Governor,,,Write-Ins,2
Orleans,Town of Carlton 2 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Carlton 3 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Clarendon 1 LD 1,Governor,,,Write-Ins,1
Orleans,Town of Clarendon 2 LD 1,Governor,,,Write-Ins,3
Orleans,Town of Clarendon 3 LD 1,Governor,,,Write-Ins,2
Orleans,Town of Gaines 1 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Gaines 2 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Gaines 3 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Gaines 4 LD 3,Governor,,,Write-Ins,0
Orleans,Town of Kendall 1 LD 4,Governor,,,Write-Ins,1
Orleans,Town of Kendall 2 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Kendall 3 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Murray 1 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Murray 2 LD 4,Governor,,,Write-Ins,2
Orleans,Town of Murray 3 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Murray 4 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Murray 5 LD 4,Governor,,,Write-Ins,0
Orleans,Town of Murray 6 LD 4,Governor,,,Write-Ins,0
