county,precinct,office,district,party,candidate,election_day,early_voting,absentee,hand_tally
Tompkins,Ithaca City 1 -1,Governor,,DEM,Kathy C. Hochul,288,132,43,4
Tompkins,Ithaca City 1-2,Governor,,DEM,Kathy C. Hochul,79,55,25,3
Tompkins,Ithaca City 1-3,Governor,,DEM,Kathy C. Hochul,268,128,48,4
Tompkins,Ithaca City 2-1,Governor,,DEM,Kathy C. Hochul,187,97,34,1
Tompkins,Ithaca City 2-2,Governor,,DEM,Kathy C. Hochul,177,89,41,15
Tompkins,Ithaca City 2-3,Governor,,DEM,Kathy C. Hochul,185,71,44,6
Tompkins,Ithaca City 2-4,Governor,,DEM,Kathy C. Hochul,113,115,23,3
Tompkins,Ithaca City 3-1,Governor,,DEM,Kathy C. Hochul,23,7,6,2
Tompkins,Ithaca City 3-2,Governor,,DEM,Kathy C. Hochul,341,140,60,5
Tompkins,Ithaca City 3-3,Governor,,DEM,Kathy C. Hochul,26,2,7,3
Tompkins,Ithaca City 4-1,Governor,,DEM,Kathy C. Hochul,90,70,106,8
Tompkins,Ithaca City 5-1,Governor,,DEM,Kathy C. Hochul,187,185,45,4
Tompkins,Ithaca City 5-2,Governor,,DEM,Kathy C. Hochul,188,202,46,5
Tompkins,Ithaca City 5-3,Governor,,DEM,Kathy C. Hochul,88,26,28,4
Tompkins,Caroline 1,Governor,,DEM,Kathy C. Hochul,130,14,10,1
Tompkins,Caroline 2,Governor,,DEM,Kathy C. Hochul,266,73,27,2
Tompkins,Caroline 3,Governor,,DEM,Kathy C. Hochul,291,32,21,4
Tompkins,Danby 1,Governor,,DEM,Kathy C. Hochul,330,89,37,3
Tompkins,Danby 2,Governor,,DEM,Kathy C. Hochul,74,6,2,0
Tompkins,Danby 3,Governor,,DEM,Kathy C. Hochul,314,114,42,2
Tompkins,Dryden 1,Governor,,DEM,Kathy C. Hochul,213,70,18,1
Tompkins,Dryden 2,Governor,,DEM,Kathy C. Hochul,284,74,26,5
Tompkins,Dryden 3,Governor,,DEM,Kathy C. Hochul,56,22,8,0
Tompkins,Dryden 4,Governor,,DEM,Kathy C. Hochul,464,249,67,12
Tompkins,Dryden 5,Governor,,DEM,Kathy C. Hochul,214,64,25,3
Tompkins,Dryden 6,Governor,,DEM,Kathy C. Hochul,241,50,30,1
Tompkins,Dryden 7,Governor,,DEM,Kathy C. Hochul,204,31,20,2
Tompkins,Dryden 8,Governor,,DEM,Kathy C. Hochul,307,125,39,1
