county,precinct,office,district,candidate,party,votes,early_voting,absentee,election_day
Seneca,Town of Covert 1 LD 1,Governor,,Kathy C. Hochul,DEM,275,13,29,233
Seneca,Town of Covert 2 LD 1,Governor,,Kathy C. Hochul,DEM,209,5,19,185
Seneca,Town of Fayette 1 LD 1,Governor,,Kathy C. Hochul,DEM,162,22,17,123
Seneca,Town of Fayette 2 LD 1,Governor,,Kathy C. Hochul,DEM,176,26,16,134
Seneca,Town of Fayette 3 LD 1,Governor,,Kathy C. Hochul,DEM,178,27,22,129
Seneca,Town of Junius 1 LD 1,Governor,,Kathy C. Hochul,DEM,76,15,3,58
Seneca,Town of Lodi 1 LD 1,Governor,,Kathy C. Hochul,DEM,232,20,16,196
Seneca,Town of Ovid 1 LD 1,Governor,,Kathy C. Hochul,DEM,145,10,14,121
Seneca,Town of Ovid 2 LD 1,Governor,,Kathy C. Hochul,DEM,141,11,21,109
Seneca,Town of Romulus 1 LD 1,Governor,,Kathy C. Hochul,DEM,71,16,7,48
Seneca,Town of Romulus 2 LD 1,Governor,,Kathy C. Hochul,DEM,127,19,9,99
Seneca,Town of Romulus 3 LD 1,Governor,,Kathy C. Hochul,DEM,79,9,7,63
Seneca,Town of Seneca Falls 1 LD 1,Governor,,Kathy C. Hochul,DEM,183,55,19,109
Seneca,Town of Seneca Falls 2 LD 1,Governor,,Kathy C. Hochul,DEM,218,49,18,151
Seneca,Town of Seneca Falls 3 LD 1,Governor,,Kathy C. Hochul,DEM,121,21,8,92
Seneca,Town of Seneca Falls 4 LD 1,Governor,,Kathy C. Hochul,DEM,185,42,15,128
Seneca,Town of Seneca Falls 5 LD 1,Governor,,Kathy C. Hochul,DEM,137,25,9,103
Seneca,Town of Seneca Falls 6 LD 1,Governor,,Kathy C. Hochul,DEM,165,43,11,111
Seneca,Town of Seneca Falls 7 LD 1,Governor,,Kathy C. Hochul,DEM,123,37,7,79
Seneca,Town of Seneca Falls 8 LD 1,Governor,,Kathy C. Hochul,DEM,196,58,18,120
Seneca,Town of Tyre 1 LD 1,Governor,,Kathy C. Hochul,DEM,86,10,8,68
Seneca,Town of Varick 1 LD 1,Governor,,Kathy C. Hochul,DEM,220,33,27,160
Seneca,Town of Waterloo 1 LD 1,Governor,,Kathy C. Hochul,DEM,168,45,11,112
Seneca,Town of Waterloo 2 LD 1,Governor,,Kathy C. Hochul,DEM,128,35,15,78
Seneca,Town of Waterloo 3 LD 1,Governor,,Kathy C. Hochul,DEM,112,24,16,72
Seneca,Town of Waterloo 4 LD 1,Governor,,Kathy C. Hochul,DEM,166,16,14,136
Seneca,Town of Waterloo 5 LD 1,Governor,,Kathy C. Hochul,DEM,114,23,19,72
Seneca,Town of Covert 1 LD 1,Governor,,Lee Zeldin,REP,234,7,10,217
Seneca,Town of Covert 2 LD 1,Governor,,Lee Zeldin,REP,194,7,2,185
Seneca,Town of Fayette 1 LD 1,Governor,,Lee Zeldin,REP,223,13,9,201
Seneca,Town of Fayette 2 LD 1,Governor,,Lee Zeldin,REP,295,20,9,266
Seneca,Town of Fayette 3 LD 1,Governor,,Lee Zeldin,REP,335,35,16,284
Seneca,Town of Junius 1 LD 1,Governor,,Lee Zeldin,REP,296,18,10,268
Seneca,Town of Lodi 1 LD 1,Governor,,Lee Zeldin,REP,349,11,10,328
Seneca,Town of Ovid 1 LD 1,Governor,,Lee Zeldin,REP,220,1,6,213
Seneca,Town of Ovid 2 LD 1,Governor,,Lee Zeldin,REP,229,7,3,219
Seneca,Town of Romulus 1 LD 1,Governor,,Lee Zeldin,REP,128,4,1,123
Seneca,Town of Romulus 2 LD 1,Governor,,Lee Zeldin,REP,132,11,4,117
Seneca,Town of Romulus 3 LD 1,Governor,,Lee Zeldin,REP,112,14,2,96
Seneca,Town of Seneca Falls 1 LD 1,Governor,,Lee Zeldin,REP,156,16,10,130
Seneca,Town of Seneca Falls 2 LD 1,Governor,,Lee Zeldin,REP,184,12,8,164
Seneca,Town of Seneca Falls 3 LD 1,Governor,,Lee Zeldin,REP,98,9,4,85
Seneca,Town of Seneca Falls 4 LD 1,Governor,,Lee Zeldin,REP,268,26,13,229
Seneca,Town of Seneca Falls 5 LD 1,Governor,,Lee Zeldin,REP,188,16,4,168
Seneca,Town of Seneca Falls 6 LD 1,Governor,,Lee Zeldin,REP,167,15,8,144
Seneca,Town of Seneca Falls 7 LD 1,Governor,,Lee Zeldin,REP,101,14,6,81
Seneca,Town of Seneca Falls 8 LD 1,Governor,,Lee Zeldin,REP,319,39,17,263
Seneca,Town of Tyre 1 LD 1,Governor,,Lee Zeldin,REP,229,13,16,200
Seneca,Town of Varick 1 LD 1,Governor,,Lee Zeldin,REP,333,31,12,290
Seneca,Town of Waterloo 1 LD 1,Governor,,Lee Zeldin,REP,264,23,13,228
Seneca,Town of Waterloo 2 LD 1,Governor,,Lee Zeldin,REP,292,50,12,230
Seneca,Town of Waterloo 3 LD 1,Governor,,Lee Zeldin,REP,205,26,8,171
