county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee
Allegany,Alfred 1,Registered Voters,,,,687,,,,
Allegany,Alfred 2,Registered Voters,,,,761,,,,
Allegany,Allen,Registered Voters,,,,315,,,,
Allegany,Alma,Registered Voters,,,,479,,,,
Allegany,Almond,Registered Voters,,,,1023,,,,
Allegany,Amity 1,Registered Voters,,,,549,,,,
Allegany,Amity 2,Registered Voters,,,,820,,,,
Allegany,Andover 1,Registered Voters,,,,603,,,,
Allegany,Andover 2,Registered Voters,,,,483,,,,
Allegany,Angelica 1,Registered Voters,,,,502,,,,
Allegany,Angelica 2,Registered Voters,,,,390,,,,
Allegany,Belfast,Registered Voters,,,,929,,,,
Allegany,Birdsall,Registered Voters,,,,150,,,,
Allegany,Bolivar,Registered Voters,,,,1241,,,,
Allegany,Burns,Registered Voters,,,,675,,,,
Allegany,Caneadea 1,Registered Voters,,,,502,,,,
Allegany,Caneadea 2,Registered Voters,,,,511,,,,
Allegany,Centerville,Registered Voters,,,,404,,,,
Allegany,Clarksville,Registered Voters,,,,622,,,,
Allegany,Cuba 1,Registered Voters,,,,877,,,,
Allegany,Cuba 2,Registered Voters,,,,1107,,,,
Allegany,Friendship,Registered Voters,,,,1123,,,,
Allegany,Genesee,Registered Voters,,,,1045,,,,
Allegany,Granger,Registered Voters,,,,350,,,,
Allegany,Grove,Registered Voters,,,,356,,,,
Allegany,Hume,Registered Voters,,,,1086,,,,
Allegany,Independence,Registered Voters,,,,588,,,,
Allegany,New Hudson,Registered Voters,,,,400,,,,
Allegany,Rushford,Registered Voters,,,,744,,,,
Allegany,Scio,Registered Voters,,,,1014,,,,
Allegany,Ward,Registered Voters,,,,241,,,,
Allegany,Wellsville 1,Registered Voters,,,,834,,,,
Allegany,Wellsville 2,Registered Voters,,,,863,,,,
Allegany,Wellsville 3,Registered Voters,,,,963,,,,
Allegany,Wellsville 4,Registered Voters,,,,655,,,,
Allegany,Wellsville 5,Registered Voters,,,,808,,,,
Allegany,West Almond,Registered Voters,,,,184,,,,
Allegany,Willing,Registered Voters,,,,783,,,,
Allegany,Wirt,Registered Voters,,,,693,,,,
Allegany,Alfred 1,Ballots Cast,,,,291,16,233,10,32
Allegany,Alfred 2,Ballots Cast,,,,504,53,412,5,34
Allegany,Allen,Ballots Cast,,,,194,4,175,4,11
Allegany,Alma,Ballots Cast,,,,316,31,271,0,14
Allegany,Almond,Ballots Cast,,,,664,36,583,12,33
Allegany,Amity 1,Ballots Cast,,,,328,137,158,3,30
Allegany,Amity 2,Ballots Cast,,,,511,216,257,5,33
Allegany,Andover 1,Ballots Cast,,,,393,12,354,4,23
Allegany,Andover 2,Ballots Cast,,,,308,33,256,3,16
Allegany,Angelica 1,Ballots Cast,,,,307,31,256,0,20
Allegany,Angelica 2,Ballots Cast,,,,253,37,192,2,22
Allegany,Belfast,Ballots Cast,,,,594,59,504,5,26
Allegany,Birdsall,Ballots Cast,,,,89,5,77,0,7
Allegany,Bolivar,Ballots Cast,,,,681,32,612,3,34
Allegany,Burns,Ballots Cast,,,,441,11,412,4,14
Allegany,Caneadea 1,Ballots Cast,,,,267,16,228,5,18
Allegany,Caneadea 2,Ballots Cast,,,,335,14,296,2,23
Allegany,Centerville,Ballots Cast,,,,269,4,251,3,11
Allegany,Clarksville,Ballots Cast,,,,364,14,321,4,25
Allegany,Cuba 1,Ballots Cast,,,,483,37,408,2,36
Allegany,Cuba 2,Ballots Cast,,,,650,29,576,2,43
Allegany,Friendship,Ballots Cast,,,,590,46,515,2,27
Allegany,Genesee,Ballots Cast,,,,604,14,569,3,18
Allegany,Granger,Ballots Cast,,,,233,1,224,3,5
Allegany,Grove,Ballots Cast,,,,260,6,241,5,8
Allegany,Hume,Ballots Cast,,,,704,31,652,0,21
Allegany,Independence,Ballots Cast,,,,373,11,343,4,15
Allegany,New Hudson,Ballots Cast,,,,256,11,232,2,11
Allegany,Rushford,Ballots Cast,,,,494,11,434,4,45
Allegany,Scio,Ballots Cast,,,,630,59,542,7,22
Allegany,Ward,Ballots Cast,,,,172,23,139,1,9
Allegany,Wellsville 1,Ballots Cast,,,,445,132,266,3,44
Allegany,Wellsville 2,Ballots Cast,,,,486,151,286,8,41
Allegany,Wellsville 3,Ballots Cast,,,,552,106,400,4,42
Allegany,Wellsville 4,Ballots Cast,,,,414,76,293,3,42
Allegany,Wellsville 5,Ballots Cast,,,,482,88,367,1,26
Allegany,West Almond,Ballots Cast,,,,126,7,108,1,10
Allegany,Willing,Ballots Cast,,,,509,43,438,4,24
