county,precinct,office,district,party,candidate,election_day_votes,absentee
Herikimer,FRANKFORT 3,Governor,,REP,Lee Zeldin,637,8
Herikimer,FRANKFORT 4,Governor,,REP,Lee Zeldin,742,10
Herikimer,GERMAN FLATTS 1,Governor,,REP,Lee Zeldin,118,12
Herikimer,GERMAN FLATTS 2,Governor,,REP,Lee Zeldin,181,7
Herikimer,GERMAN FLATTS 3,Governor,,REP,Lee Zeldin,569,2
Herikimer,GERMAN FLATTS 4,Governor,,REP,Lee Zeldin,162,10
Herikimer,GERMAN FLATTS 5,Governor,,REP,Lee Zeldin,364,8
Herikimer,GERMAN FLATTS 6,Governor,,REP,Lee Zeldin,274,3
Herikimer,GERMAN FLATTS 7,Governor,,REP,Lee Zeldin,116,1
Herikimer,GERMAN FLATTS 8,Governor,,REP,Lee Zeldin,588,4
Herikimer,HERKIMER 1,Governor,,REP,Lee Zeldin,486,19
Herikimer,HERKIMER 2,Governor,,REP,Lee Zeldin,190,4
Herikimer,HERKIMER 3,Governor,,REP,Lee Zeldin,197,7
Herikimer,HERKIMER 5,Governor,,REP,Lee Zeldin,462,13
Herikimer,HERKIMER 4,Governor,,REP,Lee Zeldin,249,5
Herikimer,LITCHFIELD 1,Governor,,REP,Lee Zeldin,411,5
Herikimer,MANHEIM 1,Governor,,REP,Lee Zeldin,506,14
Herikimer,MANHEIM 2,Governor,,REP,Lee Zeldin,194,0
Herikimer,NEWPORT 1,Governor,,REP,Lee Zeldin,498,12
Herikimer,NEWPORT 2,Governor,,REP,Lee Zeldin,60,0
Herikimer,NORWAY 1,Governor,,REP,Lee Zeldin,248,6
Herikimer,OHIO 1,Governor,,REP,Lee Zeldin,321,7
Herikimer,RUSSIA 1,Governor,,REP,Lee Zeldin,436,19
Herikimer,RUSSIA 2,Governor,,REP,Lee Zeldin,184,9
Herikimer,SALISBURY 1,Governor,,REP,Lee Zeldin,375,13
Herikimer,SALISBURY 2,Governor,,REP,Lee Zeldin,119,2
Herikimer,SCHUYLER 1,Governor,,REP,Lee Zeldin,484,12
Herikimer,SCHUYLER 2,Governor,,REP,Lee Zeldin,339,6
Herikimer,STARK 1,Governor,,REP,Lee Zeldin,174,4
Herikimer,T LITTLE FALLS 1,Governor,,REP,Lee Zeldin,418,10
Herikimer,WARREN 1,Governor,,REP,Lee Zeldin,261,2
Herikimer,WEBB 1,Governor,,REP,Lee Zeldin,415,23
Herikimer,WEBB 2,Governor,,REP,Lee Zeldin,97,3
Herikimer,WINFIELD 1,Governor,,REP,Lee Zeldin,499,15
Herikimer,Early Voting,Governor,,REP,Lee Zeldin,557,0
Herikimer,Mail-in Ballots,Governor,,REP,Lee Zeldin,582,0
Herikimer,C LITTLE FALLS W1,Governor,,CON,Lee Zeldin,19,2
Herikimer,C LITTLE FALLS W2,Governor,,CON,Lee Zeldin,32,0
Herikimer,C LITTLE FALLS W3,Governor,,CON,Lee Zeldin,12,0
Herikimer,C LITTLE FALLS W4,Governor,,CON,Lee Zeldin,18,1
Herikimer,COLUMBIA 1 ,Governor,,CON,Lee Zeldin,50,0
Herikimer,COLUMBIA 2,Governor,,CON,Lee Zeldin,12,0
Herikimer,DANUBE 1,Governor,,CON,Lee Zeldin,29,1
Herikimer,FAIRFIELD 1,Governor,,CON,Lee Zeldin,38,1
Herikimer,FRANKFORT 1,Governor,,CON,Lee Zeldin,14,0
Herikimer,FRANKFORT2,Governor,,CON,Lee Zeldin,18,0
Herikimer,FRANKFORT 3,Governor,,CON,Lee Zeldin,35,0
Herikimer,FRANKFORT 4,Governor,,CON,Lee Zeldin,87,3
Herikimer,GERMAN FLATTS 1,Governor,,CON,Lee Zeldin,10,1
Herikimer,GERMAN FLATTS 2,Governor,,CON,Lee Zeldin,12,0
Herikimer,GERMAN FLATTS 3,Governor,,CON,Lee Zeldin,40,0
Herikimer,GERMAN FLATTS 4,Governor,,CON,Lee Zeldin,22,2
Herikimer,GERMAN FLATTS 5,Governor,,CON,Lee Zeldin,34,0
Herikimer,GERMAN FLATTS 6,Governor,,CON,Lee Zeldin,29,0
Herikimer,GERMAN FLATTS 7,Governor,,CON,Lee Zeldin,11,0
Herikimer,GERMAN FLATTS 8,Governor,,CON,Lee Zeldin,52,3
Herikimer,HERKIMER 1,Governor,,CON,Lee Zeldin,43,0
Herikimer,HERKIMER 2,Governor,,CON,Lee Zeldin,18,0
Herikimer,HERKIMER 3,Governor,,CON,Lee Zeldin,27,0
Herikimer,HERKIMER 5,Governor,,CON,Lee Zeldin,40,1
Herikimer,HERKIMER 4,Governor,,CON,Lee Zeldin,25,0
Herikimer,LITCHFIELD 1,Governor,,CON,Lee Zeldin,62,0
Herikimer,MANHEIM 1,Governor,,CON,Lee Zeldin,79,0
Herikimer,MANHEIM 2,Governor,,CON,Lee Zeldin,21,0
Herikimer,NEWPORT 1,Governor,,CON,Lee Zeldin,53,0
Herikimer,NEWPORT 2,Governor,,CON,Lee Zeldin,5,0
Herikimer,NORWAY 1,Governor,,CON,Lee Zeldin,12,0
Herikimer,OHIO 1,Governor,,CON,Lee Zeldin,18,2
Herikimer,RUSSIA 1,Governor,,CON,Lee Zeldin,64,1
Herikimer,RUSSIA 2,Governor,,CON,Lee Zeldin,21,3
Herikimer,SALISBURY 1,Governor,,CON,Lee Zeldin,30,1
Herikimer,SALISBURY 2,Governor,,CON,Lee Zeldin,13,0
Herikimer,SCHUYLER 1,Governor,,CON,Lee Zeldin,33,0
Herikimer,SCHUYLER 2,Governor,,CON,Lee Zeldin,32,1
Herikimer,STARK 1,Governor,,CON,Lee Zeldin,16,0
Herikimer,T LITTLE FALLS 1,Governor,,CON,Lee Zeldin,43,3
Herikimer,WARREN 1,Governor,,CON,Lee Zeldin,35,1
Herikimer,WEBB 1,Governor,,CON,Lee Zeldin,33,1
Herikimer,WEBB 2,Governor,,CON,Lee Zeldin,8,0
Herikimer,WINFIELD 1,Governor,,CON,Lee Zeldin,60,0
Herikimer,Early Voting,Governor,,CON,Lee Zeldin,61,0
Herikimer,Mail-in Ballots,Governor,,CON,Lee Zeldin,91,0
Herikimer,C LITTLE FALLS W1,Governor,,,Write-In,0,
Herikimer,C LITTLE FALLS W2,Governor,,,Write-In,1,
Herikimer,C LITTLE FALLS W3,Governor,,,Write-In,1,
Herikimer,C LITTLE FALLS W4,Governor,,,Write-In,2,
Herikimer,COLUMBIA 1 ,Governor,,,Write-In,4,
Herikimer,COLUMBIA 2,Governor,,,Write-In,0,
Herikimer,DANUBE 1,Governor,,,Write-In,0,
Herikimer,FAIRFIELD 1,Governor,,,Write-In,1,
Herikimer,FRANKFORT 1,Governor,,,Write-In,1,
Herikimer,FRANKFORT2,Governor,,,Write-In,1,
Herikimer,FRANKFORT 3,Governor,,,Write-In,1,
Herikimer,FRANKFORT 4,Governor,,,Write-In,0,
Herikimer,GERMAN FLATTS 1,Governor,,,Write-In,0,
Herikimer,GERMAN FLATTS 2,Governor,,,Write-In,2,
Herikimer,GERMAN FLATTS 3,Governor,,,Write-In,1,
Herikimer,GERMAN FLATTS 4,Governor,,,Write-In,1,
Herikimer,GERMAN FLATTS 5,Governor,,,Write-In,1,
Herikimer,GERMAN FLATTS 6,Governor,,,Write-In,0,
Herikimer,GERMAN FLATTS 7,Governor,,,Write-In,0,
Herikimer,GERMAN FLATTS 8,Governor,,,Write-In,3,
Herikimer,HERKIMER 1,Governor,,,Write-In,0,
Herikimer,HERKIMER 2,Governor,,,Write-In,1,
