county,office,district,party,candidate,votes,,,,,,,
Suffolk,State Assembly,8,REP,Philip M. Boyle,4899,,,,,,,
Suffolk,State Assembly,8,DEM,Ernie Mattace,2936,,,,,,,
Suffolk,State Assembly,8,IND,Philip M. Boyle,464,,,,,,,
Suffolk,State Assembly,8,CON,Philip M. Boyle,600,,,,,,,
Suffolk,State Assembly,8,WOR,Ernie Mattace,292,,,,,,,
Suffolk,State Assembly,8,STR,Philip M. Boyle,290,,,,,,,
Suffolk,State Assembly,8,"Blank, Void, Scattering","Blank, Void, Scattering",8,,,,,,,
Nassau,State Assembly,17,REP,Thomas McKevitt,2991,,,,,,,
Nassau,State Assembly,17,DEM,Zahid Ali Syed,1572,,,,,,,
Nassau,State Assembly,17,IND,Thomas McKevitt,160,,,,,,,
Nassau,State Assembly,17,CON,Thomas McKevitt,410,,,,,,,
Nassau,State Assembly,17,WOR,Zahid Ali Syed,119,,,,,,,
Nassau,State Assembly,17,"Blank, Void, Scattering","Blank, Void, Scattering",1,,,,,,,
Kings,State Assembly,59,REP,Ronald G. Haugstatter,141,,,,,,,
Kings,State Assembly,59,DEM,Alan N. Maisel,1932,,,,,,,
Kings,State Assembly,59,CON,Alice Gaffney,202,,,,,,,
Kings,State Assembly,59,"Blank, Void, Scattering","Blank, Void, Scattering",8,,,,,,,
New York,State Assembly,67,REP,Emily A. Csendes,875,,,,,,,
New York,State Assembly,67,DEM,Linda B. Rosenthal,"5,027",,,,,,,
New York,State Assembly,67,IND,Michael Lupinacci,499,,,,,,,
New York,State Assembly,67,WOR,Linda B. Rosenthal,667,,,,,,,
New York,State Assembly,67,NLP,Michael Lupinacci,104,,,,,,,
New York,State Assembly,67,WSP,Charles A. Simon,"2,254",,,,,,,
New York,State Assembly,67,"Blank, Void, Scattering","Blank, Void, Scattering",200,,,,,,,
New York,State Assembly,74,REP,Frank J. Scala,"1,120",,,,,,,
New York,State Assembly,74,DEM,Sylvia M. Friedman,"2,262",,,,,,,
New York,State Assembly,74,"Blank, Void, Scattering","Blank, Void, Scattering",24,,,,,,,
Genesee,State Assembly,139,REP,Stephen M. Hawley,"2,921",,,,,,,
Genesee,State Assembly,139,DEM,Gary F. Kent,"1,287",,,,,,,
Genesee,State Assembly,139,IND,Stephen M. Hawley,230,,,,,,,
Genesee,State Assembly,139,CON,Stephen M. Hawley,262,,,,,,,
Genesee,State Assembly,139,"Blank, Void, Scattering","Blank, Void, Scattering",66,,,,,,,
Monroe,State Assembly,139,REP,Stephen M. Hawley,679,,,,,,,
Monroe,State Assembly,139,DEM,Gary F. Kent,336,,,,,,,
Monroe,State Assembly,139,IND,Stephen M. Hawley,26,,,,,,,
Monroe,State Assembly,139,CON,Stephen M. Hawley,112,,,,,,,
Monroe,State Assembly,139,"Blank, Void, Scattering","Blank, Void, Scattering",0,,,,,,,
Niagara,State Assembly,139,REP,Stephen M. Hawley,128,,,,,,,
Niagara,State Assembly,139,DEM,Gary F. Kent,55,,,,,,,
Niagara,State Assembly,139,IND,Stephen M. Hawley,7,,,,,,,
Niagara,State Assembly,139,CON,Stephen M. Hawley,12,,,,,,,
Niagara,State Assembly,139,"Blank, Void, Scattering","Blank, Void, Scattering",0,,,,,,,
Orleans,State Assembly,139,REP,Stephen M. Hawley,"1,621",,,,,,,
Orleans,State Assembly,139,DEM,Gary F. Kent,"1,750",,,,,,,
Orleans,State Assembly,139,IND,Stephen M. Hawley,103,,,,,,,
Orleans,State Assembly,139,CON,Stephen M. Hawley,149,,,,,,,
Orleans,State Assembly,139,"Blank, Void, Scattering","Blank, Void, Scattering",14,,,,,,,
Erie,State Assembly,142,REP,Michael W. Cole,"3,650",,,,,,,
Erie,State Assembly,142,DEM,"Jeffery A. Bono, III","1,618",,,,,,,
Erie,State Assembly,142,IND,Michael W. Cole,268,,,,,,,
Erie,State Assembly,142,CON,Michael W. Cole,520,,,,,,,
Erie,State Assembly,142,WOR,"Jeffrey A. Bono, III",190,,,,,,,
Erie,State Assembly,142,"Blank, Void, Scattering","Blank, Void, Scattering",30,,,,,,,
Niagara,State Assembly,142,REP,Michael W. Cole,"1,245",,,,,,,
Niagara,State Assembly,142,DEM,"Jeffery A. Bono, III",742,,,,,,,
Niagara,State Assembly,142,IND,Michael W. Cole,72,,,,,,,
Niagara,State Assembly,142,CON,Michael W. Cole,160,,,,,,,
Niagara,State Assembly,142,WOR,"Jeffrey A. Bono, III",100,,,,,,,
Niagara,State Assembly,142,"Blank, Void, Scattering","Blank, Void, Scattering",12,,,,,,,
