county,general_2016,primary_2016,general_2014,primary_2014,general_2012,primary_2012,general_2010,primary_2010
Albany,done,,done,,,,,
Allegany,done,,,,,,,
Bronx,done,done,,,,,,
Broome,done,,done,,,,,
Cattaraugus,done,,,,,,,
Cayuga,done,,done,,,,,
Chautauqua,done,,done,,,,,
Chemung,done,,,,,,,
Chenango,done,,done,,,,,
Clinton,done,,done,,,,,
Columbia,done,,,,,,,
Cortland,done,,,,,,,
Delaware,done,,,,,,,
Dutchess,done,,,,,,,
Erie,done,,,,,,,
Essex,done,,done,,,,,
Franklin,done,,,,,,,
Fulton,done,,,,,,,
Genesee,done,,,,,,,
Greene,done,,done,,,,,
Hamilton,done,,,,,,,
Herkimer,done,,done,,,,,
Jefferson,done,,,,,,,
Kings,done,done,,,,,,
Lewis,done,,,,,,,
Livingston,done,,done,,,,,
Madison,done,,,,,,,
Monroe,done,,,,,,,
Montgomery,done,,,,,,,
Nassau,done,,,,,,,
New York,done,done,done,,,,,
Niagara,done,,,,,,,
Oneida,done,,,,,,,
Onondaga,done,,,,,,,
Ontario,done,,done,,,,,
Orange,done,,done,,,,,
Orleans,done,,done,,,,,
Oswego,done,,,,,,,
Otsego,done,,,,,,,
Putnam,done,,done,,,,,
Queens,done,done,,,,,,
Rensselaer,done,,,,,,,
Richmond,done,done,done,,,,,
Rockland,done,,,,,,,
St. Lawrence,done,,,,,,,
Saratoga,done,,done,,,,,
Schenectady,done,,,,,,,
Schoharie,done,,done,,,,,
Schuyler,done,,done,,,,,
Seneca,done,,,,,,,
Steuben,done,,done,,,,,
Suffolk,done,done,done,,done,,,
Sullivan,done,,,,,,,
Tioga,done,,,,,,,
Tompkins,done,,,,,,,
Ulster,done,,,,,,,
Warren,done,,,,,,,
Washington,done,,,,,,,
Wayne,done,,,,,,,
Westchester,done,,,,,,,
Wyoming,done,,done,,,,,
Yates,done,,done,,,,,
