county,precinct,office,district,candidate,party,votes,,
Warren,Bolton Ward: 000 001,Governor,,Ballots Cast,,404,,1
Warren,Bolton Ward: 000 002,Governor,,Ballots Cast,,488,,2
Warren,Chester Ward: 000 001,Governor,,Ballots Cast,,368,,3
Warren,Chester Ward: 000 002,Governor,,Ballots Cast,,417,,4
Warren,Chester Ward: 000 003,Governor,,Ballots Cast,,286,,5
Warren,Glens Falls Ward: 001 001,Governor,,Ballots Cast,,130,,6
Warren,Glens Falls Ward: 001 002,Governor,,Ballots Cast,,64,,7
Warren,Glens Falls Ward: 001 003,Governor,,Ballots Cast,,128,,8
Warren,Glens Falls Ward: 001 004,Governor,,Ballots Cast,,106,,9
Warren,Glens Falls Ward: 002 001,Governor,,Ballots Cast,,216,,10
Warren,Glens Falls Ward: 002 002,Governor,,Ballots Cast,,230,,11
Warren,Glens Falls Ward: 002 003,Governor,,Ballots Cast,,250,,12
Warren,Glens Falls Ward: 002 004,Governor,,Ballots Cast,,301,,13
Warren,Glens Falls Ward: 003 001,Governor,,Ballots Cast,,125,,14
Warren,Glens Falls Ward: 003 002,Governor,,Ballots Cast,,134,,15
Warren,Glens Falls Ward: 003 003,Governor,,Ballots Cast,,184,,16
Warren,Glens Falls Ward: 003 004,Governor,,Ballots Cast,,429,,17
Warren,Glens Falls Ward: 003 005,Governor,,Ballots Cast,,261,,18
Warren,Glens Falls Ward: 004 001,Governor,,Ballots Cast,,54,,19
Warren,Glens Falls Ward: 004 002,Governor,,Ballots Cast,,66,,20
Warren,Glens Falls Ward: 004 003,Governor,,Ballots Cast,,221,,21
Warren,Glens Falls Ward: 005 001,Governor,,Ballots Cast,,154,,22
Warren,Glens Falls Ward: 005 002,Governor,,Ballots Cast,,120,,23
Warren,Glens Falls Ward: 005 003,Governor,,Ballots Cast,,429,,24
Warren,Hague Ward: 000 001,Governor,,Ballots Cast,,328,,25
Warren,Horicon Ward: 000 001,Governor,,Ballots Cast,,258,,26
