precinct,office,district,candidate,party,votes
Clarkstown 1,Ballots Cast,,,,502
Clarkstown 1,President,,Barack Obama,DEM,270
Clarkstown 1,President,,Mitt Romney,REP,200
Clarkstown 1,President,,Mitt Romney,CON,17
Clarkstown 1,President,,Barack Obama,WOR,9
Clarkstown 1,President,,Jill Stein,GRE,1
Clarkstown 1,President,,Peta Lindsay,PSL,0
Clarkstown 1,President,,Gary Johnson,LBT,0
Clarkstown 1,President,,Virgil Goode,CST,0
Clarkstown 1,President,,Write-ins,,0
Clarkstown 1,President,,Total,,497
Clarkstown 1,President,,Over Votes,,2
Clarkstown 1,President,,Under Votes,,3
Clarkstown 1,U.S. Senate,,Kirsten E. Gillibrand,DEM,296
Clarkstown 1,U.S. Senate,,Wendy Long,REP,120
Clarkstown 1,U.S. Senate,,Wendy Long,CON,17
Clarkstown 1,U.S. Senate,,Kirsten E. Gillibrand,WOR,17
Clarkstown 1,U.S. Senate,,Kirsten E. Gillibrand,IND,12
Clarkstown 1,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 1,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 1,U.S. Senate,,John Mangelli,CSP,3
Clarkstown 1,U.S. Senate,,Write-ins,,0
Clarkstown 1,U.S. Senate,,Total,,468
Clarkstown 1,U.S. Senate,,Over Votes,,0
Clarkstown 1,U.S. Senate,,Under Votes,,34
Clarkstown 1,U.S. House,17,Nita M. Lowey,DEM,270
Clarkstown 1,U.S. House,17,Joe Carvin,REP,163
Clarkstown 1,U.S. House,17,Nita M. Lowey,WOR,16
Clarkstown 1,U.S. House,17,Francis E. Morganthaler,WTP,3
Clarkstown 1,U.S. House,17,Write-ins,,0
Clarkstown 1,U.S. House,17,Total,,452
Clarkstown 1,U.S. House,17,Over Votes,,1
Clarkstown 1,U.S. House,17,Under Votes,,49
Clarkstown 1,State Senate,38,David Carlucci,DEM,305
Clarkstown 1,State Senate,38,Janis A. Castaldi,REP,125
Clarkstown 1,State Senate,38,David Carlucci,WOR,22
Clarkstown 1,State Senate,38,David Carlucci,IND,11
Clarkstown 1,State Senate,38,Write-ins,,0
Clarkstown 1,State Senate,38,Total,,463
Clarkstown 1,State Senate,38,Over Votes,,0
Clarkstown 1,State Senate,38,Under Votes,,39
Clarkstown 1,State House,96,Kenneth P. Zebrowski,DEM,291
Clarkstown 1,State House,96,Kenneth P. Zebrowski,WOR,28
Clarkstown 1,State House,96,Kenneth P. Zebrowski,IND,19
Clarkstown 1,State House,96,Write-ins,,1
Clarkstown 1,State House,96,Total,,339
Clarkstown 1,State House,96,Over Votes,,0
